DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,4.8,4.9,4.8,4.8,4.8,"152,426"
2019-06-26,4.9,5.1,4.8,5,4.9,"263,540"
2019-06-25,4.9,5,4.9,4.9,4.9,"554,992"
2019-06-24,5,5.1,4.7,4.7,4.9,"658,773"
2019-06-23,4.7,4.8,4.7,4.8,4.7,"75,007"
2019-06-20,4.7,4.8,4.7,4.7,4.7,"107,798"
2019-06-19,4.7,4.8,4.6,4.7,4.7,"163,747"
2019-06-18,4.7,4.8,4.7,4.7,4.7,"105,692"
2019-06-17,4.8,4.8,4.7,4.7,4.7,"61,501"
2019-06-16,4.7,4.8,4.7,4.7,4.7,"44,812"
2019-06-13,4.7,4.8,4.7,4.8,4.7,"144,574"
2019-06-12,5,5,4.7,4.8,4.9,"157,530"
2019-06-11,4.9,5,4.8,4.8,4.9,"231,744"
2019-06-10,4.8,4.8,4.6,4.7,4.7,"242,889"
2019-06-09,4.7,4.7,4.6,4.6,4.6,"78,065"
2019-05-30,4.7,4.7,4.6,4.6,4.6,"33,330"
2019-05-29,4.7,4.7,4.5,4.6,4.6,"117,464"
2019-05-28,4.6,4.6,4.5,4.5,4.6,"158,489"
2019-05-27,4.6,4.6,4.5,4.5,4.6,"43,579"
2019-05-26,4.6,4.6,4.5,4.5,4.5,"25,070"
2019-05-23,4.5,4.6,4.5,4.5,4.5,"33,029"
2019-05-22,4.5,4.5,4.5,4.5,4.5,"25,186"
2019-05-21,4.5,4.6,4.5,4.5,4.5,"10,479"
2019-05-20,4.5,4.5,4.5,4.5,4.5,"219,841"
2019-05-19,4.4,4.6,4.4,4.5,4.5,"75,606"
2019-05-16,4.5,4.5,4.4,4.4,4.5,"1,896"
2019-05-15,4.5,4.5,4.4,4.4,4.4,"96,290"
2019-05-14,4.3,4.5,4.3,4.5,4.4,"41,937"
2019-05-13,4.5,4.5,4.4,4.4,4.4,"72,511"
2019-05-12,4.4,4.5,4.4,4.4,4.4,"6,332"
2019-05-09,4.3,4.5,4.2,4.4,4.4,"394,469"
2019-05-08,4.5,4.5,4.3,4.5,4.4,"116,980"
2019-05-07,4.5,4.6,4.5,4.6,4.5,"137,224"
2019-05-06,4.5,4.7,4.5,4.6,4.6,"217,745"
2019-05-05,4.7,4.7,4.4,4.4,4.6,"92,645"
2019-05-02,4.4,4.5,4.4,4.4,4.5,"80,920"
2019-04-30,4.5,4.5,4.4,4.4,4.4,"60,803"
2019-04-29,4.4,4.5,4.4,4.5,4.4,"78,211"
2019-04-28,4.4,4.4,4.3,4.4,4.3,"10,864"
2019-04-25,4.4,4.5,4.4,4.4,4.4,"4,610"
2019-04-24,4.5,4.5,4.3,4.4,4.4,"109,334"
2019-04-23,4.4,4.5,4.4,4.4,4.4,"95,069"
2019-04-21,4.5,4.5,4.4,4.4,4.4,"47,355"
2019-04-18,4.5,4.5,4.3,4.3,4.4,"62,888"
2019-04-17,4.3,4.4,4.3,4.4,4.3,"3,553"
2019-04-16,4.4,4.4,4.3,4.3,4.3,"21,258"
2019-04-15,4.3,4.4,4.3,4.4,4.3,"43,999"
2019-04-11,4.4,4.4,4.3,4.4,4.3,"7,292"
2019-04-10,4.2,4.4,4.2,4.3,4.3,"348,530"
2019-04-09,4.4,4.4,4.3,4.3,4.3,"115,956"
2019-04-08,4.4,4.4,4.3,4.4,4.3,"152,121"
2019-04-07,4.3,4.4,4.3,4.4,4.4,"175,392"
2019-04-04,4.4,4.5,4.4,4.4,4.5,"19,068"
2019-04-03,4.4,4.5,4.4,4.4,4.4,"25,884"
2019-04-02,4.5,4.5,4.3,4.4,4.4,"188,665"
2019-04-01,4.4,4.5,4.4,4.4,4.4,"71,212"
2019-03-31,4.4,4.5,4.4,4.4,4.4,"22,578"
2019-03-28,4.4,4.6,4.4,4.6,4.4,"63,461"
