DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,56,57.5,55.8,56.8,56.1,"51,814"
2019-06-26,56,56.9,55.7,56.9,56,"41,517"
2019-06-25,55.7,56.9,55.7,55.8,56,"16,177"
2019-06-24,54.8,56,54.8,56,55,"45,744"
2019-06-23,55.6,57,55,57,55.2,"72,065"
2019-06-20,57.1,58.3,56.9,57.1,57,"20,897"
2019-06-19,57.4,57.9,56.6,57.8,56.9,"52,712"
2019-06-18,57.6,59.3,57.3,57.9,57.5,"65,746"
2019-06-17,57.5,59.8,57.4,59.1,57.6,"80,583"
2019-06-16,60.5,62,59,62,59.4,"171,106"
2019-06-13,61.7,62.3,61.7,62.2,61.8,"29,535"
2019-06-12,62.3,63.4,61.6,62.9,62.9,"567,306"
2019-06-11,62.3,62.9,60,60.1,62.2,"137,408"
2019-06-10,60,60.5,59.4,59.4,60.1,"32,193"
2019-06-09,59.8,60.8,59.2,60.1,59.7,"23,756"
2019-05-30,60.1,60.3,59.1,60.3,59.8,"32,119"
2019-05-29,59.2,61.9,59.2,61,59.5,"22,024"
2019-05-28,60.2,60.4,59,59.5,59.7,"93,001"
2019-05-27,58.9,60,58.7,60,59.5,"80,809"
2019-05-26,58.9,60.3,58.9,59.9,59,"36,456"
2019-05-23,59.6,61,59.2,61,59.8,"13,506"
2019-05-22,59.9,62,59.8,61,60,"62,682"
2019-05-21,61,62,58.1,58.1,61,"133,763"
2019-05-20,59.2,59.5,58,59.1,59.1,"74,948"
2019-05-19,59.3,59.8,57.6,57.6,59,"92,219"
2019-05-16,57.6,57.8,56,57.8,56.4,"57,942"
2019-05-15,56,59,55.8,58.2,56.4,"67,559"
2019-05-14,58.6,61,58.5,59.9,58.9,"82,066"
2019-05-13,59.8,62,59.6,62,60.1,"155,641"
2019-05-12,61.2,61.3,56,56.1,61.2,"303,974"
2019-05-09,55.3,58.4,55.2,55.6,55.8,"66,828"
2019-05-08,55.8,56.8,55.2,56.8,55.6,"22,383"
2019-05-07,55.6,58.1,55.3,57,55.8,"19,881"
2019-05-06,57.9,59.4,56.7,59.1,57,"100,522"
2019-05-05,59,59.6,57.2,57.2,59.1,"122,368"
2019-05-02,57.4,57.4,51.7,52.2,57.2,"170,406"
2019-04-30,53,55,50.3,50.3,52.7,"78,805"
2019-04-29,50.7,51,50.5,50.6,50.7,"44,648"
2019-04-28,51,53.5,51,51,51.2,"58,496"
2019-04-25,51,51.4,47.6,47.6,51,"48,271"
2019-04-24,48.6,49.2,48.6,48.8,48.7,"16,513"
