DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,25.7,26.1,25.7,26.1,25.7,"25,871"
2019-06-26,26,26.2,25.7,25.8,25.9,"32,314"
2019-06-25,26,26.3,25.2,25.8,25.3,"43,996"
2019-06-24,25.6,26,25.2,25.5,25.9,"4,315"
2019-06-23,25.7,26.5,25.7,26,25.8,"18,455"
2019-06-20,25.5,27,25.5,25.9,25.6,"9,756"
2019-06-19,26.4,26.4,25.7,25.7,25.9,"11,962"
2019-06-18,26.1,26.1,25.5,25.5,26,"36,850"
2019-06-17,25.6,26.2,25.5,25.5,25.9,"15,649"
2019-06-16,26.3,27.5,26.3,27.5,26.5,"110,190"
2019-06-13,26.8,27.7,26.3,26.7,26.9,"86,228"
2019-06-12,26.9,27,25.3,26.2,26.7,"121,385"
2019-06-11,26.5,26.6,25.3,25.3,26.1,"112,990"
2019-06-10,25.2,25.2,24.5,24.5,25,"79,479"
2019-06-09,24.3,24.8,24.2,24.4,24.3,"10,650"
2019-05-30,24.6,24.6,24.2,24.6,24.4,"44,431"
2019-05-29,24.5,24.7,24.5,24.7,24.5,"36,860"
2019-05-28,24.8,24.8,24,24.8,24.6,"6,100"
2019-05-27,24.1,24.4,23.7,24.4,24,"82,945"
2019-05-26,24.1,24.4,24.1,24.4,24.2,"23,642"
2019-05-23,24.9,25.1,24.2,25.1,24.4,"25,759"
2019-05-22,24.4,24.8,24.4,24.8,24.5,"95,244"
2019-05-21,25,25.1,24.8,24.8,24.9,"71,063"
2019-05-20,24.9,25.2,24.9,25.2,25,"17,485"
2019-05-19,25.1,25.4,25,25.4,25.1,"82,714"
2019-05-16,24.8,25.6,24.8,25.6,24.9,"57,065"
2019-05-15,25,25.7,24.9,25.6,25,"9,851"
2019-05-14,24.9,25.3,24.9,25.3,25,"54,404"
2019-05-13,25.8,26,25.5,25.8,25.6,"109,370"
2019-05-12,25.9,25.9,25.2,25.2,25.5,"67,354"
2019-05-09,24.8,24.9,24.2,24.2,24.8,"35,360"
2019-05-08,25,25,24.5,24.9,24.6,"28,040"
2019-05-07,24.6,25.5,24.6,25.1,24.8,"51,631"
2019-05-06,25.2,25.9,25.2,25.7,25.3,"79,886"
2019-05-05,25.8,26.1,25.2,25.8,25.7,"121,125"
2019-05-02,25.6,25.7,24,24,25.4,"117,783"
2019-04-30,24.3,25.5,24.1,24.1,24.2,"114,321"
2019-04-29,24.1,24.7,23.8,24.6,24,"52,012"
2019-04-28,24.7,24.7,24.2,24.3,24.6,"58,318"
2019-04-25,24.8,24.8,23.8,23.9,24.7,"59,424"
2019-04-24,23.7,24.4,23.7,24.1,23.9,"53,928"
2019-04-23,24.5,25.2,24.5,25.2,24.7,"11,924"
2019-04-21,25.3,25.4,24.9,25.1,25.3,"59,595"
2019-04-18,25.3,25.3,24.5,24.5,25.2,"77,167"
2019-04-17,24.6,24.8,24.1,24.8,24.6,"75,728"
2019-04-16,24.2,24.5,24.1,24.1,24.3,"35,178"
2019-04-15,24.9,25,24.7,24.9,24.9,"85,140"
2019-04-11,24.6,24.8,24.5,24.7,24.7,"54,112"
2019-04-10,24.4,24.9,23.9,24.9,24.4,"97,230"
2019-04-09,24.6,25.5,24.6,24.9,24.9,"81,617"
2019-04-08,24.9,25.2,24.9,25.2,25,"73,400"
2019-04-07,25.3,25.3,24.8,24.8,25.2,"40,868"
2019-04-04,25.7,25.7,24.8,25.3,25.3,"87,175"
2019-04-03,25.4,26.3,25.3,26.2,25.4,"137,913"
2019-04-02,26.1,26.7,26.1,26.3,26.2,"200,784"
2019-04-01,26.5,27.5,26,27,26.2,"127,113"
2019-03-31,26.8,28.3,25.8,28.3,26.8,"501,332"
2019-03-28,28.8,28.9,28.4,28.6,28.5,"27,351"
2019-03-27,28.4,29.3,28.2,28.8,28.6,"31,300"
2019-03-25,29,29.4,28.3,28.4,29.1,"36,139"
2019-03-24,28,29.2,28,29.2,28.3,"31,994"
2019-03-21,28.5,29.1,28.5,29,28.7,"104,801"
2019-03-20,28.7,29,28.4,28.4,28.7,"52,629"
2019-03-19,29,29,28.4,28.4,28.9,"24,235"
2019-03-18,28.7,29.9,28.1,29.9,28.7,"43,586"
2019-03-14,28.8,29.1,28,28,28.9,"63,530"
2019-03-13,28.7,29.2,28.7,28.9,28.9,"67,200"
2019-03-12,29.1,29.6,29,29.6,29.1,"102,731"
2019-03-11,30,30.1,29.7,30,29.8,"143,100"
2019-03-10,30.1,30.2,29.8,30.1,30,"41,320"
2019-03-07,30,30.1,29.4,29.5,29.9,"241,880"
2019-03-06,29.4,29.4,29,29.1,29.3,"78,323"
2019-03-05,29.1,29.4,29,29.1,29.1,"91,194"
2019-03-04,29.8,29.8,29,29.6,29.3,"151,027"
2019-03-03,29.7,30,29.6,30,29.6,"124,709"
2019-02-27,29.7,30.2,29.6,29.6,29.8,"75,945"
2019-02-26,29.7,30.2,29.5,29.7,29.7,"89,446"
2019-02-25,29.7,30.3,29.7,30,30,"155,114"
2019-02-24,29.9,30.6,29.9,30.6,30.1,"52,881"
2019-02-20,30.5,30.8,30.2,30.2,30.5,"102,090"
2019-02-19,30.5,30.6,30.1,30.4,30.4,"72,415"
2019-02-18,30.4,31.4,30.4,31.4,30.6,"195,170"
2019-02-17,31,31.4,30.5,30.5,31,"939,310"
2019-02-14,30.2,30.3,29.9,30.1,30.2,"85,275"
2019-02-13,30,30.5,29.9,30.4,30.1,"73,165"
2019-02-12,30.3,30.3,29.7,29.7,30.3,"123,984"
2019-02-11,29.7,29.9,29.5,29.8,29.8,"42,552"
2019-02-10,29.6,30,29.6,29.7,29.7,"115,681"
2019-02-07,29.6,30.3,29.6,30,29.8,"122,222"
2019-02-06,30,30.5,29.9,29.9,29.9,"141,130"
2019-02-05,29.8,30,29.7,30,29.8,"91,436"
2019-02-04,29.7,30.6,29.7,30.6,29.8,"171,990"
2019-02-03,30,30.9,29.6,30.9,29.8,"171,311"
2019-01-31,30.4,31.4,30.4,31.1,30.6,"226,956"
2019-01-30,31.2,31.3,30,30,31,"592,749"
2019-01-29,30,30,29.3,29.4,29.6,"102,646"
2019-01-28,29.8,30.4,29.8,30.3,29.8,"79,110"
2019-01-27,30,30.2,29.5,29.7,29.8,"272,602"
2019-01-24,29.4,30.3,29.4,29.9,29.6,"202,843"
2019-01-23,29.9,30.5,29.6,30.2,29.9,"179,554"
2019-01-22,30.5,31,30.1,30.5,30.3,"177,427"
2019-01-21,30.4,30.9,30.3,30.4,30.5,"312,579"
2019-01-20,30.4,30.5,30.1,30.2,30.3,"164,287"
2019-01-17,30.3,31.2,30,30.6,30.2,"160,977"
2019-01-16,30.3,31.2,30,30.8,30.3,"430,836"
2019-01-15,31,31.3,30.6,31,30.8,"529,367"
2019-01-14,31,31.7,30.7,31.7,30.8,"527,916"
2019-01-13,31.5,32.3,30.8,30.9,31.6,"899,007"
2019-01-10,30.6,30.7,30.1,30.2,30.5,"390,840"
2019-01-09,30.1,30.5,30,30.2,30.1,"329,038"
2019-01-08,30.2,30.6,30,30,30.2,"455,436"
2019-01-07,30.5,31.2,29.8,30.1,30.3,"504,374"
2019-01-06,30.1,30.7,30.1,30.5,30.3,"507,787"
2019-01-03,30.5,30.6,29.6,29.7,30.3,"695,067"
2019-01-02,29.7,30.3,29.3,29.5,29.9,"423,831"
2019-01-01,29.1,29.4,28.8,29.1,29.1,"148,772"
2018-12-27,28.6,29.5,28.6,28.7,28.6,"138,720"
2018-12-26,29.2,29.2,28.3,29,28.7,"196,788"
2018-12-24,28.7,29.2,28.5,28.9,28.7,"174,161"
2018-12-23,28.5,29.1,28.5,28.8,28.6,"213,976"
2018-12-20,29.2,29.5,28.5,28.8,28.8,"339,162"
2018-12-19,28.5,28.9,28.1,28.1,28.5,"190,439"
2018-12-18,28.1,28.4,27.7,28.2,27.9,"95,453"
2018-12-17,27.6,27.9,27.6,27.8,27.7,"149,621"
2018-12-13,27.7,28.4,27.6,28.1,27.8,"144,140"
2018-12-12,27.9,28.3,27.6,27.6,28,"92,885"
2018-12-11,27.2,28.2,27.1,27.8,27.6,"231,918"
2018-12-10,27.8,29,27.6,27.9,27.7,"188,971"
2018-12-09,28.2,28.5,27.8,28.5,27.9,"173,310"
2018-12-06,28.5,28.8,28.3,28.8,28.4,"214,989"
2018-12-05,28.9,29.5,28.4,29.4,28.7,"273,955"
2018-12-04,29.2,29.8,29,29.4,29.3,"294,210"
2018-12-03,29.5,30.3,29.2,30,29.3,"202,081"
2018-12-02,29.8,30.8,29.7,30.1,30,"533,302"
2018-11-29,30.1,31.5,30.1,31.1,30.3,"470,368"
2018-11-28,31.3,31.4,29.8,29.8,31,"1,590,022"
2018-11-27,29.5,29.7,28.9,28.9,29.7,"421,736"
2018-11-26,28.9,29.8,28.6,29.1,28.9,"442,545"
2018-11-25,29,29.1,28.5,28.7,29,"289,529"
2018-11-22,28.7,29.3,28.5,29,28.6,"217,494"
2018-11-20,29.4,29.6,28.5,28.9,29.3,"535,701"
2018-11-19,28.8,28.8,27.5,27.8,28.5,"311,242"
2018-11-18,27.4,27.8,27.2,27.7,27.5,"174,716"
2018-11-15,27,27.5,26.6,26.6,27,"88,993"
2018-11-14,26.5,27.1,25.9,25.9,26.6,"191,261"
2018-11-12,27.2,27.5,27.1,27.4,27.2,"187,186"
2018-11-11,27.3,27.6,27.3,27.5,27.4,"89,735"
2018-11-08,27.5,27.7,27,27.2,27.4,"49,584"
2018-11-07,27.6,27.7,27.1,27.2,27.2,"171,923"
2018-11-06,27.4,28.5,27.3,28.5,27.4,"147,821"
2018-11-05,28.3,29.4,28.2,28.2,28.5,"377,376"
2018-11-04,28,28,27.1,27.1,27.8,"148,165"
2018-11-01,27,27.3,26.8,27,27,"109,338"
2018-10-31,27.1,27.2,26.7,27.2,27,"66,420"
2018-10-30,27,27.7,26.6,27.3,27.1,"68,265"
2018-10-29,26.9,26.9,26.1,26.3,26.8,"97,977"
2018-10-28,26.5,26.8,26.1,26.6,26.5,"22,596"
2018-10-25,26.8,28,26.6,27,26.8,"282,695"
2018-10-24,26.1,27.3,25.7,27.3,26.7,"111,180"
2018-10-23,27.3,29,26.7,27.5,26.9,"186,091"
2018-10-22,27,27.2,26.5,27.2,27,"59,436"
2018-10-21,27.4,28.1,27,28.1,27.1,"135,573"
2018-10-18,27.9,28.5,27.7,28.5,28.1,"95,647"
2018-10-17,28.1,29.3,28.1,29.1,28.4,"199,938"
2018-10-16,29,29.4,29,29.4,29,"138,094"
2018-10-15,29.5,29.7,29.2,29.7,29.4,"36,584"
2018-10-14,29.4,29.6,29.3,29.6,29.3,"85,563"
2018-10-11,29.2,29.6,29.1,29.2,29.2,"91,944"
2018-10-10,29.2,29.8,29,29.6,29,"293,183"
2018-10-09,29.5,31.4,29.4,30.7,29.6,"718,453"
2018-10-08,30.8,31,28.6,28.6,30.7,"603,148"
2018-10-07,28.8,28.8,28.1,28.7,28.6,"164,482"
2018-10-04,28.3,28.5,28.2,28.2,28.3,"99,139"
2018-10-03,28.1,28.6,28,28.1,28.2,"99,042"
2018-10-02,28.1,28.4,28,28.4,28.1,"140,696"
2018-10-01,28.6,28.7,28.2,28.7,28.3,"103,545"
2018-09-30,28,28.5,27.4,28.2,28.1,"115,682"
2018-09-27,27.5,29,27.5,28.8,28.1,"110,311"
2018-09-26,28.6,29.2,28.6,28.8,28.7,"73,186"
2018-09-25,28.5,29.5,28.5,29.2,28.7,"171,258"
2018-09-24,29.1,29.4,29,29.2,29.2,"244,184"
2018-09-23,29,30.5,29,30.5,29.4,"529,378"
2018-09-20,29.8,31.3,29.8,30.8,30,"215,221"
2018-09-19,30.9,31.2,29.7,29.7,30.7,"441,527"
2018-09-18,29.6,30.4,29.6,30.1,29.6,"165,991"
2018-09-17,29.9,30.9,29.8,30.9,30,"145,297"
2018-09-16,30.7,31.2,30.6,31.2,30.6,"225,566"
2018-09-13,30.4,31.5,30.4,31.4,30.7,"580,431"
2018-09-12,31,31.5,31,31.3,31.1,"459,097"
2018-09-11,31.1,32.2,31,31.8,31.2,"587,751"
2018-09-10,31.8,31.9,31.3,31.8,31.7,"359,175"
2018-09-09,31.4,31.8,30.9,31.4,31.6,"501,460"
2018-09-06,31.1,31.5,30.9,30.9,31.3,"344,237"
2018-09-05,30.4,31.5,30.4,31.1,30.6,"444,200"
2018-09-04,31.2,31.4,30.7,31.4,30.8,"262,886"
2018-09-03,31.4,31.9,31.3,31.9,31.4,"132,470"
2018-08-30,31.8,32.3,31.5,32,31.6,"404,015"
2018-08-29,31.6,32.1,31.2,31.6,31.5,"255,350"
2018-08-28,31.4,32,31.2,32,31.3,"213,010"
2018-08-27,31.5,32.8,31.4,31.8,31.5,"485,757"
2018-08-26,31.7,32.6,31.1,31.9,31.7,"189,091"
2018-08-20,31.5,31.7,30.4,30.6,31.4,"155,903"
