DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,4.7,4.9,4.7,4.8,4.8,"433,481"
2019-06-26,4.9,4.9,4.8,4.9,4.8,"752,231"
2019-06-25,4.9,5.1,4.8,4.9,4.9,"619,923"
2019-06-24,5,5,4.6,4.6,4.9,"3,053,628"
2019-06-23,4.6,4.7,4.6,4.7,4.6,"591,306"
2019-06-20,4.7,4.8,4.7,4.8,4.7,"534,827"
2019-06-19,4.7,4.8,4.7,4.7,4.7,"958,000"
2019-06-18,4.7,4.8,4.7,4.8,4.8,"90,917"
2019-06-17,4.7,4.8,4.7,4.8,4.7,"370,959"
2019-06-16,4.7,4.9,4.7,4.8,4.7,"461,462"
2019-06-13,4.8,4.8,4.7,4.7,4.8,"313,093"
2019-06-12,4.7,4.9,4.7,4.7,4.8,"234,316"
2019-06-11,4.8,4.9,4.7,4.7,4.8,"172,325"
2019-06-10,4.9,4.9,4.6,4.6,4.8,"875,138"
2019-06-09,4.7,4.7,4.6,4.6,4.7,"40,072"
2019-05-30,4.6,4.7,4.6,4.6,4.6,"106,948"
2019-05-29,4.7,4.7,4.5,4.5,4.6,"51,100"
2019-05-28,4.5,4.7,4.5,4.6,4.5,"771,127"
2019-05-27,4.5,4.6,4.5,4.6,4.5,"685,025"
2019-05-26,4.6,4.7,4.6,4.6,4.6,"1,005,747"
2019-05-23,4.5,4.6,4.5,4.5,4.5,"515,203"
2019-05-22,4.5,4.5,4.5,4.5,4.5,"624,115"
2019-05-21,4.4,4.5,4.4,4.5,4.4,"732,636"
2019-05-20,4.4,4.6,4.4,4.5,4.5,"292,323"
2019-05-19,4.6,4.6,4.4,4.4,4.5,"648,377"
2019-05-16,4.5,4.5,4.4,4.4,4.4,"783,207"
2019-05-15,4.5,4.5,4.3,4.4,4.4,"1,362,200"
2019-05-14,4.5,4.5,4.4,4.4,4.4,"2,290,546"
2019-05-13,4.4,4.5,4.4,4.4,4.4,"424,383"
2019-05-12,4.5,4.5,4.4,4.5,4.4,"971,218"
2019-05-09,4.5,4.5,4.4,4.5,4.5,"832,793"
2019-05-08,4.5,4.5,4.5,4.5,4.5,"771,693"
2019-05-07,4.6,4.6,4.5,4.5,4.5,"1,204,312"
2019-05-06,4.5,4.6,4.5,4.6,4.5,"1,433,955"
2019-05-05,4.6,4.7,4.5,4.5,4.5,"1,225,141"
2019-05-02,4.5,4.6,4.4,4.5,4.5,"317,550"
2019-04-30,4.4,4.5,4.4,4.4,4.4,"736,001"
2019-04-29,4.4,4.5,4.4,4.5,4.4,"362,162"
2019-04-28,4.4,4.5,4.4,4.4,4.4,"390,268"
2019-04-25,4.5,4.5,4.4,4.5,4.4,"568,500"
2019-04-24,4.5,4.6,4.5,4.5,4.5,"1,017,453"
2019-04-23,4.5,4.5,4.5,4.5,4.5,"810,212"
2019-04-21,4.5,4.5,4.4,4.5,4.5,"60,182"
2019-04-18,4.5,4.6,4.4,4.5,4.5,"85,062"
2019-04-17,4.6,4.6,4.4,4.4,4.5,"433,265"
2019-04-16,4.4,4.5,4.4,4.4,4.4,"66,349"
2019-04-15,4.5,4.5,4.5,4.5,4.5,"19,667"
2019-04-11,4.4,4.4,4.3,4.4,4.4,"100,583"
2019-04-10,4.4,4.4,4.3,4.4,4.4,"622,000"
2019-04-09,4.4,4.4,4.4,4.4,4.4,"457,022"
2019-04-08,4.4,4.5,4.4,4.4,4.4,"278,368"
2019-04-07,4.5,4.5,4.5,4.5,4.5,500
2019-04-04,4.4,4.5,4.4,4.5,4.5,"43,666"
2019-04-03,4.4,4.5,4.4,4.5,4.5,"107,098"
2019-04-02,4.5,4.5,4.4,4.4,4.5,"140,511"
2019-04-01,4.5,4.5,4.4,4.4,4.4,"69,981"
2019-03-31,4.4,4.5,4.4,4.5,4.5,"363,958"
2019-03-28,4.6,4.6,4.5,4.5,4.5,"240,212"
2019-03-27,4.5,4.5,4.4,4.5,4.5,"347,996"
2019-03-25,4.5,4.5,4.4,4.5,4.5,"152,522"
2019-03-24,4.4,4.5,4.4,4.5,4.4,"342,661"
2019-03-21,4.5,4.6,4.5,4.6,4.5,"102,213"
2019-03-20,4.5,4.6,4.5,4.5,4.5,"37,165"
2019-03-19,4.5,4.6,4.5,4.5,4.6,"9,518"
2019-03-18,4.5,4.6,4.5,4.6,4.5,"277,164"
2019-03-14,4.6,4.6,4.6,4.6,4.6,"172,171"
2019-03-13,4.6,4.7,4.6,4.6,4.6,"922,484"
2019-03-12,4.5,4.6,4.5,4.6,4.6,"947,694"
2019-03-11,4.6,4.7,4.6,4.7,4.7,"272,035"
2019-03-10,4.6,4.7,4.6,4.7,4.7,"696,158"
