DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,267.6,270,266.4,266.5,268.9,"16,696"
2019-06-26,270,270.5,263.7,263.7,269.8,"15,033"
2019-06-25,267.2,270,265,265,267.7,"8,326"
2019-06-24,269.7,269.7,262,262,265.6,"8,140"
2019-06-23,271,272.2,265,272.2,269.9,"9,608"
2019-06-20,271.4,273,271,272.4,272.2,"13,655"
2019-06-19,272,274,270.3,274,272.4,"12,563"
2019-06-18,276,278.5,270,278.5,274.7,"12,984"
2019-06-17,275,277,266.1,266.1,275.9,"40,874"
2019-06-16,266.5,266.9,262,262,265.5,"24,480"
2019-06-13,263,263.9,260.1,260.3,262.6,"13,000"
2019-06-12,262.5,264.9,260.8,263,261.6,"19,845"
2019-06-11,263.5,265,254.1,254.9,263.7,"27,341"
2019-06-10,254,255,253,254.9,254.9,"7,438"
2019-06-09,253,253.1,250.5,250.5,253,"5,002"
2019-05-30,250.9,250.9,246.5,248,250.5,"10,040"
2019-05-29,247.4,247.5,245,247,246,"8,371"
2019-05-28,248.2,248.2,243.4,245,247.5,"3,807"
2019-05-27,242.1,247,240.2,240.2,243.3,"7,895"
2019-05-26,241,250.6,240,248,240.9,"13,749"
2019-05-23,248.4,253.3,248.3,253.3,248.6,"9,537"
2019-05-22,251.3,254.5,251,253.1,251.6,"6,609"
2019-05-21,253,257,251.5,254.2,253.4,"3,189"
2019-05-20,255,260,254,256,255.1,"4,036"
2019-05-19,256,257,253.3,254,255,"15,668"
2019-05-16,253,254,251.5,253.1,253.2,"3,285"
2019-05-15,252.2,257,251.3,257,252.6,"8,823"
2019-05-14,254.1,258,253.2,256.2,254.1,"6,024"
2019-05-13,257,258.5,255.1,258.5,256.1,"8,559"
2019-05-12,256.1,258.3,255.2,256.3,256.5,"10,592"
2019-05-09,257.1,259.7,255,257,256.2,"9,505"
2019-05-08,257.6,260.1,257.5,260.1,257.6,"12,481"
2019-05-07,261,261.9,258,261,260.1,"13,907"
2019-05-06,261.9,264,259.1,262.8,260.6,"14,563"
2019-05-05,263.5,271,260.4,264.8,262.8,"33,302"
2019-05-02,267,267,248.2,255,266,"17,945"
2019-04-30,249,263.5,242,258.4,245.6,"48,795"
2019-04-29,258,274,256.4,274,258.2,"49,066"
2019-04-28,277.5,294.1,277.5,294.1,277.5,"50,739"
2019-04-25,304.5,308.9,299.8,300,304.1,"12,811"
2019-04-24,295,308,290,308,299.4,"22,382"
2019-04-23,307.6,312,307,311,307.2,"15,126"
2019-04-21,312.5,314.6,310.2,313,311.8,"16,631"
2019-04-18,310.6,314.3,309.5,309.5,312.8,"11,858"
2019-04-17,309.8,313.5,308.1,313.5,309.5,"17,057"
2019-04-16,310,312.6,308.7,312.6,309.9,"33,005"
2019-04-15,312.6,318,312.5,315,312.6,"12,568"
