DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,148,150.5,148,148.9,148.8,"11,024"
2019-06-26,148.3,150,148.3,148.4,148.9,"4,330"
2019-06-25,148.8,149,146.9,148.9,148.3,"2,107"
2019-06-24,148,150,146.3,146.3,147.7,"3,063"
2019-06-23,147,149.1,146.2,149.1,147.3,"7,551"
2019-06-20,150,152.5,149,149.1,150.1,"3,375"
2019-06-19,153,154,150.7,154,151.5,"4,014"
2019-06-18,154,154.8,152.2,153.1,153.4,"8,229"
2019-06-17,155,155,149.8,150,154.6,"29,708"
2019-06-16,150.9,151,146,146.7,149.7,"15,778"
2019-06-13,146.5,147,145.2,146.5,146.6,"4,038"
2019-06-12,146.8,148.3,145.6,146.8,146.5,"6,463"
2019-06-11,148,148,146,146,147.7,"7,871"
2019-06-10,143.6,145,143.1,143.9,143.9,"6,841"
2019-06-09,142.8,143.9,141.7,141.7,142.7,938
2019-05-30,143.4,144,141.3,144,141.7,"11,196"
2019-05-29,142.5,143.3,141.3,141.3,142.8,"2,186"
2019-05-28,143.9,144.9,140.5,144.9,141,"10,013"
2019-05-27,142.5,143,142.5,143,142.8,"6,235"
2019-05-26,143,144.1,142.5,144.1,142.6,"1,220"
2019-05-23,144,145.5,144,144.4,144,"3,996"
2019-05-22,144.7,145.1,144.7,145,144.8,"2,780"
2019-05-21,144.9,146.5,144.2,146.5,144.7,"4,235"
2019-05-20,146.6,148.9,146.5,148.9,146.6,"4,214"
2019-05-19,146.6,148.2,145.5,145.5,146.7,"2,123"
2019-05-16,147,147.9,145.5,147,146.6,"6,054"
2019-05-15,147,147.4,146.6,146.8,147.2,"8,418"
2019-05-14,147,148,146.5,146.5,148,"11,166"
2019-05-13,147.2,152,147,148,147.2,"15,514"
2019-05-12,146.7,148,146.7,146.9,147,"2,913"
2019-05-09,148,150,147,147.1,149.3,"9,827"
2019-05-08,147.2,149.6,147,149.1,149.2,"4,528"
