DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,74,74,73,73.1,73.5,"147,843"
2019-06-26,73.1,73.5,72.7,72.7,73.2,"87,369"
2019-06-25,72.6,73.3,72.6,72.6,72.8,"73,664"
2019-06-24,73,73,72,72,72.9,"92,727"
2019-06-23,73,73.1,72.6,72.7,72.9,"135,318"
2019-06-20,73,73.2,72.5,72.5,73,"97,274"
2019-06-19,72.9,73.3,71.6,73,72.5,"120,658"
2019-06-18,72.8,73,72.5,72.5,72.9,"55,205"
2019-06-17,72.7,73,72.2,73,72.8,"164,546"
2019-06-16,72.9,73.8,72.8,72.9,73,"169,601"
2019-06-13,72.9,73,71.6,73,72.9,"270,460"
2019-06-12,72.9,73.2,72.1,72.3,72.8,"244,674"
2019-06-11,72,72.4,71.7,71.8,71.9,"169,915"
2019-06-10,71.5,72.2,71.5,71.8,71.6,"149,123"
2019-06-09,71.2,71.9,71.2,71.6,71.5,"128,230"
2019-05-30,71.6,71.6,70.3,70.7,71.3,"72,180"
2019-05-29,70.2,72,70,72,70.4,"328,407"
2019-05-28,72.4,73,70.2,70.2,72.2,"248,051"
2019-05-27,70.5,70.6,69,69.8,70,"683,428"
2019-05-26,69.9,70.2,69.8,70.2,69.9,"90,263"
2019-05-23,70.5,71.4,70.4,71,70.6,"127,918"
2019-05-22,70.8,71.6,70.6,71.6,71,"63,210"
2019-05-21,71,71.7,70.3,70.3,71.1,"49,546"
2019-05-20,70.7,71.9,70.7,71.9,70.9,"85,382"
2019-05-19,72.4,74,70.3,70.3,71.8,"278,357"
2019-05-16,70,71,69.9,70.9,70,"152,289"
2019-05-15,70,72.4,69.4,72.3,70,"599,243"
2019-05-14,72.5,74,72,74,72.4,"99,003"
2019-05-13,73.8,74.9,73.7,74.3,74.1,"72,610"
2019-05-12,74.1,76.6,74,76,74.2,"95,193"
2019-05-09,75.5,76.8,75.1,76.8,75.4,"88,197"
2019-05-08,76.2,77.2,76,77.2,76,"75,558"
2019-05-07,77.3,78.5,76.9,78.3,77.1,"30,414"
2019-05-06,77.5,79.7,77.5,78.7,77.7,"190,502"
2019-05-05,78.7,79,77.9,79,78.7,"180,882"
2019-05-02,78.3,79.5,77.1,77.2,78.1,"127,423"
2019-04-30,76.6,79.2,76.6,78.3,77.2,"49,874"
2019-04-29,78.1,79.8,78,79.5,78.6,"19,554"
2019-04-28,79.7,80,79.6,80,79.7,"64,318"
2019-04-25,79.6,80.2,79.2,80.2,80,"12,724"
2019-04-24,80.1,80.6,79.3,80.6,80.2,"43,947"
2019-04-23,79.1,80,79.1,80,79.2,"19,366"
2019-04-21,80.3,80.3,79.8,80.2,79.9,"9,708"
2019-04-18,80.4,80.8,79.1,79.1,79.7,"10,477"
2019-04-17,79.1,80.2,78.9,80.2,79.1,"14,831"
2019-04-16,79,80,79,79.5,79.4,"31,556"
2019-04-15,80.1,80.7,79.6,79.6,80.2,"14,690"
2019-04-11,80.3,80.4,79.8,80.3,80.2,"22,356"
2019-04-10,79.4,80.9,79.3,80.9,79.4,"13,704"
2019-04-09,79.4,81.6,79.2,81.6,79.7,"23,617"
2019-04-08,80.2,80.6,79,79.3,80.1,"30,933"
2019-04-07,78.6,80.9,78.4,80.9,79.6,"56,418"
2019-04-04,81,81,80,80.1,80.3,"23,007"
2019-04-03,80,80.9,80,80.5,80.1,"33,540"
2019-04-02,80.1,80.9,80.1,80.5,80.3,"35,319"
2019-04-01,80.1,81,80,80.4,80.4,"39,916"
2019-03-31,80.1,82,80.1,81.8,80.3,"58,937"
2019-03-28,81.2,81.5,80.7,81,81.3,"66,384"
2019-03-27,81.1,81.2,80.1,81,81,"75,777"
2019-03-25,80.5,81.7,80.5,81.6,80.8,"81,058"
2019-03-24,80.5,81.4,79.5,80.6,80.8,"109,324"
2019-03-21,80.8,83,80,83,80.7,"47,691"
2019-03-20,81.9,83.9,81.9,83.9,82.1,"44,073"
2019-03-19,83.2,87.1,83,85,83.4,"136,970"
2019-03-18,86.5,87,85.5,86.6,86.8,"14,130"
2019-03-14,87,87,85.9,86.1,86.4,"47,004"
2019-03-13,86,90.5,86,90,86.1,"202,007"
2019-03-12,90.1,91.2,89.6,91,90.1,"104,420"
2019-03-11,91.8,93,90.6,92.2,90.9,"41,309"
2019-03-10,91,91.6,90.9,91.6,91,"22,433"
2019-03-07,92,93,91,91,91.6,"16,067"
2019-03-06,92.7,92.7,90.5,91.1,91.5,"27,886"
2019-03-05,92.4,93,90.1,91,91.8,"41,603"
2019-03-04,91.1,92,91.1,92,91.4,"18,419"
2019-03-03,92.2,92.4,91.9,92.4,92,"32,745"
2019-02-27,92.1,93.4,92,92.3,92.4,"92,316"
2019-02-26,92.3,93.5,92,92,92.8,"192,788"
2019-02-25,91.9,93.8,91.8,93,92,"283,812"
2019-02-24,93.4,93.9,92.6,93.1,93.4,"203,365"
2019-02-20,94,94.7,93,93.7,93.3,"199,963"
2019-02-19,94,94.5,93.4,94,94.3,"25,781"
2019-02-18,93.8,95.7,93.3,93.6,95.2,"161,937"
2019-02-17,94.6,94.9,93.3,94.1,94,"43,374"
2019-02-14,95,96,93.4,95.3,94.2,"246,125"
2019-02-13,95.8,96.4,94.1,95.8,95.3,"166,043"
2019-02-12,95.8,96,94.2,96,95.7,"145,245"
2019-02-11,96.5,97.4,94.5,95.4,95.5,"276,575"
2019-02-10,95.7,97.5,94.1,94.1,95.4,"420,697"
2019-02-07,95,95,92.7,93.4,94.4,"297,035"
2019-02-06,93.7,94.9,92.7,94.9,93.4,"164,895"
2019-02-05,94.2,94.2,91.5,91.7,93.9,"332,916"
2019-02-04,91.9,92.9,90.4,91.4,91.7,"72,817"
2019-02-03,91.4,91.4,89.9,90,91.3,"97,081"
2019-01-31,90.1,92,89.1,90.4,90.8,"63,406"
2019-01-30,90.3,91,90,90.5,90.4,"61,571"
2019-01-29,90.1,91.8,90,90.5,90.5,"51,680"
2019-01-28,90.9,92.4,90.2,91.8,91.8,"83,040"
2019-01-27,90.3,92.4,90.2,91.1,90.4,"38,772"
2019-01-24,91.3,94.9,91.1,91.9,91.4,"55,574"
2019-01-23,90.2,92.3,89.5,89.5,90.9,"85,778"
2019-01-22,90,91,88.5,89.5,89.4,"133,736"
2019-01-21,89.7,90,88.8,89.9,89.1,"35,410"
2019-01-20,90,90.8,89,90,89.9,"45,702"
2019-01-17,90,92,90,91,90.1,"64,377"
2019-01-16,91,92.5,90.8,92.3,91,"64,410"
2019-01-15,93.2,93.7,91,93.7,92.8,"69,901"
2019-01-14,92.5,94.9,92.5,93.5,92.7,"60,501"
2019-01-13,95,95.7,94,94.1,94.7,"298,088"
2019-01-10,94.6,94.7,91.5,92.5,94.1,"280,836"
2019-01-09,92.3,92.7,90.2,91,92.3,"181,843"
2019-01-08,90.8,91.3,88.2,88.5,90.1,"204,118"
2019-01-07,87.9,90,86.8,89,87.9,"65,925"
2019-01-06,90.5,91.7,84.3,85.8,89.2,"164,023"
2019-01-03,85.2,85.4,84,84.9,85.1,"54,614"
2019-01-02,84,85,83.1,84,84.1,"130,070"
2019-01-01,84.5,87.8,84.3,87.8,84.5,"119,233"
2018-12-27,86.4,88,82.7,83,85.9,"303,417"
2018-12-26,83.4,84,81.5,81.6,83.8,"219,511"
2018-12-24,82,82.1,80.8,81.1,81.8,"69,218"
2018-12-23,81.5,81.5,79.9,80.7,81.1,"74,139"
2018-12-20,80.5,81.6,80,81.1,80.1,"31,834"
2018-12-19,81,81.2,80,81,81,"53,573"
2018-12-18,80.2,80.5,78.9,78.9,80,"39,637"
2018-12-17,79.6,79.7,78.3,78.6,79.5,"37,132"
2018-12-13,78.7,79.5,78.6,79.3,78.6,"65,316"
2018-12-12,79.2,79.7,79.1,79.5,79.2,"29,221"
2018-12-11,79.8,80,79.4,80,79.5,"62,140"
2018-12-10,79.9,80.1,79.7,80,79.8,"38,462"
2018-12-09,79.7,80.4,79.6,80,79.7,"51,247"
2018-12-06,80,80.8,80,80.7,80.1,"47,813"
2018-12-05,80.5,80.8,80.3,80.5,80.5,"34,296"
2018-12-04,80,81,79.9,81,80,"235,540"
2018-12-03,81.2,81.4,80,80.5,81.2,"58,481"
2018-12-02,80.5,80.8,80,80.3,80.6,"32,192"
2018-11-29,79.9,82.2,79.9,80.9,80.1,"300,981"
2018-11-28,80.9,81.4,80.8,81,80.9,"24,348"
2018-11-27,81.4,81.5,80.6,80.9,81.1,"37,040"
2018-11-26,80.9,80.9,80,80,80.6,"40,679"
2018-11-25,80.4,81,79.9,81,80,"30,698"
2018-11-22,80.3,81.3,80.1,80.5,80.3,"32,884"
2018-11-20,81.1,81.9,79.8,80,81.3,"36,013"
2018-11-19,80.5,80.9,80,80.5,80.1,"66,391"
2018-11-18,80.1,81.8,80,81.8,80.5,"35,128"
2018-11-15,81,81.6,79.7,80,80.8,"18,103"
2018-11-14,79.9,82.1,79.8,82.1,79.9,"113,180"
2018-11-13,82,82.6,81.1,81.9,82,"24,339"
2018-11-12,81.9,82,81.3,82,81.8,"47,688"
2018-11-11,81.2,82.2,81.1,82.1,81.3,"58,093"
2018-11-08,81.3,82.8,81.1,82.3,81.7,"83,605"
2018-11-07,82.5,83,81,81.2,82.7,"43,447"
2018-11-06,81,83,80.9,83,81,"104,572"
2018-11-05,81.7,86,81.7,85.9,82,"179,011"
2018-11-04,86.2,87,86,87,86.2,"32,053"
2018-11-01,88.2,88.2,86,86.9,87.5,"113,906"
2018-10-30,90.9,91.1,88.2,89.3,90.4,"151,374"
2018-10-29,88.9,88.9,87.7,88.2,88.4,"39,823"
2018-10-28,88,89.9,86.9,87,88,"32,355"
2018-10-25,86.6,87.4,86.5,87,86.8,"49,102"
2018-10-24,87.4,88,86.5,88,87.1,"33,143"
2018-10-23,87.3,88.9,87.2,88,88,"65,480"
2018-10-22,88,89,88,88.3,88,"50,248"
2018-10-21,88,89.6,88,89.5,88.3,"65,699"
2018-10-18,89.1,90.4,88.7,88.7,89,"34,816"
2018-10-17,89,90.4,83.9,88.6,89.4,"18,258"
2018-10-16,89.9,90.3,89,89.9,89.9,"48,498"
2018-10-15,89.8,90.8,88.8,90,89,"42,788"
2018-10-14,90.8,91,89.3,89.3,90.6,"51,379"
2018-10-11,89.2,90,88.7,89.2,89.2,"46,767"
2018-10-10,89,90,89,90,89.2,"43,927"
2018-10-09,89.1,91.2,88.3,88.3,89.2,"142,902"
2018-10-08,88.4,90.5,88.1,89,88.2,"173,567"
2018-10-07,88.6,90,88.5,90,88.8,"71,761"
2018-10-04,90,90.5,89.9,90.5,90.1,"56,704"
2018-10-03,90.5,91,89.3,89.9,89.7,"155,374"
2018-10-02,89.5,89.9,89,89.5,89.2,"29,815"
2018-10-01,89.1,90,89,89.9,89.2,"26,676"
2018-09-30,88.5,89.4,88.4,89.1,88.7,"30,083"
2018-09-27,88.5,90.3,88.5,90.3,89.1,"95,269"
2018-09-26,90.3,91.5,90.2,91.5,90.3,"52,894"
2018-09-25,90.1,91.9,90,90.2,91,"69,724"
2018-09-24,91,91.3,90.5,90.8,90.6,"145,208"
2018-09-23,91.2,92,91,91.2,91.1,"40,915"
2018-09-20,92,92.4,91.2,91.8,92.1,"61,827"
2018-09-19,91.5,91.8,90.5,90.6,91.2,"54,452"
2018-09-18,91.4,91.4,90.6,90.6,90.9,"38,671"
2018-09-17,91.4,91.4,90.5,90.5,90.9,"58,633"
2018-09-16,91,91.9,90.7,91.9,90.9,"70,022"
2018-09-13,91,92.4,90.9,91.5,91.3,"122,206"
2018-09-12,90.5,92.8,90.2,92.3,91.1,"288,995"
2018-09-11,92.2,93.5,91.5,92.6,92.2,"148,259"
2018-09-10,92.3,93.6,92,92.2,92.2,"152,419"
2018-09-09,92,95,91.8,93.3,92.2,"559,658"
2018-09-06,93.3,93.4,92.7,93.4,93.3,"109,924"
2018-09-05,92.5,94.1,92.3,93.9,92.6,"277,304"
2018-09-04,93,95.2,92.5,92.5,93.2,"375,921"
2018-09-03,92.6,92.7,91,91,92.5,"123,694"
2018-08-30,90.8,92.2,90.6,91.7,90.9,"65,160"
2018-08-29,91.5,92.8,91.4,92.8,91.6,"50,360"
2018-08-28,92.8,93.2,92.3,93.2,92.8,"183,884"
2018-08-27,93,93.5,91.7,92,92.9,"273,028"
2018-08-26,91.8,91.9,89,89.1,91.6,"168,094"
2018-08-20,88.8,89.2,88.2,88.6,88.6,"104,100"
2018-08-19,88.5,91.3,88.1,90.8,88.6,"159,400"
2018-08-16,90.5,91.6,90.5,90.5,90.8,"55,155"
2018-08-14,90.3,91,88.5,88.8,90.3,"40,083"
2018-08-13,88.8,90,88.6,89.1,88.8,"60,992"
2018-08-12,89,91.7,88.9,91.7,89.1,"121,202"
2018-08-09,91.6,93.5,90,93.5,90.5,"391,082"
2018-08-08,91.3,92.5,91,92.5,91.4,"177,873"
2018-08-07,92.2,93.2,92.2,92.4,92.3,"42,310"
2018-08-06,92.2,93,92.1,92.9,92.3,"128,195"
2018-08-05,93,93.5,92.5,93.3,92.7,"85,919"
2018-08-02,93.4,94,92.7,94,93,"137,093"
2018-08-01,93.8,93.8,92.9,93,93.2,"58,412"
2018-07-31,93.5,93.7,92.5,93,92.9,"76,617"
2018-07-30,92.3,93.5,92.2,93.3,92.4,"154,714"
2018-07-29,93.9,95,93.3,94.2,93.5,"87,209"
2018-07-26,94.5,95,94,94.8,94.6,"76,640"
2018-07-25,94.9,95,93.5,94.7,93.8,"110,293"
2018-07-24,94,95.3,94,95.3,94.1,"103,567"
2018-07-23,95.9,98,95.1,97,95.6,"122,830"
2018-07-22,96.8,97,94.9,95,96.7,"230,215"
2018-07-19,94.1,95,93.3,93.3,94,"167,419"
2018-07-18,93,94.5,92.1,94,92.7,"231,448"
2018-07-17,93.1,94.5,93,93,93.3,"89,298"
2018-07-16,92.6,94.5,92.5,94,93.1,"170,139"
2018-07-15,94,95.3,93.4,95.2,93.8,"323,281"
2018-07-12,95,95.1,94,95,94.4,"94,084"
2018-07-11,95.5,97.4,94.5,97,95,"226,091"
2018-07-10,96.3,97,94,94,96.8,"1,155,653"
2018-07-09,94,94.7,93.7,94.1,93.9,"355,649"
2018-07-08,94,95.9,93.9,95,94.1,"272,325"
2018-07-05,94,95.9,93.9,95.9,94,"438,691"
2018-07-04,95,96.2,94.6,95.2,94.9,"79,389"
