DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,27.2,27.7,27.2,27.7,27.4,"514,471"
2019-06-26,27.5,27.7,27.4,27.7,27.6,"343,792"
2019-06-25,27.6,27.6,27.2,27.3,27.5,"238,041"
2019-06-24,27.3,27.4,27.1,27.3,27.2,"469,935"
2019-06-23,27.2,27.5,27.2,27.5,27.3,"288,171"
2019-06-20,27.5,27.7,27.3,27.7,27.4,"301,302"
2019-06-19,27.5,27.9,27.3,27.8,27.5,"788,048"
2019-06-18,27.5,27.9,27.5,27.6,27.6,"534,701"
2019-06-17,27.8,27.9,27.4,27.7,27.6,"650,099"
2019-06-16,27.6,28.7,27.5,28.3,27.7,"838,530"
2019-06-13,28.4,28.5,28.2,28.3,28.3,"832,623"
2019-06-12,28.5,28.6,28.2,28.6,28.4,"863,649"
2019-06-11,28.8,29,27.8,28,28.7,"1,654,789"
2019-06-10,27.9,28.1,27.6,27.6,27.9,"655,247"
2019-06-09,27.7,27.8,27.3,27.6,27.5,"289,633"
2019-05-30,27.4,27.6,27.3,27.6,27.4,"536,071"
2019-05-29,27.6,27.7,27.3,27.4,27.6,"361,757"
2019-05-28,27.3,27.5,27.1,27.2,27.2,"644,776"
2019-05-27,27.2,27.6,27,27.6,27.1,"522,316"
2019-05-26,27.3,28,27.2,28,27.3,"498,971"
2019-05-23,27.5,28.2,27.5,28.2,27.6,"469,748"
2019-05-22,28,28.2,27.4,27.6,28,"683,169"
2019-05-21,27.3,28,27.1,27.7,27.3,"793,822"
2019-05-20,27.8,28,27.6,28,27.6,"462,522"
2019-05-19,27.9,28.4,27.7,27.8,28.2,"1,262,980"
2019-05-16,27.7,27.7,27.2,27.3,27.5,"310,081"
2019-05-15,27,27.4,26.9,27.4,27,"447,735"
2019-05-14,27.2,27.6,27,27.4,27,"487,464"
2019-05-13,27.4,28.1,27.4,28,27.5,"482,807"
2019-05-12,28,28.2,27.7,27.9,27.9,"609,089"
2019-05-09,27.9,28,27.4,27.9,27.8,"924,951"
2019-05-08,27.6,28.2,27.2,28,27.5,"838,118"
2019-05-07,28,29,27.9,28.8,28.1,"1,565,092"
2019-05-06,28.4,29,28.3,28.9,28.4,"1,438,486"
2019-05-05,29,29.3,28.6,29.2,28.9,"3,535,932"
2019-05-02,29,29,27.2,27.2,28.8,"3,125,265"
2019-04-30,27.2,27.3,26.7,26.9,27.1,"1,509,911"
2019-04-29,26.6,27.3,26.4,27.2,26.5,"1,019,146"
2019-04-28,27,27.7,27,27.7,27.2,"735,930"
2019-04-25,27.8,27.9,26.7,26.9,27.6,"2,526,803"
2019-04-24,26.6,26.8,25.8,26.2,26.7,"641,531"
2019-04-23,26.4,26.5,25.8,26.5,26.1,"568,589"
2019-04-21,26.6,27.2,26.6,27,26.7,"767,766"
2019-04-18,26.9,27,24.6,24.7,26.9,"1,580,156"
2019-04-17,25,25.1,23.7,24,24.7,"876,653"
2019-04-16,23.9,24.3,23.8,24.3,23.9,"410,587"
2019-04-15,24.2,24.9,24.1,24.8,24.2,"314,283"
2019-04-11,24.7,24.8,24,24,24.5,"604,695"
2019-04-10,23.8,24.7,23.7,24.6,23.9,"428,566"
2019-04-09,24.5,25.2,24.2,25.2,24.6,"512,413"
2019-04-08,25.1,25.7,25,25.6,25.1,"392,635"
2019-04-07,25.6,26,25.6,26,25.7,"180,615"
2019-04-04,26.1,26.4,25.6,26,25.9,"472,664"
2019-04-03,25.9,26.6,25.9,26.5,26,"463,466"
2019-04-02,26.5,26.5,26.2,26.3,26.4,"183,408"
2019-04-01,26.1,26.5,26.1,26.5,26.2,"250,123"
2019-03-31,26.1,26.6,26.1,26.6,26.4,"457,391"
2019-03-28,26.5,26.6,26.3,26.4,26.5,"318,390"
2019-03-27,26.4,26.7,26.2,26.6,26.4,"228,421"
2019-03-25,26.6,26.6,26.1,26.3,26.5,"613,396"
2019-03-24,26.4,26.4,26,26.1,26.2,"429,408"
2019-03-21,26.2,26.6,26,26.6,26.1,"333,144"
2019-03-20,26.5,26.9,26.5,26.7,26.5,"359,259"
2019-03-19,26.9,26.9,25.9,26.1,26.7,"496,404"
2019-03-18,26,26.5,25.5,26.5,25.8,"533,140"
2019-03-14,26.4,27.3,26,27.3,26.3,"601,528"
2019-03-13,27.4,27.6,27,27.5,27.2,"606,575"
2019-03-12,27.3,27.7,27.3,27.7,27.4,"481,151"
2019-03-11,27.8,28,27.7,28,27.7,"524,192"
2019-03-10,28,28.3,27.8,27.9,27.9,"480,212"
2019-03-07,27.8,28.1,27.4,27.8,27.9,"925,503"
2019-03-06,27.7,28,27.6,27.9,27.6,"746,359"
2019-03-05,27.8,28.1,27.7,28.1,27.8,"519,500"
2019-03-04,27.8,28.4,27.7,28.1,27.9,"1,075,082"
2019-03-03,28.2,28.4,27.8,28,28.1,"1,321,267"
2019-02-27,27.9,28.3,27.9,28.1,28,"868,523"
2019-02-26,28.1,28.4,28,28.2,28.1,"474,548"
2019-02-25,28,28.3,28,28.2,28.1,"566,451"
2019-02-24,28.2,28.4,28.1,28.4,28.2,"731,519"
2019-02-20,28.5,28.8,28.4,28.4,28.4,"546,096"
2019-02-19,28.5,28.9,28.4,28.5,28.5,"742,794"
2019-02-18,28.6,29.1,28.4,28.7,28.5,"898,684"
