DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,31.1,31.8,30.8,31.3,30.9,"108,475"
2019-06-26,30.9,30.9,30.7,30.7,30.8,"41,861"
2019-06-25,30.6,31,30.5,30.9,30.6,"72,730"
2019-06-24,30.3,30.9,30.3,30.9,30.4,"68,659"
2019-06-23,30.6,31.4,30.6,31.4,30.8,"49,570"
2019-06-20,31.1,31.5,31,31.4,31.1,"93,669"
2019-06-19,31.6,31.9,31.4,31.4,31.6,"145,716"
2019-06-18,31.3,31.5,31,31.2,31.1,"99,875"
2019-06-17,31.1,32.4,31,31.3,31,"105,974"
2019-06-16,31.1,32.6,31.1,32.1,31.2,"392,134"
2019-06-13,32.2,32.2,31.5,31.9,32,"140,404"
2019-06-12,31.7,32.1,31,32.1,31.8,"111,452"
2019-06-11,32,32.2,31.6,31.6,32.1,"216,806"
2019-06-10,31.5,31.7,30.7,30.9,31.5,"147,974"
2019-06-09,31,32.1,30.7,31,30.8,"77,585"
2019-05-30,30.6,30.8,30.4,30.6,30.5,"57,912"
2019-05-29,30.5,31.2,30.4,31.2,30.5,"61,943"
2019-05-28,31.4,31.4,30.3,30.8,31,"47,323"
2019-05-27,29.9,30.4,29.9,30.3,30,"173,680"
2019-05-26,30.4,30.9,30.3,30.9,30.4,"93,547"
2019-05-23,30.8,31.1,30.7,30.7,30.9,"40,985"
2019-05-22,30.7,31.4,30.4,30.5,30.9,"83,666"
2019-05-21,30.4,30.8,30.4,30.8,30.5,"30,133"
2019-05-20,30.8,31.2,30.6,31.2,30.7,"32,337"
2019-05-19,31.1,31.4,30.7,30.8,31.2,"147,195"
2019-05-16,30.4,30.7,30.2,30.2,30.5,"101,249"
2019-05-15,30,30.5,30,30.4,30.1,"39,065"
2019-05-14,30.4,30.7,30.1,30.7,30.4,"61,754"
2019-05-13,30.5,31.4,30.4,30.8,30.5,"97,487"
2019-05-12,31.1,31.9,30.5,31.6,30.7,"197,624"
2019-05-09,31.3,31.8,31.1,31.2,31.6,"130,979"
2019-05-08,31.4,31.4,30.4,31.4,31,"128,006"
2019-05-07,31.5,32.2,31,32,31.4,"149,835"
2019-05-06,32.2,32.6,31.6,32.4,32.1,"175,718"
2019-05-05,32.4,32.7,31.3,31.8,32.4,"388,385"
2019-05-02,31.8,31.9,30.5,30.6,31.5,"337,490"
2019-04-30,30.6,30.6,29.4,29.5,30.2,"165,672"
2019-04-29,29.3,30.6,29.2,30.5,29.4,"154,173"
2019-04-28,30.7,31,30,31,30.5,"212,978"
2019-04-25,30.7,30.8,28.8,28.8,30.5,"322,649"
2019-04-24,28.6,28.6,27.1,27.6,28.4,"70,534"
2019-04-23,27.5,28.5,27.3,28,27.4,"72,277"
2019-04-21,28.9,29.4,28.7,29.3,28.8,"68,392"
2019-04-18,28.9,29,27.2,27.3,28.8,"196,721"
2019-04-17,27.5,27.5,27,27,27.1,"53,240"
2019-04-16,27,27.3,26.8,26.9,27,"40,216"
2019-04-15,27.5,27.8,26.9,27.7,27.3,"55,855"
2019-04-11,27.3,27.9,26.7,27.8,27.1,"113,920"
2019-04-10,26.1,28.8,26.1,28.2,27,"155,361"
2019-04-09,28.2,29.2,27.6,29.2,27.8,"64,206"
2019-04-08,27.8,29.3,27.8,29.3,28.1,"125,190"
2019-04-07,29.3,29.5,29.3,29.4,29.3,"25,648"
2019-04-04,29.3,29.7,29.3,29.3,29.5,"22,580"
2019-04-03,28.9,29.9,28.9,29.8,29.4,"148,408"
2019-04-02,29.9,30.5,29.5,30.2,29.7,"20,520"
2019-04-01,29.8,30.6,29.5,30.6,29.7,"13,763"
2019-03-31,29.4,30,29.4,29.7,29.5,"37,548"
2019-03-28,30.1,30.1,29.8,29.9,29.9,"13,737"
2019-03-27,30.1,30.5,29.4,30,29.9,"20,800"
2019-03-25,30,30.1,29.5,29.6,30,"36,952"
2019-03-24,29.3,30,29.1,30,29.3,"108,002"
2019-03-21,30,30.5,29.8,30.2,30.1,"53,800"
2019-03-20,30.6,31.1,30.2,30.3,30.4,"76,904"
2019-03-19,30.5,30.5,28.8,30.2,30.1,"148,934"
2019-03-18,29.2,30.3,29,30.3,29.4,"149,050"
2019-03-14,29.8,30.6,29.8,30.6,30.1,"118,709"
2019-03-13,29.8,31.7,29.8,31.4,30.4,"319,402"
2019-03-12,31.5,32,31.3,32,31.4,"53,095"
2019-03-11,32,32.2,32,32.1,32,"36,664"
2019-03-10,32.1,32.4,32,32.1,32.1,"48,548"
2019-03-07,31.8,32.2,31.2,32.2,31.7,"81,597"
2019-03-06,31.9,32.6,31.5,32.3,31.7,"71,014"
2019-03-05,32.2,32.4,32.1,32.3,32.2,"91,217"
2019-03-04,32.8,32.9,32.4,32.9,32.5,"14,128"
2019-03-03,32.4,32.9,32.4,32.4,32.6,"111,754"
2019-02-27,32.8,32.8,32.4,32.8,32.4,"82,157"
2019-02-26,32.9,32.9,32.2,32.7,32.8,"26,386"
2019-02-25,32.7,33.1,32.5,33,32.6,"138,857"
2019-02-24,33,33.2,33,33.2,33,"96,363"
2019-02-20,33,33.7,33,33.7,33.2,"79,401"
2019-02-19,33.5,33.5,33,33.2,33.2,"66,379"
2019-02-18,33.1,33.9,33,33.8,33.2,"121,589"
2019-02-17,33.1,34,33.1,34,33.3,"260,066"
2019-02-14,34,34,33.6,33.7,33.8,"78,324"
2019-02-13,33.5,34.3,33.5,33.9,33.6,"292,201"
2019-02-12,33.9,33.9,32.9,33.1,33.6,"162,951"
2019-02-11,33,33.3,32.8,33,32.9,"115,947"
2019-02-10,33.2,33.9,33,33.9,33,"179,268"
2019-02-07,33.4,33.9,33.1,33.1,33.5,"120,723"
2019-02-06,33.2,33.4,33,33,33,"79,432"
2019-02-05,33.1,34,33,34,33.1,"239,084"
2019-02-04,33.8,34.6,33.8,34,34,"214,717"
2019-02-03,33.5,34.3,33.5,33.9,33.6,"170,833"
2019-01-31,34,35,34,35,34.1,"298,855"
2019-01-30,34.8,36,33.4,33.4,34.9,"1,279,563"
2019-01-29,32.8,33.2,32.6,32.9,32.8,"156,508"
2019-01-28,33,33.2,32.3,32.4,32.5,"188,713"
2019-01-27,32.7,32.9,32.1,32.5,32.6,"232,778"
2019-01-24,32.4,33,32,32.3,32.3,"222,255"
2019-01-23,32.2,33.2,32.1,32.7,32.3,"190,261"
2019-01-22,32.7,33.7,32.6,33.5,32.7,"368,648"
2019-01-21,33.3,34.2,33,33.3,33.4,"287,835"
2019-01-20,33.5,33.5,32,33,33.2,"183,181"
2019-01-17,33,34,32.8,34,33,"250,856"
2019-01-16,33.9,34.8,33.8,34.8,33.9,"244,246"
2019-01-15,34.7,35.8,34.5,35.4,34.7,"528,545"
2019-01-14,34.9,36,34.8,35.6,35,"470,276"
2019-01-13,36,36,34.5,34.5,35.8,"727,312"
2019-01-10,34.5,34.5,33.6,34,34.4,"460,433"
2019-01-09,34.3,34.8,33.5,34.5,33.8,"663,959"
2019-01-08,34.5,34.9,32.5,32.5,34,"576,682"
2019-01-07,32.8,33.4,32.5,33.2,32.7,"342,649"
2019-01-06,33.2,33.4,32.6,33.2,33.1,"360,312"
2019-01-03,33.2,33.3,32.1,32.1,33,"349,398"
2019-01-02,32.2,32.5,31.5,32.1,32.1,"233,893"
2019-01-01,32.2,32.2,31.5,31.5,31.9,"134,382"
2018-12-27,31,31.4,30.6,31.4,30.9,"84,944"
2018-12-26,31,31.5,30.7,31.1,30.8,"79,307"
2018-12-24,31.3,31.5,31.2,31.5,31.3,"23,800"
2018-12-23,31.3,31.5,30.9,31.3,31.1,"67,450"
2018-12-20,30.9,31.4,30.8,31,31,"138,589"
2018-12-19,30.5,31,30.3,31,30.5,"29,848"
2018-12-18,30.2,30.7,30.2,30.6,30.3,"63,809"
2018-12-17,30.6,30.9,30.1,30.6,30.3,"24,270"
2018-12-13,30.5,31,30.3,31,30.5,"160,346"
2018-12-12,31.2,31.4,30.8,31,31,"39,442"
2018-12-11,30.8,31.8,30.5,31.7,30.8,"126,638"
2018-12-10,31.3,32,31,31,31.8,"116,565"
2018-12-09,30.8,31.7,30.8,31.6,31,"135,851"
2018-12-06,31.5,32.7,31.5,32.7,31.6,"157,325"
2018-12-05,32.5,33.4,32.3,33.2,32.5,"217,760"
2018-12-04,32.8,33.7,32.7,33,33.2,"429,003"
2018-12-03,33.2,33.4,31.9,32,33,"433,581"
2018-12-02,31.6,32.6,31.3,31.4,31.7,"246,304"
2018-11-29,30.9,31.4,30.9,31.3,31,"164,417"
2018-11-28,31.5,31.9,31.1,31.5,31.2,"122,286"
2018-11-27,31.1,31.5,30.9,31.2,31.3,"121,814"
2018-11-26,31.2,31.5,30.8,31.5,30.9,"83,080"
2018-11-25,31,31.7,31,31.7,31.2,"148,360"
2018-11-22,31.7,32,31.1,32,31.4,"59,742"
2018-11-20,31.4,32,31.1,32,31.5,"190,918"
2018-11-19,31.4,33.3,31.4,33.3,31.8,"264,363"
2018-11-18,32.4,33.7,32.1,32.8,32.8,"341,785"
2018-11-14,36.5,37.2,36,36,36.7,"210,044"
2018-11-13,37.4,37.4,35.4,36.8,36.4,"369,558"
2018-11-12,36.8,36.9,36,36.4,36.5,"84,736"
2018-11-11,36.1,37,36,36.8,36.4,"113,826"
2018-11-08,36.1,37.3,36,36.5,36.1,"132,387"
2018-11-07,37.2,37.6,36.3,37.6,36.5,"166,709"
2018-11-06,37,37.9,36.6,37.2,36.9,"43,644"
2018-11-05,37.6,38,37.1,38,37.3,"82,176"
2018-11-04,38,38.2,37,37.5,37.6,"140,152"
2018-11-01,37.8,38.4,37.3,37.5,37.6,"61,623"
2018-10-31,37.8,39.1,37.7,38.7,38.1,"245,565"
2018-10-30,39,39,36.9,36.9,38.8,"386,871"
2018-10-29,36,36.5,35.6,36,36.1,"123,729"
2018-10-28,36.2,37.5,34.7,37.5,36.1,"51,339"
2018-10-25,37.5,37.5,35.2,35.5,37,"148,153"
2018-10-24,35,36,35,35.3,35.3,"36,508"
2018-10-23,34.3,36.1,34.2,36,34.7,"77,189"
2018-10-22,35,37,34.2,34.2,35.1,"112,809"
2018-10-21,36.3,37.2,36.3,37.2,36.8,"54,315"
2018-10-18,37.1,38.5,37.1,37.8,37.2,"44,219"
2018-10-17,37.8,39,37.8,39,38,"61,172"
2018-10-16,39.3,39.3,37.9,38,38.8,"55,860"
2018-10-15,37.7,38.7,37.7,38.5,37.9,"102,797"
2018-10-14,38.7,39,38.5,38.9,38.6,"82,375"
2018-10-11,39,39,38.4,38.8,38.7,"109,364"
2018-10-10,38.7,40.6,38.7,39.5,38.9,"149,966"
2018-10-09,38.7,40.8,38.7,40.3,39.5,"153,235"
2018-10-08,40.9,41.4,40.1,40.3,40.3,"313,425"
2018-10-07,40,40.3,38.8,39.5,39.9,"134,143"
2018-10-04,39.4,41,38.7,40.7,39,"369,794"
2018-10-03,40.9,41,37.9,38.3,39.6,"441,333"
2018-10-02,38,38.7,38,38.5,38.1,"160,295"
2018-10-01,38.6,39.8,38.5,39.6,38.6,"201,181"
2018-09-30,39.3,39.8,38.3,39.1,39.5,"90,505"
2018-09-27,39,39.8,38.8,39.2,39,"81,094"
2018-09-26,39.8,40.4,39,39.9,39.2,"162,541"
2018-09-25,40.2,40.2,38.5,39.3,39.2,"82,666"
2018-09-24,39.6,41.4,39,41.3,39.3,"233,151"
2018-09-23,41.4,42.8,41.1,41.2,41.5,"246,675"
2018-09-20,41.3,42.4,40.8,42.4,41,"360,139"
2018-09-19,42,42.9,41.7,42.5,42,"455,899"
2018-09-18,42.5,43.7,42.3,42.8,42.6,"372,099"
2018-09-17,43.1,43.5,42,43.3,42.8,"451,677"
2018-09-16,43.4,45.5,43,45.5,43.2,"846,880"
2018-09-13,44.9,47,44.4,45.5,44.9,"2,349,358"
2018-09-12,45.5,45.6,42.3,42.3,45.3,"2,161,757"
2018-09-11,42.5,43.7,42.1,42.9,42.3,"597,124"
2018-09-10,42.7,45.2,42.5,43.7,42.7,"1,413,034"
2018-09-09,43.1,44.3,42.2,42.2,43.4,"1,450,938"
2018-09-06,42.3,43,40.5,40.6,42.2,"1,355,528"
2018-09-05,40.7,41,39.8,40.1,40.2,"262,932"
2018-09-04,39.5,40.6,39.5,40.5,39.6,"107,582"
2018-09-03,40.7,41.5,40,41.5,40.4,"268,966"
2018-08-30,40.9,41.8,40.6,40.9,40.9,"245,157"
2018-08-29,41,41.5,40.3,41.5,40.5,"130,149"
2018-08-28,41.2,41.5,40.5,41.5,41,"178,430"
2018-08-27,41.5,42.9,41.3,42.9,41.5,"270,743"
2018-08-26,42.7,42.8,39.5,39.5,42.4,"786,372"
2018-08-20,39.8,40,38.8,38.8,39.3,"179,488"
2018-08-19,38.7,39.9,38.6,39.2,38.8,"220,220"
2018-08-16,39.6,40.2,38.7,39.9,39.7,"166,119"
2018-08-14,39.6,39.6,38,38,39.2,"155,821"
2018-08-13,38.5,39.5,38.3,38.7,38.5,"222,866"
2018-08-12,38.2,40.3,38,40,38.7,"184,407"
2018-08-09,40,40,38.5,39.7,39.6,"238,004"
2018-08-08,39.6,39.9,38.7,39,38.9,"196,069"
2018-08-07,39,40.5,38.6,40.5,38.9,"258,182"
2018-08-06,39.4,40.3,39.4,39.7,39.5,"120,909"
2018-08-05,39.5,40.9,39.5,40.5,39.6,"336,682"
2018-08-02,41.3,41.6,40.4,41.6,40.8,"241,158"
2018-08-01,41.1,42.5,40.5,41.9,40.9,"251,959"
2018-07-31,41.5,42.3,40,40,41.5,"531,580"
2018-07-30,40.4,41.2,39.6,41,39.7,"317,335"
2018-07-29,41.3,44,40,43.7,40.9,"517,543"
2018-07-26,43.5,44.4,42.7,44,43.5,"616,164"
2018-07-25,43.5,45.4,43.5,44,43.9,"1,468,012"
2018-07-24,43.7,44.3,40,40.3,43.6,"1,145,838"
2018-07-23,40,45.8,40,44.9,40.3,"646,657"
2018-07-22,41.8,41.8,38.3,38.3,41.8,"943,604"
2018-07-18,38.8,38.8,37,37.8,38,"182,050"
2018-07-17,37.6,39.5,37.5,39.5,37.7,"198,508"
2018-07-16,38.7,40.4,38.7,39,39.1,"301,482"
2018-07-15,39.2,39.6,38.7,39.6,39,"313,690"
2018-07-12,39.5,40.9,39.2,40.3,39.7,"486,927"
2018-07-11,40.8,42.6,39.9,41.3,40.5,"666,822"
