DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,37.4,37.4,36.2,36.2,37,"30,871"
2019-06-26,36.1,36.3,35.8,35.8,36,"106,283"
2019-06-25,36,36.4,35.8,36,36.1,"11,326"
2019-06-24,35.9,36.2,35.8,36,35.9,"41,584"
2019-06-23,35.7,36.8,35.7,36.6,36.1,"56,230"
2019-06-20,36.5,37.4,36.5,37,36.6,"34,538"
2019-06-19,36.6,37.3,36.6,37.1,36.7,"67,875"
2019-06-18,37.2,37.8,36.6,37.1,37.2,"22,933"
2019-06-17,37.1,37.8,36.7,37.4,37.2,"37,269"
2019-06-16,37.9,38.2,37.5,38,37.7,"55,386"
2019-06-13,37.7,38,37.5,37.7,37.9,"60,811"
2019-06-12,38,38.2,37.6,38.2,37.8,"93,538"
2019-06-11,38.1,38.1,36.9,36.9,38,"149,116"
2019-06-10,36.9,37.6,36.3,37.3,36.8,"61,669"
2019-06-09,36.7,36.9,36.7,36.8,36.8,"29,739"
2019-05-30,36.7,37.2,36.5,37,36.8,"32,551"
2019-05-29,37,37.1,36.6,37,37,"40,153"
2019-05-28,36.5,37.1,36.2,36.2,36.6,"37,166"
2019-05-27,36.3,37.1,36.3,37,36.4,"31,316"
2019-05-26,37,37.8,36.5,37.8,36.9,"33,079"
2019-05-23,36.7,36.9,36.4,36.6,36.6,"21,096"
2019-05-22,36.6,36.9,36.3,36.5,36.4,"33,621"
2019-05-21,36.1,37.3,36.1,37,36.4,"56,110"
2019-05-20,36.6,37.7,36.6,37.7,36.9,"20,764"
2019-05-19,36.9,37.6,36.7,37.1,37,"67,078"
2019-05-16,36.9,37.3,36.5,36.5,36.9,"15,786"
2019-05-15,36.4,37.9,36,36,36.4,"22,319"
2019-05-14,36.6,37.2,36.6,37.2,36.7,"32,939"
2019-05-13,37,37.8,36.9,37.1,37.1,"30,118"
2019-05-12,37.3,37.9,37.2,37.6,37.5,"24,906"
2019-05-09,37.1,37.8,37,37.3,37.1,"25,270"
2019-05-08,37.2,38.2,36.3,36.7,37.7,"142,851"
2019-05-07,37.5,38.2,36,38.2,36.4,"74,850"
2019-05-06,37.4,38.5,37.1,38.1,37.3,"103,324"
2019-05-05,38.3,38.5,36.7,36.7,38.1,"168,584"
2019-05-02,36.5,36.5,35.4,35.6,36.4,"94,510"
2019-04-30,34.7,36.7,34.2,35.2,34.9,"176,056"
2019-04-29,35,35.9,35,35.7,35.2,"48,844"
2019-04-28,36,36.5,35.5,36,35.7,"79,363"
2019-04-25,36.3,36.5,35.2,35.7,36.2,"123,702"
2019-04-24,35.2,35.9,35,35.5,35.1,"119,607"
2019-04-23,35.5,36.7,35.4,36.7,35.6,"86,189"
2019-04-21,36.7,36.7,36.2,36.4,36.6,"141,098"
2019-04-18,36,36.6,35.5,36.3,36,"187,938"
2019-04-17,36,36,34.6,34.6,35.9,"46,984"
2019-04-16,35.5,36.4,35.5,36.4,35.6,"81,927"
2019-04-15,36.3,37.1,36.3,36.9,36.4,"66,568"
2019-04-11,36.8,37.3,36.2,37,36.4,"117,136"
2019-04-10,37.3,37.4,36.3,37.1,36.3,"43,566"
2019-04-09,36.9,38.2,36.9,37.5,37.1,"53,680"
2019-04-08,37.6,38.5,37.6,38.5,37.7,"67,675"
2019-04-07,37.9,38.9,37.8,38.9,38,"43,584"
2019-04-04,38.8,38.8,38.2,38.6,38.8,"25,072"
2019-04-03,39.2,39.2,38.1,38.5,38.8,"53,627"
2019-04-02,38.5,39,37.7,38.8,38.2,"228,560"
2019-04-01,39,40.2,38.7,40.2,39.1,"88,170"
2019-03-31,39,40.7,39,40.7,39.1,"203,954"
2019-03-28,41,41.5,40.7,41.5,40.9,"71,796"
2019-03-27,41.1,42,41,41.5,41.2,"18,069"
2019-03-25,42,42.2,41.2,41.6,41.5,"25,760"
2019-03-24,41.4,41.8,40.8,41.5,40.9,"50,699"
2019-03-21,41.6,42.7,41.4,41.6,41.6,"41,313"
2019-03-20,42.5,42.9,41.9,42.9,42.4,"25,221"
2019-03-19,42.2,42.7,41.1,42,42.4,"27,324"
2019-03-18,42.1,42.4,41.1,42.4,41.9,"38,857"
2019-03-14,42.5,43,42.2,43,42.4,"53,096"
2019-03-13,43.1,44.2,42.9,44.1,43.1,"82,034"
2019-03-12,44.2,45,44.1,45,44.2,"26,543"
2019-03-11,44.8,44.9,44.7,44.8,44.8,"23,410"
2019-03-10,45,45.1,44.7,44.7,44.9,"86,259"
2019-03-07,44.7,44.7,43.5,43.6,44.4,"37,128"
2019-03-06,43.3,44.8,43.3,44.6,43.8,"114,136"
2019-03-05,44.6,45,44.6,45,44.6,"25,357"
2019-03-04,44.8,45.2,44.7,45,45.1,"33,259"
2019-03-03,44.8,45,44.6,45,44.9,"17,717"
2019-02-27,45,45.5,44.1,45.5,44.8,"55,310"
2019-02-26,44.6,45.1,44.6,44.7,44.7,"70,281"
2019-02-25,44.9,45.9,44.4,44.4,45,"93,392"
2019-02-24,45.1,46.2,45.1,45.8,45.3,"97,804"
2019-02-20,45.8,46.7,45.8,46.5,46,"82,821"
2019-02-19,47.3,47.6,46.3,47.6,47.1,"61,136"
2019-02-18,47.3,48.6,47.1,47.7,47.4,"169,397"
2019-02-17,47.5,48,46.4,46.6,47.7,"180,770"
2019-02-14,46.4,46.4,45,45.5,46.2,"125,323"
2019-02-13,45.4,45.9,45.2,45.6,45.4,"28,087"
2019-02-12,45.1,45.7,45,45.1,45.1,"56,493"
2019-02-11,45.5,45.9,44.7,45.5,45.2,"38,202"
2019-02-10,45.3,46,45.1,46,45.4,"35,967"
2019-02-07,45.5,46,45,45.3,45.3,"79,257"
2019-02-06,45.5,46.4,45,45.6,45.5,"60,883"
2019-02-05,46,46.7,45,46.7,45.5,"164,339"
2019-02-04,47,47,46.3,46.5,46.7,"42,311"
2019-02-03,46.8,46.8,45.3,45.3,46.4,"64,659"
2019-01-31,45.8,46.6,45.2,46.6,45.8,"121,116"
2019-01-30,47,48.5,45.8,48,46.6,"159,675"
2019-01-29,47.7,48.4,47.4,48.3,47.9,"90,462"
2019-01-28,48.6,49.2,48.3,49.2,48.5,"124,411"
2019-01-27,48.5,49.4,47.2,47.2,48.9,"262,368"
2019-01-24,47.6,48.4,46.7,47.3,46.9,"89,228"
2019-01-23,47.8,48.1,47.2,47.8,47.3,"151,941"
2019-01-22,47.5,47.8,47.3,47.5,47.4,"49,178"
2019-01-21,47.5,48.2,47.5,47.8,47.6,"67,739"
2019-01-20,48,48.5,47.7,48.2,47.8,"203,675"
2019-01-17,48.3,48.7,48,48.5,48.2,"165,790"
2019-01-16,48.4,49,48.2,49,48.5,"224,417"
2019-01-15,48.4,48.8,47.7,48.2,48.2,"198,559"
2019-01-14,48,49.4,48,49,48.2,"104,801"
2019-01-13,48.4,49,48,49,48.4,"228,571"
2019-01-10,48.9,49.5,48.5,49.4,48.7,"71,754"
2019-01-09,49.2,50.1,48.5,49,48.9,"210,894"
2019-01-08,49.2,49.4,47.4,47.4,48.8,"160,436"
2019-01-07,47.4,49.2,47.4,48.3,47.5,"189,765"
2019-01-06,48.9,49.4,47.7,48.8,48.5,"179,728"
2019-01-03,48.4,48.5,47.1,47.1,48.1,"221,532"
2019-01-02,47.3,47.8,46.4,46.7,47.4,"169,233"
2019-01-01,46.7,46.7,45.5,46.2,46.6,"100,857"
2018-12-27,45.6,46,44.9,45.2,45.9,"140,297"
2018-12-26,45.3,45.3,44.9,45.2,45.1,"74,735"
2018-12-24,45.3,45.4,44.9,45.4,45.2,"46,605"
2018-12-23,45.4,45.5,45,45,45.3,"63,973"
2018-12-20,44.9,45.4,44.2,44.3,44.7,"70,033"
2018-12-19,44.9,44.9,44,44,44.6,"21,123"
2018-12-18,44.3,44.8,44.2,44.4,44.2,"17,762"
