DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,20.2,20.3,19.9,20,20.2,"148,927"
2019-06-26,20.1,20.2,19.9,20,20,"246,690"
2019-06-25,20.2,20.2,19.9,20.2,20,"193,512"
2019-06-24,20.1,20.3,19.8,20.3,19.9,"270,306"
2019-06-23,20.3,20.4,20.1,20.2,20.2,"111,508"
2019-06-20,20.4,20.6,20.3,20.4,20.3,"278,351"
2019-06-19,20.6,21,20.4,21,20.4,"175,968"
2019-06-18,21,21,20.2,20.5,20.7,"302,951"
2019-06-17,20.7,20.7,20.2,20.6,20.4,"203,755"
2019-06-16,20.7,21,20.6,21,20.7,"465,661"
2019-06-13,20.9,21.1,20.6,20.6,21,"340,510"
2019-06-12,21.1,21.3,20.9,21.3,21,"166,657"
2019-06-11,21.1,21.2,21,21.1,21.2,"361,819"
2019-06-10,21.2,21.2,20.8,20.9,21.1,"219,555"
2019-06-09,20.8,21,20.7,21,20.8,"68,192"
2019-05-30,20.8,21,20.8,20.9,20.8,"119,189"
2019-05-29,21,21.1,20.8,20.9,20.9,"120,745"
2019-05-28,21,21,20.6,20.7,20.8,"119,056"
2019-05-27,20.8,20.9,20.6,20.9,20.7,"148,940"
2019-05-26,21,21,20.6,20.8,20.9,"205,841"
2019-05-23,20.8,21,20.8,20.9,20.8,"91,468"
2019-05-22,21.1,21.3,20.9,21.2,21,"192,269"
2019-05-21,20.9,21.2,20.7,21.2,20.9,"155,044"
2019-05-20,21,21.6,21,21.6,21.1,"180,441"
2019-05-19,21.5,21.7,21,21,21.5,"661,101"
2019-05-16,20.8,20.9,20.7,20.9,20.8,"120,549"
2019-05-15,20.8,20.9,20.4,20.5,20.7,"159,049"
2019-05-14,20.8,21,20.5,20.9,20.7,"78,956"
2019-05-13,21.1,21.6,20.9,21.3,21,"479,039"
2019-05-12,21.2,21.3,20.7,21,21.1,"451,776"
2019-05-09,20.9,20.9,20.2,20.7,20.8,"225,713"
2019-05-08,20.4,20.9,20.1,20.9,20.2,"207,743"
2019-05-07,20.7,21.2,20.2,20.2,20.5,"393,641"
2019-05-06,20.4,21,20.4,21,20.6,"187,421"
2019-05-05,21,21.2,20.8,20.8,21,"367,913"
2019-05-02,20.8,20.8,20.1,20.2,20.7,"289,901"
2019-04-30,20,20.1,19.8,20,19.9,"96,105"
2019-04-29,19.8,20,19.5,19.8,19.8,"119,844"
2019-04-28,19.7,20.3,19.7,20.3,19.8,"256,979"
2019-04-25,20.2,20.2,19.8,20.2,19.9,"194,079"
2019-04-24,20.2,20.2,19.5,20,20,"151,888"
2019-04-23,19.8,20.6,19.8,20.6,19.8,"82,528"
2019-04-21,20.2,20.6,19.7,19.7,20.3,"163,974"
2019-04-18,20.1,20.1,19.2,19.3,19.9,"111,600"
2019-04-17,19.2,19.4,18.7,19.3,19.2,"188,097"
2019-04-16,19.3,19.4,19.1,19.4,19.3,"92,737"
2019-04-15,19.6,20,19.3,20,19.4,"66,953"
2019-04-11,19.9,19.9,19,19.5,19.8,"144,650"
2019-04-10,19.3,19.9,19.1,19.5,19.2,"74,938"
2019-04-09,19.6,20.2,19.4,20.1,19.6,"194,153"
2019-04-08,20,20.7,20,20.4,20,"204,091"
2019-04-07,20.4,20.9,20.2,20.6,20.3,"74,147"
2019-04-04,20.6,21,20.5,20.8,20.6,"139,245"
2019-04-03,20.6,21.2,20.3,21.1,20.5,"237,261"
2019-04-02,21.2,21.2,20.6,20.8,21,"216,413"
2019-04-01,20.8,20.8,20.1,20.1,20.7,"158,082"
2019-03-31,20.2,20.9,20.2,20.8,20.2,"107,761"
2019-03-28,20.4,20.9,20.2,20.4,20.4,"147,613"
2019-03-27,20.8,20.8,20.6,20.7,20.7,"44,152"
2019-03-25,20.8,21,20.5,20.5,20.6,"168,651"
2019-03-24,20.7,20.9,20.4,20.9,20.4,"56,773"
2019-03-21,21.1,21.1,20.2,20.7,20.5,"156,282"
2019-03-20,20.7,21.3,20.7,21.3,20.8,"129,455"
2019-03-19,21,21,20.2,20.8,21,"214,478"
2019-03-18,20.3,20.9,20.2,20.7,20.3,"233,588"
2019-03-14,20.7,21.2,20.7,21,20.9,"248,449"
2019-03-13,21.1,21.8,20.8,21.6,21,"469,139"
2019-03-12,21.5,22.2,21.4,22.1,21.6,"482,497"
2019-03-11,22.2,22.5,21.9,22.3,22.1,"648,686"
2019-03-10,22.4,22.4,21.7,21.7,22.1,"826,646"
2019-03-07,21.7,21.8,21.2,21.4,21.6,"263,337"
2019-03-06,21.3,21.5,21.1,21.3,21.2,"254,669"
2019-03-05,21.3,21.4,21.2,21.2,21.3,"124,912"
2019-03-04,21.4,21.7,21.3,21.7,21.3,"145,885"
2019-03-03,21.7,21.8,21.4,21.7,21.6,"266,060"
2019-02-27,21.8,21.8,21.2,21.3,21.7,"606,462"
2019-02-26,21.5,21.6,21.3,21.3,21.4,"360,279"
2019-02-25,21.5,21.6,21,21.3,21.4,"487,726"
2019-02-24,21.4,21.6,21.1,21.4,21.3,"237,672"
2019-02-20,21.6,21.9,21.4,21.7,21.4,"288,372"
2019-02-19,21.6,22.2,21.6,21.8,21.7,"322,741"
2019-02-18,21.8,22.3,21.6,21.8,21.8,"804,942"
2019-02-17,21.9,22,21.3,21.4,21.8,"564,192"
2019-02-14,21.4,21.6,21.2,21.5,21.3,"535,102"
2019-02-13,21.6,21.7,21.3,21.4,21.6,"437,328"
2019-02-12,21.4,21.4,20.9,21.1,21.2,"322,743"
2019-02-11,21,21.1,20.6,20.8,20.8,"465,946"
2019-02-10,21.1,21.5,20.6,21.5,20.8,"466,007"
2019-02-07,21.3,21.7,21.1,21.4,21.2,"337,942"
2019-02-06,21.2,21.5,21.1,21.5,21.2,"262,689"
2019-02-05,21.6,21.8,21.1,21.7,21.3,"351,239"
2019-02-04,21.4,22,21.4,21.9,21.5,"332,667"
2019-02-03,21.7,22.2,21.1,21.9,21.6,"732,401"
2019-01-31,22.1,22.4,21.8,22.3,21.9,"726,202"
2019-01-30,22.4,22.9,22.4,22.5,22.5,"636,100"
2019-01-29,22.7,23.2,22.5,23,22.7,"1,214,974"
2019-01-28,23,23.8,22.5,22.5,22.9,"2,417,628"
2019-01-27,22.7,23,22.4,22.5,22.6,"1,523,520"
2019-01-24,22.1,22.5,21.9,22,22.1,"1,116,237"
2019-01-23,21.8,22.3,21.7,22.2,21.9,"876,693"
2019-01-22,22.1,22.8,22,22.6,22.2,"547,397"
2019-01-21,22.4,22.7,22.2,22.2,22.5,"1,294,803"
2019-01-20,22.2,22.5,21.8,21.9,22.2,"984,366"
2019-01-17,22.2,22.5,21.7,22.4,21.9,"903,720"
2019-01-16,22.3,23,22.2,22.3,22.3,"1,257,354"
2019-01-15,22.4,22.7,22.2,22.7,22.3,"1,411,142"
2019-01-14,22.7,23.5,22.5,23.2,22.5,"1,646,777"
2019-01-13,23.3,23.5,22.6,22.7,23.2,"3,275,109"
2019-01-10,22.6,22.7,22,22.3,22.5,"1,866,575"
2019-01-09,22,22.5,21.9,22.2,22.1,"1,293,202"
2019-01-08,22.4,22.8,22.1,22.5,22.2,"1,676,321"
2019-01-07,22.6,22.8,21.9,22,22.4,"2,216,754"
2019-01-06,21.9,22.5,21.9,22.3,22.1,"1,531,124"
2019-01-03,22.1,22.4,21.5,21.7,22.1,"1,746,564"
2019-01-02,21.8,22,21.2,21.4,21.7,"1,607,354"
2019-01-01,21.1,21.5,20.8,21.3,21.1,"822,512"
2018-12-27,21.1,21.2,20.6,21.2,21,"509,110"
2018-12-26,20.9,21.3,20.7,20.9,21,"409,353"
2018-12-24,21,21.2,20.6,20.9,20.9,"556,490"
2018-12-23,20.6,21.6,20.5,21.5,20.8,"722,130"
2018-12-20,21.4,21.7,20.7,20.7,21.3,"1,261,809"
2018-12-19,20.5,20.8,20.1,20.1,20.5,"742,722"
2018-12-18,20,20.1,19.5,19.5,20,"368,138"
2018-12-17,19.6,20,19.3,19.9,19.5,"356,311"
2018-12-13,20.1,20.2,19.8,20,20,"547,053"
2018-12-12,19.8,20.3,19.6,19.6,19.8,"464,588"
2018-12-11,19.7,20.3,19.4,20.2,19.5,"644,153"
2018-12-10,20.1,21,19.9,20.7,20.1,"731,889"
2018-12-09,20.4,21.4,20.3,21.4,20.6,"915,802"
2018-12-06,21.1,22,21,22,21.1,"1,102,286"
2018-12-05,21.5,22.5,21.5,22.4,21.7,"2,114,328"
2018-12-04,22.2,22.9,21.9,22.2,22.2,"2,259,951"
2018-12-03,22.4,22.9,21.8,22.8,22,"2,190,464"
2018-12-02,22.9,23.5,21.3,21.8,22.9,"3,730,556"
2018-11-29,21.5,22.1,20.6,20.7,21.6,"4,567,792"
2018-11-28,20.7,20.9,20.1,20.4,20.5,"1,243,646"
2018-11-27,20.6,20.7,18.9,19.1,20.4,"1,649,099"
2018-11-26,18.8,19.5,18.8,19.1,19,"397,787"
2018-11-25,19.3,19.5,18.7,18.9,19.3,"486,462"
2018-11-22,18.7,19.5,18.6,19.5,18.8,"425,906"
2018-11-20,19.2,20,19.2,19.8,19.3,"703,053"
2018-11-19,19.7,20,19.5,20,19.6,"1,169,366"
2018-11-15,20.4,20.5,19.9,20.1,20.1,"1,167,495"
2018-11-14,20.1,20.1,19.8,20,20,"428,010"
2018-11-13,19.9,20.5,19.7,20.3,19.9,"739,862"
2018-11-12,20.2,20.4,19.8,20.1,20,"594,058"
2018-11-11,20,20.2,19.8,19.9,19.9,"715,244"
2018-11-08,20,20.5,19.7,19.9,19.8,"648,169"
2018-11-07,19.8,20,19.4,19.7,19.9,"535,015"
2018-11-06,19.6,20.8,19.6,20.3,19.7,"525,029"
2018-11-05,20.3,20.6,19.8,19.9,20.3,"851,656"
2018-11-04,19.8,20.1,19.3,19.4,19.6,"626,688"
2018-11-01,19.1,19.6,19,19.3,19.2,"381,250"
2018-10-31,19.2,19.7,19.1,19.5,19.2,"185,739"
2018-10-30,19.5,19.9,19,19,19.5,"406,617"
2018-10-29,18.7,19,17.7,17.7,18.9,"264,336"
2018-10-28,17.2,18.8,17.1,18.7,17.5,"240,382"
2018-10-25,18.7,19,18.5,18.9,18.6,"214,648"
2018-10-24,18.7,19.4,18.7,19.4,19,"178,620"
2018-10-23,19.1,20.3,19,19.2,19,"273,507"
2018-10-22,19,19.6,18.7,19.3,18.8,"272,692"
2018-10-21,19.1,20.2,18.9,20.2,19.4,"350,829"
2018-10-18,20,20.5,19.8,20.4,20,"515,723"
2018-10-17,20.2,20.8,20.2,20.8,20.3,"226,284"
2018-10-16,20.8,21.1,20.5,21.1,20.6,"333,102"
2018-10-15,20.8,21.3,20.3,20.6,21.1,"969,351"
2018-10-14,20.7,21.1,20.3,20.4,20.5,"544,205"
2018-10-11,20.5,20.6,20,20,20.3,"308,342"
2018-10-10,20,20.4,19.9,20.2,20,"444,811"
2018-10-09,20.2,21.4,20.1,21,20.3,"642,136"
2018-10-08,20.7,21.7,20,20.1,20.8,"885,501"
2018-10-07,19.9,20.4,19.9,20.2,20,"431,781"
2018-10-04,20.2,20.4,19.9,20.2,20.2,"491,877"
2018-10-03,20,20.3,19.9,20.2,20,"266,102"
2018-10-02,20.2,20.3,19.8,20.1,20.2,"269,229"
2018-10-01,19.5,20.4,19.5,19.9,19.8,"518,870"
2018-09-30,19.6,20,19.5,20,19.8,"166,919"
2018-09-27,19.7,20.4,19.5,20.4,19.8,"319,402"
2018-09-26,20.5,20.8,20.3,20.4,20.4,"210,308"
2018-09-25,20.5,20.7,20.3,20.5,20.5,"169,395"
2018-09-24,20.2,21.1,20.1,20.9,20.4,"385,135"
