DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,25.8,26.4,24.9,25.7,25.8,"360,975"
2019-06-26,25.8,26.3,25.5,26,25.9,"328,094"
2019-06-25,25.9,27.3,25.7,27.2,26,"299,634"
2019-06-24,27.3,28,26.9,27.4,27,"281,420"
2019-06-23,27.5,28.6,26.5,27.5,27.4,"466,290"
2019-06-20,27.9,28.6,27.3,28.4,27.5,"434,252"
2019-06-19,28.3,29.5,28.1,28.4,28.6,"1,230,618"
2019-06-18,28.6,30,28.1,28.2,28.6,"1,202,367"
2019-06-17,28,28,25.5,25.6,27.6,"1,738,577"
2019-06-16,26.2,27.3,25.9,27.3,26.2,"843,837"
2019-06-13,26.8,27.8,26.7,26.7,27,"1,438,283"
2019-06-12,26.5,26.9,25,25.3,26.5,"1,113,823"
2019-06-11,25.2,25.8,25.1,25.7,25.2,"731,689"
2019-06-10,25.5,26,24.9,25.8,25.5,"535,589"
2019-06-09,25.4,26.7,25,26.4,25.4,"1,511,395"
2019-05-30,26.1,26.1,25.4,25.7,25.9,"768,112"
2019-05-29,25.5,25.5,24.7,25.5,25,"410,145"
2019-05-28,25.3,26,24.7,25.8,25.1,"647,473"
2019-05-27,25.2,27.4,25.1,27,25.4,"1,558,646"
2019-05-26,27,27.5,26.5,26.5,26.9,"532,631"
2019-05-23,26.7,27.2,26.2,27.2,26.4,"312,409"
2019-05-22,26.6,27.6,26.4,27.3,26.6,"482,987"
2019-05-21,26.2,27.6,25.8,26,26.2,"592,864"
2019-05-20,26.4,28.2,26,27.5,26.2,"382,239"
2019-05-19,27.2,27.2,25,25.2,27.2,"592,091"
2019-05-16,24.2,25.2,23.8,24.3,24.8,"221,828"
2019-05-14,24.7,25.5,24.2,25,24.3,"154,340"
2019-05-13,24.5,25.4,24.3,25.4,24.4,"136,304"
2019-05-12,24.9,26.7,24.6,25.5,25.2,"201,875"
2019-05-09,24.5,25.8,24.5,25.8,24.6,"407,543"
2019-05-08,25.9,27,25,27,25.3,"212,879"
2019-05-07,25.5,27.4,25.4,26.7,25.7,"398,491"
2019-05-06,26.9,28,26.6,27.9,26.9,"273,670"
2019-05-05,27,27.5,25.4,25.4,27.3,"329,516"
2019-05-02,26.4,27.1,24.9,26.5,25.4,"293,852"
2019-04-30,25.2,28.5,25.2,27.6,25.7,"327,735"
2019-04-29,27.6,27.9,24.2,24.2,27.3,"373,316"
2019-04-28,24.3,28.9,24.3,27.9,25.7,"505,646"
2019-04-25,30.9,35,30.7,35,31,"1,435,707"
2019-04-24,34.2,36.2,33.4,35,34.1,"445,933"
2019-04-23,35.2,37.5,34.2,37.5,34.5,"281,305"
2019-04-21,36,39,35.7,39,36.3,"382,886"
2019-04-18,38.5,40.7,38.3,39.8,38.6,"739,639"
2019-04-17,39.3,39.4,37.7,38.7,39,"581,250"
2019-04-16,38,38.4,36.9,38.4,37.4,"747,887"
2019-04-15,37.1,39.8,36.6,37.9,37.2,"350,842"
2019-04-11,37.7,37.7,36.7,36.7,37.2,"373,885"
2019-04-10,36.2,36.9,35.5,36.3,36.1,"454,604"
2019-04-09,35.9,36.6,33.8,34.8,35.9,"324,734"
2019-04-08,34,37,33.5,36.9,33.8,"431,558"
2019-04-07,36.6,39.5,36.4,38.8,36.8,"457,227"
2019-04-04,38.5,39.4,37.8,38.3,38.5,"1,000,520"
2019-04-03,38.4,38.9,37.4,38.2,37.6,"693,435"
2019-04-02,37.5,39.8,36.6,39.5,37.9,"573,972"
2019-04-01,38.7,39.2,36.5,37.9,38.7,"838,170"
2019-03-31,37.8,38,35,35.8,37.6,"1,611,002"
2019-03-28,34.6,34.6,32,32.1,34.6,"1,268,527"
2019-03-27,31.3,31.8,30.4,31.5,31.5,"285,977"
2019-03-25,31.5,31.6,30.1,30.1,31.3,"229,102"
2019-03-24,30.2,32.3,30.1,30.8,30.4,"325,783"
2019-03-21,30.3,30.3,27.4,28.5,30.3,"953,299"
2019-03-20,27.6,29.8,27.1,29.8,27.6,"251,987"
2019-03-19,30,30.5,28,29.9,29.3,"343,855"
2019-03-18,28.6,32.3,28.2,31.5,28.5,"771,232"
2019-03-14,31.4,33.8,30.6,33.5,31.3,"294,042"
2019-03-13,32.5,35.3,32.1,34.2,32.5,"538,441"
2019-03-12,34.2,34.5,32.1,34,34.1,"326,305"
2019-03-11,33.8,35.4,32.9,35.4,33.1,"330,383"
2019-03-10,34.9,36.8,34.7,36.2,35.1,"688,639"
2019-03-07,35.4,36.9,34.4,34.7,35.7,"723,620"
2019-03-06,33.7,34.9,32.3,32.6,33.8,"522,975"
2019-03-05,32.5,35.3,32.1,35.2,32.5,"434,208"
2019-03-04,35.1,36.7,34.7,36.1,35,"586,314"
2019-03-03,35.7,38.6,35.4,38.3,36,"842,266"
2019-02-27,37.8,38.6,37,37.5,37.4,"748,381"
2019-02-26,37,38.9,36.2,36.2,37,"1,269,053"
2019-02-25,36.3,36.8,34.9,35.8,35.9,"560,797"
2019-02-24,34.9,38.4,34.9,37,35.5,"638,798"
2019-02-20,37.9,37.9,33.1,35.5,36.8,"583,898"
2019-02-19,36.6,39.3,35.1,39.3,36,"849,664"
2019-02-18,38.5,42,37.7,41,38.1,"1,129,615"
2019-02-17,40.6,43,40.1,42.7,41.2,"1,446,236"
2019-02-14,43.4,44.7,41,43,42.7,"2,962,592"
2019-02-13,42,42,37.3,38.2,41.8,"1,952,393"
2019-02-12,38.6,41.9,37.2,40.6,38.2,"1,113,439"
2019-02-11,39.9,40,36.6,37.2,39.6,"1,694,316"
2019-02-10,37,42,36.9,41.4,37.2,"872,629"
2019-02-07,40.7,42.5,40.3,41,41,"2,114,664"
2019-02-06,40.5,41.4,38.6,38.6,40.2,"1,297,330"
2019-02-05,37.3,40,36.3,37.9,37.9,"1,268,964"
2019-02-04,36.9,41.6,36.1,39.5,37.2,"1,947,315"
2019-02-03,38.9,45.7,38,41.9,38.8,"2,215,116"
2019-01-31,42,43.1,39.2,41.2,41.6,"2,528,157"
2019-01-30,40,41.3,38.4,38.4,40.5,"3,078,546"
2019-01-29,38.4,40,37.1,37.1,38.2,"1,526,405"
2019-01-28,37.6,43,37.6,42.3,37.6,"1,375,677"
2019-01-27,41.9,41.9,38.3,38.7,41.7,"2,958,214"
2019-01-24,38,40.3,37.7,39.5,38.1,"1,916,539"
2019-01-23,38.9,41.7,37.1,38.5,38.7,"2,610,744"
2019-01-22,38.5,40.2,35.7,37.9,38.1,"2,578,476"
2019-01-21,36.9,36.9,34,34,36.9,"3,371,104"
2019-01-20,32.8,34.5,30.7,32.2,33.6,"3,104,041"
2019-01-17,32,33.3,30.2,32.9,32.1,"2,922,360"
2019-01-16,30.3,30.3,29.8,30.3,30.3,"5,252,869"
2019-01-15,27.6,27.6,25.2,25.2,27.6,"1,892,003"
2019-01-14,25.1,25.1,22.3,23.5,25.1,"2,085,374"
2019-01-13,22.9,22.9,21.1,21.3,22.9,"866,846"
2019-01-10,20.6,21.2,19.6,19.6,20.9,"577,043"
2019-01-09,19.8,19.9,19.1,19.5,19.3,"99,020"
2019-01-08,19.9,19.9,18.5,18.5,19.8,"189,300"
2019-01-07,18.7,19,18.4,18.7,18.6,"44,845"
2019-01-06,18.9,19.1,18.4,18.5,18.9,"71,466"
2019-01-03,18.5,19.4,18.3,18.3,18.6,"116,293"
2019-01-02,18.1,18.1,17.5,17.8,18,"35,962"
2019-01-01,17.9,17.9,17.2,17.3,17.6,"40,837"
2018-12-27,17.4,17.5,17.2,17.5,17.3,"22,282"
2018-12-26,17.5,17.6,17.2,17.3,17.3,"26,428"
2018-12-24,17.5,17.8,17.2,17.8,17.4,"19,300"
2018-12-23,17.3,18.6,17.1,18.6,17.2,"73,063"
2018-12-20,18.7,19.5,18.3,18.8,18.6,"99,817"
2018-12-19,18.7,18.7,16.7,16.7,18.5,"515,203"
2018-12-18,16.9,17.5,16.8,17.4,17,"24,161"
2018-12-17,17.6,18,17.3,17.4,17.6,"20,866"
2018-12-13,17.8,18,17.3,17.3,17.5,"86,794"
2018-12-12,16.8,17.1,16.6,16.6,16.8,"11,892"
2018-12-11,16.3,17.1,16.3,17.1,16.8,"30,799"
2018-12-10,17.1,17.5,16.7,17.1,17.1,"81,562"
2018-12-09,17.2,17.4,16.4,16.4,17.1,"48,983"
2018-12-06,16.3,16.4,16,16.1,16.2,"4,214"
2018-12-05,16.3,16.7,15.9,16,16.3,"17,870"
2018-12-04,16,16.2,16,16,16,"30,489"
2018-12-03,15.8,16,15.8,15.8,16,"14,221"
2018-12-02,16.1,16.1,15.8,15.8,16,"5,500"
2018-11-29,16.2,16.9,15.3,16.9,15.8,"15,207"
2018-11-28,15.7,16,15.6,15.7,15.6,"21,169"
2018-11-27,15.7,15.8,15.6,15.8,15.7,"4,360"
2018-11-26,15.8,16.3,15.8,16.3,15.8,520
2018-11-25,16,16.2,15.8,15.9,15.9,"11,683"
2018-11-22,16.3,16.3,15.5,15.5,15.8,"5,345"
2018-11-20,15.8,16,15.8,15.8,15.9,"4,057"
2018-11-19,15.7,16.2,15.7,16.2,15.8,"1,100"
2018-11-18,15.6,16,15.5,15.6,15.6,"1,411"
2018-11-15,16,16,16,16,16,"1,185"
2018-11-14,15.6,16,15.6,15.9,15.7,"20,343"
2018-11-13,16.2,16.2,15.8,15.8,15.9,"5,555"
2018-11-12,16,16,15.7,15.7,15.9,"7,557"
2018-11-11,15.8,15.8,15.7,15.7,15.7,"1,172"
2018-11-08,15.5,15.6,15.5,15.6,15.6,"11,356"
2018-11-07,15.6,15.7,15.6,15.7,15.6,"5,634"
2018-11-06,15.7,15.8,15.4,15.4,15.7,"8,033"
2018-11-05,15.7,16.2,15.7,16.2,15.7,"3,185"
2018-11-04,16,16.1,15.6,16.1,15.8,"16,105"
2018-11-01,15.7,15.9,15.7,15.9,15.8,"6,459"
2018-10-31,15.9,15.9,15.7,15.9,15.8,"9,156"
2018-10-30,15.6,16.4,15.6,16.4,15.7,"1,784"
2018-10-29,16.3,17,15.4,15.6,15.8,"52,867"
2018-10-28,15.5,15.9,15.5,15.7,15.7,"9,674"
2018-10-25,16,16.4,16,16.4,16.2,"4,045"
2018-10-24,15.7,16,15.6,15.9,15.9,"10,585"
2018-10-23,15.9,16.1,15.9,16.1,16,"1,000"
2018-10-22,16,16.4,16,16.4,16,"10,017"
2018-10-21,16.3,16.3,16.3,16.3,16.3,719
2018-10-18,16.4,16.4,16.3,16.3,16.4,"3,001"
2018-10-17,16.6,16.6,16.6,16.6,16.6,"1,420"
2018-10-16,16.3,16.3,16.2,16.2,16.3,"4,525"
2018-10-15,16.2,16.7,16.2,16.7,16.2,"19,865"
2018-10-14,16.7,17,16.7,16.7,16.7,"2,050"
