DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,7.3,7.5,7.2,7.2,7.4,"7,200"
2019-06-26,7.4,7.4,7.3,7.3,7.3,"2,787"
2019-06-25,7.3,7.6,7.3,7.3,7.5,"15,155"
2019-06-24,7.2,7.8,7.1,7.1,7.5,"151,660"
2019-06-23,7.1,7.2,7.1,7.1,7.1,"310,425"
2019-06-20,7.2,7.2,7.1,7.2,7.1,"310,450"
2019-06-19,7.3,7.3,7.1,7.1,7.2,700
2019-06-18,7.2,7.2,7.1,7.1,7.2,"54,800"
2019-06-17,7.1,7.1,7.1,7.1,7.1,"11,300"
2019-06-16,7,7.2,7,7.2,7.1,"50,462"
2019-06-13,7.2,7.2,7.1,7.1,7.1,"5,140"
2019-06-12,6.9,7.3,6.9,7.3,7,"121,134"
2019-06-11,7.2,7.4,7.2,7.3,7.3,"23,880"
2019-06-10,7.4,7.5,7.4,7.5,7.4,"113,818"
2019-05-30,8.2,8.2,8.1,8.1,8.2,"130,880"
2019-05-29,8.2,8.2,8,8.1,8.1,"48,075"
2019-05-28,8,8.2,8,8.1,8,"153,625"
2019-05-27,8.1,8.1,8,8.1,8.1,"31,530"
2019-05-26,8.1,8.1,7.9,8,8,477
2019-05-23,8,8,8,8,8,143
2019-05-22,8.1,8.1,8,8,8.1,350
2019-05-21,8,8,8,8,8,170
2019-05-20,8,8,8,8,8,"8,500"
2019-05-19,8.1,8.1,8,8,8,"23,680"
2019-05-16,7.9,8.1,7.9,8.1,8,"1,500"
2019-05-15,8.1,8.1,8,8,8,"11,102"
2019-05-14,8.1,8.1,7.9,7.9,8,"13,320"
2019-05-13,8.1,8.2,8.1,8.1,8.1,"78,713"
2019-05-12,7.8,7.9,7.8,7.9,7.9,"6,400"
2019-05-09,7.9,7.9,7.9,7.9,7.9,"1,100"
2019-05-08,8.1,8.1,8,8,8.1,"10,000"
2019-05-07,7.9,7.9,7.9,7.9,7.9,"9,612"
2019-05-02,7.8,7.8,7.8,7.8,7.8,"1,480"
2019-04-30,7.6,7.8,7.6,7.8,7.8,"12,000"
2019-04-29,7.7,7.8,7.7,7.7,7.7,"382,068"
2019-04-28,7.7,7.8,7.7,7.8,7.7,"97,725"
2019-04-25,7.7,7.7,7.7,7.7,7.7,"9,550"
2019-04-24,7.7,7.7,7.7,7.7,7.7,"80,606"
2019-04-23,7.7,7.8,7.7,7.8,7.8,"180,160"
2019-04-21,7.8,7.8,7.8,7.8,7.8,"169,200"
2019-04-16,7.8,8,7.8,7.8,7.8,"80,539"
2019-04-15,7.9,8.2,7.9,8.2,8.2,"6,075"
2019-04-11,7.8,7.8,7.8,7.8,7.8,"130,000"
2019-04-10,7.8,7.8,7.8,7.8,7.8,"17,000"
2019-04-08,7.7,7.7,7.7,7.7,7.7,"5,000"
2019-04-04,7.9,7.9,7.8,7.8,7.9,"2,438"
2019-04-02,7.6,7.7,7.6,7.7,7.7,"3,725"
2019-03-31,7.7,7.7,7.7,7.7,7.7,"27,720"
2019-03-28,7.7,7.7,7.7,7.7,7.7,88
2019-03-27,7.8,7.8,7.7,7.7,7.8,"7,000"
2019-03-25,7.8,7.8,7.7,7.7,7.8,"9,500"
2019-03-24,7.7,7.7,7.7,7.7,7.7,"23,480"
2019-03-21,7.7,7.8,7.7,7.8,7.8,"13,000"
2019-03-20,7.8,7.8,7.8,7.8,7.8,"5,570"
2019-03-19,7.7,7.8,7.7,7.8,7.8,"2,500"
2019-03-18,7.9,7.9,7.8,7.8,7.8,"10,749"
2019-03-14,7.8,7.8,7.8,7.8,7.8,"1,900"
2019-03-13,8,8,7.9,7.9,7.9,501
2019-03-12,7.8,7.8,7.7,7.8,7.8,"38,971"
2019-03-11,7.9,7.9,7.9,7.9,7.9,"15,000"
2019-03-10,7.9,7.9,7.9,7.9,7.9,"17,000"
2019-03-07,7.9,8,7.9,8,7.9,"15,873"
