DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-27,60.3,61.8,60.1,61.3,60.7,"124,993"
2019-06-26,61.3,62,58.2,62,61.3,"464,267"
2019-06-25,63.7,68,63.7,68,63.7,"425,345"
2019-06-24,70.5,72.3,70.4,72.1,70.7,"97,580"
2019-06-23,72,73.1,72,73.1,72.1,"32,767"
2019-06-20,73,74.2,72.6,73.5,72.9,"67,726"
2019-06-19,73.7,75.7,73.2,75,73.7,"60,108"
2019-06-18,73.6,75,73,73,74.4,"77,384"
2019-06-17,73,75.3,73,75.3,73.3,"89,155"
2019-06-16,75,77.5,74.7,74.7,75.3,"117,851"
2019-06-13,74.5,75.9,73.8,75,74.7,"118,302"
2019-06-12,73.7,75.8,73.2,75.6,73.4,"118,027"
2019-06-11,75.9,75.9,73.5,74.5,75.6,"137,259"
2019-06-10,74.3,74.8,71.4,71.4,74.2,"130,750"
2019-06-09,70.6,71.5,70.2,70.2,70.7,"60,726"
2019-05-30,71,71.3,70.4,71.2,70.8,"36,773"
2019-05-29,71.4,71.5,70.3,70.3,71.2,"25,049"
2019-05-28,70.8,70.8,69.6,70,70.4,"35,565"
2019-05-27,70,76,69,70,69.4,"94,420"
2019-05-26,69.5,71.8,69.5,71.8,69.7,"52,787"
2019-05-23,70.9,72.2,70.7,71.6,71.1,"44,767"
2019-05-22,71.4,72.8,71,71,71.4,"65,759"
2019-05-21,70.9,71.7,70.1,71.2,70.4,"53,349"
2019-05-20,72.4,73.3,71.3,73.3,71.5,"46,513"
2019-05-19,72.6,73.3,71.5,71.5,72.7,"58,643"
2019-05-16,71.4,72.9,70.8,72,71.3,"63,148"
2019-05-15,71.5,74.3,71,74,71.8,"80,076"
2019-05-14,72.8,74.7,72.5,74.7,73,"28,039"
2019-05-13,73.9,75.9,73,75.9,73.4,"64,899"
2019-05-12,75,76.3,74.6,76.3,74.8,"67,419"
2019-05-09,75,76.5,74.8,76,75,"92,124"
2019-05-08,74.8,76.8,74.3,76.8,75,"72,480"
2019-05-07,75,78.4,75,78,75.1,"152,349"
2019-05-06,77,82,76,80.8,76.8,"151,284"
2019-05-05,80.1,82,79.5,80,80.5,"89,970"
2019-05-02,78.6,79.3,75,75,78.7,"111,084"
2019-04-30,76.8,78,76.2,76.5,76.8,"68,967"
2019-04-29,75.4,77.8,75.4,77.8,75.6,"53,974"
2019-04-28,76.5,79.8,76.5,79.6,77.3,"71,842"
2019-04-25,79.9,79.9,76.8,77,79.2,"83,065"
2019-04-24,76.5,80,74.9,78.8,76.8,"140,495"
2019-04-23,78.9,82.5,78.9,82.5,79.2,"121,871"
2019-04-21,82.4,83.8,81.5,83.8,81.8,"65,137"
2019-04-18,82.8,83.3,80.9,82,81.8,"179,935"
2019-04-17,80,86,80,86,80.8,"216,633"
2019-04-16,84.1,88,83.7,88,84.1,"52,674"
2019-04-15,86.1,88.8,85.5,88.8,85.8,"77,955"
2019-04-11,87,88.5,85.7,87.8,86.3,"163,864"
2019-04-10,85,89.4,84.8,88.5,85.9,"121,524"
2019-04-09,86.9,91.9,85,89.7,86.7,"117,326"
2019-04-08,89.9,93.5,89,93.5,89.6,"225,297"
2019-04-07,92.8,103.5,92.5,100,93.3,"336,363"
2019-04-04,96.4,101.3,96.4,100.4,97.6,"221,002"
2019-04-03,97.8,104.9,97.8,103,100.2,"461,556"
2019-04-02,102.5,103,95.3,96.9,101.1,"245,007"
2019-04-01,96.1,96.9,94.8,95.7,95.1,"60,198"
2019-03-31,94.7,97.9,94.7,97.3,95.5,"89,770"
2019-03-28,96.9,98.8,96.6,97.5,97,"113,889"
2019-03-27,97.5,97.7,94.8,95.8,97.4,"112,974"
2019-03-25,94.4,95.8,94.3,94.6,94.7,"80,297"
2019-03-24,93.8,98,93.6,98,94.4,"132,604"
2019-03-21,96.7,97.3,91.2,92.6,96.5,"196,813"
2019-03-20,91.6,93.4,91.5,92.6,91.5,"103,721"
2019-03-19,91.9,93.2,90,90.4,91.7,"115,274"
2019-03-18,89.8,91.7,89.1,91.4,90.1,"92,455"
2019-03-14,91.1,94.9,91.1,94.9,92.2,"167,968"
2019-03-13,93.6,97.3,93.5,96.8,93.7,"224,575"
2019-03-12,96.2,100.1,96.2,100.1,96.7,"193,748"
2019-03-11,99.5,103,99.5,103,99.8,"203,148"
2019-03-10,99.3,104,99,102.3,99.3,"296,211"
2019-03-07,99.6,103.8,99.5,102,100,"319,306"
2019-03-06,100,105.5,99.1,105,100.1,"442,289"
2019-03-05,102.7,110.3,102,106,103,"1,175,199"
2019-03-04,106,106.7,101.8,103,104.7,"570,481"
2019-03-03,103.8,105.5,102,104.1,102.6,"274,848"
2019-02-27,104.5,104.5,101.1,103,104,"379,208"
2019-02-26,102.6,103,100.5,101,102.2,"157,635"
2019-02-25,101.8,105.1,100,105.1,100.6,"293,697"
2019-02-24,105.5,105.5,102.8,103.5,105.1,"501,197"
2019-02-20,102.8,104.7,100,101,102.7,"506,250"
2019-02-19,100.2,100.7,98.5,100.1,100,"159,159"
2019-02-18,100.5,102.9,99.1,102.5,99.6,"245,042"
2019-02-17,101.5,102.5,98.3,98.5,101.9,"355,756"
2019-02-14,98.3,101,97,101,97.6,"230,788"
2019-02-13,99.5,101,97.2,99,99.3,"487,662"
2019-02-12,103,105.7,101.9,102,102.5,"470,077"
2019-02-11,101.5,101.5,98.3,99,100.7,"391,333"
2019-02-10,98.5,100.7,97.3,99,98.3,"247,217"
2019-02-07,98.4,98.7,94,96.3,95.9,"244,301"
2019-02-06,95.1,99.7,95,97.9,95.8,"183,676"
2019-02-05,98.5,100.8,95.7,97,97.9,"250,526"
2019-02-04,95.5,101,94.6,99,95.3,"298,947"
2019-02-03,95.5,101.9,95.3,98.6,95.9,"306,488"
2019-01-31,97,101.4,91.5,92.2,98.7,"708,665"
2019-01-30,94.6,94.6,91.2,92.6,93.5,"171,553"
2019-01-29,93.4,95.6,91,94.2,92.5,"250,763"
2019-01-28,94.2,97.7,93.6,97.2,94.2,"218,897"
2019-01-27,95.1,100.7,95.1,99.8,96.6,"262,860"
2019-01-24,98,103.7,94.2,95,97.8,"455,116"
2019-01-23,95,101.9,94.2,99,94.8,"491,315"
2019-01-22,98.9,103.5,98,103,98.8,"398,984"
2019-01-21,102.5,105.8,100.2,103,100.7,"417,193"
2019-01-20,102.2,109,102,109,102.6,"640,548"
2019-01-17,108,114.5,107,111.3,108.5,"804,198"
2019-01-16,111.3,123,110.3,120,111.3,"856,291"
2019-01-15,116,116,111,116,116,"1,813,643"
2019-01-14,104.7,119.2,104,114.8,105.5,"1,477,677"
2019-01-13,112,118.6,109.2,110.5,114.8,"981,028"
2019-01-10,108,110,97,103.9,109.2,"1,205,875"
2019-01-09,102.2,103.5,97.8,98,102.8,"591,560"
2019-01-08,97.4,103.3,95.5,101.5,97,"625,157"
2019-01-07,101,106.9,100.5,101,101.5,"656,754"
2019-01-06,100.8,100.8,92,92,99.8,"796,730"
2019-01-03,91.8,93.2,90.2,92.5,91.7,"416,064"
2019-01-02,90,94.8,88.2,91.8,92.6,"624,427"
2019-01-01,91,91.3,88.5,89.3,90.8,"168,070"
2018-12-27,87.7,92.4,87.3,91.4,87.9,"293,820"
2018-12-26,90.9,92.1,87,88,91.4,"373,953"
2018-12-24,87,89,85.7,89,87.6,"186,583"
2018-12-23,86.8,92,84.5,84.5,87.4,"173,522"
2018-12-20,89,92.5,88.9,92,89.6,"336,840"
2018-12-19,91.7,92.8,87.5,87.5,91.8,"414,283"
2018-12-18,88,88.8,85.3,85.5,87.5,"236,528"
2018-12-17,86.1,87,83,85,85.8,"344,698"
2018-12-13,88.4,105.3,88.4,101.3,88.4,"1,060,837"
2018-12-12,98.3,98.3,90.8,90.8,98.2,"1,105,672"
2018-12-11,89,93,88.6,91.1,89.4,"295,630"
2018-12-10,91.1,94.8,90.5,92.5,91.7,"277,553"
2018-12-09,90.8,97.8,90.8,94.9,92.8,"381,733"
2018-12-06,94.8,94.8,89.1,91.7,93.7,"388,728"
2018-12-05,91.7,94.2,90.1,90.1,91.7,"378,201"
2018-12-04,90.5,91,83.8,84.6,89.6,"571,913"
2018-12-03,84,89.8,83,88.5,83.7,"321,861"
2018-12-02,88,88,80,81.2,86.9,"682,432"
2018-11-28,87.5,96,87.5,96,88.1,"668,635"
2018-11-27,96,98,94.5,96.8,97.2,"653,598"
2018-11-26,95.4,97,92,93.6,94.5,"494,538"
2018-11-25,94,102.9,92.4,99.9,93.5,"1,058,962"
2018-11-22,99.5,99.5,92.8,92.8,98.5,"586,385"
2018-11-20,94.5,94.5,87.4,88,92.7,"635,242"
2018-11-19,87.9,89.4,86,86,87.3,"346,225"
2018-11-18,86,86.8,81.5,82,85.7,"451,758"
2018-11-15,79.6,82,75.1,75.1,80.5,"231,086"
2018-11-14,78.9,84,78.9,84,79.4,"141,089"
2018-11-13,84,84,76.3,78.8,82.9,"222,199"
2018-11-12,76.8,80.1,76.5,80,77.1,"114,380"
2018-11-11,79,86.9,78,84.4,79.5,"269,093"
2018-11-08,84.5,85,81.8,81.8,84.2,"306,277"
2018-11-07,81.8,81.8,75,75,81.1,"440,009"
2018-11-06,74.4,76.3,73.8,76.3,74.4,"17,166"
2018-11-05,76,78.7,75.8,77.2,76.1,"73,756"
2018-11-04,78,78.4,76.5,77,77.5,"87,885"
2018-11-01,77.7,81,76.4,78.5,77.3,"160,974"
