DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18.5,18.6,18.4,18.6,18.6,"181,466"
2019-06-27,18.6,18.6,18.4,18.4,18.5,"166,465"
2019-06-26,18.5,19.8,18.2,19.8,18.5,"193,970"
2019-06-25,18.1,18.6,18.1,18.4,18.2,"339,841"
2019-06-24,18.4,18.4,18.3,18.3,18.4,"118,032"
2019-06-23,18.4,18.4,18.1,18.1,18.3,"119,347"
2019-06-20,18,18.2,17.9,18,18.1,"170,268"
2019-06-19,18,18.2,17.9,18.2,18,"315,902"
2019-06-18,17.9,18.2,17.9,18.1,18,"414,556"
2019-06-17,18.2,18.6,18.1,18.6,18.1,"318,194"
2019-06-16,18.2,18.8,18.2,18.7,18.4,"500,042"
2019-06-13,18.7,18.9,18.7,18.8,18.7,"315,846"
2019-06-12,19,19,18.7,18.8,18.8,"489,921"
2019-06-11,18.8,19.1,18.6,18.8,18.8,"200,970"
2019-06-10,19,19.1,18.6,19.1,18.7,"344,685"
2019-06-09,19.2,19.2,19,19,19.2,"87,762"
2019-05-30,19,19,18.7,18.7,19,"348,391"
2019-05-29,18.9,19,18.7,19,18.8,"385,176"
2019-05-28,18.9,19,18.8,18.9,19,"165,523"
2019-05-27,19,19,18.8,18.9,18.9,"101,332"
2019-05-26,19,19.2,18.7,18.7,19,"130,223"
2019-05-23,18.7,19,18.7,18.9,18.9,"153,230"
2019-05-22,18.6,19.6,18.6,19.4,18.9,"756,712"
2019-05-21,19.5,19.7,19.3,19.6,19.4,"99,481"
2019-05-20,19.5,21,19.5,20.6,19.6,"784,790"
2019-05-16,21.7,21.7,21.5,21.6,21.6,"493,564"
2019-05-15,21.6,21.6,21.3,21.4,21.5,"204,019"
2019-05-14,21.4,21.8,21.3,21.8,21.4,"393,120"
2019-05-13,21.7,21.9,21.6,21.9,21.7,"337,254"
2019-05-12,21.8,22,21.7,22,21.8,"71,401"
2019-05-09,21.9,22,21.6,21.9,21.9,"182,150"
2019-05-08,21.8,21.9,21.5,21.8,21.8,"108,158"
2019-05-07,21.7,21.8,21.5,21.8,21.7,"3,030,736"
2019-05-06,21.9,21.9,21.3,21.6,21.7,"3,149,232"
2019-05-05,21.6,21.8,21,21,21.4,"2,934,328"
2019-05-02,21,21,20.5,20.5,21,"264,873"
2019-04-30,20.7,20.7,20.4,20.6,20.5,"303,208"
2019-04-29,20.8,20.8,20.3,20.7,20.5,"394,044"
2019-04-28,20.7,21,20.7,21,20.8,"164,250"
2019-04-25,21,21,20.3,20.9,21,"569,119"
2019-04-24,20.4,20.5,20.2,20.5,20.3,"393,904"
2019-04-23,20.5,20.8,20.4,20.7,20.5,"33,343"
2019-04-21,20.7,20.8,20.5,20.5,20.6,"4,531"
2019-04-18,20.5,21,20.4,21,20.5,"39,977"
2019-04-17,20.7,21.8,20.2,20.3,20.5,"146,625"
2019-04-16,20.1,20.3,20,20.2,20.1,"30,387"
2019-04-15,20.3,20.5,20,20.4,20.2,"16,005"
2019-04-11,20.2,20.2,20,20.1,20,"91,451"
2019-04-10,20.1,20.3,20,20.3,20.1,"84,429"
2019-04-09,20.1,20.3,20,20.2,20.1,"65,730"
2019-04-08,20.3,20.6,20,20.6,20.3,"133,693"
2019-04-07,20.2,20.5,20,20.4,20.2,"50,009"
2019-04-04,20.7,20.7,20,20.1,20.5,"487,798"
2019-04-03,20.3,20.3,20,20.1,20.1,"90,878"
2019-04-02,20.4,20.4,20,20.4,20.1,"100,557"
2019-04-01,20.4,20.4,20,20.3,20.1,"45,057"
2019-03-31,20.1,20.8,20,20.1,20.2,"40,453"
2019-03-28,20.1,20.6,20.1,20.1,20.2,"113,213"
2019-03-27,20.3,20.9,20.3,20.9,20.3,"32,401"
2019-03-25,20.6,21.9,20,20.1,21.1,"61,681"
2019-03-24,20.2,20.2,20,20.2,20,"56,171"
2019-03-21,20.1,20.7,20.1,20.5,20.2,"56,415"
2019-03-20,20.9,21.4,20.4,21,20.8,"31,751"
2019-03-19,21.5,21.5,20.1,20.1,20.9,"78,184"
2019-03-18,20.1,20.9,20.1,20.7,20.1,"88,340"
2019-03-14,20.8,21,20.6,20.8,20.7,"55,196"
2019-03-13,20.9,21.1,20.9,21,20.9,"72,550"
2019-03-12,20.8,21.2,20.8,21.2,20.8,"71,443"
2019-03-11,21.1,21.5,21,21.4,21.1,"100,517"
2019-03-10,21.3,21.5,21.3,21.5,21.4,"56,032"
2019-03-07,21.6,21.6,21.2,21.5,21.5,"137,666"
2019-03-06,21.4,21.8,21.3,21.4,21.4,"186,001"
2019-03-05,21.4,21.5,21.2,21.3,21.3,"145,477"
2019-03-04,21.4,21.5,21.3,21.3,21.4,"121,847"
2019-03-03,21.4,21.7,21.2,21.2,21.4,"32,120"
2019-02-27,21.5,21.5,21.2,21.5,21.4,"80,508"
2019-02-26,21.5,21.7,21.3,21.5,21.3,"135,856"
2019-02-25,21.4,21.8,21.3,21.8,21.4,"31,039"
2019-02-24,21.3,21.7,20.9,21.5,21.5,"132,229"
2019-02-20,21.9,21.9,21.5,21.6,21.6,"43,542"
2019-02-19,21.9,22,21.5,21.8,21.5,"150,279"
2019-02-18,21.7,22.2,21.5,22,21.7,"154,750"
2019-02-17,21.6,22,21.3,21.6,21.7,"120,345"
2019-02-14,21.6,22,21.5,21.8,21.5,"201,298"
2019-02-13,21.6,22,21.5,22,21.7,"54,727"
2019-02-12,21.7,22.1,21.1,21.1,21.7,"60,240"
2019-02-11,21.8,21.8,20.9,21.4,21.7,"65,622"
2019-02-10,22,22,21.2,21.8,21.4,"172,405"
2019-02-07,21.7,22.9,21.7,22.5,21.8,"113,174"
2019-02-06,22,22.6,21.7,22.5,21.9,"191,127"
2019-02-05,22.4,22.4,22.2,22.2,22.3,"146,629"
2019-02-04,22.4,22.7,22.1,22.3,22.5,"141,558"
2019-02-03,22.2,22.9,22.1,22.6,22.4,"330,981"
2019-01-31,22.6,22.9,22.5,22.7,22.7,"314,572"
2019-01-30,22.7,23,22.7,22.8,22.8,"277,876"
2019-01-29,22.7,23.1,22.4,22.7,22.8,"527,799"
2019-01-28,22.6,23,22.5,22.8,22.7,"319,422"
2019-01-27,22.5,23,22.5,23,22.6,"439,819"
2019-01-24,22.9,23.4,22.7,23.4,22.8,"525,420"
2019-01-23,23,23.3,22.9,22.9,23,"822,175"
2019-01-22,22.8,23.2,22.7,22.7,22.8,"232,768"
2019-01-21,22.7,23.1,22.7,23.1,22.8,"238,732"
2019-01-20,23.1,23.4,22.9,23,23,"647,489"
2019-01-17,22.7,23.2,22.6,22.8,22.8,"1,108,557"
2019-01-16,22.8,23.1,22.7,23,22.8,"536,107"
2019-01-15,22.9,23,22.3,22.4,22.8,"705,409"
2019-01-14,22.5,23.4,22.4,22.4,22.4,"840,523"
2019-01-13,22.3,22.4,21.7,21.8,22.3,"503,816"
2019-01-10,22,22,21.7,21.9,21.8,"202,816"
2019-01-09,21.9,22.2,21.5,21.8,21.9,"744,835"
2019-01-08,21.8,21.8,21.2,21.2,21.6,"486,243"
2019-01-07,21.2,21.6,21,21.6,21.2,"506,691"
2019-01-06,21.5,21.9,20.8,20.9,21.5,"574,878"
2019-01-03,20.6,20.7,20.2,20.2,20.5,"235,008"
2019-01-02,20.3,20.3,20.1,20.2,20.2,"149,199"
2019-01-01,20.3,20.4,19.9,20,20.3,"133,679"
2018-12-27,19.8,20,19.5,19.8,19.9,"274,006"
2018-12-26,19.7,19.8,19.2,19.3,19.8,"363,783"
2018-12-24,19.3,19.4,19,19,19.3,"65,143"
2018-12-23,19.1,19.3,19,19,19.2,"82,901"
2018-12-20,19,19.1,18.7,18.8,19,"128,762"
2018-12-19,18.7,19,18.7,19,18.8,"179,677"
2018-12-18,19.1,19.1,18.8,18.8,19,"70,426"
2018-12-17,18.9,19.4,18.8,19,18.9,"508,503"
2018-12-13,19,19,18.6,18.7,18.8,"99,633"
2018-12-12,18.7,18.9,18.6,18.6,18.8,"20,056"
2018-12-11,18.9,19.5,18.6,18.8,18.9,"493,504"
2018-12-10,18.7,18.8,18.6,18.8,18.7,"82,469"
2018-12-09,18.6,18.8,18.6,18.7,18.7,"70,383"
2018-12-06,18.8,18.8,18.5,18.8,18.7,"35,843"
2018-12-05,18.8,18.9,18.6,18.7,18.6,"92,296"
2018-12-04,18.7,18.8,18.3,18.4,18.6,"166,816"
2018-12-03,18.4,18.5,18.2,18.2,18.4,"62,413"
2018-12-02,18.2,18.5,17.9,18,18.3,"100,659"
2018-11-29,18,18.4,17.9,18.2,18,"158,961"
2018-11-28,18.2,18.3,17.9,18.3,18.1,"848,472"
2018-11-27,18.3,18.7,18.2,18.6,18.3,"454,363"
2018-11-26,18.6,19,18.6,19,18.6,"282,521"
2018-11-25,18.9,19.1,18.9,19.1,19,"53,974"
2018-11-22,19.1,19.1,18.9,19,19.1,"97,416"
2018-11-20,18.9,19.1,18.5,18.7,18.9,"36,077"
2018-11-19,18.7,18.9,18.7,18.7,18.7,"69,274"
2018-11-18,18.8,19,18.8,18.9,18.9,"42,475"
2018-11-15,18.8,19,18.8,19,18.9,"88,884"
2018-11-14,19,19,18.8,18.9,18.9,"46,884"
2018-11-13,19,19.1,18.9,18.9,18.9,"75,707"
2018-11-12,18.9,18.9,18.7,18.7,18.9,"66,940"
2018-11-11,18.8,18.9,18.6,18.6,18.8,"63,862"
2018-11-08,18.9,18.9,18.7,18.7,18.8,"45,322"
2018-11-07,18.6,18.8,18.5,18.5,18.7,"36,171"
2018-11-06,18.4,19,18.4,18.9,18.5,"63,800"
2018-11-05,18.7,19,18.7,18.9,18.7,"36,266"
2018-11-04,18.8,19,18.6,18.8,18.8,"105,821"
2018-11-01,18.8,19.5,18.6,19.4,18.7,"80,095"
2018-10-31,18.9,19.2,18.9,19,19,"154,187"
2018-10-30,19.2,19.3,18.7,18.7,19.1,"121,957"
2018-10-29,18.9,19,18.3,18.4,19,"58,640"
2018-10-28,18.3,19,18,19,18.4,"110,875"
2018-10-25,19.2,19.2,19,19,19,"80,347"
2018-10-24,19,19.3,19,19.1,19.1,"193,108"
2018-10-23,19.1,19.1,18.8,18.8,19.1,"66,552"
2018-10-22,19,19.3,18.8,19.2,19,"43,509"
2018-10-21,19.3,19.7,19.2,19.7,19.3,"82,612"
2018-10-18,19.3,19.4,19.1,19.2,19.4,"79,317"
2018-10-17,19.3,19.3,19.1,19.2,19.2,"21,533"
2018-10-16,19.2,19.3,19.1,19.1,19.2,"67,068"
2018-10-15,19.3,19.4,19.1,19.3,19.2,"114,932"
