DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,44.1,44.5,43.9,44.4,44.1,"404,491"
2019-06-27,44.1,44.7,44,44.6,44.1,"714,154"
2019-06-26,44,44.8,44,44.6,44.6,"656,219"
2019-06-25,44.6,44.8,43.2,43.4,44.5,"1,222,589"
2019-06-24,43.4,43.5,42.6,43.5,43.1,"585,541"
2019-06-23,43.1,43.7,42.9,43.7,43.1,"1,481,626"
2019-06-20,43.5,44.2,43.5,44.2,43.6,"476,305"
2019-06-19,44.2,45.4,44.1,44.8,44.2,"628,807"
2019-06-18,44.5,44.9,44,44.3,44.5,"918,615"
2019-06-17,44.2,45.6,44.2,45.6,44.4,"675,153"
2019-06-16,45.7,47.2,45.5,46.5,45.7,"1,141,867"
2019-06-13,46.3,46.4,44.8,45.2,45.9,"1,044,758"
2019-06-12,45.5,45.9,45.1,45.8,45.4,"798,519"
2019-06-11,45.5,46.2,45.4,46.2,45.6,"771,916"
2019-06-10,46,46.3,44.4,44.6,46,"1,430,725"
2019-06-09,44.3,44.9,43.3,44.9,44,"558,811"
2019-05-30,44.2,45,43.8,44.4,44.4,"766,576"
2019-05-29,44.5,45,43.2,43.2,44.5,"529,551"
2019-05-28,43.7,43.8,42.7,42.8,43.6,"571,989"
2019-05-27,42.6,42.8,42.2,42.6,42.5,"173,257"
2019-05-26,42.3,42.9,42.1,42.8,42.3,"238,103"
2019-05-23,42.7,42.9,42.4,42.9,42.7,"255,913"
2019-05-22,42.8,43.6,42.5,43,42.6,"421,539"
2019-05-21,42.9,43,42.4,42.8,42.8,"291,485"
2019-05-20,42.9,43.9,41.7,43.9,42.9,"1,065,665"
2019-05-19,43.8,44,43.4,43.6,43.8,"271,885"
2019-05-16,43,43.2,42.8,43.1,43,"264,413"
2019-05-15,42.9,43.3,42.6,42.7,42.9,"167,998"
2019-05-14,42.7,43.7,42.6,43.1,42.8,"180,107"
2019-05-13,43.2,44,43.1,44,43.2,"372,357"
2019-05-12,44,44.6,43.7,44.4,43.8,"456,474"
2019-05-09,43.8,44.7,43.3,43.8,43.9,"389,698"
2019-05-08,43.5,44.6,43,44.6,43.2,"338,774"
2019-05-07,44.2,45.1,44.1,45,44.2,"289,661"
2019-05-06,44.7,45.8,44.6,45.6,44.9,"401,523"
2019-05-05,45,46.4,45,45.9,45.6,"664,708"
2019-05-02,46,46,42.8,43,45.5,"548,227"
2019-04-30,42.6,42.9,42.4,42.8,42.6,"276,333"
2019-04-29,42.4,42.7,42.1,42.1,42.4,"193,931"
2019-04-28,42,42.8,42,42.7,42.2,"132,021"
2019-04-25,42.7,42.8,42.2,42.4,42.5,"76,081"
2019-04-24,42.1,43.4,42,43.4,42.2,"118,842"
2019-04-23,42.4,43.2,42.4,43.2,42.5,"163,943"
2019-04-21,43.7,43.7,43.2,43.3,43.5,"116,940"
2019-04-18,42.8,43.5,42.2,42.3,43.2,"171,235"
2019-04-17,42.2,42.5,42,42.5,42.2,"132,980"
2019-04-16,42.1,42.7,42,42.6,42.2,"86,495"
2019-04-15,42.4,43.5,42.4,43.2,42.6,"136,679"
2019-04-11,43,43.5,42.7,43,43,"215,453"
2019-04-10,42.5,43.2,42.5,43.1,42.6,"118,127"
2019-04-09,42.8,43.7,42.8,43.6,43,"328,527"
2019-04-08,44,44.3,43.3,43.5,43.9,"265,721"
2019-04-07,44,44.3,43.5,44,43.8,"334,013"
2019-04-04,44,44,43.5,43.8,43.8,"148,497"
2019-04-03,43.6,44.1,43.6,43.9,43.7,"170,118"
2019-04-02,44.3,44.4,43.8,43.9,44.1,"160,780"
2019-04-01,43.5,43.9,43.5,43.5,43.6,"193,076"
2019-03-31,43.6,44,43.1,43.9,43.5,"247,320"
2019-03-28,43.4,44.6,43.3,44.2,43.7,"699,449"
2019-03-27,44.7,45.1,44.3,45.1,44.4,"142,109"
2019-03-25,44.9,45.5,44.1,44.1,44.8,"207,643"
2019-03-24,44.4,45,43.5,44.8,44,"230,946"
2019-03-21,44,45.2,43.5,44.7,44.1,"453,178"
2019-03-20,44.7,45.6,44.6,44.9,44.8,"134,116"
2019-03-19,45,45.1,43.2,43.8,44.7,"402,597"
2019-03-18,43.9,45,43.4,44.9,43.6,"185,244"
2019-03-14,44.8,46.4,44.8,46,44.9,"302,021"
2019-03-13,46,47,45.5,46.8,45.9,"227,264"
2019-03-12,46.6,47.9,46.5,47.4,46.7,"133,804"
2019-03-11,47.1,48.3,47.1,47.6,47.4,"151,768"
2019-03-10,48,48.1,47.3,47.6,47.6,"105,998"
2019-03-07,47.6,47.7,46.7,47.2,47.4,"235,871"
2019-03-06,46.9,47.3,46.3,46.7,46.5,"242,165"
2019-03-05,46.3,47.9,46.3,47.8,46.6,"441,724"
2019-03-04,47.5,49.1,47.3,48.9,47.5,"514,897"
2019-03-03,48.8,49.8,48.5,49,48.7,"203,494"
2019-02-27,48.3,49,48.3,48.8,48.4,"508,163"
2019-02-26,49,49.5,48.7,49.5,49,"154,009"
2019-02-25,49,49.7,49,49.3,49.1,"197,377"
2019-02-24,49.3,50.6,49.3,50.4,49.4,"150,510"
2019-02-20,49.7,50.4,49.5,49.7,49.6,"210,231"
2019-02-19,49.6,50.5,49.6,50.4,49.7,"155,398"
2019-02-18,50.2,51.2,49.8,51.2,50.3,"432,888"
2019-02-17,51.1,52.2,51,51.6,51.1,"466,203"
2019-02-14,51.4,51.8,49.7,49.8,51.3,"929,161"
2019-02-13,49.7,49.8,49.3,49.3,49.6,"132,961"
2019-02-12,49.1,50,49,49.1,49.3,"481,768"
2019-02-11,49.2,50.3,48.6,49,48.8,"318,227"
2019-02-10,48.6,49.2,48.2,49.2,48.4,"234,635"
2019-02-07,49.4,49.8,49,49.8,49.1,"241,212"
2019-02-06,49.5,50.7,48.9,50.7,49.2,"305,812"
2019-02-05,49,50,49,50,49.1,"339,666"
2019-02-04,49.3,50.2,49.3,50.2,49.5,"383,887"
2019-02-03,50,51.8,49.6,51.1,49.7,"743,052"
2019-01-31,50.4,51.4,50.3,51,50.6,"450,801"
2019-01-30,51.5,52.1,50.7,51.4,51.2,"873,861"
2019-01-29,51.4,52.2,50.7,51.6,51.1,"458,826"
2019-01-28,51.5,51.6,50.7,51.6,51.3,"751,874"
2019-01-27,50.4,52,50.4,51,50.6,"832,977"
2019-01-24,50.9,51.3,49.8,50.1,50.6,"487,572"
2019-01-23,50.6,52,49.2,51.5,50.1,"715,727"
2019-01-22,50.9,51.9,50.7,51.8,50.8,"515,834"
2019-01-21,51.4,52,51.1,51.5,51.3,"386,310"
2019-01-20,51.6,52,50.9,51.7,51.3,"569,090"
2019-01-17,51,52.2,50.9,51.4,51,"738,957"
2019-01-16,50.9,52.5,50.5,51.8,50.7,"637,620"
2019-01-15,51.7,53.1,51.5,52.8,51.8,"778,416"
2019-01-14,52.8,53.7,51.9,52,52.4,"1,107,020"
