DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,645,651.2,644,648.1,645.9,"3,200"
2019-06-27,655.6,663,645.2,657.3,651.7,"6,209"
2019-06-26,655.2,674,655.1,672,657.3,"7,168"
2019-06-25,670,675,655,660,671.8,"11,495"
2019-06-24,652.1,657,642.4,653.9,654.2,"3,742"
2019-06-23,643.6,660,642.4,646.5,647.2,"3,896"
2019-06-20,646,662,643.3,658,646.5,"7,890"
2019-06-19,656,667.7,655.3,667.7,658.2,"8,839"
2019-06-18,661,682,655.1,662.6,657.5,"13,519"
2019-06-17,667.8,699,661,697,665.6,"13,737"
2019-06-16,679.9,679.9,632.3,638.4,679.9,"30,226"
2019-06-13,632.4,636.1,625,625,632.5,"8,851"
2019-06-12,626.4,640,622.2,640,627.1,"5,539"
2019-06-11,632,644.8,619.5,619.7,633.1,"13,363"
2019-06-10,618.5,624.9,609,615,617.7,"4,147"
2019-06-09,606,614,606,610,607.7,"5,810"
2019-05-30,609.2,618.9,609,618.9,612.1,"2,620"
2019-05-29,611,624.8,610,624.8,613.3,"3,949"
2019-05-28,621.7,624,605.2,614.8,621.1,"6,038"
2019-05-27,603,609,601.2,607.1,602.8,"4,747"
2019-05-26,607,620,606.2,617.4,606.9,"4,171"
2019-05-23,618.5,629.8,614.7,619.9,617.4,"9,677"
2019-05-22,619.5,619.5,602.3,608,613.8,"3,893"
2019-05-21,601,609.7,601,601.5,601.7,"2,027"
2019-05-20,605.1,613.5,604,608.7,604.3,"3,209"
2019-05-19,610,614.1,605,614.1,608.7,"1,890"
2019-05-16,603.1,612.5,603,607.5,604.1,"1,887"
2019-05-15,607,609,600.6,607,603,"2,317"
2019-05-14,606,606,600.2,602.2,601.6,"2,267"
2019-05-13,600.7,607,600,606.1,601.9,"2,944"
2019-05-12,602,620,602,615.4,604.9,"3,141"
2019-05-09,608.3,617,608,608,610.9,"2,351"
2019-05-08,606,618,600,618,604.9,"5,478"
2019-05-07,611.6,634,611.3,632,612.5,"6,700"
2019-05-06,630.3,640.1,630.2,640.1,631.6,"4,381"
2019-05-05,638,654.2,637.1,642,639.2,"7,419"
2019-05-02,638,638,618.1,627.9,631.9,"4,885"
2019-04-30,600.2,629.9,600,615,602.5,"10,537"
2019-04-29,618.9,633,610,633,612,"5,580"
2019-04-28,636.3,643.8,635,643.8,637.7,"2,440"
