DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,242.1,242.1,240.1,242,241.5,"4,327"
2019-06-27,242.7,249.5,242,249.4,242.5,"7,473"
2019-06-26,245.2,247,245.2,247,245.8,"1,403"
2019-06-25,245.1,245.4,244.5,244.5,245.2,"1,243"
2019-06-24,246,246.5,246,246.1,246.1,364
2019-06-23,246.6,252.9,246.2,246.4,246.9,"1,442"
2019-06-20,248.1,254.9,247.7,247.7,250.9,"1,339"
2019-06-19,250.6,251.9,250.5,251.9,251,"2,115"
2019-06-18,256.7,256.7,247,247,254.6,"30,205"
2019-06-17,252,252,247.1,248,250,"5,310"
2019-06-16,247,252,243,245.2,251.3,"6,168"
2019-06-13,245.3,250.8,245.3,250.8,246,"1,232"
2019-06-12,245.4,254,244,244,250.5,"9,185"
2019-06-11,246,252,243.2,244.9,250.9,"7,920"
2019-06-10,242.2,246.3,242.1,246.3,242.7,"9,751"
2019-06-09,241.3,245,241,244,244.2,"4,853"
2019-05-30,244.5,244.5,239.6,240.4,243.8,"10,590"
2019-05-29,245,245,239.5,239.5,242.5,"6,670"
2019-05-28,241.9,243,239,243,241,"2,797"
2019-05-27,235.2,244.2,235.2,240.6,238.1,"1,691"
2019-05-26,241.4,248,241.1,246.9,241.8,"6,670"
2019-05-23,241.4,246.8,240.7,244.9,245.9,"8,397"
2019-05-22,239.6,245,239.6,242.8,244.4,"10,024"
2019-05-21,239.2,243,239,239,240.4,"7,404"
2019-05-20,241,241,239.2,241,240.4,"4,412"
2019-05-19,239.1,243,238.8,242.9,242,"2,182"
2019-05-16,239,239.7,238.2,239.7,238.6,"1,775"
2019-05-15,239,243.9,239,243.2,239.7,"1,916"
2019-05-14,239.4,244,239,243.6,242.1,"4,212"
2019-05-13,240,244.5,240,244.5,242.5,"2,385"
2019-05-12,239.2,245,238,244.9,239.7,"7,529"
2019-05-09,240.2,244,240.2,241.1,240.9,"3,960"
2019-05-08,242.8,247,240.5,243.9,240.9,"2,865"
2019-05-07,244.4,246.5,240,246.5,240.9,"5,004"
2019-05-06,242.3,249.8,242.1,248.2,242.5,"20,714"
2019-05-05,246.3,248.6,246,248.6,248.2,"15,327"
2019-05-02,250,250,241.2,244.6,246.6,"18,231"
2019-04-30,243.7,245,239,239.1,244.6,"2,933"
2019-04-29,240.8,247.5,240.2,247.5,240.9,"15,672"
2019-04-28,241.6,250,241.5,249,242.2,"14,631"
2019-04-25,245,251.9,245,248.9,249.6,"3,503"
2019-04-24,244.1,248.8,242.1,246,248.3,"6,600"
2019-04-23,245,250,245,249.1,246,"4,694"
2019-04-21,251,252.8,247,252.8,249,"7,505"
