DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,40.8,41.9,40.2,41,40.7,"799,304"
2019-06-27,40.7,41.3,39.5,41,40.9,"591,789"
2019-06-26,40.8,40.8,38.6,38.6,40.5,"926,032"
2019-06-25,38.2,39.5,38,38.9,38.2,"633,123"
2019-06-24,37.6,38.5,36.2,36.5,38.1,"556,581"
2019-06-23,36.3,37.4,36.3,37.4,36.5,"117,784"
2019-06-20,37,38,36.8,37.4,37,"243,742"
2019-06-19,37.2,38.2,37,37.8,37.1,"386,617"
2019-06-18,38.2,38.5,37.5,38,37.6,"492,762"
2019-06-17,37.1,38.5,36.5,37.6,37.5,"496,318"
2019-06-16,37.4,39,37.3,37.6,37.5,"1,132,843"
2019-06-13,36.5,37.3,35.3,35.4,36.6,"640,227"
2019-06-12,35,35.7,35,35.6,35.3,"243,829"
2019-06-11,35.8,35.8,35.1,35.1,35.6,"192,781"
2019-06-10,35.4,36.6,34.1,34.1,35.5,"461,783"
2019-06-09,34.4,34.4,32.8,33.5,34.1,"62,785"
2019-05-30,33.4,33.7,33.3,33.5,33.4,"25,415"
2019-05-29,33.5,33.9,33.5,33.9,33.6,"11,765"
2019-05-28,33.7,33.8,33.1,33.3,33.5,"37,223"
2019-05-27,33.4,33.4,33.1,33.2,33.2,"13,335"
2019-05-26,33.1,33.4,33,33.4,33.2,"20,742"
2019-05-23,33.3,33.9,33.3,33.7,33.4,"65,183"
2019-05-22,33.8,34.3,33.6,34.3,33.7,"51,152"
2019-05-21,33.9,34.4,33.7,34.4,33.9,"51,867"
2019-05-20,33.7,34.9,33.6,34.7,33.9,"70,861"
2019-05-19,34.7,35,34.4,35,34.5,"30,084"
2019-05-16,34.6,35,34.4,34.9,34.5,"27,662"
2019-05-15,34.4,35,34.2,35,34.3,"21,891"
2019-05-14,34.3,34.8,34.3,34.6,34.3,"41,784"
2019-05-13,34.7,35.4,34.6,35.4,34.6,"78,396"
2019-05-12,34.9,35.3,34.6,34.7,34.9,"74,562"
2019-05-09,34.8,34.9,34.3,34.7,34.5,"56,955"
2019-05-08,34.5,34.9,34.4,34.7,34.5,"48,751"
2019-05-07,34.8,36,34.4,35.7,34.5,"62,355"
2019-05-06,35.9,36.9,35,36.6,35.3,"301,221"
2019-05-05,35.9,37.3,35.6,35.6,36.1,"194,666"
2019-05-02,35.3,35.8,34.3,34.3,35.4,"169,124"
2019-04-30,34.2,35,33.7,33.7,34.1,"120,494"
2019-04-29,33.4,33.5,33,33.5,33.1,"42,703"
2019-04-28,33.6,34,33,33.1,33.5,"42,174"
2019-04-25,34.1,34.1,33,33.4,33.7,"14,790"
2019-04-24,33,33.8,32,33.2,33,"28,675"
2019-04-23,33.3,33.6,33.2,33.5,33.5,"57,000"
2019-04-21,33.8,35.2,33.5,34.6,33.8,"40,230"
2019-04-18,34.7,34.9,33,33,34.4,"34,670"
2019-04-17,33.5,33.5,32.1,32.9,33,"92,502"
2019-04-16,32.9,33.6,32.5,33.6,33,"47,150"
2019-04-15,33.5,35.1,33.5,33.5,33.8,"6,542"
2019-04-11,33.8,34.6,33.5,33.8,33.9,"38,027"
2019-04-10,33.6,33.9,33.3,33.9,33.4,"33,155"
2019-04-09,33.5,34.1,33.2,34.1,33.4,"17,081"
2019-04-08,33.3,34.3,33.1,34.3,33.3,"106,874"
2019-04-07,33.9,34.3,33.9,34.3,34,"15,435"
2019-04-04,34.3,34.7,34.3,34.5,34.5,"63,318"
2019-04-03,34.6,35,34.5,35,34.5,"54,400"
2019-04-02,35.1,35.5,34.9,35,35,"70,540"
