DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,76.9,77.8,76.1,76.2,77.4,"78,384"
2019-06-27,76.2,77.5,76.2,77.2,76.3,"62,157"
2019-06-26,77.2,77.4,75.9,76.2,76.6,"73,427"
2019-06-25,75.6,78.8,75.2,78.8,75.9,"57,230"
2019-06-24,78,78,75.5,76,77.6,"71,612"
2019-06-23,75.3,77.2,75,77.1,75.4,"79,524"
2019-06-20,77,78.8,77,78.2,77.2,"79,420"
2019-06-19,78,79.8,77.9,77.9,78.2,"60,737"
2019-06-18,78.4,79.4,77.7,78.5,78.1,"131,969"
2019-06-17,78.1,81.4,77.7,81,78,"220,136"
2019-06-16,81.1,82.4,80.5,81.9,81.1,"265,199"
2019-06-13,81.4,82.1,78.9,79,81.3,"516,439"
2019-06-12,78.7,79,77.5,78.3,78.7,"165,609"
2019-06-11,78.7,79.1,77.8,77.8,78.4,"238,966"
2019-06-10,77.5,77.7,75.2,75.4,77.3,"225,996"
2019-06-09,75,75.2,74,74,75,"60,154"
2019-05-30,74.2,75.7,74.1,75.7,74.4,"39,418"
2019-05-29,75.1,76,75,76,75.3,"57,394"
2019-05-28,74.7,76.1,74.7,74.7,75.4,"122,595"
2019-05-27,74.3,74.9,74.1,74.5,74.6,"20,773"
2019-05-26,74.5,75,73.6,73.7,74.7,"71,541"
2019-05-23,73.8,74.6,73.6,74.1,73.7,"41,018"
2019-05-22,74.3,74.8,73.7,74.8,74,"71,289"
2019-05-21,73.9,74,73.6,74,73.9,"31,323"
2019-05-20,74,75.1,74,74.7,74,"48,328"
2019-05-19,75.5,75.5,73,73.1,74.7,"82,825"
2019-05-16,73.4,73.7,72.1,73.7,73,"30,757"
2019-05-15,73,73.6,72.5,72.6,72.7,"67,694"
2019-05-14,73.3,74.1,72.3,73.5,72.8,"43,316"
2019-05-13,73,76,72.5,76,73,"81,723"
2019-05-12,75.5,76.7,74.6,75.5,75.1,"55,319"
2019-05-09,74.6,76.4,74.5,75,75.2,"93,545"
2019-05-08,74.2,76.4,73.9,75.7,74.6,"150,579"
2019-05-07,75.1,78,74.9,76.4,75.2,"136,926"
2019-05-06,76.2,80,75.8,80,76.3,"338,812"
2019-05-05,79.1,81,78.5,80,79.5,"238,963"
2019-05-02,79,79.8,75.5,75.5,79.2,"548,844"
2019-04-30,75.8,77.1,74.7,75.5,76,"164,417"
2019-04-29,74.3,75.5,73.2,73.5,74.7,"129,317"
2019-04-28,73.2,74.2,72.5,74.1,73.5,"32,652"
2019-04-25,73.4,75.7,72,73,73.9,"99,247"
2019-04-24,72.5,72.5,70,71.3,72.1,"39,779"
2019-04-23,71.5,72.9,70.9,72.9,71.3,"23,564"
2019-04-21,72.2,72.5,70,72,71.9,"35,645"
2019-04-18,71.6,71.6,68.6,70.3,71,"30,141"
2019-04-17,69.9,69.9,66.1,66.6,69.6,"21,762"
2019-04-16,67.6,69.8,65.7,65.7,67.9,"1,851"
2019-04-15,68.8,69.6,68.8,68.9,69.2,"13,466"
2019-04-11,68.8,70.3,68.8,70,69.5,"14,005"
2019-04-10,67.7,69.8,67,67,68,"21,470"
2019-04-09,68.3,70,68.3,69.3,68.6,"29,306"
2019-04-08,69,70,69,69.5,69.3,"65,448"
2019-04-07,70.6,71.5,70.6,71.2,70.9,"27,790"
2019-04-04,71.1,71.7,70,71.2,71.2,"17,886"
2019-04-03,71.2,71.9,71.1,71.6,71.3,"39,780"
2019-04-02,71.5,71.7,71.2,71.3,71.5,"18,389"
2019-04-01,71.1,72,71.1,71.8,71.2,"19,134"
2019-03-31,71.2,71.5,71.1,71.3,71.2,"19,636"
2019-03-28,71.4,72.8,71.3,72.8,71.4,"14,921"
2019-03-27,71.2,73.1,71,72,71.2,"37,395"
2019-03-25,72.5,73,71,73,71.9,"17,891"
2019-03-24,73,73.9,71,71,72.9,"94,448"
2019-03-21,69.8,70.5,69.5,69.5,69.9,"43,419"
2019-03-20,70.5,71,69.2,70.8,70,"47,251"
2019-03-19,70,71,69.5,69.5,69.7,"49,835"
2019-03-18,71,71,69.7,71,70.1,"110,799"
2019-03-14,71.1,72,71.1,72,71.1,"46,730"
2019-03-13,71.4,72.4,71,72,71.5,"48,404"
2019-03-12,72.5,72.5,71.7,71.9,72.1,"59,983"
2019-03-11,72.2,72.4,71.2,71.3,71.9,"19,692"
2019-03-10,71.7,72.9,71.5,72.9,71.8,"55,839"
2019-03-07,72.4,72.8,71.4,72.7,72.5,"40,603"
2019-03-06,71.4,73,71,71.2,71.3,"143,487"
2019-03-05,71,72.1,70.7,71.4,71.1,"93,688"
2019-03-04,71,72.9,70.5,72,70.7,"162,183"
2019-03-03,71.8,73.3,71.7,73.3,71.8,"463,011"
2019-02-27,73.8,75.6,72.6,73.6,73.1,"124,897"
2019-02-26,74.4,74.8,73.3,73.3,74,"56,225"
2019-02-25,73.6,75,73.6,74.5,73.8,"47,917"
2019-02-24,74.1,75.7,74.1,74.8,74.5,"47,369"
2019-02-20,74.8,76.2,74.5,76,74.7,"34,075"
2019-02-19,75.6,77.7,75,75.8,76.3,"301,217"
2019-02-18,75.2,78,74,75.8,74.9,"312,974"
2019-02-17,75.4,76.8,73,74,75.8,"129,966"
2019-02-14,73.9,75.1,73.8,75.1,74.1,"50,345"
2019-02-13,74.5,75,73.8,74,74.4,"26,436"
2019-02-12,74.3,74.6,73.5,74.4,74,"54,905"
2019-02-11,74.5,75,73.5,74.1,74.2,"45,177"
2019-02-10,74.1,76.7,74.1,75.6,74.3,"75,124"
2019-02-07,75.3,77.1,75.3,77,75.6,"49,134"
2019-02-06,77.5,77.7,76,76.9,76.7,"64,018"
2019-02-05,76.5,77.6,76.5,77,76.8,"47,403"
2019-02-04,77.1,78.3,76.5,76.5,77.3,"104,539"
2019-02-03,76.3,77.6,75.5,76,76.3,"127,380"
2019-01-31,75,76.8,74.7,76.3,75.7,"82,017"
2019-01-30,74.9,76.5,72,75,75.7,"314,205"
2019-01-29,76.3,78.2,76.3,76.7,76.8,"71,569"
2019-01-28,77.5,78.1,76.1,77,76.6,"103,895"
2019-01-27,78.5,79,75,75,77.8,"178,948"
2019-01-24,76.5,79.4,76.3,79.4,76.8,"124,280"
2019-01-23,79.4,79.9,75.4,79.2,79,"241,151"
2019-01-22,79,80.5,78.6,79.1,79.1,"138,053"
2019-01-21,80,80.4,79,79,79.7,"182,086"
2019-01-20,79.3,81.1,79,79.9,79.3,"189,215"
2019-01-17,80.5,80.9,78.4,80,79.8,"261,661"
2019-01-16,80.1,84.4,80,82.7,80.3,"281,024"
2019-01-15,83,83,78,78,82.5,"446,234"
2019-01-14,79.8,81.6,77.5,77.5,79.1,"409,353"
2019-01-13,77.5,78.8,76,76.1,77.2,"231,893"
2019-01-10,77.3,80,76.7,77.7,76.9,"212,287"
2019-01-09,79.9,82.5,78.1,78.1,79.7,"350,399"
2019-01-08,78.5,79.1,75.8,75.8,78.1,"544,656"
2019-01-07,75.6,76.8,75,75,75.4,"225,478"
2019-01-06,75.3,76.7,74.3,75,75.7,"231,518"
2019-01-03,75,76,73.8,74.8,75.4,"163,427"
2019-01-02,74.6,74.6,72.8,73.3,73.8,"120,136"
2019-01-01,73,73.6,72.1,72.7,72.6,"67,632"
2018-12-27,72.7,73,71.2,71.6,71.9,"66,806"
2018-12-26,71.8,72,71.1,71.7,71.5,"42,789"
2018-12-24,71.5,72.9,71.1,71.2,71.7,"40,605"
2018-12-23,72.4,72.8,70.9,72.8,71.3,"82,808"
2018-12-20,72.6,73.5,71.5,73.5,71.9,"146,425"
2018-12-19,72.6,73.3,71.4,71.7,72.6,"104,649"
2018-12-18,71.5,73,70.9,71.1,71.7,"72,245"
2018-12-17,71,75.3,70.5,75.2,70.8,"133,325"
2018-12-13,76,78.5,74.4,74.5,75.4,"261,196"
2018-12-12,74.6,76.2,74.1,75.7,74.9,"236,280"
2018-12-11,74.5,77,74.1,74.5,74.5,"392,366"
2018-12-10,73.7,74.9,71.3,73.4,73.7,"270,174"
2018-12-09,72.8,74.2,70.4,70.5,72.4,"209,043"
2018-12-06,70.9,72,70.1,70.5,70.7,"127,659"
2018-12-05,70.2,70.7,70,70.5,70.2,"98,870"
2018-12-04,70.3,71.7,70,71.7,70.2,"97,962"
2018-12-03,70.8,72.2,70,70.7,70.8,"114,956"
2018-12-02,69.6,70.7,68.7,70.4,69.9,"117,172"
2018-11-28,71.5,72.4,69.5,72.4,70.2,"150,865"
2018-11-27,71.5,74,71,72.2,71.3,"127,595"
2018-11-26,72.1,74.5,72.1,74.3,72.3,"104,882"
2018-11-25,73.7,76.7,73.5,74.5,73.9,"133,707"
2018-11-22,75.2,77.9,74,76.5,74.4,"168,583"
2018-11-20,76.4,79.9,75.5,78.9,77.6,"294,776"
2018-11-19,76.7,78.9,74,75,77.3,"306,330"
2018-11-18,73.9,76.4,73.6,73.8,74.1,"110,838"
2018-11-15,74.2,75.3,73.5,75.3,73.8,"77,621"
2018-11-14,75.2,76.4,72.2,72.9,74.8,"361,552"
2018-11-13,71.5,73.4,71,72,71.8,"160,253"
2018-11-12,72,73.3,71.3,71.3,72,"169,920"
2018-11-11,71,74,70.6,73,72.1,"100,275"
2018-11-08,71.5,72.8,71.1,71.3,71.6,"96,097"
2018-11-07,71.1,72.7,71,72.3,71.3,"80,568"
2018-11-06,70.2,75,70.1,74.5,71,"82,064"
2018-11-05,74.1,74.8,71.8,74,74.1,"148,205"
2018-11-04,74.2,74.4,69,69.5,73.6,"279,958"
2018-11-01,68.6,69.5,67,67,69,"125,807"
2018-10-31,67.1,68.6,66.3,68,66.9,"88,667"
2018-10-30,68.9,71.5,68.5,69,68.7,"114,964"
2018-10-29,68.8,69,64.8,64.8,68.4,"139,659"
2018-10-28,64.6,65.8,64.3,65.5,64.7,"56,017"
2018-10-25,65.7,67.6,65.7,66.5,66.2,"66,413"
2018-10-24,66.3,67.5,65.6,66.2,66.7,"60,430"
2018-10-23,66,67.7,65.5,67,66,"37,572"
2018-10-22,67.2,68.2,65.9,67.4,66.9,"46,115"
2018-10-21,67.3,70.7,65,70,67.4,"138,041"
2018-10-18,70,71.1,70,71.1,70,"45,586"
2018-10-17,70.7,73.4,70.5,72.7,70.8,"92,985"
2018-10-16,71.8,72.9,71.4,72.1,72,"53,961"
2018-10-15,72.3,72.6,71.2,71.4,72.3,"88,304"
2018-10-14,71.4,71.5,70,70,71.1,"117,488"
2018-10-11,70.3,72.5,69.9,71.9,70,"172,663"
2018-10-10,72.2,73.5,71.6,73.5,71.9,"90,513"
2018-10-09,73,74.9,72.7,74.9,73.3,"88,894"
2018-10-08,73.9,77.1,73.6,77.1,74,"108,904"
2018-10-07,75.7,78.6,74.1,77,76,"159,582"
2018-10-04,76,76.8,73.3,73.3,76.5,"188,017"
2018-10-03,73.4,74,72.5,72.7,73,"70,718"
2018-10-02,72.6,74,72.2,73.7,72.4,"83,928"
2018-10-01,73.3,75,72.8,74,73.1,"96,013"
2018-09-30,73.8,73.8,71.5,71.5,73,"82,256"
2018-09-27,71.3,74.3,71.1,74.2,71.5,"68,332"
2018-09-26,74.4,74.5,72.1,73,74.1,"95,901"
2018-09-25,72.2,73.2,71.1,73,72,"142,621"
2018-09-24,72.1,77.4,72,77.3,72.4,"204,816"
2018-09-23,77.5,80.1,77.1,80.1,77.3,"120,472"
2018-09-20,78.9,81.8,78.5,80.4,79.3,"155,626"
2018-09-19,80,82,80,81.4,80.1,"162,159"
2018-09-18,81.2,82.9,80.6,82.9,81.1,"165,587"
2018-09-17,82.1,84.4,81.4,83.9,81.8,"210,702"
2018-09-16,83.9,86.4,82.5,86.4,83.2,"172,447"
2018-09-13,85.3,90.5,85.1,88,85.8,"378,832"
2018-09-12,87.7,89,82.2,83,86.8,"420,301"
2018-09-11,82.5,83.4,81.6,83.4,81.9,"111,321"
2018-09-10,82.5,85.2,82.3,83.7,82.5,"244,388"
2018-09-09,83.1,84.8,81.1,82.6,83.6,"244,993"
2018-09-06,81.9,85,81.8,84.7,81.9,"155,348"
2018-09-05,83.6,85,81.6,82,83.9,"203,677"
2018-09-04,81.5,83.7,81.5,83.6,81.8,"118,507"
2018-09-03,82.7,83.6,82.5,83,82.6,"164,152"
2018-08-30,82.8,84.2,82.5,84.2,82.7,"181,578"
2018-08-29,83.3,86,82.5,86,82.9,"176,300"
2018-08-28,85.7,88.9,85,87.8,85.5,"153,829"
2018-08-27,87.4,89.7,87,87.9,87.6,"160,448"
2018-08-26,87.5,87.5,84.5,84.9,86.5,"133,766"
2018-08-20,83.7,86.1,82,82.8,83.7,"173,927"
2018-08-19,82.5,91.6,82.5,91.6,82.8,"337,043"
2018-08-16,92.5,94.9,90.7,91.4,91.6,"210,968"
2018-08-14,90,92.9,89.6,91.3,90.2,"216,821"
2018-08-13,90.2,96.1,90.1,96.1,91.3,"264,670"
2018-08-12,96.3,99.9,94.1,97,95.1,"350,592"
2018-08-09,96.6,103,96,102.9,96.8,"395,021"
2018-08-08,100,104,96.5,96.9,100.4,"548,855"
