DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,174.6,178.3,174.1,176.6,174.6,"23,146"
2019-06-27,177.5,181.9,177.5,179,178.1,"12,428"
2019-06-26,180,181.8,175.6,175.6,179.9,"13,124"
2019-06-25,180.9,181.8,178.5,181.8,179.9,"13,627"
2019-06-24,179,180.9,178.2,178.2,179,"14,855"
2019-06-23,181,183,178.5,183,179.1,"14,615"
2019-06-20,182.1,189,182,183,183.1,"41,093"
2019-06-19,184,186.9,180.7,182.9,185.3,"32,552"
2019-06-18,182.5,183,180,180.3,181.3,"40,307"
2019-06-17,181.5,187.6,180.7,185,181.1,"42,113"
2019-06-16,185.8,190,176,177.5,185.4,"110,612"
2019-06-13,176.8,177.8,174.5,174.5,175.4,"19,549"
2019-06-12,175.8,177.8,174.2,177,174.8,"26,584"
2019-06-11,178,181.9,173,180,179.4,"41,119"
2019-06-10,177,177.5,170,171.5,177.1,"46,038"
2019-06-09,169.5,171.4,169.5,170.3,169.6,"3,916"
2019-05-30,170.7,170.7,168.4,169.6,170.2,"9,404"
2019-05-29,170.1,171.9,168.6,171.9,169.6,"6,495"
2019-05-28,168.8,168.9,165.1,165.1,168.2,"8,508"
2019-05-27,167.9,170,165,168,167.1,"30,218"
2019-05-26,169,172.6,168.5,172,169.7,"12,165"
2019-05-23,168.5,172,168,172,168.4,"13,792"
2019-05-22,174,174,169,172.9,172.7,"8,462"
2019-05-21,168.8,171,168.6,171,169.2,"10,189"
2019-05-20,170,172.3,170,172.1,170.2,"5,964"
2019-05-19,171.2,175,171,172.3,172.9,"12,635"
2019-05-16,171.7,172.9,170.8,170.8,172.1,"3,561"
2019-05-15,171.3,173.8,171,172,171.3,"6,214"
2019-05-14,172.1,173.7,171,172,172.5,"2,554"
2019-05-13,172.2,174,170.5,172.6,173.8,"8,320"
2019-05-12,176.7,177,170.1,174.1,171.2,"11,807"
2019-05-09,177.3,179.5,173,179,174.7,"20,362"
2019-05-08,177,178.1,172.2,173.2,177.2,"29,110"
2019-05-07,172,179,172,179,172.9,"34,627"
2019-05-06,177.6,186,176.5,185,177.3,"42,898"
2019-05-05,184.8,188,173.1,173.3,182.5,"87,006"
2019-05-02,172.7,177,168.1,169,172.4,"58,725"
2019-04-30,168,173,160.6,170.1,162.8,"33,309"
2019-04-29,170,182.8,167.8,179,169.9,"124,905"
2019-04-28,170.3,170.3,156.1,156.1,170.3,"41,542"
2019-04-25,152.4,159.8,152.1,154,154.9,"24,064"
2019-04-24,155.9,159,151.2,157.4,152.1,"20,835"
2019-04-23,159,164.1,159,164,159.3,"13,003"
2019-04-21,166.4,167,163,164.8,165.4,"23,991"
2019-04-18,162,164.9,156.3,158.3,162.6,"16,621"
2019-04-17,157,159.7,156.2,159,158,"4,605"
2019-04-16,156,160,155,158,156.7,"12,277"
2019-04-15,160,163.4,160,162.6,160.3,"18,734"
2019-04-11,160,162.8,157,162.8,161.4,"9,066"
2019-04-10,157,163.9,155.7,158.7,158.2,"7,474"
2019-04-09,160,165.8,159.9,165,161,"8,842"
2019-04-08,165,168.7,165,168.5,165.3,"8,299"
2019-04-07,169,172.7,168.9,169.3,169,"8,088"
2019-04-04,171.4,171.4,169,170.3,169.8,"11,620"
2019-04-03,171.5,173,171,172.5,171.6,"7,253"
2019-04-02,176,176.4,174.3,176.4,175.2,"9,768"
2019-04-01,174.6,176.1,173.7,174.5,175,"13,645"
2019-03-31,173.7,174,172,172,173.2,"7,973"
2019-03-28,171.5,175.6,171.5,172.3,172.1,"11,214"
2019-03-27,172.9,175.1,172.2,175.1,173.1,"5,905"
2019-03-25,178,179,173.2,179,175.1,"15,256"
2019-03-24,176,182,174.7,174.7,178.3,"20,806"
2019-03-21,172.5,174.8,168,169,173,"30,400"
2019-03-20,168.5,171.7,167,167,168.3,"13,984"
2019-03-19,169.3,173,165,169.1,170.7,"11,844"
2019-03-18,165,180.9,165,177.2,173.1,"6,204"
2019-03-14,179.1,182,175.1,175.2,179.7,"27,329"
2019-03-13,178,181.7,175.1,175.1,178.5,"17,669"
2019-03-12,177.3,183.7,175.5,183,176.4,"12,363"
2019-03-11,182,182.9,174,175.6,181.7,"23,424"
2019-03-10,177,177,172.7,174,175.6,"8,563"
2019-03-07,174,174.7,171.4,172.9,173.4,"16,006"
2019-03-06,172.5,175.6,171.5,174.2,172.4,"10,569"
2019-03-05,177,179,173,176.8,175,"14,793"
2019-03-04,176.2,176.6,175,176.4,175.8,"8,003"
2019-03-03,178.9,181.8,175,181.8,175.8,"30,303"
2019-02-27,178.1,183.5,178,182.1,180.5,"16,370"
2019-02-26,183.1,187,183.1,186.9,184.1,"12,568"
2019-02-25,187,187.5,185,187,185.9,"12,468"
2019-02-24,187.3,188.5,187.3,188,187.4,"11,776"
2019-02-20,187.6,190.9,187.2,190.3,187.8,"13,247"
2019-02-19,191,191,187.3,188.5,190.2,"8,114"
2019-02-18,190,191,187,187.3,188.4,"13,331"
2019-02-17,188.3,192.6,188,190,189.2,"16,147"
2019-02-14,189,196.5,189,196.5,189.7,"24,393"
2019-02-13,192.1,196.8,190,191,191.5,"27,987"
2019-02-12,192.1,195.9,192,194.7,192.3,"21,431"
2019-02-11,192.1,197.2,191.6,197.2,192.8,"21,587"
2019-02-10,196.5,206,195,200.5,197.3,"60,817"
