DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,295.1,303,295.1,298,295.9,"1,914"
2019-06-27,295.6,302.8,293.1,294,293.9,"8,634"
2019-06-26,296.3,298.5,291.6,295.1,294.2,"7,610"
2019-06-25,296,303.4,296,303,298.2,"12,115"
2019-06-24,301.9,306,299,306,301.2,"10,848"
2019-06-23,304.9,314,303.7,303.7,304.8,"14,493"
2019-06-20,313.9,317,300,306,313.2,"35,889"
2019-06-19,303.5,307.8,296.3,304.7,305.8,"42,176"
2019-06-18,300,304.9,291,291,298.4,"21,148"
2019-06-17,292,297.6,291,297.6,292,"8,698"
2019-06-16,297,300,290,299,296.3,"6,877"
2019-06-13,294.9,295,291.7,295,294.8,"5,367"
2019-06-12,293.5,297,289,297,290.7,"5,109"
2019-06-11,293.2,300,285.1,285.1,293.3,"27,370"
2019-06-10,288.7,290,282,285.8,288.7,"5,063"
2019-06-09,282.8,284.4,280.6,284.4,281,"5,504"
2019-05-30,286,286,280.7,282.5,284.4,"3,440"
2019-05-29,281.2,287.7,281,285,282.5,"5,669"
2019-05-28,284.8,284.8,281.9,284,284.2,"1,603"
2019-05-27,281.2,284.4,278.1,284.4,280.3,"4,225"
2019-05-26,283,283,279.6,280.2,280.6,"3,660"
2019-05-23,280,285,279.2,285,280.2,"10,984"
2019-05-22,277.1,282.9,276.1,282.9,278,"3,331"
2019-05-21,277,280,276,280,276.5,"2,152"
2019-05-20,280,287.7,276.5,281.8,280.1,"4,098"
2019-05-19,282.1,290,280.2,284.6,281.8,"14,403"
2019-05-16,273.1,276.5,272,273,272.2,732
2019-05-15,271,274.3,270.6,274.3,270.9,"4,673"
2019-05-14,271.1,276,270.1,272.3,274,"4,087"
2019-05-13,274.7,278,273,273,274.6,"1,418"
2019-05-12,274,279.7,273.7,275.1,274.1,"6,014"
2019-05-09,273.6,281.3,273.6,281.3,274.2,"1,164"
2019-05-08,279,279,272,274.1,274.3,"2,091"
2019-05-07,273.5,275.7,273.5,275.7,273.8,901
