DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,140,141.4,139,141.4,139.2,"6,719"
2019-06-27,140.4,142,138.6,142,139,"3,447"
2019-06-26,138.9,139.9,138.2,139.6,138.6,"8,139"
2019-06-25,139.2,142.2,138.1,138.1,139.6,"6,578"
2019-06-24,140.2,141.7,139.4,141.7,140.3,"13,768"
2019-06-23,141,144.3,140.3,143,140.7,"18,242"
2019-06-20,141.6,144.9,136.7,137,140.1,"39,449"
2019-06-19,136.5,140,136.1,136.1,136.7,"9,916"
2019-06-18,137.7,139,135.3,135.3,138.1,"12,156"
2019-06-17,137.1,143,136,137.5,137.3,"19,497"
2019-06-16,140.9,144.9,131.5,131.5,140.4,"39,958"
2019-06-13,133,133,130.3,130.6,132,"12,598"
2019-06-12,132.9,134.1,132,132.3,132.6,"6,959"
2019-06-11,135,135,131.1,131.2,134.1,"15,201"
2019-06-10,132,132.1,128.1,130.9,131.4,"12,320"
2019-06-09,127,131.2,127,131.2,127.9,"7,374"
2019-05-30,130.7,132,130.7,130.7,131.2,"2,511"
2019-05-29,132,132,128.9,129.8,130.8,"5,662"
2019-05-28,130,130,128,128.1,129.6,"2,810"
2019-05-27,128.5,129,128,128.3,128.4,"1,400"
2019-05-26,128,130.7,126,129.6,128.2,"5,080"
2019-05-23,131.8,132,127.7,128,129.6,"1,567"
2019-05-22,130,130.1,129.9,129.9,130,"2,000"
2019-05-21,128,130.3,127,128,128,"4,498"
2019-05-20,129,129,128.1,128.1,128.5,"2,908"
2019-05-19,127,134,127,133.9,128,"16,231"
2019-05-16,128,132.9,127.7,132.9,128.1,"2,022"
2019-05-15,129,129.9,127.4,129.9,128.5,311
2019-05-14,127,132.5,127,132.5,127.4,"2,253"
2019-05-13,128,131.3,128,129.9,128.9,"5,035"
2019-05-12,132,132,129.1,129.2,130.6,"5,707"
2019-05-09,127.2,128.4,127,127.5,128.2,"5,111"
2019-05-08,126.6,129.5,126.2,127.9,126.7,"3,560"
2019-05-07,127,131.6,126.8,129,127.2,"8,776"
2019-05-06,130.8,131,129,130.3,129.7,"6,111"
2019-05-05,131.8,138.9,130.8,130.8,132.3,"7,849"
2019-05-02,130.8,131.9,124,124,130.7,"10,445"
