DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,140.8,141.7,140.1,140.2,140.6,"13,531"
2019-06-27,141,142,141,141.6,141.3,"12,840"
2019-06-26,141.7,142.5,141.1,141.5,141.9,"14,570"
2019-06-25,142.9,143.3,142.3,143.1,142.8,"25,554"
2019-06-24,142.8,142.8,141.6,141.7,142.2,"23,865"
2019-06-23,142,142.8,141,141.1,142.2,"21,238"
2019-06-20,141,142,139.5,139.5,141.1,"15,527"
2019-06-19,139.6,141.4,139.5,140,140,"16,902"
2019-06-18,139.8,141.9,139.8,140.5,139.9,"22,671"
2019-06-17,141.9,144.5,140.6,140.6,141.9,"20,823"
2019-06-16,143,144.5,139.3,139.3,142.6,"105,124"
2019-06-13,139,140,137.8,137.8,138.8,"24,475"
2019-06-12,138.5,140,136.6,139.6,137.1,"20,650"
2019-06-11,139.3,142,137.6,141,139.2,"28,305"
2019-06-10,139.4,139.5,134.6,135.5,139,"20,792"
2019-06-09,135.5,137.9,135.3,136,135.5,"2,200"
2019-05-30,136,138,135,135.5,136,"8,603"
2019-05-29,135,135,133.6,134.5,134.6,"8,433"
2019-05-28,134,134,132,133.7,133.7,"2,889"
2019-05-27,131.1,132.4,131.1,132.4,131.5,"2,675"
2019-05-26,132.1,135,132.1,135,132.4,"8,977"
2019-05-23,134.7,134.7,132,132.9,133.8,"8,768"
2019-05-22,133.7,134,130.5,130.5,132.9,"3,476"
2019-05-21,130.9,133.8,130,133.7,130.4,"10,710"
2019-05-20,133.8,135.7,133,133.1,134.5,"13,766"
2019-05-19,133.3,136.3,132.4,136.3,134.1,"6,975"
2019-05-16,132.5,133,132.5,133,133,"5,360"
2019-05-15,133,133,131,132,132.1,"6,415"
2019-05-14,131,133,131,132.2,131.8,"6,272"
2019-05-13,131.6,132.8,131.4,132.5,131.6,"7,258"
2019-05-12,132.2,133.3,131.8,132.5,132.6,"12,099"
2019-05-09,132,133,131.9,132,132.5,"10,191"
2019-05-08,132,132.9,131.5,131.6,131.9,"8,905"
2019-05-07,133.6,133.6,130.7,132.5,132.1,"8,674"
2019-05-06,132.3,135,132,135,132.6,"12,013"
2019-05-05,134.1,136,131.6,131.7,134.9,"19,691"
2019-05-02,135,135.8,128.6,132,134.9,"30,603"
2019-04-30,137.4,139,137.4,138.5,137.9,"10,520"
2019-04-29,138,138.4,135,136.3,138.2,"12,732"
2019-04-28,139.5,140.9,137.1,137.1,139.5,"14,426"
2019-04-25,137,138.4,134,134,137.2,"6,202"
2019-04-24,135.6,137.8,135,137.6,135.7,"9,579"
2019-04-23,138,139,137.4,138.1,138,"16,789"
2019-04-21,139.6,141.7,136.6,136.6,139.7,"11,952"
2019-04-18,139.9,140.6,136.6,136.6,139.8,"10,246"
2019-04-17,135.5,137.4,135.2,135.8,136.3,"4,920"
2019-04-16,136.5,137.8,135,135.2,136.3,"9,969"
2019-04-15,136,144.6,135.1,136.3,136.2,"16,385"
2019-04-11,136,136.8,128.5,129.5,135,"25,896"
2019-04-10,132.2,137.8,130.1,136.1,131,"50,090"
2019-04-09,136.1,138.9,136.1,137.1,137.1,"7,827"
2019-04-08,136.7,139.9,135.1,138.5,137.1,"27,845"
2019-04-07,138.9,140,138.8,140,138.9,"19,640"
2019-04-04,139.9,139.9,138,138.2,138.4,"8,495"
2019-04-03,138.8,141.3,138.5,139.9,139.5,"4,937"
2019-04-02,140.5,140.5,139.3,139.5,139.6,"21,525"
2019-04-01,139,140.5,138.7,139,139.3,"13,182"
2019-03-31,139.2,140,139,139.6,139.4,"5,010"
2019-03-28,139.1,140.3,139.1,139.3,139.5,"7,160"
2019-03-27,139.8,141,139.3,141,139.5,"2,620"
2019-03-25,139.5,141.5,138.4,141,139.9,"9,220"
2019-03-24,139.1,141.5,139.1,140.3,139.6,"8,722"
2019-03-21,140,143,139,141.5,140.3,"30,224"
2019-03-20,140,140.9,140,140.5,140.3,"7,235"
2019-03-19,140.8,141.8,138.5,139,140.8,"11,595"
2019-03-18,140.9,141.6,138,139.2,138.7,"24,929"
2019-03-14,140.5,143.2,140.5,141.6,140.7,"20,861"
2019-03-13,142.9,143.7,140.7,141.5,141.5,"21,840"
2019-03-12,142.7,144.4,140.6,142.8,142.7,"39,389"
2019-03-11,142.4,142.9,140.5,140.6,142.6,"42,294"
2019-03-10,140.8,141,140.1,140.1,140.6,"16,953"
2019-03-07,140.7,141.3,140.2,140.3,140.7,"12,425"
2019-03-06,140.6,141.5,140.5,140.5,140.7,"42,592"
2019-03-05,140.7,141.4,140.3,140.5,140.8,"24,700"
2019-03-04,140,141.1,140,140.8,140.3,"6,577"
2019-03-03,140.8,141.4,140,140,140.8,"10,467"
2019-02-27,142,142.4,140.2,141.3,140.8,"25,193"
2019-02-26,140.5,141.5,139.7,139.7,140.5,"15,601"
2019-02-25,140.8,142.8,140.4,140.5,140.9,"9,827"
2019-02-24,141.5,141.5,139,139.1,141.1,"13,858"
2019-02-20,140.9,142.3,140,141,140.8,"21,027"
2019-02-19,140.9,142.1,140.9,142.1,140.9,"8,083"
2019-02-18,140.3,142.8,140.2,141.7,140.4,"26,233"
2019-02-17,141.6,142.5,141.5,142.5,141.7,"14,680"
2019-02-14,141.1,143,140.2,141.8,141.5,"26,290"
2019-02-13,141.2,143,140.6,140.6,141.5,"14,917"
2019-02-12,140.4,141.5,139,140.8,140.4,"40,248"
2019-02-11,140,144.5,140,142.3,140.4,"65,789"
2019-02-10,142.5,146.8,141.6,146.8,142.3,"64,087"
2019-02-07,144.5,146,143,143,145.2,"51,384"
2019-02-06,142,142.9,141,141,141.8,"14,000"
2019-02-05,142,142,140.6,140.7,141.3,"11,647"
2019-02-04,141.7,143,139.1,140,142,"27,391"
2019-02-03,139.9,140.8,138.1,140,139.1,"27,021"
2019-01-31,139,142,138.5,142,139.3,"23,016"
2019-01-30,139.8,143,137.6,140,140.2,"41,826"
2019-01-29,142,147.1,140.1,147,141,"67,410"
2019-01-28,147.9,149,144,144.5,147,"54,880"
2019-01-27,143.5,148,143.2,146.7,143.9,"64,317"
2019-01-24,148.6,148.6,144,144.4,146.1,"70,964"
2019-01-23,144,146,143.6,146,144.1,"32,451"
2019-01-22,143,147.8,143,146.6,144.1,"45,779"
2019-01-21,146.1,148.5,145.8,146.2,146.6,"32,860"
2019-01-20,146.7,149.6,145.1,147,145.9,"83,876"
2019-01-17,147,150,147,148.7,147.2,"45,792"
2019-01-16,148.8,155,148.5,150.6,149.2,"104,735"
2019-01-15,150.5,153.9,149.6,152.5,150.9,"71,962"
2019-01-14,151.9,157,151.9,154.8,152.2,"146,362"
2019-01-13,153.7,155,150.1,152,152.2,"166,431"
2019-01-10,149,153.4,147.8,151.5,148.2,"180,141"
2019-01-09,149.3,153,148.5,150,149.5,"88,044"
2019-01-08,155.6,158.6,150,153.5,153,"204,454"
2019-01-07,150.3,156,143,143,149.9,"218,386"
2019-01-06,144.2,144.9,142,142,144.2,"98,219"
2019-01-03,142,144.5,139.1,139.1,142.1,"91,545"
2019-01-02,139.8,140.8,138.5,139.3,139.2,"39,015"
2019-01-01,138.6,139,137.9,138,138.4,"8,764"
2018-12-27,138.9,139.9,137.2,137.5,137.7,"25,611"
2018-12-26,137.5,139,137,137,137.6,"26,953"
2018-12-24,137,138.4,136.3,137,137.6,"6,104"
2018-12-23,136.7,138.8,136.7,137.5,136.7,"16,522"
2018-12-20,137,137.6,135.5,135.6,136.7,"9,375"
2018-12-19,135.1,136.4,134.8,134.8,135.1,"13,480"
2018-12-18,136,136,134.2,135.1,134.8,"21,133"
2018-12-17,135,137,135,137,135.1,"27,877"
2018-12-13,138,140.7,137.6,140.7,137.8,"12,961"
2018-12-12,139.6,140.4,137,137.6,138.7,"19,368"
2018-12-11,138.5,144.9,138.1,144.2,139,"30,812"
2018-12-10,143.5,144,135.8,135.8,142.5,"86,536"
2018-12-09,135.2,137.5,135,135.1,135.4,"16,497"
2018-12-06,135.5,137.2,134.7,135.6,135.1,"8,203"
2018-12-05,135.5,137,135.5,137,135.6,"15,835"
2018-12-04,137,137.8,135,137.7,137.1,"28,981"
2018-12-03,134.1,136.7,134.1,135.2,135,"14,373"
2018-12-02,135.6,135.9,133.5,134,135.2,"12,453"
2018-11-29,133.3,136.1,132.9,135.8,133.2,"46,026"
2018-11-28,135.7,139.5,135.5,138.5,135.8,"41,861"
2018-11-27,138.2,142,138.1,140,138.2,"31,527"
2018-11-26,139.1,141.8,137.5,139.5,138.2,"26,616"
2018-11-25,138.7,143.2,138,141.5,138.1,"44,762"
2018-11-22,141.9,145.2,141,141,141.3,"52,149"
2018-11-20,145.8,149.9,142,143,145.2,"179,936"
2018-11-19,143.4,144.8,134.5,135,142.8,"112,506"
2018-11-18,136.9,138.9,134.6,136.4,136.1,"28,430"
2018-11-15,137,140,135.5,140,136.2,"25,544"
2018-11-14,139,144.9,135.5,136,138.5,"80,002"
2018-11-13,134.7,135,132.3,132.3,133.7,"25,830"
2018-11-12,134.2,135.3,130,130,132.3,"13,644"
2018-11-11,135,138,133,133,134.3,"35,990"
2018-11-08,133.7,134.1,130,130.2,133.5,"33,902"
2018-11-07,131.4,133.5,127,131.4,129.5,"34,541"
2018-11-06,132,133.7,130.5,131.9,131.3,"14,297"
2018-11-05,132.9,134,130.4,130.4,131.3,"18,345"
2018-11-04,130.8,131.2,128.2,128.2,130.2,"24,031"
2018-11-01,129.7,130.5,127.5,130,128,"21,477"
2018-10-31,129,133.8,129,129,129.9,"11,729"
2018-10-30,132.8,132.8,129,129.5,131,"22,715"
2018-10-29,127.5,129,123,123.2,128.1,"6,582"
2018-10-28,127.2,129.8,127.1,128.7,128.3,"22,986"
2018-10-25,129.2,130,129,129.6,129.2,"24,846"
2018-10-24,129.7,133,129,130,129.6,"29,435"
2018-10-23,130,131.4,129.1,130.1,129.9,"16,812"
2018-10-22,129.8,131.8,129,131,130.2,"35,278"
2018-10-21,131.1,132.5,131,132.4,131.1,"52,661"
