DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,345.5,349.9,345,345,345.6,"3,580"
2019-06-27,345.8,350,345,349.2,346.5,"3,496"
2019-06-26,347.7,356.5,346.1,346.1,349.1,"2,026"
2019-06-25,346.9,346.9,342.1,342.1,345.5,"2,408"
2019-06-24,340.1,344.9,340,342.5,341.4,"3,140"
2019-06-23,344.1,346.3,343,346.3,344.5,"4,317"
2019-06-20,346.1,352.6,346,352.4,346.3,"6,380"
2019-06-19,350,356.4,350,356.4,352.3,"6,224"
2019-06-18,354,361.8,352.8,352.9,356.5,"6,913"
2019-06-17,357.2,368.7,357.2,362.5,358.6,"7,998"
2019-06-16,368,370,344,350,367.1,"15,537"
2019-06-13,347.2,355,347.2,355,348.9,"5,100"
2019-06-12,350.2,357.5,344,356.9,354.2,"7,300"
2019-06-11,359,359,334.2,334.2,356.9,"12,025"
2019-06-10,334,339,327.9,328,333.5,"6,660"
2019-06-09,326.9,326.9,322.5,322.5,325,"2,309"
2019-05-30,321.1,324,320.7,324,321.4,"2,071"
2019-05-29,324.9,324.9,321,321,324.2,"1,956"
2019-05-28,322,322,311.3,315.6,319.3,"3,160"
2019-05-27,306.1,321,306.1,320.1,315.3,"5,062"
2019-05-26,321.1,327.9,320.2,327.8,321.3,"2,158"
2019-05-23,323,323,321.3,322.6,322,"1,303"
2019-05-22,320.1,328.8,320,320.6,321.5,"2,582"
2019-05-21,316,324.4,316,322,318.5,"3,036"
2019-05-20,321.1,324,321.1,322.2,321.9,"2,213"
2019-05-19,326,328.7,322.9,328.7,325.5,"1,738"
2019-05-16,322,330,321.1,325,322.2,"1,854"
2019-05-15,322.5,324.9,320.3,324.9,321.9,"1,996"
2019-05-14,322.3,328.1,320.2,328.1,322.4,"2,722"
2019-05-13,321.2,322.6,320,322.6,320.8,"3,600"
2019-05-12,320.2,328.9,320.2,323.3,322.3,"4,804"
2019-05-09,326.5,330,320,326,323,"4,134"
2019-05-08,325.1,328.9,325,325.6,325.5,"2,726"
2019-05-07,330,332.1,328,332.1,328.3,"2,752"
2019-05-06,332.3,339,330.3,339,331.4,"4,327"
2019-05-05,335.2,340,327.1,328.2,337.9,"10,602"
2019-05-02,325.5,331,321,325,325.9,"6,352"
2019-04-30,320.1,329.7,318,323,319.9,"5,238"
2019-04-29,324.8,340,319.5,330,327.6,"17,017"
2019-04-28,350,357.8,349.3,357.8,350,"5,319"
2019-04-25,352,352.9,351,351.6,352,"4,641"
2019-04-24,350,352.6,348.2,351.4,350.5,"10,282"
2019-04-23,354,359.8,351.5,359.8,354,"4,673"
