DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18.7,19,18.6,18.6,18.8,"18,697"
2019-06-27,19,19,18.7,19,18.9,"7,300"
2019-06-26,19.1,19.2,18.6,19.2,19,"19,293"
2019-06-25,18.6,19.4,18.6,19.4,18.7,"8,124"
2019-06-24,19.6,19.6,19,19.3,19.1,"10,147"
2019-06-23,19.2,19.7,19,19.6,19.3,"18,386"
2019-06-20,19.7,19.7,19.6,19.7,19.6,"13,188"
2019-06-19,19.5,19.9,19.5,19.9,19.6,"3,594"
2019-06-18,19.2,20.2,19.2,20.2,19.4,"1,699"
2019-06-17,18.7,20,18.3,20,18.4,"40,160"
2019-06-16,18.6,20.1,18.6,20,18.9,"25,772"
2019-06-13,20,20.1,18.9,20.1,19.2,"22,114"
2019-06-12,18.8,20.6,18.8,20.4,20,"28,895"
2019-06-11,20.7,20.7,20.4,20.5,20.5,"6,599"
2019-06-10,20.8,20.9,20.1,20.1,20.5,"1,965"
2019-06-09,20.7,20.9,20.2,20.7,20.8,"13,165"
2019-05-30,20.7,20.7,20,20,20.4,"10,909"
2019-05-29,19.9,19.9,19.5,19.5,19.6,"3,709"
2019-05-28,19.5,19.5,19.5,19.5,19.5,500
2019-05-27,19.5,19.5,19,19.4,19.3,"7,804"
2019-05-26,19.4,19.6,19,19.2,19.2,"2,881"
2019-05-23,19.7,19.7,18.6,19.4,18.8,"12,144"
2019-05-22,19.6,19.6,19.1,19.5,19.3,"15,910"
2019-05-21,19.4,19.6,19,19,19.4,"6,944"
2019-05-20,19.3,19.3,18.6,18.6,18.6,"21,781"
2019-05-19,17.5,20.8,17.5,20.8,18.8,"14,326"
2019-05-16,19.2,19.3,18.8,19.3,19.1,"6,268"
2019-05-15,19.3,19.6,19,19.4,19,"10,995"
2019-05-14,19.5,20.3,19.1,20.3,19.4,"13,814"
2019-05-13,19.9,20.9,19.1,20.9,20.6,"2,755"
2019-05-12,18.9,20.8,18.9,20.8,19,"35,927"
2019-05-09,20.3,21,18,18,20.3,"13,603"
2019-05-08,19,20.9,19,20.9,19.5,"16,864"
2019-05-07,20,21.5,20,21.5,20.2,"8,904"
2019-05-06,20.9,21.7,20.6,20.7,20.8,"6,160"
2019-05-05,21.5,21.5,20.9,20.9,21.1,"6,464"
2019-05-02,21,21.9,20.2,21.9,20.5,"1,809"
2019-04-30,20.1,20.9,19.5,19.5,20.1,"6,601"
2019-04-29,20.1,20.2,19.7,19.7,20,"10,712"
2019-04-28,19.3,20.4,19.3,20,19.7,"4,094"
2019-04-25,20.1,20.7,20.1,20.7,20.3,"4,330"
2019-04-24,20.4,21.4,20.1,21.4,20.2,"4,601"
2019-04-23,20.4,20.5,20.1,20.5,20.1,"6,383"
2019-04-21,20.5,21,20.1,21,20.3,"2,075"
2019-04-18,20.2,21.3,20.1,21.3,20.3,"19,901"
2019-04-17,21,21.2,20,20.8,20.2,"24,012"
2019-04-16,20.8,21.7,20.8,21.7,20.8,"5,411"
2019-04-15,21.2,21.7,21.2,21.6,21.5,"6,469"
2019-04-11,20.9,21.7,20.9,21,21,"22,908"
2019-04-10,21.2,21.3,20.5,21.1,20.9,"2,055"
2019-04-09,20.2,21,20.2,20.7,20.8,"7,420"
2019-04-08,20,21,20,21,20.5,"8,829"
2019-04-07,20.5,21.9,20.5,21.5,20.6,"84,461"
2019-04-04,22,22.9,22,22.9,22.7,"1,230"
2019-04-03,21.6,23.1,21.6,23,22.4,"22,619"
2019-04-02,22.6,23.2,21.2,23.2,21.6,"6,628"
2019-04-01,23.3,23.3,22.6,22.9,22.9,"5,410"
2019-03-31,22.1,24,22,24,23.9,"10,841"
2019-03-28,21.9,22.9,21.9,22.9,22.3,"2,435"
2019-03-27,22.6,23.2,22.5,23.1,22.7,"8,682"
2019-03-25,21.6,22.9,21.5,22.8,22.6,"5,318"
2019-03-24,21.3,22.9,21.2,21.5,21.3,"10,054"
2019-03-21,22,22,21.3,21.4,21.3,"6,957"
2019-03-20,21.4,21.4,21.4,21.4,21.4,200
2019-03-19,21.4,21.5,21,21.3,21.4,"3,500"
2019-03-18,21,21.7,21,21.7,21.3,"3,615"
2019-03-14,21.6,22.5,21.6,22.5,21.7,"10,271"
2019-03-13,22.4,22.8,22.4,22.8,22.5,"9,814"
2019-03-12,22.4,22.4,22.3,22.4,22.4,"2,740"
2019-03-11,22.2,22.5,22,22.2,22.1,"41,129"
2019-03-10,22.8,23.7,22.6,23.7,22.9,"22,902"
2019-03-07,23.6,24,23.6,23.7,23.7,"10,225"
2019-03-06,23.8,23.8,23.7,23.7,23.7,"22,244"
2019-03-05,23.7,24.7,23.6,24.7,23.7,"16,790"
2019-03-04,23.9,24.5,23.9,24.4,24,"35,003"
2019-03-03,24.2,25,24.2,25,24.5,"26,535"
2019-02-27,24.3,25,24.3,25,24.4,"39,651"
2019-02-26,25.3,26,25.3,26,25.3,"14,761"
2019-02-25,25.2,25.9,25,25.9,25.1,"40,630"
2019-02-24,26,26.7,25.6,26.7,26.2,"12,376"
