DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,25.1,25.4,25,25.4,25.2,"65,239"
2019-06-27,25.1,25.2,24.8,24.8,25.1,"31,405"
2019-06-26,25.2,25.2,24.7,24.7,25.1,"148,467"
2019-06-25,24.8,24.9,24.6,24.9,24.7,"25,113"
2019-06-24,24.6,24.8,24.4,24.5,24.7,"100,313"
2019-06-23,24.7,24.9,24.6,24.9,24.6,"77,849"
2019-06-20,24.8,25.3,24.8,25.2,24.9,"73,669"
2019-06-19,25.3,25.7,25,25.7,25.2,"179,955"
2019-06-18,25.6,25.7,25.1,25.3,25.7,"178,686"
2019-06-17,25,25.2,24.9,24.9,25.1,"110,895"
2019-06-16,25.5,25.5,25,25.4,25.4,"215,100"
2019-06-13,25.1,25.3,24.8,24.8,25.2,"169,395"
2019-06-12,24.7,25.3,24.7,25.3,24.8,"194,577"
2019-06-11,25.4,25.4,24.9,25.1,25.3,"120,491"
2019-06-10,25,25.1,24.7,24.8,25,"210,710"
2019-06-09,24.9,25,24.2,25,24.4,"55,961"
2019-05-30,24.8,25.2,24.4,25.2,24.5,"40,359"
2019-05-29,24.8,24.8,24.5,24.8,24.7,"68,861"
2019-05-28,24.4,24.6,24.2,24.6,24.5,"65,227"
2019-05-27,24.4,24.7,24,24,24.5,"74,906"
2019-05-26,24,24.7,23.9,24.6,24.1,"325,484"
2019-05-23,24.3,24.4,24,24.3,24.3,"104,435"
2019-05-22,24,24.3,23.6,24.3,23.9,"45,961"
2019-05-21,24,24.4,23.7,24.4,23.9,"82,327"
2019-05-20,23.9,24.7,23.7,24.7,23.8,"50,890"
2019-05-19,24.7,24.8,23.7,24.3,24.5,"170,739"
2019-05-16,24,24,23.4,23.4,23.8,"33,526"
2019-05-15,23.7,23.9,23.6,23.6,23.7,"13,226"
2019-05-14,24.1,24.1,23.5,24.1,23.9,"88,445"
2019-05-13,24.2,24.4,23.6,24.4,24.2,"81,930"
2019-05-12,24,24.7,23.8,24.4,23.9,"89,710"
2019-05-09,23.8,24.5,23.7,24,23.7,"144,997"
2019-05-08,24.4,24.4,23.9,23.9,24,"74,858"
