DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,24.3,25.5,24.1,25.4,24.4,"471,715"
2019-06-27,25.3,26.2,25.1,25.8,25.1,"638,541"
2019-06-26,25.1,26,25,25.6,25.3,"889,572"
2019-06-25,25.6,27,25.5,26.7,25.6,"881,820"
2019-06-24,26.7,27.6,26.5,27.6,26.7,"731,240"
2019-06-23,26.6,27.5,25.7,27.2,26.8,"835,292"
2019-06-20,27.1,28.1,26.9,27.6,27.1,"1,025,987"
2019-06-19,27.6,29.4,27.5,28,28,"2,501,730"
2019-06-18,27.8,28.3,26.5,26.5,27.9,"2,608,725"
2019-06-17,26.2,26.4,25,25.3,26,"1,057,510"
2019-06-16,25.2,26.6,25,26.5,25.2,"884,103"
2019-06-13,26,27,25.7,25.7,26.3,"2,021,541"
2019-06-12,25.8,25.9,24.3,25,25.7,"883,842"
2019-06-11,24.5,25.5,24.3,25.2,24.6,"1,267,782"
2019-06-10,25,25.3,24,24.8,25,"681,750"
2019-06-09,24.6,26.3,24,25.6,24.7,"1,930,201"
2019-05-30,25.7,25.8,24.8,24.8,25.6,"753,984"
2019-05-29,24.5,24.9,24.4,24.8,24.7,"290,165"
2019-05-28,24.6,25.5,24.1,25,24.8,"481,062"
2019-05-27,25,26.4,24.8,25,25,"1,178,050"
2019-05-26,25.2,25.7,24.7,25,25.2,"1,338,125"
2019-05-22,25.6,25.8,24.9,25.1,25.7,"921,388"
2019-05-21,25,25,24,24.2,24.9,"572,290"
2019-05-20,24.8,26,24.2,25.8,24.6,"338,776"
2019-05-19,25.5,25.7,23.6,23.6,25.5,"1,167,495"
2019-05-16,23.3,23.5,22.9,23.4,23.4,"195,002"
2019-05-15,23.2,23.4,22.7,23.3,23,"314,784"
2019-05-14,22.6,23.3,22,22.5,22.4,"77,329"
2019-05-13,22.6,23.5,22.6,23.5,22.8,"126,714"
2019-05-12,22.8,23.2,22.6,23.1,22.8,"323,924"
2019-05-09,22.8,23.7,22.8,23.6,22.9,"375,815"
2019-05-08,23.7,24.4,23.1,24.4,23.4,"270,318"
2019-05-07,23.7,24.9,23.6,24.6,23.7,"394,026"
2019-05-06,24.5,25.7,24.5,25.4,24.7,"667,058"
2019-05-05,25.2,25.4,23.4,23.4,25.1,"941,203"
2019-05-02,23.2,23.9,23,23.9,23.4,"444,898"
2019-04-30,23.2,23.8,22.6,22.9,23.4,"651,466"
2019-04-29,22.5,23,21,21,22.3,"548,227"
2019-04-28,21.1,23.5,21.1,23,21.1,"561,132"
2019-04-25,23.8,25.5,23,25.1,23.4,"731,317"
2019-04-24,24.6,25.7,24,25.4,25,"494,169"
2019-04-23,24.8,26.3,24.8,26.2,25,"520,046"
2019-04-21,26.4,28.5,25.9,28.5,26.2,"762,660"
2019-04-18,28.3,29.5,27.8,29.4,28,"1,068,483"
2019-04-17,29,29.5,27.5,28.2,29,"1,623,517"
2019-04-16,27.6,27.7,26.8,27.6,27.5,"527,783"
2019-04-15,27.7,28.6,26.6,26.9,27.6,"1,390,723"
2019-04-11,26.6,26.6,25.5,25.8,26.2,"250,433"
2019-04-10,25.3,25.7,24.4,25.2,25,"345,328"
2019-04-09,24.2,26.5,23.9,25.8,24.3,"498,270"
2019-04-08,25.7,27.1,25,27.1,25.2,"232,044"
2019-04-07,26.9,29.2,26.2,28.7,26.6,"520,927"
2019-04-04,27.9,28.5,27.1,27.5,28.2,"328,823"
2019-04-03,27,29,26.9,28.7,27.3,"867,334"
2019-04-02,28.2,30.6,28.2,29.8,28.4,"862,924"
2019-04-01,29.2,29.2,26.1,26.8,29.2,"1,559,034"
2019-03-31,26.5,27.1,25.8,25.8,26.6,"738,365"
2019-03-28,25.9,25.9,23.4,24.1,25.6,"734,327"
2019-03-27,24,24.7,23.4,24.7,23.6,"171,577"
2019-03-25,24.4,24.8,23.8,24,24.2,"169,430"
2019-03-24,23.7,25.2,23.4,24.9,23.8,"305,618"
2019-03-21,25,25.4,22.9,23.7,24.9,"643,612"
2019-03-20,23.6,25.8,23.5,25.8,23.8,"296,028"
2019-03-19,25.6,26,24.8,25.5,25.5,"548,639"
2019-03-18,25.1,27.1,24.7,27.1,25.4,"384,635"
2019-03-14,26.9,29.3,26.8,28.5,26.9,"482,670"
2019-03-13,28.7,30.7,28,29.8,28.3,"705,258"
2019-03-12,30,30,27.6,29.4,29.3,"670,211"
2019-03-11,28.8,31.2,28.5,31,29.1,"411,355"
2019-03-10,30.5,32.8,30.4,32.1,30.8,"627,532"
2019-03-07,32,32.9,31.2,32.3,31.8,"351,548"
2019-03-06,31.1,32.1,29.5,30.1,31.6,"694,541"
2019-03-05,30.6,32.8,30.2,32.4,30.3,"365,037"
2019-03-04,32.5,33.7,31.9,32.8,32.4,"295,346"
2019-03-03,32.8,35.5,32.6,35.5,33,"515,996"
2019-02-27,34.9,35.8,33.4,34.1,34.7,"1,837,039"
2019-02-26,33.8,34.5,32.2,32.4,33.9,"1,319,971"
2019-02-25,31.3,32.7,30.9,31.6,31.7,"320,404"
2019-02-24,31.5,34,31.3,34,31.6,"447,199"
2019-02-20,32.1,34.4,30.5,32.9,32.3,"606,929"
2019-02-19,33.8,34.4,32.4,34.1,32.9,"542,762"
2019-02-18,32.4,36.3,32.4,35.7,32.7,"983,832"
2019-02-17,36,37.7,34.8,37.6,35.1,"1,366,574"
2019-02-14,37.2,41,37.1,39.8,37.6,"2,925,256"
2019-02-13,38.8,39.2,36.7,37.5,38.7,"1,546,404"
2019-02-12,37.7,40.4,36.8,37.9,37.1,"2,966,255"
2019-02-11,37.4,37.4,34.4,34.9,37.2,"2,337,991"
2019-02-10,34.2,37.3,34.2,35,35.3,"1,911,114"
2019-02-07,34.7,37.1,34.6,37,35,"1,923,489"
2019-02-06,35.7,35.7,33,33,35.7,"3,182,651"
2019-02-05,32.6,34.8,30.8,34,32.5,"1,833,185"
2019-02-04,34.2,38.4,34.2,38,34.2,"1,559,597"
2019-02-03,37.1,41.9,36.9,38.9,38,"2,081,961"
2019-01-31,38,38.5,35.4,35.4,38.3,"6,400,548"
2019-01-30,35,36.4,34.1,34.5,35,"1,633,342"
2019-01-29,33.8,33.8,32.6,33.8,33.8,"3,232,460"
2019-01-28,30.8,30.8,27.8,27.8,30.8,"5,292,248"
2019-01-27,27.6,28.7,26.3,26.7,28,"758,782"
2019-01-24,26.1,26.1,24.4,24.4,26.1,"668,986"
2019-01-23,24,24.1,23.4,23.4,23.8,"175,379"
2019-01-22,23.3,24.9,22.6,24.9,23.2,"271,496"
2019-01-21,24.4,25,23.1,24.4,23.8,"179,895"
2019-01-20,25,26,23.7,25,24.4,"225,143"
2019-01-17,24.8,26.7,24.7,25.1,25.1,"478,343"
2019-01-16,24.6,25.3,24,24.2,24.5,"496,267"
2019-01-15,24,24.1,22.5,22.9,23.9,"345,404"
2019-01-14,22.6,23,22.1,23,22.4,"89,547"
2019-01-13,22.8,23.1,20.5,23,22.3,"167,377"
2019-01-10,22.9,22.9,21.3,22.7,22.4,"75,279"
2019-01-09,22.2,22.7,21.5,22.6,21.9,"70,891"
2019-01-08,22,22.9,21,21.2,22.2,"144,732"
2019-01-07,20.5,21.5,20,20,21,"47,718"
2019-01-06,20.7,21,19,21,19.9,"77,079"
2019-01-03,20.1,20.1,19,19,20.1,"126,508"
2019-01-02,18.7,18.8,18.4,18.8,18.7,"7,588"
2019-01-01,18.2,19.1,17.8,17.8,18.6,"11,286"
2018-12-27,17.2,18,17.2,18,17.5,"29,717"
2018-12-26,17.6,18,17.5,18,17.6,"18,500"
2018-12-24,18.2,18.2,17.9,17.9,18,"1,330"
2018-12-23,18,18.5,18,18.5,18.3,"16,570"
2018-12-20,19,19,18.4,19,18.8,"30,059"
2018-12-19,18.8,18.8,17.2,17.2,18.6,"38,570"
2018-12-18,17.7,18.2,17.7,18.1,17.9,"25,534"
2018-12-17,18.1,18.1,17.4,17.8,17.9,"31,706"
2018-12-13,17.5,17.7,17,17.5,17.6,"37,035"
2018-12-12,16.6,17.2,16.6,17,16.7,"34,485"
2018-12-11,16.9,17.3,16.9,17,17,"3,198"
2018-12-10,17.2,17.6,17.1,17.3,17.2,"8,620"
2018-12-09,17.4,17.4,16.6,16.9,16.8,"13,505"
2018-12-06,17.1,17.5,17.1,17.2,17.2,"3,732"
2018-12-05,17.5,17.5,16.7,16.8,16.9,"33,334"
2018-12-04,16.7,16.8,16.6,16.6,16.7,"8,289"
2018-12-03,16.6,16.6,16.5,16.6,16.6,"2,700"
2018-12-02,16.6,16.6,16.6,16.6,16.6,"1,304"
2018-11-29,16.6,16.7,16.6,16.6,16.6,800
2018-11-28,16.5,16.9,16.5,16.5,16.6,"2,163"
2018-11-27,16.5,16.8,16.5,16.8,16.6,755
2018-11-26,16.6,16.6,16.4,16.4,16.5,"1,661"
2018-11-25,16.4,16.8,16.2,16.2,16.4,"1,020"
2018-11-22,16.9,16.9,16.4,16.6,16.5,"3,576"
2018-11-20,16.6,16.8,16,16,16.6,"13,749"
2018-11-19,16.5,17,16.5,16.6,16.5,"3,510"
2018-11-18,17,17.2,17,17,17.2,"1,360"
2018-11-15,16.9,16.9,16.5,16.5,16.6,"1,500"
2018-11-14,16.5,16.5,16.5,16.5,16.5,"4,269"
2018-11-13,17,17,16.2,16.2,16.4,151
2018-11-12,16.2,16.2,16,16,16.2,"6,150"
2018-11-11,16.5,16.7,16.5,16.6,16.6,"5,134"
2018-11-08,16.2,17.3,16.2,17.3,16.6,"16,660"
2018-11-07,16.7,17.6,16.7,17.5,16.9,"6,177"
2018-11-05,16.9,17.7,16.8,16.8,17.5,"11,019"
2018-11-04,16.9,17.3,16.8,17.3,16.8,"10,768"
2018-11-01,17,17.5,17,17.5,17.3,"2,011"
2018-10-31,17,17.6,16.8,16.8,17,"3,276"
2018-10-30,17.2,17.2,16.8,17,16.8,"32,741"
2018-10-29,17.5,17.7,15.9,16.1,17.3,"27,626"
2018-10-28,16.1,16.4,16,16.4,16.1,"17,419"
2018-10-25,16.6,17,16.4,16.4,16.7,"6,469"
2018-10-24,16.7,16.9,16.4,16.5,16.5,"8,738"
2018-10-23,16.3,17.7,16.3,17.7,16.8,"9,700"
