DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,25.6,26.3,25.1,25.6,25.8,"127,618"
2019-06-27,25.7,27.1,25.7,27.1,26.2,"83,003"
2019-06-26,26.6,27.3,26.6,27,26.7,"185,845"
2019-06-25,27,27.6,26.6,26.9,26.8,"352,158"
2019-06-24,27,27.8,27,27.6,27.1,"223,719"
2019-06-23,27.5,28,26.7,27.5,27.5,"427,526"
2019-06-20,27.5,27.9,26.5,27.5,27,"346,574"
2019-06-19,27.6,28,27,27,27.5,"846,589"
2019-06-18,26.8,28.2,26.6,27.5,26.8,"600,668"
2019-06-17,27.1,27.1,25.1,25.2,27,"460,901"
2019-06-16,25,26.4,24.7,26.4,25.2,"251,526"
2019-06-13,25.5,26.4,25.5,25.7,25.9,"396,345"
2019-06-12,25.7,25.9,24.4,25.3,25.6,"313,022"
2019-06-11,24.9,25.6,24.2,25,24.7,"170,999"
2019-06-10,24.6,24.7,23.8,24.7,24.5,"104,920"
2019-06-09,25,25.8,24.6,25.3,24.8,"76,885"
2019-05-30,25,25.2,24,24.4,24.9,"434,983"
2019-05-29,24,24.1,23.4,24,23.6,"162,495"
2019-05-28,23.5,24.4,23.3,23.7,23.5,"50,950"
2019-05-27,23.6,24.5,23.6,24.2,23.7,"69,795"
2019-05-26,24.4,24.5,22.9,22.9,24.2,"406,920"
2019-05-23,22.8,23.6,22.7,23.3,22.9,"216,877"
2019-05-21,23.4,23.7,23.1,23.4,23.3,"89,835"
2019-05-20,23.6,23.6,23.1,23.2,23.3,"91,345"
2019-05-19,23.5,24.3,23,23.3,23.5,"189,949"
2019-05-16,22.7,23.2,22.5,23.1,22.7,"10,038"
2019-05-15,23,23.3,22.4,22.8,23.1,"38,605"
2019-05-14,22.9,22.9,22.3,22.7,22.6,"67,828"
2019-05-13,22.8,23.1,22.8,22.9,22.9,"78,780"
2019-05-12,22.9,23.2,22.8,23.1,22.9,"47,511"
2019-05-09,23.1,23.3,22.6,22.6,23,"71,680"
2019-05-08,23,23.5,22.6,22.8,23,"165,099"
2019-05-07,22.7,23.2,22.7,23,22.8,"167,594"
2019-05-06,23,23.4,22.1,23.2,23,"282,532"
2019-05-05,23.2,23.3,21.8,21.8,23.2,"155,279"
2019-05-02,21.8,21.8,21.1,21.5,21.5,"100,781"
2019-04-30,21.3,21.5,20.4,20.4,21.1,"114,283"
2019-04-29,20,20.7,20,20,20,"57,529"
2019-04-28,19.5,20.4,19.5,20.1,19.7,"80,200"
2019-04-25,20.4,21.3,20.2,21.3,20.3,"51,922"
2019-04-24,20.8,21.5,20,20,21.1,"112,977"
2019-04-23,20.6,20.9,20.2,20.9,20.4,"42,503"
2019-04-21,20.9,21.2,20.1,21.1,20.4,"136,121"
2019-04-18,21.5,22,21,21.8,21.2,"92,787"
2019-04-17,21.2,22.2,20.4,21.3,21.5,"137,501"
2019-04-16,20.9,20.9,20.2,20.7,20.8,"106,460"
2019-04-15,21,21.5,20.8,21.3,21,"44,844"
2019-04-11,21.3,21.7,20.8,21.6,21.2,"86,397"
2019-04-10,21.4,22,21,21.8,21.1,"54,497"
2019-04-09,21.1,22.5,21.1,21.8,21.5,"91,042"
2019-04-08,22.2,22.6,21.3,22.2,21.8,"54,128"
2019-04-07,22.5,23.5,22.5,23.5,22.6,"116,074"
2019-04-04,23.2,23.8,23,23.5,23.2,"51,652"
2019-04-03,23.4,24.6,23.1,24.6,23.4,"147,587"
2019-04-02,24.1,25.4,23.6,25.4,24,"121,809"
2019-04-01,24.6,24.9,23,23.5,24.6,"335,070"
2019-03-31,22.8,23.7,22.6,23,22.9,"66,372"
2019-03-28,22.8,23.1,22.3,22.7,22.6,"125,015"
2019-03-27,22.3,23.1,21.7,23.1,22,"40,356"
2019-03-25,22.7,23,21.5,21.5,22,"139,326"
2019-03-24,21.5,23.3,21.3,23.3,21.5,"27,289"
2019-03-21,22.3,23.2,20.8,22.2,22.4,"170,522"
2019-03-20,22.2,23.5,22.1,22.6,22.2,"54,458"
2019-03-19,22.7,23.9,22.5,23.9,22.8,"85,714"
2019-03-18,23,24,22.5,24,22.8,"328,105"
2019-03-14,23.6,25,23.5,25,23.7,"100,410"
2019-03-13,25,26.1,24.3,25.4,25,"315,764"
2019-03-12,25.7,25.7,25.1,25.1,25.4,"584,457"
2019-03-11,25.9,26.1,25.5,26.1,25.7,"116,375"
2019-03-10,26.1,26.3,25.7,26,25.9,"122,955"
2019-03-07,25.8,25.9,24.9,25.9,25.7,"221,340"
2019-03-06,24.7,25.5,24.4,25.1,24.8,"96,954"
2019-03-05,24.5,25.5,24.5,25.3,24.7,"77,027"
2019-03-04,25.7,26.5,25,26.5,25.4,"138,738"
2019-03-03,25.7,27.2,25.5,26.7,25.6,"181,746"
2019-02-27,26.9,29.7,26.5,29.7,26.8,"314,056"
2019-02-26,27.3,27.8,26.2,26.2,27,"381,300"
2019-02-25,26.3,27.9,26.2,27,26.4,"292,384"
2019-02-24,26.5,27.5,25.5,27,27,"173,511"
2019-02-20,25.8,27.1,25.6,26.6,26.2,"356,437"
2019-02-19,26.8,27.5,26,26,26.9,"256,164"
2019-02-18,26.7,27.9,26,27.8,26.4,"384,579"
2019-02-17,28,29.2,27.5,29,27.7,"281,251"
2019-02-14,28.5,30.1,27.7,27.8,28.8,"1,067,869"
2019-02-13,27.8,27.8,26.3,26.9,27.5,"518,829"
2019-02-12,27.1,28.6,26.6,28.6,26.9,"625,933"
2019-02-11,27.9,28,24.9,24.9,27.9,"797,178"
2019-02-10,25.1,26.7,24.8,25.5,25.5,"523,378"
2019-02-07,25.9,28.2,25.6,27.9,25.9,"412,544"
2019-02-06,27.4,28.6,26.8,27.6,27.4,"266,631"
2019-02-05,27.4,29.3,26.3,28.6,26.6,"837,407"
2019-02-04,28.6,31.5,28.1,31.5,28.4,"804,050"
2019-02-03,31.1,33.5,31,32,31.2,"828,751"
2019-01-31,31.6,33.4,31.2,32.6,31.6,"895,526"
2019-01-30,32.6,35,32.6,33.5,32.8,"1,900,692"
2019-01-29,32.6,33.9,31.7,32.4,32.7,"2,204,260"
2019-01-28,31.5,32.8,30.2,30.5,31.1,"2,220,863"
2019-01-27,30,31.8,29.5,30.2,30,"1,697,249"
2019-01-24,29.7,29.8,28.3,28.3,29.5,"1,230,423"
2019-01-23,27.9,28.6,27.6,27.9,27.9,"364,215"
2019-01-22,27.2,28.9,27.1,28.8,27.3,"530,512"
2019-01-21,28.5,29.5,28.4,28.9,28.6,"674,831"
2019-01-20,28.4,30.5,27.9,30.1,28.3,"746,528"
2019-01-17,30.2,32,29.3,29.5,29.8,"2,101,237"
2019-01-16,29.4,30.4,28.7,28.7,29.2,"1,917,229"
2019-01-15,28,29.2,27.8,28.5,28.1,"1,316,160"
2019-01-14,27.6,29.2,27.6,28.9,27.9,"1,584,993"
2019-01-13,28.9,30.4,28.8,29,28.9,"1,296,231"
2019-01-10,29.1,29.6,28.4,29.3,28.9,"1,139,216"
2019-01-09,29.5,30.9,28.9,30.6,29.2,"1,135,938"
2019-01-08,29.3,30,27.2,27.6,30,"3,090,989"
2019-01-07,27.4,28,26.6,26.9,27.3,"2,329,158"
2019-01-06,26.8,27.5,26.5,27.5,26.7,"1,132,653"
2019-01-03,27.4,28.9,26.8,26.8,27.5,"785,665"
2019-01-02,26.8,26.9,26.3,26.8,26.8,"390,972"
2019-01-01,27,27.5,26.4,27.5,26.9,"450,566"
2018-12-27,26.9,26.9,25.5,26.2,26.5,"742,237"
2018-12-26,25.5,26,25.2,25.5,25.6,"690,958"
2018-12-24,24.9,25.2,24.1,24.2,24.9,"575,343"
2018-12-23,24.6,24.6,23.7,24.1,24.1,"393,821"
2018-12-20,24.2,24.7,23.8,24.1,24.4,"262,076"
2018-12-19,23.8,24.2,22.5,22.6,24,"527,150"
2018-12-18,22.7,22.7,22.4,22.5,22.6,"228,802"
2018-12-17,23,23.3,22.5,23.1,22.8,"194,113"
2018-12-13,22.9,24.4,22.3,22.5,23,"948,411"
2018-12-12,22.6,23.1,22.3,22.4,22.8,"460,885"
2018-12-11,22.2,23.1,22.2,23,22.3,"322,030"
2018-12-10,22.8,23.1,22.6,22.9,22.7,"313,385"
2018-12-09,23.3,23.4,22.2,23.1,23.2,"702,082"
2018-12-06,22.6,23,21.7,22.8,22.7,"397,591"
