DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,130.1,130.4,128.5,129.5,129.8,"15,212"
2019-06-27,130.3,134.9,128.5,132.7,129,"22,318"
2019-06-26,131.1,131.1,128.3,128.3,130,"4,962"
2019-06-25,128,133.2,128,131.8,128.3,"21,587"
2019-06-24,131,132,127,132,129.3,"11,077"
2019-06-23,132.4,132.4,130.5,130.6,131.7,"5,468"
2019-06-20,133.5,134,130.1,130.4,131.7,"8,574"
2019-06-19,131.4,131.9,130,130,130.3,"5,157"
2019-06-18,133.8,133.8,130,131.6,131.4,"4,447"
2019-06-17,134.3,134.3,127,132.5,131.6,"32,356"
2019-06-16,133.6,137.1,130.7,134.8,132.5,"20,154"
2019-06-13,134.2,134.8,133,134.8,133.5,"16,641"
2019-06-12,134,134.4,132.5,133.2,133.5,"14,674"
2019-06-11,134.2,134.3,133,133.9,134,"56,701"
2019-06-10,134.5,135,132,135,134,"13,371"
2019-06-09,134.4,134.9,131.6,132,134.7,"8,074"
2019-05-30,131.7,134.5,131.7,134.5,132.8,"177,776"
2019-05-29,133.7,134.8,131.5,132.6,133.3,"12,849"
2019-05-28,132.5,133.5,132.4,132.4,132.6,"49,306"
2019-05-27,131.5,132.9,129.5,130,130.8,"14,239"
2019-05-26,132,132,129.5,130,130.4,"8,311"
2019-05-23,130.1,132.5,130,131.1,130.4,"4,470"
2019-05-22,130.6,132.9,130.6,132.9,130.9,"2,468"
2019-05-21,133.5,134,128.7,131.9,132.1,"47,622"
2019-05-20,131,131.5,129.2,130.2,130.1,"6,765"
2019-05-19,130,132.9,130,132.9,130.3,"12,524"
2019-05-16,129.7,132.2,129.1,130.6,129.9,"6,428"
2019-05-15,131.7,132.6,130,132.6,131.5,"15,216"
2019-05-14,130.9,132.9,130.6,132.9,131.9,"7,065"
2019-05-13,132.9,133,130.9,130.9,132.3,"4,148"
2019-05-12,133.2,133.5,131,131.7,132.5,"7,133"
2019-05-09,133.4,133.7,130.1,131.7,131.7,"19,364"
2019-05-08,133.2,134.8,132.4,134.8,132.9,"16,303"
2019-05-07,134,134.4,131,134.4,133.6,"39,592"
2019-05-06,132.3,135.6,132,135.5,132.6,"38,863"
2019-05-05,135,136,133.1,133.4,135,"127,825"
2019-05-02,134.3,134.4,131.2,131.4,133.7,"51,445"
2019-04-30,131.4,134.9,131,133,131.2,"61,493"
2019-04-29,131.9,132,128,128,131.2,"61,780"
2019-04-28,131.8,133,130.6,132.5,131,"10,971"
2019-04-25,134.3,134.3,129.9,130.2,133.5,"36,743"
2019-04-24,129.4,132.5,129,130,129.9,"43,701"
2019-04-23,132.4,134.5,132,134.5,132.6,"26,413"
2019-04-21,134.8,135.8,131.4,135.5,134.2,"101,407"
2019-04-18,135.8,135.8,131.7,131.7,134.9,"64,665"
2019-04-17,132.7,132.9,129,130.2,131.8,"34,364"
2019-04-16,129.6,129.7,126.1,129,129,"16,686"
2019-04-15,129.4,136.5,128.4,132.2,129.7,"33,164"
2019-04-11,132.2,135.9,132,133.5,132.6,"42,047"
2019-04-10,132,135.5,131,131.5,131.6,"30,066"
2019-04-09,132,139.1,131.2,139.1,133,"102,667"
2019-04-08,138.4,142.5,137.2,142.5,138.1,"82,538"
2019-04-07,141.3,143,138,138.7,141.3,"270,751"
2019-04-04,137.8,138.5,134.7,136,137.2,"52,284"
2019-04-03,137,137,134.9,136.8,135.6,"94,393"
2019-04-02,135.9,139.4,135.7,137.9,136,"100,559"
