DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,161.7,164,161.7,161.8,162.1,"10,811"
2019-06-27,161.6,162.6,160.5,161.7,161.6,"9,083"
2019-06-26,163.5,163.5,160,163,161.6,"15,981"
2019-06-25,162.3,162.3,160.1,160.2,161.8,"14,203"
2019-06-24,160.9,161.9,159,159.4,159.8,"9,718"
2019-06-23,160.6,161.9,159.1,159.1,160.6,"6,820"
2019-06-20,161.5,164.5,161.5,163.2,161.9,"17,849"
2019-06-19,163.6,165.7,163,163,164.4,"38,769"
2019-06-18,164,165.5,163.1,163.1,164.2,"10,239"
2019-06-17,165,172.5,163.2,169.7,163.8,"51,066"
2019-06-16,169.4,169.5,162.6,164,168.7,"29,378"
2019-06-13,163,165,162.8,162.8,163.4,"11,638"
2019-06-12,162.9,165.9,161,165.9,162.8,"6,685"
2019-06-11,165.8,165.9,163,163,165.1,"23,242"
2019-06-10,161.8,162.7,159.2,162,161,"6,533"
2019-06-09,159.5,160,158.5,159.1,158.7,"4,027"
2019-05-30,158.9,161.1,157.6,161.1,158.4,"10,429"
2019-05-29,160.9,164.4,160,164.4,160.3,"2,759"
2019-05-28,160.2,162,156.7,161.9,161.3,"3,460"
2019-05-27,155.3,159.5,155,158.8,155.4,"6,548"
2019-05-26,158.8,161.9,158.5,161.3,158.8,"7,076"
2019-05-23,163.2,163.7,161.8,163.7,163,"3,775"
2019-05-22,163.7,164.9,161.6,164.9,163.8,"7,638"
2019-05-21,165,165,160.2,160.2,162.6,"10,526"
2019-05-20,162,162.6,160,161,161,"6,513"
2019-05-19,164,165,161.7,165,163,"5,147"
2019-05-16,159.5,160.9,158.8,160.4,160.3,"4,949"
2019-05-15,160.2,161.8,159.2,160.1,159.8,"5,617"
2019-05-14,160.7,160.7,158,160.1,160.1,"5,615"
2019-05-13,159.2,161.9,159.2,161.3,160.1,"6,199"
2019-05-12,164.4,166.8,160,166,161.1,"15,536"
2019-05-09,165,168.7,163.8,168.7,164.4,"18,966"
2019-05-08,167.8,167.8,163,164.9,166.2,"16,099"
2019-05-07,166,173.4,163.5,170,164.9,"18,354"
2019-05-06,170.2,175,169.2,175,170.3,"44,456"
2019-05-05,173.6,174.7,168,169.6,173.1,"57,705"
2019-04-30,159.1,163.9,156.5,163.9,157.4,"30,462"
2019-04-29,160.9,168.9,157.6,167,158.8,"34,399"
2019-04-28,169,174,164.2,167,169.3,"88,034"
2019-04-25,162,162,146.3,149,162,"51,519"
2019-04-24,149,149,145.5,146,147.3,"16,224"
2019-04-23,148,152,147.3,152,147.8,"7,443"
2019-04-21,152.5,152.6,148,152.3,151.4,"9,886"
2019-04-18,149,150,143,143,148,"17,609"
2019-04-17,143,147.5,142,147.5,143.6,"18,356"
2019-04-16,147.6,147.6,145,145.5,147,"12,019"
2019-04-15,147.2,150,146.8,146.9,147.9,"9,760"
2019-04-11,151.8,151.9,143.2,149,150,"12,784"
2019-04-10,147.5,151.3,144.6,149,145.8,"10,119"
2019-04-09,146,152,143,146.6,147,"13,456"
2019-04-08,148.4,156.1,148.2,156.1,148.5,"16,631"
2019-04-07,156,159.4,154.8,159.3,156.1,"17,037"
2019-04-04,161.7,161.7,156,159.3,159.3,"8,340"
2019-04-03,160,163.5,158.6,161.8,159.3,"10,889"
2019-04-02,161.7,165,160,164.4,161.7,"17,288"
2019-04-01,163.3,166.9,162.2,166.9,163,"15,158"
2019-03-31,166,170,164.6,170,165.7,"14,428"
2019-03-28,165.4,167,164.1,165.9,165.4,"14,735"
2019-03-27,165,166,160.9,162.6,165.3,"23,776"
2019-03-25,163,167,161,166.7,162.6,"16,598"
2019-03-24,166,168,156,158.8,166.7,"27,243"
2019-03-21,157.4,158.4,155.3,156,156,"20,292"
2019-03-20,156.5,156.7,154.1,154.8,156.2,"17,132"
2019-03-19,156.5,157.8,152,157.8,153.4,"19,215"
2019-03-18,155.5,162.9,154,162.9,154.8,"20,476"
2019-03-14,164.1,166.3,164.1,165.1,164.7,"18,835"
2019-03-13,167,167.9,165.5,167.9,166.2,"23,738"
2019-03-12,167,167.9,165.5,167.9,166.8,"22,918"
2019-03-11,166.7,166.7,165.7,165.8,166.2,"12,696"
2019-03-10,165.5,167.3,165,166.2,165.6,"12,625"
2019-03-07,165,168,164,168,164.4,"7,942"
2019-03-06,165,170.5,164.8,170.5,165.5,"21,513"
2019-03-05,170,174.5,170,174.3,170.5,"15,457"
2019-03-04,172.5,177.5,172.5,177.5,173.2,"38,439"
2019-03-03,177.6,177.8,175,175.3,176.9,"37,477"
2019-02-27,176,176,173.6,175.6,175.1,"32,066"
2019-02-26,176.5,177.4,175.4,177.4,176.3,"33,908"
2019-02-25,177.5,177.5,175.1,176,176.9,"30,405"
2019-02-24,175.9,177.9,175.4,177.9,176.6,"40,251"
2019-02-20,176.9,178.9,174.5,177,175.4,"22,576"
2019-02-19,177,178,176.6,177.8,177,"28,920"
2019-02-18,177.2,178,175.3,178,176.2,"35,144"
2019-02-17,177,178,174.1,178,175.3,"29,373"
2019-02-14,178,183.7,175.3,182.5,176.1,"45,543"
2019-02-13,182.4,183.9,176.9,178,181.4,"82,503"
2019-02-12,176,178,174.9,177.9,175.1,"33,655"
2019-02-11,177.1,177.4,174.2,177,175.8,"23,403"
2019-02-10,177,182.9,175,180.2,176,"36,535"
2019-02-07,179.1,181,173.7,173.9,179.1,"50,665"
2019-02-06,174.7,177,172.7,176.4,173.8,"32,377"
2019-02-05,178,179.8,175.8,179.8,176.4,"20,738"
2019-02-04,176.2,179.7,176.2,177,176.7,"18,014"
2019-02-03,176.3,178.7,175,178,176.5,"44,917"
2019-01-31,177,182,173.3,182,174.2,"52,694"
2019-01-30,178.5,183,178.3,182.5,179.1,"87,963"
2019-01-29,183.7,186,181,185,182.4,"55,196"
2019-01-28,184.8,184.8,173,175.2,183.3,"69,213"
2019-01-27,175.2,185,173.2,185,174.8,"92,429"
2019-01-24,185.4,190,184.6,188.1,185.2,"65,146"
2019-01-23,187.6,195,187.2,192,188.1,"103,947"
2019-01-22,191.4,191.7,187.8,189,190.4,"76,426"
2019-01-21,187.4,191,185,189,186.8,"43,174"
2019-01-20,188.1,192.9,188,192.5,188.8,"85,359"
2019-01-17,191,194.5,187.5,190,189.5,"99,650"
2019-01-16,189.3,192.4,189.1,192.4,189.7,"82,905"
2019-01-15,191.7,194.8,187,194.8,188.5,"154,989"
2019-01-14,192.8,199,190.1,199,191.1,"180,466"
2019-01-13,196.6,196.6,190.7,192,194.9,"163,491"
2019-01-10,189,190.7,185.1,187,189.8,"137,876"
2019-01-09,185,192,182.1,188.5,183.9,"145,830"
2019-01-08,193,197,188.4,195,189.8,"153,278"
2019-01-07,193.8,203,191.5,200,192.5,"172,208"
2019-01-06,199,205,194.2,195,199.6,"223,200"
2019-01-03,195.6,199,188.3,196,192.7,"194,664"
2019-01-02,194.4,194.4,178,178,193.6,"421,639"
2019-01-01,178.5,178.9,173.7,173.8,176.8,"63,437"
2018-12-27,174,181,172.4,181,173.1,"62,295"
2018-12-26,178.3,178.5,170,170,177.7,"106,182"
2018-12-24,171.3,172,168,170,169.9,"30,814"
2018-12-23,168.6,173.9,168.1,169.5,168.6,"32,080"
2018-12-20,170.1,173,168.3,169,170.2,"38,276"
2018-12-19,170.7,173.9,167.6,170.5,171.1,"50,494"
2018-12-18,174.6,174.8,162,164.6,173.2,"50,863"
2018-12-17,164.3,174.7,164,170,164.6,"39,769"
2018-12-13,171.5,179,170.3,173,171.8,"87,551"
2018-12-12,173.4,175,170.5,170.5,172.6,"67,483"
2018-12-11,171.8,184,166.7,180.5,170.1,"109,007"
2018-12-10,183,188,178.2,179.9,182.6,"185,768"
2018-12-09,178.5,180,168.1,171,178.2,"196,649"
2018-12-06,168,170,160.1,162.7,166.7,"66,643"
2018-12-05,160.2,161.6,157.5,159.7,160.1,"43,780"
2018-12-04,158.8,163.8,158,161.1,159.6,"29,755"
2018-12-03,159.3,160,157.7,159.7,158.8,"26,001"
2018-12-02,156.8,160,154.2,160,155.5,"24,511"
2018-11-29,158,164.9,155.1,164.9,157.5,"87,177"
2018-11-28,163,169.4,162,167.5,162.7,"37,003"
2018-11-27,167.9,173,165,168,167.3,"83,680"
2018-11-26,166.4,167,163,163.7,164.7,"49,612"
2018-11-25,159.5,165.5,159,163.5,160,"52,495"
2018-11-22,163.5,168.9,162.5,167,163.2,"51,208"
2018-11-20,165.7,177,165,174,166.6,"72,807"
2018-11-19,170.3,170.3,157,159.9,170.3,"121,322"
2018-11-15,163,166.7,160.8,161.8,162.6,"65,510"
2018-11-14,160,167.7,158,165,160.7,"44,259"
2018-11-13,163.5,163.5,155.4,158.3,162.3,"36,600"
2018-11-12,157.9,163.3,157.8,163.1,158,"37,005"
2018-11-11,163.1,167.4,161.1,163.9,164.5,"53,284"
2018-11-08,164,164.8,157.3,157.4,163.4,"55,143"
2018-11-07,157.9,165,155,162.7,157.3,"53,843"
2018-11-06,160.2,160.2,147.3,148,160.2,"106,367"
2018-11-05,146,147,143.5,144.9,145.7,"47,752"
2018-11-04,143.1,146.2,141.2,146.2,143.2,"49,101"
2018-11-01,143.7,146,140,145,144,"30,357"
2018-10-31,145,150.6,143,150,144.7,"41,344"
2018-10-30,149.8,155.5,148.2,151,148.9,"49,451"
2018-10-29,148,152.5,145.1,152.5,148,"60,001"
2018-10-28,152,157,144,157,152.5,"23,267"
2018-10-25,157,160,156,160,157,"21,774"
2018-10-24,159.3,159.4,154.6,154.6,158.3,"38,440"
2018-10-23,154.3,160.4,153.2,160.4,154.6,"40,219"
2018-10-22,156.1,165.8,156,162.3,156.9,"37,646"
2018-10-21,161.9,170.9,161.6,168.8,162.3,"35,969"
2018-10-18,169,173,168,171.5,168.7,"33,561"
2018-10-17,170.5,176.1,170.5,176,171.5,"42,135"
2018-10-16,174,177,170,172.6,173,"52,766"
2018-10-15,172.3,174,163,163,170.8,"26,686"
2018-10-14,163.8,167,161,166.5,162.8,"27,355"
2018-10-11,167.9,174.1,164.5,172.6,165.9,"31,551"
2018-10-10,174.8,178.3,171.5,173.1,172.3,"36,221"
2018-10-09,173.8,175.9,171.5,174.7,172.3,"29,061"
2018-10-08,175,181.2,171.8,181,174.2,"39,480"
2018-10-07,181,188.8,178,184.5,179.8,"56,318"
2018-10-04,184.8,188,181.2,181.2,184.7,"52,033"
2018-10-03,183,185,177.1,182,180.1,"42,257"
2018-10-02,179.6,195,177,192.9,180.4,"92,601"
2018-10-01,189,193.4,186.1,189,189.3,"102,594"
2018-09-30,186,188,174.2,174.2,184.5,"98,155"
2018-09-27,175.4,177,163.5,164.4,174.1,"51,944"
2018-09-26,166,168.1,163.1,168.1,164.4,"29,081"
2018-09-25,165,168,160,162.6,164.1,"36,856"
2018-09-24,163,172,160,169.9,161.5,"42,489"
2018-09-23,170,174.5,168,172.4,168.8,"32,361"
2018-09-20,172.5,176.9,172,176.9,172.9,"39,697"
2018-09-19,175.6,177,168.2,174,173.7,"44,475"
2018-09-18,173.1,185,172.2,180.1,172.9,"79,351"
2018-09-17,188.9,197,183.3,197,185.5,"62,835"
2018-09-16,195,200,193.7,195.5,195.3,"98,180"
2018-09-13,193.2,196.5,189,194.3,192.9,"91,092"
2018-09-12,192.5,195.4,183.1,189,192.9,"152,365"
2018-09-11,187,188,177.4,180.2,184.3,"83,612"
2018-09-10,179,189,176,187.2,179.7,"60,139"
2018-09-09,180.5,180.5,168.8,170.5,180.5,"111,621"
2018-09-06,165,169.8,162,164.9,164.1,"41,749"
2018-09-05,162.6,171.4,160.2,168.3,161.6,"66,471"
2018-09-04,167,174.7,166.6,174.7,167.3,"35,149"
2018-09-03,172,177,170,177,171.1,"42,555"
2018-08-30,173.1,179,171,174.8,174.7,"47,546"
2018-08-29,172,180.9,170.1,179,170.9,"66,369"
2018-08-28,180.3,191.6,178.1,189.9,179.3,"59,141"
2018-08-27,187.7,195,181.7,194.7,185.2,"75,799"
2018-08-26,190.3,190.3,156,157,187.6,"86,915"
2018-08-20,173,175,173,174,173,"18,544"
2018-08-19,192.2,195.2,192.2,195.1,192.2,"13,989"
2018-08-16,214.4,214.5,196.7,197.5,210.6,"224,205"
2018-08-14,195.5,197.3,187.4,187.6,195,"111,807"
2018-08-13,185.6,198,185.2,198,186.3,"120,771"
2018-08-12,196.8,208.8,191.9,202.3,194.3,"138,385"
2018-08-09,200,209,200,207.9,201.2,"124,351"
2018-08-08,204.1,210,203.5,205.1,204.2,"122,493"
2018-08-07,206.9,212.7,202.5,208.9,204.7,"91,362"
2018-08-06,205,212,198.5,207.9,202.2,"140,104"
2018-08-05,205,219,201,216,204.9,"108,883"
2018-08-02,214.3,229,211.6,224.8,215.2,"110,737"
2018-08-01,223,224.6,216.1,220,220.1,"91,392"
2018-07-31,216.4,235,216,235,219.8,"195,644"
2018-07-30,228,230,218,225,226.5,"151,934"
2018-07-29,215,225,206,216,216.9,"202,850"
2018-07-26,210,228.4,205.5,223.1,208.3,"147,712"
2018-07-25,223.5,239.4,222,239,223.1,"119,068"
2018-07-24,233.3,254.8,230,247,233.1,"210,979"
2018-07-23,237.9,237.9,224.9,225,237.9,"112,739"
2018-07-22,220,242.8,215.5,235.2,218.8,"328,391"
2018-07-19,235,250,231,250,236.1,"187,981"
2018-07-18,248,258.9,247.1,252,250.2,"199,115"
2018-07-17,243.1,254.8,240,246.7,247.9,"201,270"
2018-07-16,242,270.8,238.4,263,241.6,"203,112"
2018-07-15,252.6,252.6,235.8,235.8,250.8,"279,010"
2018-07-12,233.5,254.8,227.1,246,232.3,"199,990"
2018-07-11,245.5,280,245.5,280,246.3,"305,027"
2018-07-10,269.9,276.8,259,259,269,"323,883"
2018-07-09,258.9,259.5,242.5,247.1,254.6,"287,444"
2018-07-08,246.5,285,240.5,270,247.1,"316,793"
2018-07-05,264.9,271,250,265,263.5,"506,084"
2018-07-04,249.2,249.2,229,232,249.2,"151,359"
2018-07-03,233,235,210,235,229.2,"539,725"
2018-07-02,216.1,216.1,199,200,216.1,"361,095"
2018-06-28,196.5,196.5,178,178,196.5,"449,725"
2018-06-27,178.1,185.8,176,176,178.7,"152,186"
2018-06-26,176.9,179,167.7,171.2,176,"117,991"
2018-06-25,170,179.5,168.1,173.4,168.8,"97,076"
2018-06-24,172.7,183.9,171,182.6,172.8,"228,121"
2018-06-21,187,199,185,185,188.8,"275,781"
2018-06-20,181.1,184,170.2,175,183,"228,755"
2018-06-19,172.2,185.5,172.1,180.4,175.2,"198,565"
2018-06-18,179.2,183.9,167.8,171,180.3,"197,448"
2018-06-12,170,176.8,166,168,170.5,"206,438"
2018-06-11,166.3,179,164.3,178,168.2,"286,401"
2018-06-10,174.3,174.3,165.1,166,174.3,"195,739"
2018-06-07,158.5,158.5,145.9,146,158.5,"379,528"
2018-06-06,143.6,149,142.8,143.6,144.1,"141,582"
2018-06-05,142.7,147.8,142,147.8,142.2,"93,135"
2018-06-04,147.2,152.9,141.5,143,147.6,"177,077"
2018-06-03,141.9,143,134,134,141.3,"133,717"
2018-05-31,131.9,133.5,130.1,131.5,131.7,"17,050"
2018-05-30,132.6,135.8,132,132,133.1,"29,013"
2018-05-29,131.8,133,125.8,125.9,130.9,"43,478"
2018-05-28,129.9,130.8,127.5,127.5,128.3,"15,571"
2018-05-27,128.5,132.5,128.5,132.5,129.3,"24,104"
2018-05-24,131.2,132.6,128,128.1,131.1,"25,623"
2018-05-23,131.5,132,127,131,128.9,"24,051"
2018-05-22,130.8,138,130.2,138,131,"21,049"
2018-05-21,132.9,137,131,137,132.9,"14,027"
2018-05-20,131,134,130.5,132.2,131.2,"36,359"
2018-05-17,133.4,136,133.2,136,133.5,"33,927"
2018-05-16,136,139,136,138.5,136.6,"34,962"
2018-05-15,137,142.5,136,142.5,136.9,"25,677"
2018-05-14,139,143.5,139,140,139.6,"35,223"
2018-05-13,140,141,138.6,138.6,139.1,"50,940"
2018-05-10,138.6,139,137,137.2,138.6,"28,072"
2018-05-09,138.9,140.8,134,134,136.6,"47,055"
2018-05-08,135.9,136,133,133,134.7,"34,605"
2018-05-07,135.1,139.8,133.5,139.8,134.8,"49,948"
2018-05-06,137.3,145,135,142,136.4,"79,191"
2018-05-03,143.7,146.7,139.5,146.5,140.7,"42,108"
2018-04-30,141.3,158,141.3,154,143.3,"104,919"
2018-04-26,148.6,149.9,143.5,149.8,146.8,"88,594"
2018-04-25,146.7,151.8,144.6,149.7,146.7,"92,010"
2018-04-24,151.7,159,146.1,154,149.6,"211,356"
2018-04-23,147.9,147.9,136,136,147.8,"175,037"
2018-04-22,135,136.9,134,135.5,134.5,"18,812"
2018-04-19,135,137.9,134.1,137.9,134.6,"19,600"
2018-04-18,135.9,138.5,134.6,138.5,135.2,"23,560"
2018-04-17,137.3,139.2,133.2,133.2,136,"16,858"
2018-04-16,137.7,142.9,137.1,138,137.7,"88,155"
2018-04-15,137,137,130.4,135.2,135.1,"30,694"
2018-04-12,132.4,136.8,132.4,135.9,133.1,"30,697"
2018-04-11,135,138.3,132.1,138.3,133.9,"21,054"
2018-04-10,135.2,137.8,133,137.8,135.5,"25,314"
2018-04-09,130.5,140.3,130.5,140.3,134.3,"41,988"
2018-04-08,140.3,145,139.1,142.5,140.3,"78,297"
2018-04-05,141,141.2,133.8,133.8,138.4,"61,774"
2018-04-04,133.9,135.5,131.3,134.3,132.2,"40,620"
2018-04-03,131,135.6,130.2,134,132,"42,215"
2018-04-02,132.8,135.5,125.6,128.6,133.9,"40,487"
2018-04-01,128.8,131.5,125.9,127,128.5,"24,743"
2018-03-29,124.5,124.5,122.8,123.5,123.4,"17,708"
2018-03-28,123,127.7,121.4,125.4,123.2,"21,187"
2018-03-27,121.1,127.9,121.1,126.1,121.8,"15,792"
2018-03-25,125.5,133.5,125.5,133.5,128.9,"17,089"
2018-03-22,131,136,129,136,130,"32,048"
2018-03-21,132,137,131.6,134.2,132,"17,793"
2018-03-20,134,139.8,134,137,134.7,"23,202"
2018-03-19,136.4,140,135,135,136.4,"15,094"
2018-03-18,135,136.7,134,135.6,134.6,"26,864"
2018-03-15,137.9,138.4,134.3,134.9,137.1,"9,327"
2018-03-14,134.9,137.9,133.7,137.9,134.9,"21,633"
2018-03-13,135.9,142.2,131,139,133.9,"34,710"
2018-03-12,138.1,143.3,138,143.2,138.5,"31,349"
2018-03-11,144.4,147,143.1,145.3,143.9,"20,518"
2018-03-08,146.1,147.2,144.2,144.2,146.6,"11,133"
2018-03-07,146.8,148.3,145,148,145.5,"34,875"
