DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,305.2,306,299,303.5,302.8,"107,230"
2019-06-27,305,316,303.1,310,305.7,"153,491"
2019-06-26,308,310,296.3,297,308.8,"227,478"
2019-06-25,298.9,300,282,282,298.1,"137,900"
2019-06-24,281,291,280.3,289.9,282.3,"75,120"
2019-06-23,285,301.2,283.2,301.2,286.5,"96,802"
2019-06-20,300,310.3,297.2,306,300.1,"136,870"
2019-06-19,307,309,290,291,302.3,"157,624"
2019-06-18,290,298.4,285,287,289.8,"143,711"
2019-06-17,287,308,286,295,290,"234,205"
2019-06-16,297,299.7,270.4,279.4,289.4,"230,400"
2019-06-13,277.5,280.5,271,271,277.8,"221,305"
2019-06-12,269.5,271.5,257.5,258,269.4,"160,241"
2019-06-11,257.1,258.8,251.5,253.9,256.6,"59,703"
2019-06-10,248.9,252.9,244.5,244.5,249.6,"38,429"
2019-06-09,245,245,241.8,244.5,243.2,"10,881"
2019-05-30,245.5,245.9,242.1,243,244.5,"22,410"
2019-05-29,242,244,241.6,242,242.5,"20,415"
2019-05-28,241.7,246.8,241,241.3,241.6,"20,491"
2019-05-27,241.3,244,240.1,244,240.5,"18,896"
2019-05-26,242.1,247.5,242,246,243,"18,631"
2019-05-23,245.8,251.5,245,245,245.4,"38,311"
2019-05-22,245.6,249,243.8,246.2,245,"14,499"
2019-05-21,245,246,241.5,243,243.4,"26,411"
2019-05-20,246,247,243,243.2,243.7,"21,384"
2019-05-19,245.9,248,242.7,245,243.8,"32,065"
2019-05-16,245,251.9,241.2,247,243.6,"33,102"
2019-05-15,250,257.4,246.8,253.9,247.9,"25,169"
2019-05-14,252.5,254,241.5,241.5,251.7,"31,259"
2019-05-13,243,244,240,243.2,241,"20,040"
2019-05-12,242,256,242,254,245.3,"41,951"
2019-05-09,251.2,262,250,260,251.8,"38,110"
2019-05-08,256.3,259.9,252.6,259.5,256.4,"26,458"
2019-05-07,258.6,267,257,264.9,258.1,"41,426"
2019-05-06,263.6,270,260,270,262.5,"50,944"
2019-05-05,268.7,283,268,272,269.7,"189,948"
2019-05-02,263.3,267,255,255.7,264.1,"62,491"
2019-04-30,252.3,262.5,249,251.2,251.9,"80,977"
2019-04-29,250,266.5,246,266.5,249.9,"96,725"
