DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,17.9,18.4,17.3,18,17.7,"301,375"
2019-06-27,17.7,18.2,17.7,17.9,17.9,"375,653"
2019-06-26,17.6,18.3,17.5,18.2,17.8,"319,539"
2019-06-25,18.2,18.2,17.5,17.8,17.9,"339,502"
2019-06-24,17.5,18.3,17.2,18.3,17.7,"302,400"
2019-06-23,18.3,18.6,18.2,18.2,18.3,"104,376"
2019-06-20,18.7,18.8,18.1,18.3,18.6,"51,666"
2019-06-19,18.1,18.6,18.1,18.5,18.3,"196,983"
2019-06-18,18.1,19.1,18.1,19,18.4,"31,617"
2019-06-17,19,19.3,19,19,19.1,"26,163"
2019-06-16,19.5,19.5,19,19.1,19.4,"168,871"
2019-06-13,19.4,19.5,19.1,19.1,19.4,"156,239"
2019-06-12,19.3,19.6,19.3,19.4,19.3,"59,291"
2019-06-11,19.5,19.7,19.4,19.7,19.5,"327,057"
2019-06-10,19.7,20.2,19.5,19.6,19.7,"324,295"
2019-06-09,19.8,20,19.6,19.8,20,"147,112"
2019-05-30,20.1,20.3,19.6,19.6,20,"453,344"
2019-05-29,20.1,20.3,19.8,20.1,20,"742,931"
2019-05-28,20.1,20.4,19.9,19.9,20.1,"787,656"
2019-05-27,20,20.3,19.6,20.1,20.2,"431,721"
2019-05-26,20.6,20.6,20,20,20.2,"305,060"
2019-05-23,20,20.2,19.4,19.4,20,"317,777"
2019-05-22,20.3,20.9,20.3,20.7,20.4,"211,484"
2019-05-21,21.1,21.2,20.9,20.9,21,"2,087,516"
2019-05-20,21.1,21.8,20.4,21.5,21.2,"3,893,381"
2019-05-19,21.5,21.6,19.7,19.7,21.3,"4,153,743"
2019-05-16,20.1,20.1,18.5,18.5,19.7,"1,801,049"
2019-05-15,18.7,18.7,18.2,18.2,18.5,"1,313,388"
2019-05-14,17.8,18.6,17.5,17.9,18.1,"1,275,222"
2019-05-13,17.9,18.3,17.8,18,17.9,"518,750"
