DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,29.6,29.6,29.2,29.3,29.6,"411,310"
2019-06-27,29.2,29.6,28.8,29.5,29.1,"506,236"
2019-06-26,28.7,29.3,28.7,28.9,28.8,"289,858"
2019-06-25,29,29.1,28.9,29,29,"125,199"
2019-06-24,28.8,29.2,28.8,28.8,28.9,"139,092"
2019-06-23,29,29.1,28.8,29.1,29,"104,231"
2019-06-20,29,29.1,28.8,28.9,29,"187,287"
2019-06-19,28.9,29.3,28.8,29.1,28.9,"202,396"
2019-06-18,29.2,29.3,29,29.2,29,"195,381"
2019-06-17,29,29.5,29,29.4,29,"285,027"
2019-06-16,29.5,29.8,29.3,29.7,29.6,"439,234"
2019-06-13,29.6,30,29.6,29.9,29.7,"172,126"
2019-06-12,30,30.2,29.7,30.2,29.9,"225,979"
2019-06-11,30,30.5,30,30.3,30.2,"287,254"
2019-06-10,30.2,30.3,29.2,30,30.2,"866,149"
2019-06-09,29.9,30,29.7,29.9,29.8,"187,040"
2019-05-30,29.9,29.9,29.4,29.5,29.8,"299,917"
2019-05-29,29.8,29.8,29.2,29.5,29.5,"166,183"
2019-05-28,29.7,29.7,29.2,29.4,29.6,"217,985"
2019-05-27,29.1,29.5,29,29.5,29.3,"142,285"
2019-05-26,29.1,29.7,29,29.5,29.3,"216,134"
2019-05-23,29.8,30,29.5,29.8,29.7,"330,871"
2019-05-22,29.5,29.7,28.8,28.8,29.6,"521,617"
2019-05-21,29,29,28.8,28.9,28.8,"262,033"
2019-05-20,29,29.3,28.9,29.3,29,"266,168"
2019-05-19,29.4,29.4,28.9,29.2,29.2,"309,813"
2019-05-16,29.2,29.4,28.8,29,29,"221,157"
2019-05-15,29.3,29.5,28.9,29.5,29.1,"163,771"
2019-05-14,29.5,29.6,29.4,29.5,29.5,"97,547"
2019-05-13,29.5,29.8,29.4,29.5,29.6,"177,357"
2019-05-12,29.5,29.9,29.4,29.4,29.6,"189,659"
2019-05-09,29.4,29.7,29.2,29.4,29.5,"53,856"
2019-05-08,29.6,29.6,29.2,29.5,29.4,"188,438"
2019-05-07,29.3,30.1,29.3,30.1,29.4,"302,095"
2019-05-06,29.7,30.3,29.6,30.2,29.8,"399,123"
2019-05-05,30.1,30.3,29.7,29.9,30.2,"430,779"
2019-05-02,30,30,29.4,29.5,29.9,"427,861"
2019-04-30,29.2,29.2,28.5,28.5,29.2,"126,844"
2019-04-29,28.8,29,28.1,29,28.4,"292,236"
2019-04-28,29.2,29.6,29.2,29.4,29.3,"136,343"
2019-04-25,29.7,29.9,29.4,29.6,29.8,"96,575"
2019-04-24,29.7,29.9,28.4,29.7,29.6,"112,477"
2019-04-23,29.6,30.1,29.6,29.7,29.7,"269,742"
2019-04-21,29.7,30.7,29.6,29.7,30,"353,435"
2019-04-18,29.8,30,29.2,29.5,29.9,"270,537"
2019-04-17,29.4,30,29.4,30,29.5,"355,170"
2019-04-16,29.9,30,29.7,29.9,29.8,"185,966"
2019-04-15,30.2,30.4,29.8,30.4,30.1,"98,659"
2019-04-11,30.1,30.3,29.8,30.1,30,"190,828"
2019-04-10,29.8,30.5,29.8,30.1,30,"552,983"
2019-04-09,30.2,30.5,29.9,30,30.3,"697,279"
2019-04-08,30,30.3,30,30.2,30.1,"402,500"
2019-04-07,30.3,30.4,30.1,30.2,30.3,"284,461"
2019-04-04,30.3,30.5,30,30.4,30.3,"305,876"
2019-04-03,30.4,30.6,30.4,30.5,30.5,"295,934"
2019-04-02,30.5,30.9,30.5,30.9,30.6,"293,549"
2019-04-01,30.4,30.9,30.4,30.4,30.6,"360,783"
2019-03-31,30.5,30.6,30.3,30.3,30.5,"420,134"
2019-03-28,30.3,30.4,30.1,30.2,30.2,"233,329"
2019-03-27,30.3,30.7,30.1,30.1,30.3,"266,573"
2019-03-25,30.1,30.6,30,30.3,30.2,"370,440"
2019-03-24,30.2,30.5,29.9,30.1,30.1,"166,211"
2019-03-21,30,30.3,29.9,30.3,30.1,"555,190"
2019-03-20,30.1,30.7,30.1,30.7,30.1,"250,452"
2019-03-19,30,30.4,30,30.2,30.2,"670,492"
2019-03-18,30.2,30.5,30.1,30.5,30.2,"368,476"
2019-03-14,30.1,30.9,30.1,30.8,30.3,"380,263"
2019-03-13,30.7,31.3,30.7,31.2,30.8,"820,838"
2019-03-12,31,31.3,31,31.2,31,"385,595"
2019-03-11,31.5,31.9,31.2,31.8,31.4,"651,509"
2019-03-10,31.7,31.8,30.9,31,31.7,"974,887"
2019-03-07,31,31.3,30.6,30.6,31,"990,144"
2019-03-06,30.8,31.2,30.5,31.2,30.6,"365,491"
2019-03-05,30.8,30.8,30.5,30.6,30.6,"400,671"
2019-03-04,30.8,30.9,30.2,30.4,30.5,"864,092"
2019-03-03,30.4,30.7,30.4,30.7,30.5,"279,010"
2019-02-27,30.4,30.8,30.3,30.8,30.4,"510,041"
2019-02-26,30.5,31,30.3,30.8,30.4,"944,306"
2019-02-25,31.1,31.4,30.7,31.1,30.8,"1,096,554"
2019-02-24,31.1,31.7,31.1,31.7,31.1,"629,287"
2019-02-20,31.3,31.7,31.2,31.6,31.3,"919,246"
2019-02-19,31.3,31.7,31.2,31.7,31.4,"639,933"
2019-02-18,31.6,31.9,31.5,31.7,31.7,"558,405"
2019-02-17,31.6,32.1,31.4,32,31.6,"1,603,862"
2019-02-14,32.1,32.6,31.9,32.3,32,"970,291"
