DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,030","1,048.9","1,016.1","1,048.8","1,026.9","1,902"
2019-06-27,"1,042","1,044","1,025.5","1,035","1,040.9","3,081"
2019-06-26,"1,029","1,029","1,015.6","1,024.7","1,028.3","1,662"
2019-06-25,"1,018.9","1,020","1,001.5","1,001.5","1,015.4","1,429"
2019-06-24,"1,009","1,009","1,005","1,005","1,007.4",670
2019-06-23,"1,002","1,010","1,000","1,010","1,000.1","3,074"
2019-06-20,"1,007.9","1,014.9","1,005","1,005.5","1,006","1,767"
2019-06-19,"1,005.1","1,024.9","1,005","1,024.9","1,005.4","1,688"
2019-06-18,"1,006","1,015.1","1,001","1,010.2","1,007.3","1,745"
2019-06-17,"1,012.4","1,045.2","1,010","1,034.2","1,015.5","1,265"
2019-06-16,"1,038.8","1,050","1,012.1","1,012.1","1,034.2","3,118"
2019-06-13,"1,017","1,020","1,005","1,010","1,012.1","2,003"
2019-06-12,"1,010.9","1,010.9",990,991,"1,008.7","4,603"
2019-06-11,995,"1,011.8",995,"1,006.7",995.2,"2,688"
2019-06-10,"1,007","1,015",995,"1,000","1,006.7","1,766"
2019-06-09,993.2,"1,001.9",990,995,993.4,"1,547"
2019-05-30,996,997,982.1,997,992.6,"2,402"
2019-05-29,990.2,"1,009",972.1,980,991.9,"1,718"
2019-05-28,990,990,957.5,957.5,982.1,"4,115"
2019-05-27,955,955,948.7,954,952.7,"1,658"
2019-05-26,948.2,959,947.7,950,953.1,"3,394"
2019-05-23,948,952,948,948.6,948.3,"1,200"
2019-05-22,948.5,949.9,946.6,946.7,948.6,"3,045"
2019-05-21,946,949,941,941,946.6,"2,723"
2019-05-19,951,951,945,948.1,949.7,"6,822"
2019-05-16,948.9,949,941,941.2,948.1,"1,146"
2019-05-15,945.6,950.5,942,942,946.6,"2,634"
2019-05-14,936.7,951.7,936,950.4,942,"1,896"
2019-05-13,953,953,948.3,950,950.4,"2,370"
2019-05-12,950,955,948.8,948.8,950,"5,822"
2019-05-09,948.1,953,947.1,952,948.8,"8,262"
2019-05-08,952.1,954.3,947.1,947.1,951.7,"9,083"
2019-05-07,947,955.5,944,955.5,948.4,"3,859"
2019-05-06,956.6,958.8,947,958.8,950.2,"16,039"
2019-05-05,948.2,965,946,965,947.7,"29,729"
2019-05-02,965.1,975.9,942,975.9,950.4,"14,024"
2019-04-30,956,975,956,965.4,960.2,"17,577"
2019-04-29,961.1,"1,000",961,"1,000",965.1,"15,134"
2019-04-28,990,"1,100",950,"1,100",993.5,"31,957"
2019-04-25,"1,141.9","1,150.1","1,136","1,136","1,141.3","4,485"
2019-04-24,"1,153.8","1,155","1,132.4","1,149.9","1,144.6","7,345"
2019-04-23,"1,145.1","1,163.9","1,144.6","1,163.9","1,145.5","4,797"
2019-04-21,"1,152","1,154.9","1,148.1","1,154","1,153.7","4,422"
2019-04-18,"1,148","1,158","1,140.3","1,142","1,146","3,455"
2019-04-17,"1,157.4","1,159.9","1,137.3","1,159.9","1,151.6","7,322"
2019-04-16,"1,146.3","1,154.1","1,136","1,151","1,144.8","6,203"
2019-04-15,"1,152.2","1,176","1,152","1,168.7","1,152.8","5,340"
2019-04-11,"1,168","1,169.9","1,158.6","1,158.6","1,166.3","5,562"
2019-04-10,"1,155.4","1,178","1,152","1,155.1","1,158.3","7,297"
2019-04-09,"1,170","1,192.9","1,158.2","1,180.1","1,168.3","8,682"
2019-04-08,"1,174.9","1,190","1,165.5","1,181","1,177.4","11,892"
2019-04-07,"1,185.7","1,200","1,175.2","1,200","1,180.4","6,567"
2019-04-04,"1,185","1,192","1,125","1,125","1,183.4","4,583"
2019-04-03,"1,181.2","1,211.9","1,178.2","1,201","1,182.2","21,598"
2019-04-02,"1,200","1,214","1,167","1,169","1,194.2","18,386"
2019-04-01,"1,164","1,170","1,152.1","1,156","1,158.7","7,074"
2019-03-31,"1,151.9","1,167.9","1,147","1,150","1,150.3","12,815"
2019-03-28,"1,151","1,163","1,151","1,160.4","1,151.7","9,609"
2019-03-27,"1,159","1,174.5","1,159","1,174.5","1,160.4","18,343"
2019-03-25,"1,171.2","1,197","1,165","1,170","1,169","12,490"
2019-03-24,"1,164","1,201.1","1,162.7","1,201.1","1,165.4","22,433"
2019-03-21,"1,199.9","1,224","1,188","1,215","1,197","27,377"
2019-03-20,"1,208","1,239.8","1,186","1,201.3","1,207.5","41,544"
2019-03-19,"1,210","1,270.1","1,201.3","1,270.1","1,208.9","47,894"
2019-03-18,"1,274","1,287","1,260","1,265.3","1,265.4","84,946"
2019-03-14,"1,265","1,282.2","1,218","1,219","1,265.3","108,430"
2019-03-13,"1,218.5","1,225","1,170","1,177","1,206.8","67,552"
2019-03-12,"1,169.4","1,179.9","1,143","1,143","1,161.2","9,775"
2019-03-11,"1,139.8","1,141","1,130","1,139.9","1,139.4","1,116"
2019-03-10,"1,139","1,139","1,125.1","1,135","1,131.1",835
2019-03-07,"1,135","1,135","1,122.7","1,125","1,133.6",799
2019-03-06,"1,134.8","1,135","1,119","1,122","1,130.6",888
2019-03-05,"1,122","1,130","1,122","1,130","1,122.7",780
2019-03-04,"1,125","1,135","1,122.1","1,123.1","1,125.7",701
2019-03-03,"1,125.3","1,134.7","1,122","1,122","1,127.8","1,046"
2019-02-27,"1,122","1,127.9","1,121","1,127","1,121.8",728
2019-02-26,"1,121.5","1,128","1,121.1","1,128","1,122","4,246"
2019-02-25,"1,125","1,128","1,120","1,123","1,125.6","4,221"
2019-02-24,"1,124.2","1,128","1,124.1","1,128","1,125.1",696
2019-02-20,"1,130.2","1,132","1,122","1,129","1,126.5",905
2019-02-19,"1,125.5","1,136.9","1,125.1","1,125.1","1,129.9",643
2019-02-18,"1,125","1,136","1,125","1,135.6","1,125.1","2,193"
2019-02-17,"1,134","1,150","1,134","1,147.5","1,135.6","1,426"
2019-02-14,"1,134.2","1,156","1,134.1","1,142","1,134.2","2,726"
2019-02-13,"1,126","1,139.8","1,122.2","1,132","1,130.9","4,182"
2019-02-12,"1,120","1,140","1,120","1,129","1,122.1","4,308"
2019-02-11,"1,129","1,169","1,127.1","1,169","1,129.5","5,327"
2019-02-10,"1,175.1","1,193","1,175.1","1,192.5","1,176","34,614"
2019-02-07,"1,182.1","1,188.9","1,173.2","1,182.7","1,182.8","13,398"
2019-02-06,"1,178","1,186","1,175","1,185.9","1,177","10,034"
2019-02-05,"1,177.2","1,182","1,141.3","1,141.3","1,175","11,830"
2019-02-04,"1,147.8","1,147.8","1,132","1,135","1,145.7","3,447"
2019-02-03,"1,132","1,152","1,122.1","1,125","1,131.1","12,007"
2019-01-31,"1,123","1,123","1,118.1","1,118.1","1,121.4",527
2019-01-30,"1,118.1","1,121","1,118.1","1,120","1,118.2","1,122"
2019-01-29,"1,120","1,125","1,118","1,120","1,118.2","2,101"
2019-01-28,"1,120","1,122","1,120","1,120.5","1,120","2,029"
2019-01-27,"1,129.5","1,129.9","1,112","1,118","1,124.8","1,252"
2019-01-24,"1,115.5","1,122","1,115","1,121","1,118.6","1,940"
2019-01-23,"1,120","1,130","1,120","1,130","1,120.2","2,214"
2019-01-22,"1,123","1,128.5","1,123","1,123.1","1,123.1","1,105"
2019-01-21,"1,121.1","1,132","1,121.1","1,122.1","1,125.5",630
2019-01-20,"1,126","1,131.8","1,120","1,131.8","1,127.5",378
2019-01-17,"1,117","1,125","1,115.1","1,125","1,117","8,725"
2019-01-16,"1,126.9","1,127.5","1,119","1,127","1,119.9",973
2019-01-15,"1,126","1,135","1,126","1,135","1,126","2,926"
2019-01-14,"1,128.1","1,131","1,128","1,130","1,128.1","6,057"
2019-01-13,"1,130","1,140","1,122.6","1,129","1,133.7","6,688"
2019-01-10,"1,122.7","1,129","1,117.1","1,127.1","1,125.2","2,701"
2019-01-09,"1,128.4","1,130","1,124.5","1,125","1,127.9","9,998"
2019-01-08,"1,128","1,130","1,124.5","1,130","1,126.6","1,654"
2019-01-07,"1,125","1,128","1,119","1,124.3","1,125.6","3,000"
2019-01-06,"1,126.9","1,130","1,124","1,125","1,124.2","3,764"
2019-01-03,"1,125.9","1,126.5","1,116","1,120","1,121.5","1,114"
2019-01-02,"1,110","1,120","1,109","1,115.7","1,112","1,268"
2019-01-01,"1,128.9","1,138.9","1,111","1,138.9","1,112.4","1,139"
2018-12-27,"1,115.9","1,137.9","1,110.7","1,126","1,116.4",685
2018-12-26,"1,129.9","1,129.9","1,125","1,125","1,126",50
2018-12-24,"1,120","1,141","1,105.2","1,120","1,117.8",475
2018-12-23,"1,106.1","1,120","1,104.2","1,112.3","1,106.6","2,199"
2018-12-20,"1,115.4","1,120","1,111.1","1,116","1,116.9",624
2018-12-19,"1,119.9","1,120.1","1,090","1,119.5","1,118.3","2,048"
2018-12-18,"1,120","1,123","1,118","1,118","1,119.5",935
2018-12-17,"1,120","1,128","1,100","1,100","1,116.2",683
2018-12-13,"1,126","1,131","1,120","1,131","1,126.5",773
2018-12-12,"1,125","1,132","1,120","1,120","1,125","3,260"
2018-12-10,"1,155","1,155","1,125","1,125","1,143.1","2,181"
2018-12-09,"1,126.7","1,137","1,125","1,132.3","1,127.4","2,717"
2018-12-06,"1,137.9","1,140","1,126.5","1,140","1,132.3","3,270"
2018-12-05,"1,132.6","1,149","1,132.3","1,149","1,132.4","4,340"
2018-12-04,"1,132","1,149.9","1,131.2","1,135","1,132","3,446"
2018-12-03,"1,122.5","1,160","1,120","1,140","1,137","1,647"
2018-12-02,"1,135.6","1,155","1,135.5","1,155","1,138.6","3,303"
2018-11-29,"1,136","1,179","1,125","1,178.8","1,131.4","5,152"
2018-11-28,"1,168","1,170","1,150","1,161","1,166.9","6,052"
2018-11-27,"1,180","1,198","1,151.2","1,192.1","1,171.8","22,759"
2018-11-26,"1,185.6","1,185.6","1,139.9","1,139.9","1,182.1","28,673"
2018-11-25,"1,129.5","1,130","1,112.1","1,127.9","1,128.4","6,853"
2018-11-22,"1,117","1,119","1,097","1,097","1,117.2","3,833"
2018-11-20,"1,083","1,100","1,083","1,100","1,087","3,455"
2018-11-19,"1,090","1,090","1,079.6","1,090","1,083","1,488"
2018-11-18,"1,089.6","1,095","1,089.3","1,089.3","1,092",915
2018-11-15,"1,095","1,100","1,089.1","1,100","1,089.2","1,518"
2018-11-14,"1,100","1,100","1,087.1","1,100","1,091.3",613
2018-11-13,"1,100.1","1,115.9","1,092","1,092.1","1,101.2",980
2018-11-12,"1,091","1,130","1,080","1,082","1,094.6","2,080"
2018-11-11,"1,080","1,090","1,072","1,072","1,083.3",788
2018-11-08,"1,080","1,082","1,080","1,082","1,080.1","1,537"
2018-11-07,"1,082","1,085","1,082","1,084.5","1,082","1,604"
2018-11-06,"1,081","1,098","1,080.1","1,098","1,081.3",827
2018-11-05,"1,090","1,090","1,085","1,085.1","1,088.6",326
2018-11-04,"1,087","1,090","1,085","1,085.1","1,085.9",348
2018-11-01,"1,086.6","1,095","1,086.6","1,095","1,087",600
2018-10-31,"1,091","1,091.1","1,088.3","1,088.4","1,090.9",349
2018-10-30,"1,087","1,090","1,087","1,090","1,089.3",585
2018-10-29,"1,095","1,095","1,088","1,088","1,088.9",337
2018-10-28,"1,104","1,104","1,086","1,096.1","1,090.7",785
2018-10-25,"1,090.1","1,095","1,085.2","1,086","1,092.4",609
2018-10-24,"1,108.8","1,108.8","1,090.9","1,091","1,104.2",269
2018-10-23,"1,099","1,099","1,085","1,085","1,098.5",52
2018-10-22,"1,093","1,093","1,090","1,090","1,091.6",229
2018-10-21,"1,095","1,098","1,094.2","1,098","1,095.2",162
2018-10-18,"1,092.5","1,100","1,092.5","1,100","1,098",705
2018-10-17,"1,094","1,097.1","1,094","1,096.1","1,096.2",325
2018-10-16,"1,096","1,107.9","1,091","1,091","1,095.8",861
2018-10-15,"1,100","1,108","1,093","1,093.1","1,100","1,672"
2018-10-14,"1,095","1,103","1,095","1,100","1,099.1",262
2018-10-11,"1,093","1,100","1,093","1,100","1,094.9",297
2018-10-10,"1,095","1,100.1","1,095","1,099.9","1,099.7",327
2018-10-09,"1,095","1,100.3","1,094","1,100.3","1,096",716
2018-10-08,"1,108","1,110","1,098.1","1,109.9","1,100.4",565
2018-10-07,"1,112","1,112","1,093.5","1,099","1,111.7","2,017"
2018-10-04,"1,097","1,097","1,095.2","1,096.1","1,096",330
2018-10-03,"1,103","1,103","1,092.1","1,092.1","1,095",54
2018-10-02,"1,093","1,104","1,092","1,098.1","1,095.7",240
2018-10-01,"1,092","1,105","1,092","1,100","1,095.9",451
2018-09-30,"1,090.1","1,104","1,090.1","1,097.5","1,094.9",799
2018-09-27,"1,095","1,100.2","1,094.5","1,100.2","1,094.9","1,086"
2018-09-26,"1,100","1,104.8","1,094","1,100","1,100.2","1,066"
2018-09-25,"1,094.1","1,102","1,094.1","1,096","1,095.4",777
2018-09-24,"1,096.2","1,102","1,096","1,101.5","1,098.7",646
2018-09-23,"1,101","1,105","1,100","1,104.8","1,101.4",424
2018-09-20,"1,101","1,103.9","1,096.1","1,103.8","1,100.9",903
2018-09-19,"1,104.1","1,104.1","1,101","1,101","1,103.8",211
2018-09-18,"1,107","1,107","1,094","1,104","1,103.8",148
2018-09-17,"1,100","1,108.7","1,100","1,108.7","1,101","1,425"
2018-09-16,"1,105","1,115","1,101.5","1,112","1,108.7",340
2018-09-13,"1,115.4","1,115.4","1,100","1,110","1,110.8","2,118"
2018-09-12,"1,104","1,112.9","1,102","1,104.1","1,104",136
2018-09-11,"1,105","1,114","1,100","1,105","1,104.2",826
2018-09-10,"1,113.9","1,114.9","1,100.2","1,108.1","1,102.2",559
2018-09-09,"1,109.9","1,115","1,103","1,115","1,105","1,222"
