DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,370","1,375","1,351","1,355","1,368.1","23,349"
2019-06-27,"1,355","1,385","1,347.2","1,354","1,349.9","64,648"
2019-06-26,"1,354.9","1,373","1,344.1","1,350","1,352.6","40,641"
2019-06-25,"1,344.9","1,350","1,341","1,350","1,344.2","17,472"
2019-06-24,"1,350","1,351.8","1,346.1","1,347","1,349","27,728"
2019-06-23,"1,345","1,360","1,345","1,360","1,346.1","25,462"
2019-06-20,"1,356.7","1,369.9","1,355.2","1,365","1,357.9","24,856"
2019-06-19,"1,367.2","1,387.9","1,365","1,378.1","1,367.8","20,033"
2019-06-18,"1,380.9","1,384.5","1,362","1,384.4","1,377.5","19,368"
2019-06-17,"1,377","1,416","1,360","1,401.5","1,367.8","54,715"
2019-06-16,"1,405","1,439.2","1,400","1,425","1,406.4","48,262"
2019-06-13,"1,400","1,410","1,394.1","1,405","1,401","46,310"
2019-06-12,"1,404","1,429.4","1,401.4","1,420","1,403.9","43,674"
2019-06-11,"1,419","1,427","1,413.7","1,415","1,418","38,934"
2019-06-10,"1,411.1","1,433","1,398","1,398","1,413.6","94,385"
2019-06-09,"1,397","1,397","1,330","1,330.5","1,383.1","37,523"
2019-05-30,"1,326.2","1,336.9","1,317","1,331","1,325.9","34,754"
2019-05-29,"1,329","1,353","1,325.1","1,340","1,329.3","55,898"
2019-05-28,"1,324.9","1,337.3","1,250","1,264.9","1,331.3","81,599"
2019-05-27,"1,259.9","1,265","1,241","1,261","1,258.7","69,998"
2019-05-26,"1,271.7","1,335","1,251.5","1,334","1,267.5","113,779"
2019-05-23,"1,334","1,338","1,334","1,335","1,334.9","9,954"
2019-05-22,"1,336","1,341.5","1,333.2","1,340","1,334.6","10,598"
2019-05-21,"1,336.8","1,350","1,333","1,347","1,335.7","11,012"
2019-05-20,"1,349","1,355","1,346","1,355","1,347.4","8,419"
2019-05-19,"1,349.9","1,359.9","1,345.7","1,359.9","1,348.7","10,632"
2019-05-16,"1,344","1,357","1,337","1,356.9","1,341.9","7,255"
2019-05-15,"1,342.2","1,360","1,340","1,353.7","1,341.7","10,387"
2019-05-14,"1,355","1,383","1,351","1,383","1,353.5","10,623"
2019-05-13,"1,368.9","1,379.1","1,366.1","1,378.8","1,367.3","9,919"
2019-05-12,"1,381","1,399","1,375.1","1,399","1,377.8","9,564"
2019-05-09,"1,385","1,394.1","1,381","1,388","1,383.3","7,308"
2019-05-08,"1,384.7","1,393.1","1,374.1","1,393.1","1,385.4","8,281"
2019-05-07,"1,395","1,438.7","1,391.1","1,438.7","1,393.1","19,729"
2019-05-06,"1,429.5","1,450","1,410","1,450","1,427.9","14,557"
2019-05-05,"1,447","1,449","1,371","1,440","1,440.2","22,251"
2019-05-02,"1,373.7","1,399","1,365","1,365","1,369.6","22,795"
2019-04-30,"1,372","1,386.9","1,334.4","1,335","1,370.8","19,753"
2019-04-29,"1,342","1,405","1,331","1,405","1,341.4","22,011"
2019-04-28,"1,399.4","1,443.9","1,396.2","1,440","1,400","19,518"
2019-04-25,"1,437.8","1,447.5","1,432.1","1,440","1,436.9","13,533"
2019-04-24,"1,440.6","1,457.8","1,433","1,457.7","1,439.8","17,142"
2019-04-23,"1,463.2","1,480","1,457.2","1,479","1,459.1","18,526"
2019-04-21,"1,480.5","1,497.7","1,473","1,480","1,477.2","25,830"
2019-04-18,"1,481","1,485","1,466.2","1,466.2","1,476.8","16,473"
2019-04-17,"1,466.2","1,505","1,462.2","1,480.6","1,466.2","20,627"
2019-04-16,"1,474.1","1,520","1,465.6","1,520","1,480.6","33,811"
2019-04-15,"1,506.2","1,549.9","1,501","1,533","1,504.9","32,330"
2019-04-11,"1,535","1,543.7","1,508.7","1,509.2","1,532.6","34,436"
2019-04-10,"1,517","1,560","1,497.5","1,560","1,508.7","56,255"
2019-04-09,"1,568.8","1,673.3","1,568.8","1,673.3","1,569.5","129,194"
2019-04-08,"1,679.9","1,717.9","1,640.1","1,717.9","1,673.3","338,926"
2019-04-07,"1,616.9","1,616.9","1,616.9","1,616.9","1,616.9","42,588"
2019-04-03,"4,560","4,650","4,549.1","4,633","4,565.5","82,343"
2019-04-02,"4,598","4,685","4,544.2","4,544.2","4,607.4","53,757"
2019-04-01,"4,530","4,590","4,529.1","4,550","4,539.5","77,300"
2019-03-31,"4,520","4,600","4,483","4,483","4,547.1","52,075"
2019-03-28,"4,475","4,545","4,473.5","4,541","4,483.1","58,846"
2019-03-27,"4,530","4,650","4,528.1","4,650","4,533.9","58,491"
2019-03-25,"4,610","4,659","4,598.1","4,658.6","4,601.1","42,368"
2019-03-24,"4,635","4,697.9","4,600","4,665","4,626.4","26,846"
2019-03-21,"4,650","4,740","4,642","4,684.1","4,658.1","35,897"
2019-03-20,"4,692.2","4,750","4,652","4,750","4,684.1","42,257"
2019-03-19,"4,719","4,925","4,700","4,925","4,720.9","61,701"
2019-03-18,"4,899.9","5,014.8","4,819","4,850","4,904.2","65,034"
2019-03-14,"4,760","4,776.8","4,535","4,549.4","4,776.7","113,460"
2019-03-13,"4,549.9","4,610","4,482","4,610","4,549.4","95,837"
2019-03-12,"4,600","5,500","4,546.1","5,100","4,580","159,122"
2019-03-11,"3,950","4,130","3,941.1","4,100","3,949.5","15,313"
2019-03-10,"3,938.1","3,938.1","3,760","3,799","3,938.1","9,867"
2019-03-07,"3,760","3,765","3,706","3,765","3,750.6","2,197"
2019-03-06,"3,750","3,759.9","3,710.1","3,759.9","3,745.5",393
2019-03-05,"3,716","3,799.9","3,680","3,799.9","3,714.5","1,087"
2019-03-04,"3,778","3,778","3,650","3,762","3,777.3","8,609"
2019-03-03,"3,750","3,780","3,717.3","3,717.3","3,765",838
2019-02-27,"3,750","3,750","3,570","3,570","3,717.3",177
2019-02-26,"3,626","3,649","3,620","3,620","3,641.9",214
2019-02-25,"3,650.5","3,665","3,649","3,650","3,652.4","1,068"
2019-02-24,"3,658","3,658","3,645.9","3,649.2","3,652.9",206
2019-02-20,"3,650","3,668.1","3,500","3,665","3,649.2","1,410"
2019-02-19,"3,668.9","3,668.9","3,668.9","3,668.9","3,668.9",1
2019-02-18,"3,660.1","3,690","3,635","3,680","3,660",946
2019-02-17,"3,640","3,673","3,620","3,650","3,663.7",379
2019-02-14,"3,664.5","3,665","3,600","3,602","3,655.6","1,323"
2019-02-13,"3,664","3,699.8","3,600.2","3,699.8","3,652.8","1,825"
2019-02-12,"3,661","3,729","3,655","3,655","3,665.2",196
2019-02-11,"3,720","3,720","3,690","3,715","3,712.1","8,222"
2019-02-10,"3,725","3,745","3,630","3,745","3,709.4","1,484"
