DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18,18.6,18,18.3,18.3,"11,299"
2019-06-27,18.5,18.5,18.3,18.3,18.5,"6,364"
2019-06-26,18.5,18.6,18.2,18.2,18.5,"24,016"
2019-06-25,18.3,18.5,18.1,18.1,18.2,"70,613"
2019-06-24,18.1,18.3,18,18.1,18.1,"29,243"
2019-06-23,18.2,18.6,18.1,18.3,18.3,"14,976"
2019-06-20,18.5,19,18.3,18.8,18.6,"25,847"
2019-06-19,18.7,19.6,18.2,19.1,18.8,"97,965"
2019-06-18,19.8,19.8,18.5,18.5,19.1,"95,903"
2019-06-17,18.3,18.9,18.3,18.9,18.4,"99,898"
2019-06-16,19,20.5,19,20.5,19.1,"180,114"
2019-06-12,21.9,21.9,20,20.2,21.1,"451,439"
2019-06-11,20.3,20.8,20.2,20.7,20.3,"131,721"
2019-06-10,20.5,21.7,20.4,21.3,20.6,"296,882"
2019-06-09,21,21,20.4,20.9,21,"165,478"
2019-05-30,20.3,20.4,19.7,20,20.2,"331,455"
2019-05-29,19.5,19.7,19.5,19.5,19.5,"142,428"
2019-05-28,19.7,19.7,19.2,19.5,19.5,"90,347"
2019-05-27,19.9,20,19,19.1,19.8,"202,948"
2019-05-26,19.4,19.4,18.4,18.6,19,"108,818"
2019-05-23,18.8,19,18.4,18.4,18.6,"105,071"
2019-05-22,18.3,18.5,18,18.1,18.1,"18,716"
2019-05-21,18.5,18.5,17.8,18,18.1,"40,181"
2019-05-20,18.5,18.9,18,18.1,18.3,"149,899"
2019-05-19,18,18.6,17.6,18.2,17.9,"143,825"
2019-05-16,17.1,17.8,17,17.8,17.1,"25,200"
2019-05-15,17.5,18,17.1,18,17.2,"18,386"
2019-05-14,17.5,18.2,17.5,18.2,17.5,"24,215"
2019-05-13,17.6,17.7,17.6,17.7,17.6,"29,410"
2019-05-12,18,18.4,17.6,18.3,17.9,"15,575"
2019-05-09,17.6,18.4,17.6,18.4,17.6,"24,580"
2019-05-08,17.4,17.6,17.4,17.4,17.5,"33,010"
2019-05-07,17.5,17.9,17.4,17.5,17.5,"18,215"
2019-05-06,18,19,17.7,19,17.9,"5,020"
2019-05-05,17.7,18,17.3,17.3,17.9,"31,339"
2019-05-02,17.4,17.6,17.4,17.6,17.4,"10,918"
2019-04-30,17.2,17.5,16.8,16.8,17.5,"56,276"
2019-04-29,17,17.5,17,17.4,17.5,"31,924"
2019-04-28,17.6,17.8,17.6,17.8,17.8,"16,470"
2019-04-25,17.5,17.9,17.5,17.5,17.5,"18,809"
2019-04-24,17.6,17.9,17,17.4,17.7,"28,755"
2019-04-23,17.5,17.6,17,17.1,17.5,"21,420"
2019-04-21,17.3,17.8,17.3,17.8,17.4,"1,957"
2019-04-18,17.7,17.7,17,17,17.6,"5,437"
2019-04-17,17.5,17.6,16.9,17,17.3,"16,475"
2019-04-16,17.4,17.5,17.1,17.2,17.4,"22,728"
2019-04-15,17.6,17.6,15.5,16.7,17.4,"16,056"
2019-04-11,17.2,17.3,17,17.1,17.1,"16,046"
2019-04-10,17.5,17.5,17,17,17.2,"82,159"
2019-04-09,17.1,17.8,17.1,17.5,17.4,"33,387"
2019-04-08,17.8,17.8,17.3,17.4,17.5,"17,135"
2019-04-07,17.9,18,17.5,18,17.9,"19,363"
2019-04-04,18,18.2,17.9,17.9,18,"53,330"
2019-04-03,17.7,18,17.7,17.9,17.9,"7,761"
2019-04-02,17.7,17.9,17.7,17.8,17.8,"9,230"
2019-04-01,17.9,18.2,17.2,18.2,17.4,"21,581"
2019-03-31,17.7,18.3,17.2,17.8,18,"31,192"
2019-03-28,17.8,17.8,17,17.4,17.2,"16,724"
2019-03-27,17.6,18.4,17.1,18.4,17.6,"15,994"
2019-03-25,18,18,17.3,17.5,17.8,"5,823"
2019-03-24,17.6,18.2,17.3,18.2,17.6,"31,723"
2019-03-21,17.6,17.8,17.5,17.5,17.5,"19,254"
2019-03-20,17.7,18.4,17.5,18.4,17.7,"35,091"
2019-03-19,17.6,17.6,17.2,17.2,17.3,"21,658"
2019-03-18,17.1,17.9,17,17.3,17.1,"14,186"
2019-03-14,17.7,18,17.4,18,18,"32,274"
2019-03-13,18,18.3,18,18,18,"32,977"
2019-03-12,18.2,18.3,18.1,18.1,18.2,"62,399"
2019-03-11,18.1,18.8,18,18.3,18.1,"14,182"
2019-03-10,18.2,18.5,18.2,18.2,18.3,"8,771"
2019-03-07,18.1,18.4,18,18,18.1,"52,059"
2019-03-06,18,18.4,18,18,18,"27,060"
2019-03-05,18,18.5,17.9,17.9,18.2,"18,915"
2019-03-04,17.9,18.7,17.4,18.4,17.9,"68,404"
