DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,28.1,28.5,28.1,28.5,28.1,"158,498"
2019-06-27,28.2,28.3,28.1,28.2,28.1,"168,036"
2019-06-26,28,28.4,27.9,28,28.2,"114,253"
2019-06-25,27.9,28.2,27.8,28.2,27.9,"97,508"
2019-06-24,28.2,28.2,27.6,27.8,28.1,"117,127"
2019-06-23,28,28,27.7,27.7,27.9,"107,157"
2019-06-20,27.6,28.3,27.6,28.3,27.7,"86,544"
2019-06-19,28,28.6,27.8,28.6,28,"183,276"
2019-06-18,28.3,28.5,28.1,28.1,28.4,"98,015"
2019-06-17,28.1,28.4,28,28.2,28,"71,847"
2019-06-16,28.3,29.2,28.1,29.1,28.3,"350,442"
2019-06-13,28.8,29.2,28.6,29,28.9,"130,572"
2019-06-12,29.1,29.9,29,29.3,29.3,"221,147"
2019-06-11,29.6,29.9,29.1,29.3,29.6,"207,460"
2019-06-10,29.2,29.2,28.4,28.4,29.1,"227,982"
2019-06-09,28.6,28.7,28.3,28.4,28.4,"74,193"
2019-05-30,28.4,28.6,28.3,28.5,28.4,"72,452"
2019-05-29,28.3,28.7,28.2,28.7,28.3,"58,602"
2019-05-28,28.5,28.5,28.2,28.4,28.4,"65,644"
2019-05-27,28.3,28.5,28.2,28.4,28.4,"74,791"
2019-05-26,28.4,28.8,28.3,28.5,28.4,"154,116"
2019-05-23,28.2,28.8,27.8,28,28.3,"281,117"
2019-05-22,28,28.1,27.8,28,28,"122,467"
2019-05-21,27.7,28.1,27.6,28.1,27.8,"228,341"
2019-05-20,28,28.5,28,28.5,28.1,"102,753"
2019-05-19,28.7,28.7,28.1,28.4,28.6,"220,822"
2019-05-16,28,28.3,27.9,28.2,28.1,"38,965"
2019-05-15,28,28.6,28,28.4,28.1,"92,956"
2019-05-14,28.2,28.4,28,28.4,28.1,"53,509"
2019-05-13,28.1,28.4,28,28.4,28.1,"120,550"
2019-05-12,28.4,29,28.3,28.8,28.4,"191,915"
2019-05-09,28.5,29.5,28.1,29,28.5,"138,230"
2019-05-08,28.4,28.9,27.6,28.3,28.5,"303,616"
2019-05-07,29.6,29.6,27.9,28.2,28.6,"300,440"
2019-05-06,28.5,28.8,27.8,28.8,28.5,"489,709"
2019-05-05,28.5,29,28.3,28.7,28.8,"346,534"
2019-05-02,28.1,28.3,27.2,27.2,28.1,"370,551"
