DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,100.4,102.1,100,100.2,100.5,"771,944"
2019-06-27,99.8,102,99.8,101,100.1,"631,373"
2019-06-26,101.1,101.1,98.5,99.5,100.7,"840,850"
2019-06-25,98.2,100,97.5,97.9,98.1,"916,346"
2019-06-24,97.4,98,96.4,97.5,97.5,"553,706"
2019-06-23,97.3,98.5,97.1,97.5,97.4,"281,745"
2019-06-20,98,98,96.1,97,97.5,"541,646"
2019-06-19,96.3,98.3,96.2,97.7,96.5,"403,912"
2019-06-18,97.5,98.3,95.7,97.3,97.6,"508,989"
2019-06-17,97,99.3,96.6,99.3,97,"770,493"
2019-06-16,99.1,102,97.6,101.9,99.3,"1,240,342"
2019-06-13,100.8,102.9,100.5,102.8,100.9,"1,388,755"
2019-06-12,101.8,104.3,101,101.2,101.7,"2,550,802"
2019-06-11,100.1,101.8,97.8,98,100.9,"1,450,663"
2019-06-10,97.6,98.4,95.8,96.4,97.6,"835,209"
2019-06-09,96.7,96.7,94.2,95,96,"361,637"
2019-05-30,94.2,95.3,93.6,95.2,94.3,"386,781"
2019-05-29,94,95.8,93.8,94.3,95.1,"779,521"
2019-05-28,93.9,94.6,92.7,93,93.9,"499,783"
2019-05-27,92.4,93.3,91.6,92.3,92.7,"519,744"
2019-05-26,92.1,92.7,92,92.5,92.2,"371,169"
2019-05-23,92,92.2,91.1,91.2,92,"327,003"
2019-05-22,91.4,91.7,90.7,90.9,91.4,"287,365"
2019-05-21,91,91,89.5,90.8,90.4,"229,536"
2019-05-20,91,91.9,90.2,91.7,90.6,"265,600"
2019-05-19,91.8,92.7,91.1,91.9,91.6,"466,755"
2019-05-16,91.3,92,90.1,91,90.8,"309,712"
2019-05-15,90.7,92.5,90.5,91.8,90.9,"307,120"
2019-05-14,92,93.2,91.7,92.5,91.9,"264,268"
2019-05-13,92.4,94.3,92.2,94.1,92.7,"306,959"
2019-05-12,94.5,94.8,93.5,94.3,94.1,"493,056"
2019-05-09,93.6,94.9,93,93.2,93.4,"391,336"
2019-05-08,93.2,94.4,92.6,94,93.2,"332,868"
2019-05-07,94.4,96.6,93.8,95.3,93.9,"326,668"
2019-05-06,95.1,98.3,95,98.1,95.3,"697,283"
2019-05-05,97.7,98.4,97,97,97.9,"734,799"
2019-05-02,96.9,97.2,95.1,95.1,96.9,"583,459"
2019-04-30,95.4,95.5,91.4,92.5,94.5,"732,676"
2019-04-29,91.5,92.1,91.2,91.7,91.4,"300,831"
2019-04-28,91.8,92.9,91.3,92.6,91.7,"352,439"
2019-04-25,92.8,93.3,91.6,92.7,92,"316,740"
2019-04-24,91.5,93.6,90.6,92,91.6,"581,948"
2019-04-23,91.7,92.4,90.8,92.3,91.3,"227,270"
2019-04-21,92.7,93.5,91,93.5,92.2,"387,440"
