DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,246.5,253,244.9,250.3,245.3,"44,875"
2019-06-27,253.8,254.4,248.3,253.5,249.9,"80,534"
2019-06-26,250,261.9,244,261.2,251.8,"83,696"
2019-06-25,258,266.9,257.1,258.3,259,"103,222"
2019-06-24,257.9,262,253.5,262,256.6,"78,970"
2019-06-23,258,263,251.5,262.8,254.7,"75,149"
2019-06-20,259.8,274,255.1,265,257.1,"177,842"
2019-06-19,260,268.9,252,252,263.4,"218,860"
2019-06-18,250,253,242,245.5,247.9,"80,503"
2019-06-17,245,259,242.1,254.9,245.4,"139,237"
2019-06-16,247.7,247.7,227.4,227.8,247.7,"173,183"
2019-06-13,227.7,232.8,225.5,225.6,227.8,"47,314"
2019-06-12,227,234,226.1,234,226.9,"33,238"
2019-06-11,230,232,224.9,224.9,229.7,"25,589"
2019-06-10,223.2,226.4,222,225,222.3,"21,531"
2019-06-09,222.2,226.6,222,226.6,223.1,"14,173"
2019-05-30,223.9,229.2,223,229.2,223.9,"19,847"
2019-05-29,225,231,224.5,227.4,225.3,"20,784"
2019-05-28,228.1,233,225.5,233,227.4,"17,511"
2019-05-27,225.7,227,223.1,225.8,224.7,"18,453"
2019-05-26,226.2,232.9,224.1,232.9,225.7,"32,357"
2019-05-23,228.6,240,228.6,240,230.1,"29,398"
2019-05-22,232.3,237.9,231.3,232,233.7,"51,655"
2019-05-21,234,235,221.3,227.2,231.2,"50,273"
2019-05-20,227.3,235,226.8,235,227.2,"39,619"
2019-05-19,233,235.5,225.1,225.3,233.1,"47,317"
2019-05-16,224.2,229,220.5,229,224.3,"26,353"
2019-05-15,220.9,225,218.8,225,220.2,"22,977"
2019-05-14,221.3,221.3,214.2,217.9,220.3,"21,749"
2019-05-13,215.4,218.4,213.6,218,214.6,"14,807"
2019-05-12,217.8,226.8,217.6,223,218.1,"17,249"
2019-05-09,223.8,229,220.3,227.1,222.2,"24,763"
2019-05-08,225,232,223.1,223.5,224.8,"23,700"
2019-05-07,220,236.4,220,231.5,225.1,"39,348"
2019-05-06,231.2,239.8,230.3,237,231,"71,494"
2019-05-05,234.2,244.9,234.1,235.3,235.7,"65,625"
2019-05-02,230.3,230.3,215,215,230.3,"62,018"
2019-04-30,214.5,218.7,210.1,214.7,211.8,"33,064"
2019-04-29,209.9,217,209,215,210.3,"24,217"
2019-04-28,216,219.5,213.9,219,214.7,"32,936"
2019-04-25,215.7,218,212.9,217,216.3,"26,622"
2019-04-24,214,215,206.6,207,211.7,"28,868"
2019-04-23,209.4,217.5,208.7,217,209.5,"34,593"
2019-04-21,216.4,222.8,216,220,217,"42,014"
2019-04-18,218.9,219,208.1,208.1,218.1,"36,026"
2019-04-17,209,211.5,205,207,208.8,"44,874"
2019-04-16,206,213.3,205.6,213.3,206.8,"30,385"
2019-04-15,211.4,223.8,211.4,221.8,213.3,"40,269"
2019-04-11,218.7,222,207.8,207.8,218.7,"49,495"
