DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,28.8,29.4,28.8,29.3,28.9,"432,540"
2019-06-27,29.2,29.6,29.1,29.5,29.2,"430,341"
2019-06-26,29.8,29.8,29.2,29.5,29.6,"248,691"
2019-06-25,29.5,29.5,29.1,29.3,29.3,"206,751"
2019-06-24,29.5,29.9,29.1,29.9,29.3,"288,164"
2019-06-23,29.7,30.4,29.6,30,29.7,"200,987"
2019-06-20,29.7,29.8,29.4,29.7,29.6,"408,501"
2019-06-19,29.8,30.6,29.7,30,29.8,"486,517"
2019-06-18,29.6,30.3,29.5,29.9,29.7,"291,165"
2019-06-17,29.5,29.9,29.1,29.7,29.5,"315,222"
2019-06-16,29.6,30.3,29.6,30.3,29.7,"495,120"
2019-06-13,30.2,30.8,30.1,30.2,30.3,"437,074"
2019-06-12,30.3,30.6,29.9,30.3,30.2,"399,450"
2019-06-11,30.4,30.8,30.3,30.4,30.4,"655,753"
2019-06-10,30.3,30.3,29.6,29.6,30.2,"181,639"
2019-06-09,30,30.1,29.3,29.8,29.6,"160,296"
2019-05-30,30,30.2,29.6,29.8,29.8,"176,647"
2019-05-29,29.9,30.2,29.6,29.9,30,"161,056"
2019-05-28,30,30,29,29,29.8,"248,619"
2019-05-27,29.1,29.3,28.7,29.2,29,"178,521"
2019-05-26,29.2,29.6,29.1,29.5,29.3,"154,537"
2019-05-23,29.4,30.3,29.4,30.3,29.5,"240,265"
2019-05-22,30,30.5,29.7,30.1,30.1,"436,525"
2019-05-21,29.7,30.8,29.7,30.8,29.9,"835,434"
2019-05-20,30.7,31.3,30.6,31.3,30.8,"519,950"
2019-05-19,31.1,31.5,30.7,30.8,31.2,"827,492"
2019-05-16,30.5,31.2,30.3,31,30.5,"300,792"
2019-05-15,30.6,31.2,30.5,31,30.7,"202,689"
2019-05-14,30.4,31.4,30.4,31.1,31,"594,487"
2019-05-13,30.9,31.6,30.8,31.4,31,"669,922"
