DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,13.2,13.9,13.1,13.5,13.4,"1,514,670"
2019-06-27,13.5,14,13.3,13.8,13.4,"1,011,042"
2019-06-26,13.8,14.1,13.5,13.6,13.8,"527,654"
2019-06-25,13.8,13.9,13.3,13.5,13.8,"917,985"
2019-06-24,13.5,14,13.3,13.3,13.5,"619,334"
2019-06-23,13.4,13.6,13.3,13.5,13.4,"221,567"
2019-06-20,13.5,13.8,13.4,13.8,13.6,"458,076"
2019-06-19,13.9,13.9,13.6,13.9,13.8,"288,064"
2019-06-18,13.9,13.9,13.4,13.8,13.8,"724,703"
2019-06-17,13.7,13.9,13.6,13.9,13.7,"378,538"
2019-06-16,14.1,14.3,13.8,14.3,14.1,"482,077"
2019-06-13,14.1,14.4,14,14.2,14.1,"450,085"
2019-06-12,14.1,14.2,13.9,14.2,14.1,"547,156"
2019-06-11,14.2,14.5,14,14.3,14.3,"511,890"
2019-06-10,14,14.5,14,14.4,14,"639,091"
2019-06-09,14.3,14.6,14.1,14.2,14.5,"679,762"
2019-05-30,14.2,14.4,13.7,13.7,14.2,"788,487"
2019-05-29,13.7,14.2,13.7,14.2,13.7,"631,314"
2019-05-28,14,14.5,13.9,14.5,14,"446,114"
2019-05-27,14.2,14.4,13.7,13.8,14.2,"1,120,885"
2019-05-26,13.8,13.8,13.5,13.5,13.7,"389,736"
2019-05-23,13.6,13.8,13.4,13.5,13.5,"377,093"
2019-05-22,13.3,13.6,13.3,13.5,13.4,"210,722"
2019-05-21,13.4,13.4,13.2,13.3,13.3,"251,675"
2019-05-20,13.4,13.9,13.3,13.9,13.4,"320,340"
2019-05-19,14,14.1,13.5,13.6,14,"754,474"
2019-05-16,13.6,13.6,13.1,13.1,13.5,"311,402"
2019-05-15,13.1,13.2,12.9,13,13.1,"138,716"
2019-05-14,13,13.2,13,13.2,13.1,"141,396"
2019-05-13,13.3,13.4,13,13.2,13.1,"234,400"
2019-05-12,13.1,13.5,13.1,13.4,13.2,"388,918"
2019-05-09,13.1,13.5,13.1,13.4,13.2,"369,917"
2019-05-08,13.4,13.5,13.2,13.5,13.3,"153,521"
2019-05-07,13.4,13.8,13.3,13.6,13.4,"800,918"
2019-05-05,15,15.2,14.3,14.4,15,"1,355,240"
2019-05-02,14.4,14.5,13.9,14.2,14.4,"670,253"
2019-04-30,13.8,14.5,13.7,13.7,14.1,"320,026"
2019-04-29,13.6,13.9,13.6,13.8,13.7,"131,128"
2019-04-28,14,14,13.6,13.8,13.8,"234,704"
2019-04-25,13.9,14,13.7,13.9,13.7,"245,681"
2019-04-24,14,14.2,13.5,14.2,13.7,"421,868"
2019-04-23,14,14.6,14,14.6,14.1,"137,720"
2019-04-21,14.7,14.7,14.1,14.5,14.6,"257,142"
2019-04-18,14.4,14.5,13.8,14,14.3,"172,867"
2019-04-17,14.1,14.3,13.5,13.8,13.9,"264,933"
2019-04-16,13.8,14.2,13.7,14.2,13.8,"181,263"
2019-04-15,14.2,14.4,14.1,14.2,14.3,"234,202"
2019-04-11,14.3,14.4,14.1,14.1,14.2,"201,005"
2019-04-10,14.4,14.5,13.9,14.3,14.1,"233,733"
2019-04-09,14.1,14.6,14,14.2,14.3,"370,383"
2019-04-08,14.1,14.6,14.1,14.5,14.2,"174,213"
2019-04-07,14.8,14.9,14.4,14.9,14.5,"184,366"
2019-04-04,14.7,15,14.6,14.8,14.9,"197,318"
2019-04-03,15,15.3,14.7,15.3,14.8,"383,499"
2019-04-02,15.3,15.6,14.9,14.9,15.3,"584,561"
2019-04-01,14.8,14.9,14.7,14.9,14.8,"284,375"
2019-03-31,14.9,15,14.6,14.9,14.9,"449,497"
2019-03-28,14.8,15.1,14.8,14.8,15,"717,731"
2019-03-27,14.5,14.8,14,14.1,14.6,"318,937"
2019-03-25,14.1,14.8,14,14.8,14.1,"513,965"
2019-03-24,14.5,15,14.4,14.8,14.6,"123,012"
2019-03-21,14.8,14.9,14.6,14.9,14.7,"244,810"
2019-03-20,15,15.1,14.8,14.8,15,"348,904"
2019-03-19,14.7,14.7,13.6,13.6,14.6,"273,945"
2019-03-18,13.4,14.3,13.4,14.3,13.5,"202,651"
2019-03-14,14.2,15.1,13.4,14.7,14.1,"197,534"
2019-03-13,14.6,15.4,14.6,15.3,14.8,"406,692"
2019-03-12,15.2,15.6,15,15.6,15.1,"185,997"
2019-03-11,15.6,16,15.6,15.8,15.6,"215,186"
2019-03-10,15.6,16,15.3,15.7,15.8,"363,152"
2019-03-07,15.4,15.8,15.2,15.5,15.2,"357,722"
2019-03-06,15.5,16.2,15.3,16,15.5,"602,651"
2019-03-05,15.8,16.4,15.8,16.1,15.9,"260,899"
2019-03-04,16.1,16.5,16,16.3,16.1,"159,513"
2019-03-03,16.3,16.5,16.1,16.2,16.1,"282,807"
2019-02-27,16.1,16.6,16.1,16.5,16.2,"194,478"
2019-02-26,16.6,16.7,16.3,16.7,16.6,"229,014"
2019-02-25,16.7,17,16.6,16.7,16.9,"179,834"
2019-02-24,16.7,17,16.3,17,16.5,"333,978"
2019-02-20,17,17.3,16.9,17.3,17,"468,293"
2019-02-19,17.3,17.6,17.1,17.4,17.3,"187,483"
2019-02-18,17.3,18,17.2,18,17.4,"741,895"
2019-02-17,18,18.2,17.2,17.2,17.9,"677,101"
2019-02-14,17.2,17.5,17,17.5,17.1,"640,467"
2019-02-13,17.4,18,17.3,17.5,17.5,"594,018"
2019-02-12,17.7,17.8,16.8,17.7,17.3,"467,968"
2019-02-11,17.5,17.6,17.1,17.2,17.5,"400,734"
2019-02-10,17.3,18.5,17.1,18.5,17.1,"750,639"
2019-02-07,18.3,19.4,18.1,18.9,18.3,"1,653,026"
2019-02-06,18.5,19.2,18.4,18.9,18.7,"762,712"
2019-02-05,19.1,19.5,18.8,19.5,19.2,"476,460"
2019-02-04,19.1,20.3,19,19.5,19.3,"2,669,331"
2019-02-03,19.3,19.9,18.9,19.4,19.5,"1,715,988"
2019-01-31,19.3,19.8,19.2,19.4,19.4,"1,235,907"
2019-01-30,19.4,20.2,19.2,20,19.4,"1,127,450"
2019-01-29,20,20.4,19.6,20.2,20,"2,116,266"
2019-01-28,20.2,20.5,19.6,20.5,20,"1,925,802"
2019-01-27,20.4,21.7,20,20.9,20.3,"5,405,740"
2019-01-24,20.8,21.5,20.4,20.5,20.8,"4,380,849"
2019-01-23,20.6,20.9,19.9,20.4,20.5,"2,306,386"
2019-01-22,20.1,20.2,19.3,19.8,20,"1,714,324"
2019-01-21,19.8,20.9,19.5,20.3,19.8,"3,413,943"
