DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,208.1,214,207,214,208.2,"22,978"
2019-06-27,212.7,217,206.2,214,210.1,"35,970"
2019-06-26,214,215,202.5,205.6,214,"41,586"
2019-06-25,204.3,208.8,203,207,204.7,"20,971"
2019-06-24,206.8,216.7,206.7,214,207.3,"26,070"
2019-06-23,211.5,218.2,211.5,216.3,212.5,"8,116"
2019-06-20,217.2,221.8,216.4,218,217.2,"15,389"
2019-06-19,219.5,220.5,216.1,216.2,217,"24,970"
2019-06-18,214.3,219.9,212.4,215.9,214.7,"28,273"
2019-06-17,213.2,226,213.1,220,214.8,"41,408"
2019-06-16,223,228.7,221,221.2,222.9,"73,188"
2019-06-13,220,222.7,212,215.5,221.6,"60,279"
2019-06-12,216.4,216.5,207.1,214,215.1,"42,437"
2019-06-11,211.8,214.1,204,207.5,212.9,"41,420"
2019-06-10,207.7,209.8,192.8,194.2,207.4,"54,702"
2019-06-09,190.2,192.4,189,191,191.2,"30,867"
2019-05-30,189,192.2,188.5,192,189.9,"14,414"
2019-05-29,189.3,196,189.1,196,191,"21,410"
2019-05-28,194.6,196.8,192,192.6,192.6,"12,533"
2019-05-27,194,194,186.6,186.6,192.2,"16,876"
2019-05-26,185.5,191.8,185.3,191.8,186.2,"9,977"
2019-05-23,188,194.3,188,193,189.1,"9,278"
2019-05-22,192.5,193.1,188.3,190.1,192.2,"12,046"
2019-05-21,188,192.3,185,188.1,189.8,"10,279"
2019-05-20,188,194.4,187,194.4,188.1,"12,093"
2019-05-19,190.3,200,186.1,194.9,192.4,"26,987"
2019-05-16,193,197.8,190,196.3,192.3,"12,003"
2019-05-15,197.8,200,194,196,196.3,"14,337"
2019-05-14,196.3,198.5,195,195.2,197.1,"12,173"
2019-05-13,195.8,197.2,190.1,191.1,195.8,"32,650"
2019-05-12,191,191.9,188,191.9,190.3,"12,235"
2019-05-09,191.3,192.7,187.5,192.7,189.6,"11,346"
2019-05-08,191.5,192.9,188,190.2,190,"13,559"
2019-05-07,193.4,197.8,185,197.8,189.4,"21,889"
2019-05-06,195.9,197,186.1,196.9,194.1,"32,841"
2019-05-05,193,195,183,187,193.6,"54,960"
2019-05-02,186.3,188,176.5,176.5,184.9,"38,523"
2019-04-30,179,186.2,171.6,180,173.7,"56,459"
2019-04-29,180.2,185.7,176.2,179,178.4,"97,300"
2019-04-28,191.2,206,191,205,195.7,"30,661"
2019-04-25,206,207.2,201,201,204.4,"18,804"
2019-04-24,203,216.5,200,216.5,204,"46,493"
2019-04-23,218,226.6,210,226.5,217.8,"41,698"
2019-04-21,228,229.5,226.7,226.7,227.7,"11,096"
2019-04-18,229,229,225.6,228.5,227.5,"10,622"
2019-04-17,223.2,227,222,226.1,224.6,"16,760"
2019-04-16,226,234.8,225,234.8,225.5,"11,252"
2019-04-15,227.6,240.9,227.3,240.9,228,"15,232"
2019-04-11,229,229.9,225.5,227,228.9,"16,642"
2019-04-10,227.3,231,222.1,228.6,225.6,"21,700"
2019-04-09,227.9,228.2,222,228,223.9,"26,217"
2019-04-08,230.8,231,227.4,230,228,"23,494"
2019-04-07,229,236.4,229,236,230.4,"22,256"
2019-04-04,235,235.8,230.8,232.3,234.1,"23,006"
2019-04-03,234.8,238.1,231.7,233,232.5,"42,155"
2019-04-02,237,243,232,238.4,233.4,"74,034"
2019-04-01,238.8,239.5,233.3,234,238.5,"128,355"
2019-03-31,233,233.3,230,231.8,232.4,"27,188"
2019-03-28,231.3,231.9,228,231.9,230.1,"12,976"
2019-03-27,231,232,229,230,231.2,"10,874"
2019-03-25,232.1,232.4,228.7,230,229.8,"15,936"
2019-03-24,231,233.8,230.1,233.6,230.9,"17,968"
2019-03-21,232.8,233.9,228.5,228.7,231.5,"20,456"
2019-03-20,229.1,232,226.7,230.2,228.4,"19,794"
2019-03-19,231,231.8,221,229,230.2,"13,085"
2019-03-18,225.2,230.5,225.1,230,226.9,"20,077"
2019-03-14,230.3,233.6,230.3,232,231.1,"22,556"
2019-03-13,231.7,232.1,228.1,229.9,230,"15,836"
2019-03-12,228.3,234.2,228.2,233.3,229.6,"27,914"
2019-03-11,236.5,236.5,229.6,233.7,235.5,"30,315"
2019-03-10,231.7,234,229.1,234,230.1,"14,835"
2019-03-07,230,233,227.9,228,229.9,"26,811"
2019-03-06,230.3,234.7,228,234.7,228.8,"29,765"
2019-03-05,232,235,226,231.1,231.9,"31,872"
2019-03-04,230,236.7,230,236.7,231,"36,101"
2019-03-03,235,237.3,233.1,236,234.7,"47,955"
2019-02-27,234.4,240,232.4,233.1,234.2,"22,805"
2019-02-26,232.2,240.9,232,240.9,233.3,"50,899"
2019-02-25,237,247.9,236.5,245,238.6,"100,443"
2019-02-24,244,244.5,237.7,240,243.5,"182,122"
2019-02-20,236.7,243.8,233.1,233.1,237.7,"123,626"
2019-02-19,232.7,235,225.9,228.1,234,"54,902"
2019-02-18,229.6,231.1,226.2,228.2,227,"29,629"
2019-02-17,225.3,233.7,225.1,233.7,228.2,"69,354"
2019-02-14,228,236.5,228,232.3,229.7,"34,587"
2019-02-13,234.9,239.7,233,239.7,235.3,"20,053"
2019-02-12,238.9,239.9,234.7,237,238.4,"65,594"
2019-02-11,239.5,239.5,228.8,230.1,234.7,"131,440"
2019-02-10,229.9,237,228.1,236,229.7,"66,666"
2019-02-07,234.1,236.2,230.3,230.3,234.7,"29,098"
2019-02-06,230.2,236.7,229.1,232.2,230.2,"30,047"
2019-02-05,235,237.7,229.2,229.2,233.8,"30,582"
2019-02-04,228.9,238,228.1,232.7,229.7,"25,029"
2019-02-03,231.5,240.7,228.1,237.8,232.7,"36,730"
2019-01-31,238,247.5,235.2,244,237.7,"88,771"
2019-01-30,241.8,242.7,221,221,240.2,"133,280"
2019-01-29,224,230,220,222.4,223.2,"49,488"
2019-01-28,226.3,233.6,215,223.1,222.4,"70,772"
2019-01-27,228,237.8,228,234,231.3,"49,505"
2019-01-24,235,242,232,237,234.3,"84,313"
2019-01-23,233,239,225,225.2,233.4,"87,174"
2019-01-22,227.8,232.5,224.2,230.1,227.5,"42,078"
2019-01-21,230,236.8,225.1,225.2,227.5,"57,480"
2019-01-20,223,233.8,221.8,232,223.1,"74,689"
2019-01-17,231,245,231,242,232.5,"87,881"
2019-01-16,244,254.9,240,253,244.1,"101,239"
2019-01-15,250,258.7,240,242,249.2,"208,084"
2019-01-14,238,245,236,239,237.9,"171,371"
2019-01-13,234.7,238,227,227,235.1,"161,521"
2019-01-10,228,245,222.4,227.1,225.5,"80,603"
2019-01-09,232.1,232.1,214.5,214.5,232.1,"235,237"
2019-01-08,215,217.6,211.9,211.9,213.5,"76,100"
2019-01-07,209,214,208.2,210.1,209,"61,235"
2019-01-06,210,213.5,206.4,208,211,"49,290"
2019-01-03,209,211,203.4,203.4,207.6,"29,506"
2019-01-02,201.5,202.2,198,201.1,200.2,"33,209"
2019-01-01,201,203.9,200,203.9,201.2,"10,312"
2018-12-27,197,199.2,196,198,197,"18,998"
2018-12-26,198.8,202,197.5,200,197.7,"10,882"
2018-12-24,201,201.5,198.2,201.5,199.6,"4,505"
2018-12-23,198,202,197.5,200.2,198.2,"15,007"
2018-12-20,201,204.7,199,204.7,200.2,"10,496"
2018-12-19,203.5,203.5,198.4,200.7,201.4,"16,524"
2018-12-18,203,203.4,196.5,199.1,200.5,"12,800"
2018-12-17,202,208.5,197.4,208.5,199.1,"23,775"
2018-12-13,206.7,215,203.3,209,204.5,"27,776"
2018-12-12,208,211,202,205.2,203.9,"41,123"
2018-12-11,210.2,219,210,218,211,"42,176"
2018-12-10,217,219.6,209.9,209.9,217.4,"117,658"
2018-12-09,207.9,208.8,200,201,208,"47,993"
2018-12-06,201.5,202.9,196.1,202.9,197.8,"15,241"
2018-12-05,199.3,204.3,198.6,200.1,199.3,"24,082"
2018-12-04,202,204.5,200,200,201.5,"26,015"
2018-12-03,203.8,203.9,199.3,201,200.6,"27,747"
2018-12-02,197.3,203.2,195.1,201,199.1,"39,977"
2018-11-29,200,207,200,207,200.7,"34,407"
2018-11-28,202.8,211,202.6,206.2,204,"28,943"
2018-11-27,206.4,211.9,205,206,207.6,"66,430"
