DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,17.9,18.2,17.9,18.1,17.9,"194,090"
2019-06-27,17.8,18.3,17.8,18.2,17.9,"366,651"
2019-06-26,18.1,18.2,17.9,17.9,18.1,"103,575"
2019-06-25,18,18.2,17.9,18.1,17.9,"256,994"
2019-06-24,18.2,18.2,17.9,18.2,18.1,"418,509"
2019-06-23,18,18.3,18,18.3,18.1,"162,870"
2019-06-20,18.3,18.6,18.2,18.4,18.3,"160,661"
2019-06-19,18.3,18.7,18.3,18.7,18.4,"269,797"
2019-06-18,18.8,18.8,18.4,18.5,18.7,"139,813"
2019-06-17,18.5,18.8,18.3,18.7,18.4,"291,398"
2019-06-16,19,19.3,18.8,19.1,18.9,"279,024"
2019-06-13,19.1,19.2,18.7,18.8,19.1,"425,498"
2019-06-12,18.9,19.1,18.7,19.1,18.9,"370,387"
2019-06-11,19.1,19.2,18.6,18.7,19,"336,920"
2019-06-10,18.6,18.7,18.3,18.4,18.6,"314,739"
2019-06-09,18.2,18.3,18.1,18.3,18.2,"80,083"
2019-05-30,18.2,18.2,18,18.1,18.2,"107,010"
2019-05-29,18.2,18.4,18.1,18.3,18.2,"74,871"
2019-05-28,18.2,18.5,18.1,18.2,18.2,"149,615"
2019-05-27,18,18.1,17.8,18,18.1,"73,491"
2019-05-26,18,18.3,17.9,18.3,18,"157,242"
2019-05-23,18.2,18.3,18.1,18.2,18.2,"61,529"
2019-05-22,18.2,18.3,18.1,18.2,18.2,"51,625"
2019-05-21,18.2,18.5,17.9,18.3,18.1,"246,680"
2019-05-20,18.4,18.6,18.2,18.6,18.5,"84,652"
2019-05-19,18.6,18.7,18.3,18.3,18.6,"142,758"
2019-05-16,18.4,18.4,18,18.4,18.3,"101,352"
2019-05-15,18.1,18.5,18,18.3,18.1,"173,441"
2019-05-14,18.3,18.9,18.3,18.5,18.3,"123,539"
2019-05-13,18.7,19.2,18.5,19,18.6,"61,245"
2019-05-12,18.8,19.1,18.7,18.8,18.8,"174,501"
2019-05-09,18.7,18.7,18.4,18.5,18.7,"96,625"
2019-05-08,18.5,18.6,18.3,18.6,18.4,"97,018"
2019-05-07,18.7,19.1,18.5,18.6,18.6,"178,951"
2019-05-06,18.8,19.8,18.8,19.7,19,"348,535"
2019-05-05,19.7,19.9,19.2,19.4,19.7,"365,035"
2019-05-02,19.4,19.4,18,18,19.1,"397,827"
2019-04-30,18.1,18.6,17.7,18,18,"276,175"
2019-04-29,17.8,17.9,17.5,17.7,17.6,"147,974"
2019-04-28,17.8,18,17.7,18,17.8,"122,337"
2019-04-25,18,18.2,17.7,17.8,18,"115,404"
2019-04-24,17.9,18,17.8,17.9,17.9,"71,430"
2019-04-23,18,18.5,17.9,18.5,18,"88,697"
2019-04-21,18.3,18.6,18.2,18.5,18.3,"63,434"
2019-04-18,18.4,18.4,17.7,17.9,18.4,"140,324"
2019-04-17,18.1,18.4,17.8,18.4,18,"117,328"
2019-04-16,18.2,18.5,18,18.3,18.1,"115,742"
2019-04-15,18.4,18.9,18.2,18.9,18.3,"97,415"
2019-04-11,18.4,18.5,17.7,17.7,18.3,"91,840"
2019-04-10,18.1,18.1,17.7,18,17.9,"184,170"
2019-04-09,17.9,18.3,17.9,18.1,18,"289,695"
2019-04-08,18.1,19,18.1,19,18.2,"203,986"
2019-04-07,18.8,19.2,18.5,19.1,18.9,"195,150"
2019-04-04,19,19.2,19,19.2,19.1,"172,674"
