DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,16.2,16.8,16.2,16.6,16.4,"33,009"
2019-06-27,16.5,17,16.4,16.4,16.6,"18,035"
2019-06-26,16.3,17.4,16.3,17.1,16.6,"66,233"
2019-06-25,17,17.7,16.9,17.1,17,"23,708"
2019-06-24,16.9,17.2,16.7,16.7,16.9,"6,778"
2019-06-23,16.5,16.9,16.5,16.7,16.6,"32,558"
2019-06-20,16.7,17,16.5,16.5,16.7,"13,058"
2019-06-19,17,17.3,16.6,17.3,16.8,"62,728"
2019-06-18,17.1,17.3,17,17.3,17.2,"34,969"
2019-06-17,17,17.3,17,17.1,17,"97,379"
2019-06-16,17.1,17.4,16.8,17.1,17.1,"39,438"
2019-06-13,17.3,17.4,17,17.4,17.1,"48,099"
2019-06-12,17.4,17.5,17,17.4,17.1,"29,533"
2019-06-11,17.2,17.9,17.1,17.1,17.3,"33,229"
2019-06-10,17.9,18,16.9,18,17.1,"28,100"
2019-06-09,17.1,18.3,17.1,18.3,17.3,"23,804"
2019-05-30,18,18.1,17.6,18.1,17.9,"9,423"
2019-05-29,18,18,17.2,17.8,17.9,"32,078"
2019-05-28,18.1,18.2,17.2,18.2,17.9,"11,537"
2019-05-27,17.5,17.9,17.3,17.5,17.4,"18,240"
2019-05-26,17.2,19,17.2,19,17.5,"15,003"
2019-05-23,18,18.3,18,18,18,"15,711"
2019-05-22,18.4,18.5,18,18.5,18.1,"18,493"
2019-05-21,18,18.4,17.9,17.9,18.3,"31,035"
2019-05-20,18.1,18.2,17.8,17.8,18.1,"8,097"
2019-05-19,18,18.3,17.8,17.8,18,"14,045"
2019-05-16,17.5,18.2,17.5,18.2,17.7,"8,755"
2019-05-15,17.9,18.2,17.7,18.2,17.9,"8,992"
2019-05-14,18,18,17.5,18,17.6,"13,207"
2019-05-13,17.9,18.4,17.5,17.9,17.5,"32,666"
2019-05-12,18,18.7,17.7,18.6,17.9,"63,081"
2019-05-09,18.5,19,18.4,18.4,18.5,"14,498"
2019-05-08,18.8,18.8,18.4,18.4,18.5,"5,806"
2019-05-07,18.7,19,18.4,19,18.5,"12,625"
2019-05-06,18.9,19.6,18.6,19.6,18.7,"53,595"
2019-05-05,19.1,19.7,18.9,19.7,19.1,"36,927"
2019-05-02,19.2,19.2,18,18.9,18.9,"27,940"
2019-04-30,18.4,19.7,18.4,19.7,18.7,"63,742"
2019-04-29,19,19.8,18.1,18.1,19,"95,822"
2019-04-28,19.6,20.1,19.5,19.5,19.6,"150,982"
2019-04-25,19.8,19.8,18.9,18.9,19.5,"78,992"
2019-04-24,19.1,19.1,18,18,18.9,"43,309"
2019-04-23,18.3,19.1,18.3,18.8,18.4,"102,207"
2019-04-21,18.9,20,18.9,19.1,19.1,"348,947"
2019-04-18,19.1,19.4,18.2,18.2,19.1,"66,779"
2019-04-17,18.9,19.2,18.7,19.2,18.8,"22,265"
2019-04-16,18.7,19.4,18,19.1,18,"48,453"
2019-04-15,19.4,19.5,18.3,18.5,19.1,"105,259"
2019-04-11,18.5,18.5,17.6,17.9,18.1,"62,670"
2019-04-10,17.8,18.5,17.8,18.2,17.8,"29,847"
2019-04-09,18.3,18.5,17.9,18.2,18.2,"25,401"
2019-04-08,18.5,18.5,18.1,18.5,18.1,"27,556"
2019-04-07,19,19.3,18.4,19.3,18.5,"13,262"
2019-04-04,18.8,19.2,18.4,18.7,18.8,"47,530"
2019-04-03,18.6,19.4,18.6,19.1,18.7,"36,153"
2019-04-02,19.4,19.9,19,19.8,19.1,"68,084"
2019-04-01,19.9,20,19.1,19.9,19.7,"292,769"
2019-03-31,19.1,19.2,17.4,17.4,19,"196,936"
2019-03-28,17.8,17.8,16.9,17.3,17.7,"93,643"
2019-03-27,17.1,17.7,17.1,17.6,17.3,"89,460"
2019-03-25,17.9,18,17.5,17.8,17.6,"34,474"
2019-03-24,17.8,18,17.4,17.4,17.6,"13,949"
2019-03-21,17.5,17.9,17.5,17.6,17.5,"34,133"
2019-03-20,17.4,17.8,17.4,17.5,17.5,"36,588"
2019-03-19,17.7,17.8,17.5,17.6,17.6,"18,571"
2019-03-18,17.8,18,17.2,17.2,17.5,"43,491"
2019-03-14,17.9,18,17.5,17.5,17.9,"93,463"
2019-03-13,17.5,17.7,17.5,17.7,17.5,"26,506"
2019-03-12,17.9,18.1,17.4,18,17.6,"62,257"
2019-03-11,18,18.1,17.8,17.9,18,"86,703"
2019-03-10,18,18,17.4,17.7,17.5,"47,684"
2019-03-07,17.9,18,17.5,17.9,17.6,"42,936"
2019-03-06,17.9,18.3,17.7,18.3,17.8,"59,952"
2019-03-05,18.1,18.4,17.8,18.4,18.1,"62,800"
2019-03-04,18,18.1,17.5,17.8,17.9,"61,679"
2019-03-03,17.4,17.9,17.3,17.9,17.4,"79,939"
2019-02-27,17.3,18.6,17.1,18.6,17.6,"47,354"
2019-02-26,18.2,18.4,18,18.1,18.1,"103,995"
2019-02-25,18.1,18.5,17.9,18.5,18,"27,822"
2019-02-24,17.7,18.4,17.2,17.5,17.8,"70,927"
2019-02-20,17.5,18.3,17,17.1,17.6,"36,342"
2019-02-19,18.4,18.9,17.1,18.9,17.3,"59,871"
2019-02-18,18.6,18.6,18,18.1,18.2,"206,380"
2019-02-17,18.2,18.6,17.8,18.2,18,"197,175"
2019-02-14,18.6,18.6,18,18,18.2,"167,799"
2019-02-13,18.3,19,17.2,19,18.1,"127,648"
2019-02-12,19,19.4,19,19.4,19,"58,110"
2019-02-11,19.2,20.3,19,19.2,19.1,"139,236"
2019-02-10,19.2,19.5,19.1,19.1,19.2,"44,642"
2019-02-07,19.3,19.3,19.1,19.2,19.2,"75,140"
2019-02-06,19.3,19.5,19,19.3,19.1,"65,573"
2019-02-05,19.1,19.5,19,19.2,19.3,"47,788"
