DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,20,20.2,20,20,20.1,"305,654"
2019-06-27,20,20.2,19.9,20,20.1,"315,979"
2019-06-26,20.1,20.3,19.8,20,20.2,"628,885"
2019-06-25,20,20.2,19.9,20,20.1,"440,271"
2019-06-24,20,20.1,19.8,19.8,20,"296,380"
2019-06-23,20,20,19.8,19.8,20,"284,850"
2019-06-20,20,20,19.7,19.7,19.9,"389,306"
2019-06-19,20,20,19.8,20,19.8,"345,627"
2019-06-18,20,20.2,19.8,19.8,20,"451,074"
2019-06-17,19.9,20.1,19.7,19.7,20,"452,209"
2019-06-16,20.1,20.5,19.8,20.3,20,"469,450"
2019-06-13,20,20.3,19.9,20.1,20,"422,309"
2019-06-12,20.1,20.1,19.8,20.1,20,"618,092"
2019-06-11,19.9,20.4,19.9,20.3,19.9,"448,866"
2019-06-10,20,20.1,19.8,20,20,"655,650"
2019-06-09,19.9,20,19.6,19.9,19.9,"309,700"
2019-05-30,20.2,20.2,19.8,19.8,20.1,"463,545"
2019-05-29,20,20.3,19.7,20.2,19.9,"320,662"
2019-05-28,19.9,20.1,19.6,19.9,19.8,"486,478"
2019-05-27,19.6,19.9,19.4,19.9,19.6,"247,745"
2019-05-26,19.8,20,19.6,19.7,19.7,"641,077"
2019-05-23,19.7,20,19.6,19.8,19.6,"450,597"
2019-05-22,19.8,19.8,19.4,19.4,19.7,"508,383"
2019-05-21,19.4,19.9,19.4,19.6,19.5,"1,246,836"
2019-05-20,19.7,20.2,19.5,20.2,19.7,"505,736"
2019-05-19,20.3,20.9,19.1,20.5,20.2,"2,057,333"
2019-05-16,20.5,21.4,19.9,20.1,20.5,"3,295,285"
2019-05-15,20,20.1,19.3,19.5,19.9,"359,251"
2019-05-14,19.9,19.9,19.4,19.6,19.8,"261,867"
2019-05-13,20,20.1,19.5,19.9,19.8,"155,880"
2019-05-12,19.5,19.7,19.5,19.6,19.6,"56,226"
2019-05-09,19.5,20.1,19.5,20,19.7,"301,534"
2019-05-08,19.9,19.9,19.4,19.6,19.6,"154,965"
2019-05-07,19.6,20,19.4,20,19.5,"291,708"
2019-05-06,19.6,20.4,19.6,20.4,19.7,"364,979"
