DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,27.4,27.5,27.1,27.4,27.4,"28,566"
2019-06-27,27.5,27.5,27,27.2,27.4,"60,593"
2019-06-26,27.2,27.2,26.7,26.7,27,"22,339"
2019-06-25,26.9,27,26.6,27,26.7,"61,074"
2019-06-24,27.1,27.1,26.6,26.6,26.9,"12,901"
2019-06-23,26.6,27,26.5,26.9,26.6,"33,323"
2019-06-20,27.1,27.3,26.5,27.2,26.9,"372,481"
2019-06-19,27.3,27.6,27,27.6,27,"85,177"
2019-06-18,27.4,27.9,27,27.8,27.3,"81,834"
2019-06-17,26.9,27.5,26.9,27.5,27,"106,079"
2019-06-16,27.5,29.3,27.5,28.5,27.6,"191,752"
2019-06-13,28,28.2,27.7,28.1,28,"115,960"
2019-06-12,28.2,28.5,28,28.5,28.4,"112,123"
2019-06-11,28.5,28.5,27.1,27.5,28.5,"573,076"
2019-06-10,27.7,27.8,27.2,27.3,27.6,"25,557"
2019-06-09,27.2,27.4,26.9,27.4,27.2,"30,890"
2019-05-30,27,27,26.8,26.8,26.9,"42,126"
2019-05-29,27,27.1,26.6,27.1,26.8,"19,426"
2019-05-28,27,27.1,26.6,26.6,27,"18,014"
2019-05-27,26.3,26.7,26.3,26.3,26.4,"19,676"
2019-05-26,26.3,27,26.2,27,26.4,"38,801"
2019-05-23,26.9,27.3,26.8,27.1,26.8,"23,100"
2019-05-22,27.2,27.2,26.9,27,27.2,"17,943"
2019-05-21,26.8,27.4,26.8,27.4,26.8,"39,211"
2019-05-20,27.1,27.5,26.9,27.4,27,"24,241"
2019-05-19,27.5,28.1,27.2,27.4,27.3,"41,689"
2019-05-16,27,27.7,27,27.5,27.1,"35,709"
2019-05-15,27.1,27.9,27,27.4,27.1,"59,261"
2019-05-14,27.6,28.4,27.5,28.3,27.6,"12,980"
2019-05-13,28.3,28.9,27.8,28.9,28,"22,704"
2019-05-12,28.8,28.8,27.9,28,28.5,"62,369"
2019-05-09,27.7,28.4,27.7,27.8,27.8,"38,274"
2019-05-08,28.1,28.5,27.5,28.5,27.6,"47,763"
2019-05-07,28.5,28.8,27.6,28.2,28.1,"69,333"
2019-05-06,28.6,29.4,28.4,29.4,28.5,"133,073"
2019-05-05,29.5,29.8,28.6,29.2,29.3,"132,455"
2019-05-02,29.1,29.4,27.1,29,29,"170,809"
2019-04-30,27,27,26.7,27,27,"27,311"
2019-04-29,26.1,26.6,25.8,25.8,26.2,"10,095"
2019-04-28,26.1,26.7,26.1,26.6,26.2,"15,353"
2019-04-25,27,27,26.2,26.2,26.8,"35,756"
2019-04-24,26,26.2,25.5,25.9,26,"2,270"
2019-04-23,26.5,27.1,25.9,27.1,26.1,"50,421"
2019-04-21,27,27.8,27,27.1,27.2,"53,015"
2019-04-18,27.1,27.2,25.9,26,27.1,"76,568"
2019-04-17,25.8,26.2,25.3,25.3,26,"15,986"
2019-04-16,25.8,26.1,25.5,25.7,26,"41,274"
2019-04-15,25.8,26.6,25.5,26.6,25.8,"26,042"
2019-04-11,26.4,26.6,25.8,25.8,26.1,"23,208"
2019-04-10,25.6,26,25.1,26,25.3,"16,148"
2019-04-09,25.3,26.3,25.3,25.5,25.6,"32,369"
2019-04-08,25.4,26.2,25.4,26.2,25.5,"17,459"
2019-04-07,26.1,26.8,26.1,26.8,26.2,"29,210"
2019-04-04,27,27,26.3,26.4,26.5,"19,296"
2019-04-03,26.8,27.8,26.6,27.8,26.7,"14,953"
2019-04-02,27.2,27.4,26.8,26.9,27,"29,530"
2019-04-01,27.1,27.3,26.6,27.3,26.6,"19,008"
2019-03-31,26.7,27.3,26.6,26.8,26.6,"26,760"
2019-03-28,27.4,27.7,27,27.1,27,"48,384"
2019-03-27,27.5,27.5,27,27.3,27.5,"40,152"
2019-03-25,27.6,27.6,26.9,26.9,27.5,"49,578"
2019-03-24,26.9,26.9,26.7,26.7,26.8,"16,486"
2019-03-21,26.9,27,26.3,27,26.6,"47,787"
2019-03-20,26.7,27.6,26.5,27.4,26.6,"56,749"
2019-03-19,27.2,27.5,26.2,26.3,27.1,"49,282"
2019-03-18,27,27.4,26.2,27,26.5,"61,243"
2019-03-14,27,28.2,27,28.2,27,"33,735"
2019-03-13,27.5,28.2,27.5,28.1,27.7,"72,846"
2019-03-12,28.3,28.7,28,28.5,28.1,"52,522"
2019-03-11,28.4,28.4,28,28.2,28.4,"53,821"
2019-03-10,28.2,28.8,28,28.6,28.2,"82,834"
2019-03-07,28.7,28.9,27.5,28.5,27.9,"199,303"
2019-03-06,28.2,28.7,28,28.7,28.1,"48,792"
2019-03-05,28.3,29.4,28,29.4,28.4,"102,878"
2019-03-04,29.2,29.5,28.4,29,28.6,"108,495"
2019-03-03,29.4,29.4,28.7,28.7,29,"57,586"
2019-02-27,29,29.7,28.5,29.5,28.7,"120,292"
2019-02-26,29.1,29.6,29,29,29.2,"35,208"
2019-02-25,28.9,29.8,28.9,29.6,29.1,"189,547"
2019-02-24,29.7,30.3,29.5,29.7,29.6,"57,175"
2019-02-20,30.5,31.7,30,30.7,30.1,"134,368"
2019-02-19,30.7,32,30.7,31.5,31.3,"91,589"
2019-02-18,31.9,32.6,31,32.2,31.7,"206,948"
2019-02-17,31.6,32.8,30.2,30.7,31.4,"67,491"
2019-02-14,30.3,30.7,30.2,30.5,30.4,"69,402"
2019-02-13,30.9,31.6,30.4,31.5,30.6,"33,655"
2019-02-12,31.6,31.7,30,30,31.5,"140,628"
2019-02-11,30.2,30.2,29.4,29.4,30,"60,176"
2019-02-10,29.7,30.5,29.7,30.5,29.8,"38,770"
2019-02-07,30.1,30.1,29.2,29.2,29.9,"64,722"
2019-02-06,29.2,29.7,29,29.7,29,"80,404"
2019-02-05,29.4,29.7,29.1,29.2,29.4,"26,562"
2019-02-04,29.7,29.9,28.8,29,29.8,"61,303"
2019-02-03,28.4,29.7,28.4,29.3,28.8,"112,692"
2019-01-31,29.1,29.9,28.6,29.5,29.3,"59,912"
2019-01-30,29.8,30.8,29.5,30.8,29.6,"98,444"
2019-01-29,30.8,31.5,30.4,30.9,30.6,"83,523"
2019-01-28,31.1,32,31,32,31.2,"122,770"
2019-01-27,31.2,32.3,31.2,32.1,31.6,"162,229"
2019-01-24,32.3,33.2,32.1,33.2,32.4,"96,881"
2019-01-23,33.5,33.7,32.4,32.4,33.3,"510,665"
2019-01-22,31.6,33.2,31.6,32.6,32.4,"219,382"
2019-01-21,32.5,32.9,32.1,32.5,32.7,"121,076"
2019-01-20,32,32.3,31.3,32.2,32.1,"63,843"
2019-01-17,31.5,32.7,31.1,32.7,31.3,"118,964"
2019-01-16,32.2,33.6,32.2,33.6,32.6,"123,873"
2019-01-15,33,33.6,32.8,33.2,33.2,"146,236"
2019-01-14,33.3,34.5,32.6,32.6,33.1,"177,238"
2019-01-13,34,34.9,33.4,33.8,33.6,"203,914"
2019-01-10,35.1,36,33.8,35,34.8,"288,885"
2019-01-09,34.7,34.7,31.9,32,34.6,"735,808"
2019-01-08,32.1,32.8,31.2,31.2,31.6,"141,875"
2019-01-07,31.1,32.1,31.1,31.9,31.2,"248,027"
2019-01-06,31.6,32.8,31.1,31.1,31.9,"240,831"
2019-01-03,31.3,31.7,30.8,31.5,31.2,"194,213"
2019-01-02,31.1,31.3,29.5,30.7,30.8,"111,624"
2019-01-01,29.9,30.6,29.4,29.9,29.6,"77,377"
2018-12-27,29.4,29.7,29.2,29.3,29.3,"52,904"
2018-12-26,29.4,29.9,29,29.3,29.5,"127,643"
2018-12-24,28.8,29,28.1,28.6,28.4,"8,430"
2018-12-23,28.4,29.6,28.4,29.2,28.5,"30,392"
2018-12-20,29.2,29.5,28.7,28.7,29.2,"43,193"
2018-12-19,28.1,29,27.9,27.9,28.5,"17,058"
2018-12-18,28.3,28.4,27.8,27.8,28.2,"29,727"
2018-12-17,28.6,28.9,27.8,28.9,28.1,"42,009"
2018-12-13,29,29.7,28.5,29.7,29,"25,546"
2018-12-12,29.6,30,28.3,28.3,29.4,"186,773"
2018-12-11,28.5,28.5,27.5,28,28.1,"46,915"
2018-12-10,28.1,29.1,28,28.5,28.2,"62,621"
2018-12-09,28.5,29.7,28.4,29.7,28.6,"283,321"
2018-12-06,29.5,30.8,29.5,29.9,29.7,"34,310"
2018-12-05,30,30.9,30,30.5,30.1,"65,849"
2018-12-04,30.3,30.7,30,30.4,30.2,"88,519"
2018-12-03,30.4,31.3,30.1,30.9,30.2,"56,185"
2018-12-02,30.6,31.7,29.6,29.6,30.9,"145,226"
2018-11-29,30,30.4,29,29.8,29.9,"82,260"
2018-11-28,29.4,29.5,29,29.1,29.1,"48,145"
2018-11-27,29.2,30.9,29.1,30.9,29.3,"112,645"
2018-11-26,30.3,31,29.5,30.7,30.1,"91,810"
2018-11-25,30.8,31.3,28.3,28.6,30.6,"283,827"
2018-11-22,29,29.5,27.1,27.3,28.5,"119,560"
2018-11-20,27.5,27.8,27,27,27.2,"99,719"
2018-11-19,27.1,28.4,27.1,28.1,27.2,"103,800"
2018-11-18,27.9,28.6,27.6,28.6,27.8,"38,976"
2018-11-14,28.5,28.9,26.8,26.8,28.6,"79,888"
2018-11-13,27,27.5,27,27,27,"77,372"
2018-11-12,27.5,28.4,27.2,27.2,27.5,"32,445"
2018-11-11,27.7,28.4,27.7,28.2,27.9,"48,582"
2018-11-08,27.8,28.3,27.6,28.2,27.7,"31,820"
2018-11-07,28.2,28.3,27.1,27.8,27.9,"47,116"
2018-11-06,27.9,28.7,27.7,28,27.8,"22,210"
2018-11-05,28.5,29.8,28,29.8,28.3,"73,471"
2018-11-04,29,29.5,27.9,28.5,29,"80,658"
2018-11-01,28.8,28.9,27,27.9,28,"96,821"
2018-10-31,27.8,28.8,27.2,28.8,27.4,"70,490"
2018-10-30,29.3,29.5,27.5,27.9,28.9,"34,379"
2018-10-29,28.5,28.9,26,26,27.2,"91,836"
2018-10-28,26.5,28.4,26.5,27.1,26.7,"150,649"
2018-10-25,30.1,30.6,29.2,30,29.5,"31,387"
2018-10-24,30.1,30.5,29.6,30.5,29.8,"21,577"
2018-10-23,30,30.8,30,30.3,30.3,"15,702"
2018-10-22,30.2,31.2,29.7,31.2,30.2,"16,087"
2018-10-21,31.3,31.7,31.2,31.7,31.3,"20,860"
2018-10-18,31.3,32,31.2,31.5,31.5,"71,167"
2018-10-17,31.2,32,31.2,32,31.5,"29,695"
2018-10-16,31.8,32,31.5,31.6,31.6,"39,715"
2018-10-15,31.5,32,31.5,31.7,31.6,"60,352"
2018-10-14,31.8,32.3,31.7,31.8,31.8,"25,981"
2018-10-11,31.7,32.7,31.7,32,31.8,"24,085"
2018-10-10,31.8,32.6,31.6,32.4,32.1,"122,871"
2018-10-09,32.2,33.2,32.2,32.5,32.4,"27,142"
2018-10-08,32.2,33.7,32.2,32.4,32.6,"133,397"
2018-10-07,32.5,32.9,32.1,32.9,32.4,"69,055"
2018-10-04,32.2,33.1,31.6,32,32.6,"77,699"
2018-10-03,31.8,32.2,31.6,32,31.7,"77,404"
2018-10-02,31.7,32.8,31.6,32.2,31.7,"126,716"
2018-10-01,32.2,32.8,31.7,32.6,32,"61,617"
2018-09-30,32.4,32.8,31.4,31.5,32.1,"67,124"
2018-09-27,31.4,32.9,31.4,32.9,31.5,"71,771"
2018-09-26,32,33.8,31.1,33.8,32.3,"59,230"
2018-09-25,33,34.3,32.5,32.6,33.1,"45,345"
2018-09-24,33.2,34.8,33,34.5,33.2,"59,288"
2018-09-23,34.3,35.9,34.3,35.5,34.7,"314,377"
2018-09-20,35.4,36.5,35.4,35.4,35.7,"121,735"
2018-09-19,35.8,35.9,35.2,35.7,35.5,"121,451"
2018-09-18,35.5,36,35.2,35.2,35.5,"154,959"
2018-09-17,35.8,36.8,35.5,35.6,35.6,"143,058"
2018-09-16,36.3,37.8,35.9,37.3,36.1,"191,954"
2018-09-13,37.3,38.5,35,35.5,37.3,"424,660"
2018-09-12,35.5,36.3,34,36.3,35.5,"234,204"
2018-09-11,35.7,36.5,35.4,35.8,35.6,"237,124"
2018-09-10,36.2,37.2,36,36,36.3,"190,215"
2018-09-09,35.6,37.7,35.5,37.5,36,"183,571"
2018-09-06,37.3,38.8,36,36,37.8,"492,166"
2018-09-05,35.9,36.5,35.1,35.6,35.7,"195,045"
2018-09-04,35.1,36,35,35.5,35.1,"152,649"
2018-09-03,35.6,36.4,35.5,36.4,35.6,"157,121"
2018-08-30,35.9,36.3,35.2,35.2,35.6,"299,370"
2018-08-29,35.3,35.8,35,35.4,35.4,"124,046"
2018-08-28,35.3,36.4,35.2,36.3,35.4,"102,610"
2018-08-27,35.2,35.8,34.9,35.2,35.4,"189,511"
2018-08-26,35.3,36,35,35.9,35.5,"92,833"
2018-08-20,35.5,35.7,34.6,35,35.4,"74,539"
2018-08-19,34.3,37,34.3,37,34.6,"146,816"
2018-08-16,37.4,37.7,35.7,37.7,37.2,"169,184"
2018-08-14,37,37.4,34.6,36.5,36.7,"212,628"
2018-08-13,33.6,35.8,31.9,35.4,34.5,"53,091"
2018-08-12,35.1,37,35,37,35.4,"220,409"
2018-08-09,37.4,38.8,36.6,38.8,37,"213,537"
2018-08-08,37,38.6,37,38.6,37.3,"139,984"
2018-08-07,38.1,39.4,37.8,39.4,38.2,"238,632"
2018-08-06,38.5,39.2,38.5,38.8,38.7,"274,717"
2018-08-05,39,39.9,37.8,39.2,38,"355,369"
2018-08-02,39,40,38.2,39.6,38.9,"471,012"
2018-08-01,39.3,41.3,39,41,39.1,"324,081"
2018-07-31,40.1,41.4,39.7,40,40.4,"568,030"
2018-07-30,39.5,41.7,38.9,41,39.5,"407,358"
2018-07-29,41,44,40.6,42.7,41,"1,030,694"
2018-07-26,42.9,43.4,41.8,42.4,42.4,"880,907"
2018-07-25,42.8,42.8,40.5,41.5,42,"688,861"
2018-07-24,40.5,42.2,39.9,41.3,40.6,"457,876"
2018-07-23,40.1,44.4,40.1,43.3,40.9,"992,525"
2018-07-22,43.2,45.9,42,43.5,43.3,"1,360,985"
2018-07-19,43.1,43.7,41.2,41.2,43.2,"3,103,330"
2018-07-18,39.8,39.8,36.5,37,39.8,"625,739"
2018-07-17,35.9,38.1,35.9,38.1,36.2,"227,776"
2018-07-16,37.6,40.3,37.2,40,37.5,"629,561"
2018-07-15,40.1,40.8,37.8,39.5,39.5,"775,456"
2018-07-12,38.3,43.1,38.1,42.9,38.7,"1,931,468"
2018-07-11,39.3,39.3,38.5,38.5,39.3,"738,494"
2018-07-10,35.8,35.8,33.5,33.5,35.8,"351,059"
2018-07-09,33,33,31.2,32.4,32.6,"183,760"
2018-07-08,32,33.8,32,33.7,32.3,"273,157"
2018-07-05,33.5,34.6,32.5,34.6,33.1,"277,707"
2018-07-04,33.8,34.2,31.1,31.6,34,"334,827"
2018-07-03,31.3,31.8,30.5,31,31.4,"196,388"
2018-07-02,31,32,30.1,30.1,30.9,"163,675"
2018-06-28,30.2,32.8,30.1,31.9,30.4,"177,590"
2018-06-27,31.7,32.2,29.3,29.3,31.8,"347,876"
2018-06-26,29.7,29.7,29,29.4,29.3,"73,915"
2018-06-25,29.2,30.9,29.2,30.3,29.5,"150,857"
2018-06-24,30.1,31.3,29.8,30,30.3,"181,766"
2018-06-21,29.7,31,29.6,30.5,29.9,"139,374"
2018-06-20,30.1,30.4,29,29,30,"195,933"
2018-06-19,29.1,29.3,28.6,28.8,29.3,"94,654"
2018-06-18,28.6,29.5,28.5,29.3,28.6,"83,097"
2018-06-12,29.9,30,29.2,30,29.3,"46,346"
2018-06-11,30,30.1,29.6,29.6,30,"41,447"
2018-06-10,29.6,30.2,29.5,30,29.8,"12,163"
2018-06-07,30,30.4,29.6,30.4,29.8,"76,060"
2018-06-06,30,30.9,29.9,30.8,30,"35,380"
2018-06-05,30.4,30.9,30.2,30.2,30.5,"42,869"
2018-06-04,30.3,30.5,29.9,30.3,30.2,"24,190"
2018-06-03,30.1,30.2,29.3,29.5,30.1,"57,365"
2018-05-31,29.5,30.9,29.5,30.9,29.6,"47,870"
2018-05-30,29.9,30.5,29.9,30.5,29.9,"20,349"
2018-05-29,30.4,30.6,29.5,29.5,30.5,"34,323"
2018-05-28,30.6,31.4,30.1,31,30.3,"26,115"
2018-05-27,31,31.9,30.8,31,31.1,"69,349"
2018-05-24,30.9,30.9,29.4,29.6,30.1,"30,669"
2018-05-23,29.2,30,29.1,29.8,29.5,"24,420"
2018-05-22,29.8,30.1,29.7,29.9,29.8,"14,796"
2018-05-21,29.7,30.8,29.5,29.5,29.8,"20,791"
2018-05-20,29.2,31,29.2,30,29.2,"70,770"
2018-05-17,30.2,30.9,30,30.8,30.1,"44,030"
2018-05-16,30.8,31.2,30.8,31.1,31,"34,387"
2018-05-15,31.1,31.4,30.6,30.6,31.1,"30,250"
2018-05-14,31.1,31.7,31,31.7,31.1,"40,335"
2018-05-13,31.1,31.8,31,31.5,31.1,"54,306"
2018-05-10,31.7,32,31.1,32,31.5,"27,328"
2018-05-09,31.9,31.9,30.8,31.1,31.7,"62,326"
2018-05-08,31.1,32.4,31,32.4,31.2,"56,363"
2018-05-07,31.8,33,31.7,32.4,31.9,"65,287"
2018-05-06,32.1,32.3,31.2,31.5,32,"94,677"
2018-05-03,31.3,31.4,30.5,31.2,30.6,"29,758"
2018-04-30,31,32.1,30.9,31.9,31,"65,734"
2018-04-26,32.6,32.6,32.1,32.2,32.3,"13,884"
2018-04-25,32,32.5,32,32.1,32.2,"82,556"
2018-04-24,32.1,32.4,32.1,32.3,32.1,"52,792"
2018-04-23,32.3,32.8,32.3,32.5,32.6,"36,849"
2018-04-22,32.6,33.4,32.5,33.4,32.6,"30,926"
2018-04-19,32.9,33.2,32.7,32.8,33,"47,267"
2018-04-18,32.8,33.2,32.6,32.6,32.8,"33,527"
2018-04-17,32.6,33.9,32.5,33.9,32.7,"65,974"
2018-04-16,33.3,33.5,32.7,33,33.4,"29,056"
2018-04-15,33.4,34,33.3,33.9,33.4,"51,580"
2018-04-12,34.3,35.4,34,35.4,34,"53,620"
2018-04-11,34.8,35.8,34.4,35.8,34.5,"50,121"
2018-04-10,35.4,36.2,35,35.9,35.1,"158,102"
2018-04-09,35.6,36.3,34.8,35.3,35.5,"179,514"
2018-04-08,34.8,35.8,34,34.9,34.9,"131,726"
2018-04-05,34.5,34.5,33,33.4,34.4,"148,788"
2018-04-04,33,34.5,33,33.9,33.4,"76,655"
