DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,445.1","1,478.6","1,443.2","1,478.6","1,447.9","8,625"
2019-06-27,"1,470","1,470","1,444","1,445","1,466.2","11,079"
2019-06-26,"1,443","1,455","1,418","1,442.5","1,439.6","6,117"
2019-06-24,"1,447.8","1,447.8","1,439","1,445","1,442.6","10,358"
2019-06-23,"1,443","1,457","1,442.1","1,448","1,443.8","6,400"
2019-06-20,"1,450","1,466.9","1,442.7","1,456.1","1,444.9","10,138"
2019-06-19,"1,471","1,475","1,440.9","1,452.3","1,467.3","7,141"
2019-06-18,"1,451.1","1,479","1,448.1","1,470.1","1,452.3","6,084"
2019-06-17,"1,460","1,494.4","1,460","1,492.6","1,465","8,277"
2019-06-16,"1,488","1,523.6","1,488","1,501.3","1,492.5","13,727"
2019-06-13,"1,498.2","1,518.8","1,490","1,518.8","1,501.3","8,385"
2019-06-12,"1,503","1,519","1,438","1,438","1,502.6","22,234"
2019-06-11,"1,435.6","1,439.8","1,420.2","1,427.2","1,435.4","15,631"
2019-06-10,"1,427.9","1,429.9","1,415","1,426","1,427.2","10,702"
2019-06-09,"1,426","1,438.9","1,413","1,438.9","1,415.9","5,682"
2019-05-30,"1,432","1,433","1,405","1,411.1","1,428.7","6,024"
2019-05-29,"1,425","1,525","1,400","1,498","1,414.1","31,107"
2019-05-28,"1,531.1","1,542","1,470","1,500.2","1,538","5,703"
2019-05-27,"1,497","1,514.9","1,496","1,514.9","1,503.9","9,577"
2019-05-26,"1,506.1","1,525","1,506.1","1,525","1,510.2","8,418"
2019-05-23,"1,522.5","1,523.9","1,515","1,520","1,518.8","5,892"
2019-05-22,"1,530","1,600","1,493.2","1,600","1,511.3","14,431"
2019-05-21,"1,587.4","1,618","1,587","1,610.1","1,592.7","4,719"
2019-05-20,"1,612.9","1,642","1,608.2","1,642","1,611","5,163"
2019-05-19,"1,617.9","1,640","1,600","1,600","1,617.2","4,656"
2019-05-16,"1,588.8","1,595.6","1,585","1,595","1,587.5","2,362"
2019-05-15,"1,585","1,596","1,582","1,596","1,585.5","2,927"
2019-05-14,"1,593","1,624.5","1,581.1","1,624.5","1,588.7","2,881"
2019-05-13,"1,612","1,640.9","1,603","1,638","1,605.5","4,503"
2019-05-12,"1,635","1,637.6","1,617","1,617","1,632.4","3,099"
2019-05-09,"1,615.2","1,645","1,610.1","1,620","1,615.6","1,817"
