DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,22.5,22.8,22.3,22.6,22.4,"1,916,979"
2019-06-27,22.5,22.7,22.4,22.5,22.6,"1,174,021"
2019-06-26,22.5,22.6,22.3,22.6,22.4,"2,490,833"
2019-06-25,22.6,22.6,22.3,22.5,22.5,"1,032,960"
2019-06-24,22.5,22.5,22.2,22.4,22.4,"928,391"
2019-06-23,22.5,22.6,22.3,22.6,22.4,"978,931"
2019-06-20,22.6,22.7,22.5,22.6,22.5,"1,113,727"
2019-06-19,22.6,22.8,22.5,22.8,22.6,"1,365,081"
2019-06-18,22.6,22.8,22.5,22.7,22.6,"1,912,496"
2019-06-17,22.7,23,22.6,23,22.7,"1,001,828"
2019-06-16,23,23.4,22.9,23.2,23,"1,207,264"
2019-06-13,23.1,23.4,23,23.4,23.1,"1,724,824"
2019-06-12,23.3,23.6,23.1,23.6,23.2,"1,209,826"
2019-06-11,23.6,23.6,23.2,23.2,23.5,"2,278,637"
2019-06-10,23.1,23.2,22.9,23,23.2,"1,116,748"
2019-06-09,23,23.1,22.8,23.1,23,"438,494"
2019-05-30,23.1,23.1,22.8,22.9,23,"1,427,508"
2019-05-29,22.9,23.2,22.8,23.1,22.9,"622,237"
2019-05-28,23.1,23.2,22.6,22.7,23.1,"1,233,737"
2019-05-27,22.8,22.9,22.6,22.8,22.6,"1,050,030"
2019-05-26,22.8,23.1,22.7,23.1,22.8,"1,336,486"
2019-05-23,23,23.2,22.9,23.1,23,"783,619"
2019-05-22,23.1,23.3,22.9,23.1,23.1,"1,412,977"
2019-05-21,23.1,23.2,22.9,23.2,23,"916,437"
2019-05-20,23.3,23.7,23.1,23.6,23.3,"1,793,374"
2019-05-19,23.6,23.7,22.6,22.9,23.6,"3,231,119"
2019-05-16,23,23.2,22.8,23.1,22.9,"845,395"
2019-05-15,23,23.3,22.9,23.1,23,"1,254,887"
2019-05-14,23.2,23.3,22.9,22.9,23.1,"1,639,724"
2019-05-13,22.9,23.2,22.8,23.1,22.8,"676,129"
2019-05-12,23.1,23.4,23.1,23.4,23.1,"1,193,074"
2019-05-09,23.1,23.2,22.7,22.8,23.1,"1,269,206"
2019-05-08,22.8,22.9,22.5,22.8,22.7,"832,457"
2019-05-07,22.8,23.4,22.7,23.4,22.8,"1,234,192"
2019-05-06,23.3,23.8,23.2,23.7,23.3,"1,643,225"
2019-05-05,23.7,23.8,23.4,23.6,23.6,"2,767,696"
2019-05-02,23.5,23.6,22.9,23,23.5,"1,876,540"
2019-04-30,23.1,23.2,22.3,22.5,22.9,"2,636,694"
2019-04-29,22.4,22.4,21.8,22.1,22.4,"1,640,727"
2019-04-28,21.9,22.1,21.8,22,21.9,"457,992"
2019-04-25,22,22.1,21.9,22,22,"818,305"
2019-04-24,22,22.2,21.7,21.8,22,"565,105"
2019-04-23,21.9,22.3,21.7,22.3,21.9,"1,219,262"
2019-04-21,22.4,23,22.2,22.8,22.4,"1,215,206"
2019-04-18,22.7,22.8,22,22.1,22.7,"1,072,043"
2019-04-17,22.2,22.3,21.6,21.9,22,"1,084,952"
2019-04-16,21.7,22.2,21.6,22.2,21.8,"911,439"
2019-04-15,22.1,22.6,22.1,22.6,22.2,"644,532"
2019-04-11,22.3,22.5,21.5,21.5,22.3,"889,273"
2019-04-10,21.5,21.8,21.4,21.7,21.5,"605,757"
2019-04-09,21.7,21.9,21.5,21.7,21.6,"1,067,906"
2019-04-08,21.7,22.1,21.7,22,21.7,"688,517"
2019-04-07,22,22.2,21.9,22.2,22.1,"659,637"
2019-04-04,22.2,22.4,22.1,22.3,22.2,"771,870"
2019-04-03,22.4,22.6,22.3,22.4,22.3,"621,566"
2019-04-02,22.6,22.7,22.4,22.5,22.4,"490,789"
2019-04-01,22.4,22.7,22.3,22.5,22.4,"824,126"
2019-03-31,22.6,22.7,22.4,22.6,22.5,"666,640"
2019-03-28,22.7,22.7,22.5,22.5,22.6,"428,099"
2019-03-27,22.5,22.8,22.5,22.7,22.5,"604,574"
2019-03-25,22.6,22.9,22.4,22.5,22.6,"681,555"
2019-03-24,22.4,22.8,22.3,22.7,22.4,"787,143"
2019-03-21,22.6,23,22.6,23,22.7,"735,139"
2019-03-20,22.8,23.4,22.7,22.7,22.9,"2,308,141"
2019-03-19,22.7,22.8,22.1,22.1,22.6,"1,052,027"
2019-03-18,22,22.6,22,22.6,22,"1,137,143"
2019-03-14,22.3,22.7,22.2,22.5,22.2,"1,031,779"
2019-03-13,22.6,23,22.5,22.8,22.5,"1,131,290"
2019-03-12,22.8,23.2,22.7,23.2,22.8,"850,865"
2019-03-11,23.1,23.2,23,23.2,23.1,"769,882"
2019-03-10,23.1,23.5,23.1,23.2,23.2,"628,399"
2019-03-07,23.1,23.2,22.9,23.1,23.1,"614,610"
2019-03-06,23,23.2,22.9,23.1,23,"1,098,788"
2019-03-05,23,23.4,23,23.3,23.1,"799,289"
2019-03-04,23.4,23.7,23.2,23.4,23.3,"1,059,267"
2019-03-03,23.4,23.8,23.3,23.7,23.4,"1,189,230"
2019-02-27,23.6,23.9,23.5,23.9,23.6,"1,625,302"
2019-02-26,23.9,24,23.8,23.8,23.8,"981,965"
2019-02-25,23.8,24,23.8,23.8,23.8,"847,412"
2019-02-24,23.8,24,23.8,24,23.8,"1,591,749"
2019-02-20,24,24.2,23.9,24.2,23.9,"1,392,863"
2019-02-19,23.9,24.3,23.9,24.2,24,"2,342,910"
2019-02-18,24.2,24.7,24.1,24.7,24.2,"1,265,849"
2019-02-17,24.5,24.7,24,24.2,24.6,"5,057,749"
2019-02-14,24.2,24.2,24,24.2,24.1,"1,515,199"
2019-02-13,24.2,24.3,23.9,24,24,"2,033,729"
2019-02-12,24,24.2,23.9,24,24,"2,137,646"
2019-02-11,23.8,24.2,23.8,24.2,23.9,"2,016,177"
2019-02-10,24.3,24.4,24,24.3,24.2,"1,399,100"
2019-02-07,24,24.8,23.9,24.8,24.3,"2,805,481"
2019-02-06,24.8,25.1,24.2,24.4,24.5,"1,600,454"
2019-02-05,24.2,24.7,24.1,24.7,24.2,"1,889,276"
2019-02-04,24.6,25,24.4,24.8,24.5,"2,181,370"
2019-02-03,24.7,25.5,24.5,25.3,24.7,"3,936,315"
2019-01-31,25.4,26.1,25.2,26.1,25.3,"3,461,313"
2019-01-30,25.8,26.1,25.6,25.7,25.7,"7,011,924"
2019-01-29,25.7,26,25.6,25.7,25.7,"2,579,401"
2019-01-28,25.7,26.1,25.6,25.9,25.7,"3,518,744"
2019-01-27,25.7,26.1,25.5,25.6,25.8,"3,563,942"
2019-01-24,25.6,26,25.5,25.6,25.5,"2,176,376"
2019-01-23,25.6,26,25.4,25.6,25.6,"2,823,429"
2019-01-22,25.6,25.8,25.3,25.7,25.5,"2,833,075"
2019-01-21,25.6,26.8,25.5,26.8,25.7,"3,600,052"
2019-01-20,26.3,26.5,25,25.3,26.3,"8,568,844"
2019-01-17,25.3,25.6,24.8,25.3,25.1,"3,248,388"
2019-01-16,25.2,25.8,25.1,25.5,25.2,"2,761,858"
2019-01-15,25,25.6,24.9,25.3,25,"4,226,665"
2019-01-14,25.4,25.9,25.2,25.7,25.3,"3,119,730"
2019-01-13,25.7,25.8,25.2,25.4,25.6,"3,785,433"
2019-01-10,25.4,25.9,25.2,25.8,25.4,"4,319,582"
2019-01-09,25.8,26.6,25.7,26.3,25.8,"5,953,478"
2019-01-08,26.2,26.3,25.3,25.3,26.1,"7,749,962"
2019-01-07,25.5,26.2,25.2,26.1,25.3,"7,868,697"
2019-01-06,26,26.9,25.8,26.6,26.1,"9,760,186"
2019-01-03,26.5,26.6,24.9,25.2,26.4,"12,076,107"
2019-01-02,25.2,25.9,24.7,25.6,25.2,"6,762,630"
2019-01-01,25.5,25.8,23.7,23.7,25.5,"11,542,506"
2018-12-27,23.3,23.7,22.8,22.8,23.5,"6,619,262"
2018-12-26,22.8,22.9,22.5,22.9,22.8,"1,925,539"
2018-12-24,22.8,23.1,22.5,22.6,22.8,"3,424,833"
2018-12-23,22.5,22.7,21.5,21.6,22.5,"2,949,867"
2018-12-20,21.6,21.7,21.4,21.6,21.6,"940,053"
2018-12-19,21.8,21.8,21.2,21.3,21.5,"1,025,599"
2018-12-18,21.2,21.4,21.1,21.3,21.2,"636,129"
2018-12-17,21.2,21.7,21.1,21.6,21.2,"1,579,654"
2018-12-13,21.6,21.7,21.4,21.5,21.5,"837,009"
2018-12-12,21.5,21.6,21.3,21.5,21.4,"831,994"
2018-12-11,21.4,21.7,21.3,21.7,21.4,"1,179,535"
2018-12-10,21.5,22.4,21.5,21.9,21.6,"2,850,771"
2018-12-09,21.8,22.2,21.8,22,21.8,"1,047,128"
2018-12-06,22,22.5,21.9,22.3,22,"1,991,204"
2018-12-05,22.3,22.9,22.2,22.9,22.3,"1,909,433"
2018-12-04,22.7,22.9,22.4,22.5,22.7,"2,955,628"
2018-12-03,22.5,22.6,21.8,21.9,22.5,"2,825,759"
2018-12-02,21.8,22,21.6,22,21.7,"1,777,123"
2018-11-29,21.9,22.2,21.8,22.1,21.9,"3,171,953"
2018-11-28,22,22.3,22,22.3,22,"1,329,744"
2018-11-27,22.2,22.4,21.9,22,22.1,"3,362,255"
2018-11-25,23,23.2,22.8,23.2,23,"2,624,073"
2018-11-22,23.2,23.7,23,23.6,23.1,"1,033,313"
2018-11-20,23.5,23.8,23.3,23.4,23.5,"2,391,762"
2018-11-19,23.5,23.6,23.1,23.2,23.3,"2,155,643"
2018-11-18,23.2,23.3,22.9,23,23.2,"1,554,226"
2018-11-15,23,23.5,22.8,23.5,22.9,"1,324,900"
2018-11-14,23.3,23.6,22.8,23,23.4,"3,175,018"
2018-11-13,22.8,23,22.4,22.8,22.8,"2,187,762"
2018-11-12,22.6,23.6,22.4,23.6,22.7,"5,455,694"
2018-11-11,23.6,23.8,23.5,23.6,23.6,"2,478,007"
2018-11-08,23.3,24.2,23.3,24,23.5,"4,144,938"
2018-11-07,23.9,24.1,23.8,23.9,24,"1,325,101"
2018-11-06,23.9,24.3,23.8,24.3,23.9,"1,767,584"
2018-11-05,24,24.5,24,24.3,24.1,"1,892,770"
2018-11-04,24.2,24.5,24,24,24.2,"2,010,144"
2018-11-01,24.3,24.8,24,24.6,24.1,"3,757,631"
2018-10-31,24.7,24.9,24.3,24.6,24.6,"2,264,098"
2018-10-30,24.5,25.5,24.4,25.2,24.5,"3,284,126"
2018-10-29,25.1,25.1,24,24.1,25,"2,774,554"
2018-10-28,24.2,24.7,23.9,24.7,24.1,"2,719,500"
2018-10-25,24.9,25.6,24.4,25.2,24.9,"4,505,486"
2018-10-24,25.2,25.7,24.5,24.5,25.2,"8,475,235"
2018-10-23,24.4,25,24.2,24.5,24.3,"2,857,275"
2018-10-22,24.4,25.3,24.3,24.9,24.5,"1,922,813"
2018-10-21,25.1,25.2,24.1,24.1,24.9,"3,861,287"
2018-10-18,24.1,24.3,24,24.3,24.1,"1,549,058"
2018-10-17,24.2,24.6,24.1,24.3,24.2,"1,887,269"
2018-10-16,24.2,24.5,24,24.3,24.3,"1,978,032"
2018-10-15,24.4,25.1,24.2,25,24.3,"3,828,386"
2018-10-14,25,25.9,24.9,25.8,25,"2,961,695"
2018-10-11,25.6,26.4,24.3,24.3,25.7,"10,966,171"
2018-10-10,24.2,24.6,24.1,24.3,24.2,"1,582,390"
2018-10-09,24.3,25,24.1,24.1,24.3,"2,516,252"
2018-10-08,24,24.5,23.9,24.2,24.1,"1,922,113"
2018-10-07,24,24.5,24,24.4,24.1,"1,030,984"
2018-10-04,24.4,24.7,24.2,24.3,24.3,"1,878,218"
2018-10-03,24.2,24.3,23.9,23.9,24.1,"1,098,090"
2018-10-02,23.9,24.3,23.8,24,23.9,"893,881"
2018-10-01,24.1,24.5,23.9,23.9,24,"951,654"
2018-09-30,23.8,24.1,23.6,24,23.9,"815,164"
2018-09-27,23.9,24.5,23.8,24.5,23.9,"1,441,906"
2018-09-26,24.4,24.8,24.2,24.6,24.3,"1,020,321"
2018-09-25,24.5,25,24.3,24.5,24.5,"1,640,709"
2018-09-24,24.4,25.5,24.2,24.5,24.4,"1,895,907"
2018-09-23,24.4,25,24.4,25,24.5,"1,112,078"
2018-09-20,24.8,25.3,24.7,25.1,24.8,"1,092,413"
2018-09-19,24.9,25.4,24.8,24.8,24.9,"1,683,603"
2018-09-18,24.8,25.1,24.8,24.9,24.8,"1,085,913"
2018-09-17,24.8,25.2,24.8,25.1,24.8,"1,115,530"
2018-09-16,25.1,25.4,25,25.2,25,"1,553,408"
2018-09-13,25.2,25.5,25,25.4,25.1,"2,283,559"
2018-09-12,25.3,25.9,25.2,25.7,25.4,"1,951,296"
2018-09-11,25.5,26.1,25.5,26,25.6,"1,794,221"
2018-09-10,25.8,26.3,25.6,25.8,25.8,"2,777,575"
2018-09-09,25.6,26.3,25.5,26.2,25.6,"2,902,269"
2018-09-06,25.9,26.8,25.9,26.1,26,"4,788,457"
2018-09-05,26.1,26.2,25.6,25.6,26,"2,158,090"
2018-09-04,25.8,26.1,25.6,26,25.7,"1,930,188"
2018-09-03,26,26.5,25.8,26.5,25.9,"3,383,219"
2018-08-30,26.3,27,26.1,26.8,26.3,"3,535,672"
2018-08-29,26.7,27.3,26.5,26.6,26.7,"6,523,512"
2018-08-28,26.5,27.9,26.5,27.6,26.6,"4,467,185"
2018-08-27,27.5,27.8,25.6,26,27.5,"11,831,783"
2018-08-26,25.9,25.9,25,25,25.6,"1,935,419"
2018-08-20,25.1,25.5,24.8,24.8,25,"1,780,945"
2018-08-19,24.7,25.5,24.7,25.1,24.8,"1,818,926"
2018-08-16,25.2,25.6,25.1,25.6,25.2,"1,683,127"
2018-08-14,25.4,25.9,24.8,24.8,25.4,"2,741,399"
2018-08-13,24.9,24.9,24.5,24.5,24.7,"1,598,502"
2018-08-12,24.6,24.9,24.4,24.8,24.5,"1,815,551"
2018-08-09,24.8,25.1,24.7,24.9,24.8,"1,736,595"
2018-08-08,24.9,25.4,24.8,25,24.9,"1,970,165"
2018-08-07,25,25.2,24.9,25,25,"1,205,502"
2018-08-06,25,25.1,24.8,25,25,"1,842,571"
2018-08-05,24.9,25.6,24.8,25.5,25,"3,600,335"
2018-08-02,25.5,25.6,25.3,25.6,25.4,"2,261,465"
2018-08-01,25.5,25.9,25.3,25.6,25.4,"2,153,447"
2018-07-31,25.7,25.7,25.2,25.2,25.3,"2,673,026"
2018-07-30,25.2,25.7,25.1,25.4,25.2,"1,521,111"
2018-07-29,25.7,26,25.4,26,25.5,"2,371,662"
2018-07-26,25.8,26.2,25.7,25.9,25.8,"2,678,015"
2018-07-25,26,26.2,25.7,26.1,25.8,"3,196,157"
2018-07-24,26.1,26.4,25.9,26.2,26,"1,899,704"
2018-07-23,26.4,26.7,26.2,26.2,26.2,"3,087,199"
2018-07-22,26.1,26.3,25.8,25.9,26.1,"3,191,555"
2018-07-19,25.8,26.3,25.7,25.7,25.9,"3,022,236"
2018-07-18,25.7,26.2,25.6,26,25.7,"3,319,605"
2018-07-17,26,26.4,25.9,26.3,26,"3,944,671"
2018-07-16,26.2,26.5,26,26.1,26.1,"4,147,447"
2018-07-15,26.1,26.9,26.1,26.9,26.2,"5,882,217"
2018-07-12,26.7,27.6,26.6,27.4,26.7,"4,920,874"
2018-07-11,27.4,28.7,27.2,27.3,27.4,"10,888,157"
2018-07-10,27.3,27.5,26.3,26.5,27.2,"8,474,483"
2018-07-09,26.3,27,26.1,26.8,26.3,"4,683,632"
2018-07-08,26.7,27,26.2,26.2,26.7,"4,591,946"
2018-07-05,26.2,26.6,25.8,25.8,26.1,"5,638,093"
2018-07-04,25.8,26.2,25.6,25.7,25.7,"3,283,656"
2018-07-03,25.6,26.2,25.5,25.8,25.6,"3,062,414"
2018-07-02,25.8,26.5,25.6,26.4,25.7,"7,555,291"
2018-06-28,26.2,27,26.1,27,26.2,"5,602,072"
2018-06-27,26.6,27,26.4,26.6,26.5,"3,562,026"
2018-06-26,26.5,27.1,26.4,27,26.5,"4,258,368"
2018-06-25,26.7,28.1,26.6,27.5,26.9,"8,748,677"
2018-06-24,27.7,28.1,26.9,27,27.6,"7,428,580"
2018-06-21,26.8,27.4,26.6,27,26.8,"6,258,374"
2018-06-20,26.6,27.3,26.4,26.4,26.7,"4,741,865"
2018-06-19,26.3,27.3,26.2,26.3,26.4,"6,813,142"
2018-06-18,26.6,26.9,26.2,26.7,26.3,"2,251,406"
2018-06-12,26.8,27.2,26.6,26.7,26.7,"2,182,505"
2018-06-11,26.7,27.3,26,26.1,26.6,"3,994,790"
2018-06-10,26.2,27.1,25.9,27,26.1,"5,165,601"
2018-06-07,26.9,27.8,26.8,27.6,26.9,"4,087,105"
2018-06-06,27.5,28.5,27.4,28.1,27.5,"6,406,344"
2018-06-05,28.1,28.4,27.6,27.8,27.9,"4,914,880"
2018-06-04,27.6,28.2,27.4,27.9,27.6,"4,390,939"
2018-06-03,27.6,28.2,27.1,27.4,27.7,"6,305,872"
2018-05-31,27.5,28.3,27.2,28.2,27.3,"5,472,256"
2018-05-30,28,29.4,27.8,28.4,28.2,"9,558,373"
2018-05-29,28.1,28.1,25.4,25.6,28.1,"11,587,865"
2018-05-28,25.4,26.6,25.4,26.6,25.6,"3,938,946"
2018-05-27,26.4,26.9,26.3,26.4,26.5,"3,284,243"
2018-05-24,26.2,26.5,25.8,26.3,26.2,"4,500,869"
2018-05-23,25.9,27.1,25.7,27,26,"5,581,868"
2018-05-22,26.8,27.6,26.8,27.4,27,"3,982,478"
2018-05-21,27.2,27.7,26.2,26.6,27.2,"6,019,068"
2018-05-20,26.5,27.5,26.2,27.2,26.4,"3,715,132"
2018-05-17,27,28.1,26.8,28.1,26.9,"5,007,389"
2018-05-16,28,28.8,27.7,28.8,27.9,"5,630,256"
2018-05-15,28.5,29.8,28.4,29.5,28.6,"6,174,068"
2018-05-14,29,29.9,29,29.3,29.2,"3,308,270"
2018-05-13,29.2,30.5,29.2,29.5,29.3,"5,602,609"
2018-05-10,29,30.3,29,30.2,29.2,"7,722,862"
2018-05-09,30,31.2,29.8,31,30.1,"7,880,355"
2018-05-08,30.8,31.8,30.7,31.7,30.8,"9,085,339"
2018-05-07,31.3,31.7,30.5,30.7,31.4,"9,226,459"
2018-05-06,30.7,31.5,30.5,30.9,30.7,"10,776,850"
2018-05-03,30.8,32.1,30.8,31.8,30.9,"9,866,363"
2018-04-30,31.6,32.2,31.1,31.1,31.6,"15,302,838"
2018-04-26,30.9,31.2,30.4,30.8,30.8,"7,458,874"
2018-04-25,30.6,31.2,30.5,30.7,30.7,"6,483,089"
2018-04-24,30.7,31.2,30.3,30.8,30.7,"7,997,528"
2018-04-23,30.5,31.4,30.5,31.3,30.6,"9,984,420"
2018-04-22,31.2,32.4,31,32.1,31.2,"14,719,941"
2018-04-19,31.9,32.4,31.1,31.3,32,"21,647,760"
2018-04-18,31.2,31.5,30.2,30.8,31.2,"13,322,275"
2018-04-17,30.7,31.8,30.5,31.5,30.7,"13,397,936"
2018-04-16,31.1,31.2,28.5,29,30.8,"14,734,557"
2018-04-15,28.7,31,28.6,30.6,29,"13,139,027"
2018-04-12,30.6,31.6,30.4,31.1,30.6,"12,056,200"
2018-04-11,31,31.8,30.4,30.8,31,"17,012,477"
2018-04-10,30.8,31.8,30.4,30.8,30.7,"17,268,533"
2018-04-09,30.8,30.8,28.8,29.3,30.6,"17,991,682"
2018-04-08,29.2,29.9,28.8,29,29.3,"11,043,439"
2018-04-05,28.8,28.9,26,26.6,28.7,"12,634,610"
2018-04-04,26.5,27.2,26.3,26.8,26.5,"4,386,851"
2018-04-03,26.4,27.4,26.3,27.3,26.6,"5,578,704"
2018-04-02,27.3,27.5,25.6,26.5,27.2,"9,866,419"
2018-04-01,26.2,26.6,24.5,24.5,26.2,"6,741,342"
2018-03-29,24.3,24.3,22.2,22.3,24.3,"6,934,222"
2018-03-28,22.1,22.4,22,22.4,22.1,"1,228,912"
2018-03-27,22.2,22.9,22.1,22.9,22.2,"1,079,684"
2018-03-25,22.8,23.5,22.8,23.2,22.9,"730,655"
2018-03-22,23.2,23.4,22.7,23.1,23.1,"1,200,063"
2018-03-21,23.1,23.6,23,23.5,23.1,"897,725"
2018-03-20,23.4,23.7,23.4,23.6,23.4,"966,754"
2018-03-19,23.7,24.1,23.6,24.1,23.7,"934,587"
2018-03-18,24,24.4,23.8,24.1,24.1,"823,900"
2018-03-15,24.1,24.1,23.6,23.7,24,"751,921"
2018-03-14,23.7,24,23.6,23.8,23.7,"1,024,043"
2018-03-13,23.7,24.3,23.5,24.3,23.6,"1,047,231"
2018-03-12,24.1,24.7,24,24.6,24.1,"1,077,218"
2018-03-11,24.5,24.9,24.5,24.9,24.6,"705,820"
2018-03-08,24.8,25,24.7,24.9,24.8,"808,816"
2018-03-07,24.8,25.1,24.8,25,24.9,"735,751"
2018-03-06,24.8,25.1,24.7,25,24.9,"1,211,010"
2018-03-05,24.9,25.2,24.8,25.2,24.9,"1,262,219"
2018-03-04,25.1,25.4,25.1,25.3,25.2,"610,524"
