DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,25.5,26.3,24.5,25.1,24.9,"274,558"
2019-06-27,25.8,26,24.4,24.6,25.8,"1,105,142"
2019-06-26,24.7,24.7,22.6,22.9,24.6,"1,151,177"
2019-06-25,21.7,23.4,21.7,23.4,22.6,"184,504"
2019-06-24,23.6,24.2,23.2,24.1,23.4,"141,110"
2019-06-23,24,24.4,23,23.8,23.9,"140,447"
2019-06-20,23.8,24.8,23.5,24.2,23.8,"166,410"
2019-06-19,24.7,26,24.1,24.5,24.6,"284,117"
2019-06-18,24.8,26.5,24,25.2,24.3,"555,523"
2019-06-17,25,25.5,24.1,24.1,25,"375,515"
2019-06-16,24.9,24.9,24,24,24.5,"307,491"
2019-06-13,24.8,25.8,23.7,23.7,24.9,"912,741"
2019-06-12,23.7,23.7,20.9,22.2,23.7,"761,793"
2019-06-11,21.7,21.7,20.8,20.9,21.6,"127,810"
2019-06-10,21,21,20.2,20.6,20.7,"68,855"
2019-06-09,20.6,20.9,20.4,20.7,20.6,"3,923"
2019-05-30,20.6,20.7,19.9,20.4,20.6,"106,088"
2019-05-29,20.2,20.2,19.5,19.5,20.1,"47,780"
2019-05-28,19.8,20,19.6,19.7,19.8,"32,134"
2019-05-27,20,20.8,19,19,19.8,"19,413"
2019-05-26,20.5,20.9,19.6,19.6,20.5,"124,955"
2019-05-23,19.8,19.8,19.4,19.6,19.6,"18,407"
2019-05-22,19.5,19.5,18.7,18.7,19.4,"77,697"
2019-05-21,18.8,19.2,18.7,19.1,18.9,"12,137"
2019-05-20,19.2,19.3,18.7,19.2,19,"7,878"
2019-05-19,19,19.4,18.8,18.8,19.1,"79,610"
2019-05-16,18.8,18.9,18.3,18.7,18.5,"16,886"
2019-05-15,18.6,18.8,18.4,18.6,18.7,"13,302"
2019-05-14,18.6,18.6,18.2,18.2,18.3,"39,662"
2019-05-13,18.7,18.8,18.5,18.7,18.6,"30,874"
2019-05-12,18.9,19,18.1,18.3,18.7,"15,510"
2019-05-08,19.7,19.7,19.3,19.3,19.7,"37,815"
2019-05-07,19.7,19.7,19.4,19.6,19.5,"97,840"
2019-05-06,19.7,19.7,19.3,19.5,19.5,"79,480"
2019-05-05,19.7,19.7,19.2,19.2,19.5,"97,992"
2019-05-02,19.4,19.4,19,19,19.2,"73,050"
2019-04-30,19,19.2,19,19,19.1,"16,799"
2019-04-29,18.7,19.3,18.7,18.9,18.8,"59,573"
2019-04-28,19.2,19.2,19,19,19.1,"92,130"
2019-04-25,18.7,19.5,18.7,19.5,18.9,"59,740"
2019-04-24,19.1,19.4,18.4,19.4,19.3,"77,703"
2019-04-23,19.1,19.3,19,19,19.2,"55,150"
2019-04-21,18.9,19.3,18.9,19,19,"83,078"
2019-04-18,18.9,19.3,18.8,19.1,19.2,"64,022"
2019-04-17,19.4,19.4,18.7,19,19.3,"50,298"
2019-04-16,19.1,19.7,19.1,19.7,19.2,"23,101"
2019-04-15,19.6,20.3,19.5,20.3,19.7,"19,808"
2019-04-11,19.7,19.9,19.6,19.6,19.8,"14,751"
2019-04-10,19.6,20.1,19.6,20.1,19.7,"34,804"
2019-04-09,19.5,20.2,19.5,20.2,19.5,"42,590"
2019-04-08,19.6,19.9,19.2,19.7,19.6,"106,702"
2019-04-07,20.1,20.1,19.8,20,19.9,"19,281"
2019-04-04,20.2,20.2,19.8,20.1,20.1,"23,861"
2019-04-03,20.3,20.3,20,20.2,20.1,"26,698"
2019-04-02,20.5,21.2,20.2,20.9,20.5,"96,552"
2019-04-01,21,21,19.8,20.4,20.8,"91,197"
2019-03-31,19.9,20.6,19.8,20.5,20.1,"26,710"
2019-03-28,19.6,20.5,19.6,19.6,19.8,"106,825"
2019-03-27,19.5,20,18.8,19.6,19.3,"99,511"
2019-03-25,19.5,20.7,19.2,19.9,19.6,"62,664"
2019-03-24,19.4,19.7,19.3,19.6,19.5,"35,740"
2019-03-21,19.5,19.5,18.8,19.1,19.3,"55,611"
2019-03-20,19.5,19.6,19.1,19.6,19.3,"70,767"
2019-03-19,19.7,19.8,19.1,19.2,19.7,"62,983"
2019-03-18,18.9,20,18.8,19,19,"80,894"
2019-03-14,19.6,20,19.3,19.7,19.7,"60,770"
2019-03-13,19.7,20.5,19.1,20.5,19.7,"127,175"
2019-03-12,20.4,20.8,20.4,20.7,20.5,"79,258"
2019-03-11,21,21.1,20.6,21.1,20.8,"49,606"
2019-03-10,20.9,21.4,20.7,21.1,21.1,"114,020"
2019-03-07,20.7,21.3,20.7,21.3,20.8,"73,234"
2019-03-06,20.8,21,20.5,20.6,20.8,"35,752"
2019-03-05,20.8,21.3,20.5,20.7,20.8,"128,457"
2019-03-04,21.1,21.7,21,21.7,21.1,"167,295"
2019-03-03,21.4,22.7,21.1,21.8,21.6,"173,018"
2019-02-27,22.4,22.6,21.7,22.1,21.9,"114,111"
2019-02-26,22.5,22.8,21.7,21.7,22.3,"176,944"
2019-02-25,21.9,22.7,21.6,21.6,22,"136,920"
2019-02-24,21.7,22.2,21.5,21.8,22,"177,917"
2019-02-20,21.8,22.2,21.4,21.6,21.8,"236,484"
2019-02-19,21.5,22.3,21,21,21.5,"77,052"
