DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,20,20.9,20,20.9,20.2,"429,419"
2019-06-27,20.9,21.5,20.7,21.5,20.9,"726,795"
2019-06-26,21.3,21.8,20.7,21.8,21.2,"498,341"
2019-06-25,21.4,22.5,20.9,22.5,21.3,"436,101"
2019-06-24,22.3,23,22.2,22.8,22.4,"406,844"
2019-06-23,22.3,23,21.7,22.9,22.6,"259,082"
2019-06-20,22.5,23.2,22.4,23.2,22.6,"542,724"
2019-06-19,23,24,23,23.2,23.2,"960,940"
2019-06-18,22.9,24.4,22.9,23.5,23,"1,451,458"
2019-06-17,22.7,23.2,21.5,22,23,"1,151,603"
2019-06-16,22,23,21.5,22.7,22,"797,406"
2019-06-13,22.3,23.7,22,22.1,22.6,"1,109,184"
2019-06-12,22.3,22.5,20.4,20.5,22.1,"1,099,354"
2019-06-11,20.6,21.3,20.5,21.3,20.7,"623,900"
2019-06-10,20.7,21,19.9,20.6,20.7,"575,203"
2019-06-09,20.4,21.3,20.4,21,20.6,"465,402"
2019-05-30,21,21,20.4,20.6,20.9,"704,173"
2019-05-29,20.5,20.5,19.9,19.9,20.3,"347,708"
2019-05-28,20.2,20.5,19.7,20.4,20,"700,221"
2019-05-27,20,21.3,19.9,21.3,20.1,"637,442"
2019-05-26,21.2,21.3,19.6,19.8,21.1,"1,332,006"
2019-05-23,19.6,19.7,18.9,19,19.6,"874,471"
2019-05-22,19,19.4,18.2,18.2,18.8,"655,627"
2019-05-21,18.4,18.5,17.7,18,18.2,"324,030"
2019-05-20,18,18.9,17.9,18.7,18.1,"217,030"
2019-05-19,18.7,19.2,17.6,17.8,18.6,"820,442"
2019-05-15,18.5,18.9,18.4,18.7,18.5,"289,980"
2019-05-14,18.8,18.8,18.7,18.7,18.7,"86,720"
2019-05-13,18.9,19.1,18.5,18.6,19,"253,068"
2019-05-12,18.8,19.2,18.7,18.8,18.8,"163,377"
2019-05-09,18.9,19,18.6,18.9,18.8,"195,440"
2019-05-08,19,19.1,18.6,18.7,18.8,"228,092"
2019-05-07,18.6,19.2,18.6,19.1,18.7,"267,350"
2019-05-06,19,20,19,19.6,19.1,"459,436"
2019-05-05,20,20.1,18.6,18.6,19.9,"444,315"
2019-05-02,18.9,18.9,18.1,18.4,18.6,"306,896"
2019-04-30,18.3,18.3,17.9,17.9,18.1,"240,183"
2019-04-29,18,18.4,17.7,18.1,17.9,"159,973"
2019-04-28,17.8,18.7,17.7,18.7,17.8,"282,402"
2019-04-25,18.7,19.1,18.4,18.9,18.6,"327,377"
2019-04-24,19,19.1,18.6,18.9,18.8,"182,513"
2019-04-23,19.1,19.8,18.8,19.8,18.9,"205,201"
2019-04-21,19.9,20,18.9,19.5,19.5,"599,601"
2019-04-18,19.2,19.7,18.8,18.9,19.3,"436,020"
2019-04-17,19.1,19.2,17.6,18.3,18.9,"385,979"
2019-04-16,17.7,18.5,17.7,18.5,17.9,"151,515"
2019-04-15,18.1,19.1,18.1,18.7,18.2,"198,050"
2019-04-11,18.9,19.3,18.6,19,18.7,"216,960"
2019-04-10,18.9,19.4,18.6,19,18.8,"212,165"
2019-04-09,18.8,19.8,18.7,18.7,18.8,"264,365"
2019-04-08,18.8,19.8,18.6,19.8,18.7,"282,287"
2019-04-07,19.7,20.8,19.7,20.7,19.8,"232,312"
2019-04-04,20.6,20.8,19.8,20.7,20.5,"385,052"
2019-04-03,20.4,21.4,20.4,21.3,20.5,"456,468"
2019-04-02,21.5,22.3,21,21.6,21.2,"807,830"
2019-04-01,21.3,21.3,19.4,19.4,21.3,"843,115"
2019-03-31,19.5,19.8,19.1,19.2,19.4,"402,344"
2019-03-28,18.8,19.5,18.1,18.1,18.9,"470,335"
2019-03-27,18.2,18.9,18,18.8,18.1,"168,768"
2019-03-25,18.7,18.9,18.4,18.8,18.6,"313,167"
2019-03-24,18.5,19.2,18.5,18.8,18.7,"405,874"
2019-03-21,18.9,19.1,17.7,18.3,18.7,"405,868"
2019-03-20,18,19.3,18,19.2,18.3,"583,215"
2019-03-19,19.2,19.5,17.6,18.3,19.1,"555,264"
2019-03-18,17.7,19,17.4,18.8,17.8,"363,155"
2019-03-14,18.7,20.2,18.3,19.8,18.6,"632,119"
2019-03-13,19.6,21.5,19.5,21.2,19.9,"555,178"
2019-03-12,21,21.9,20.8,21.8,21,"547,693"
2019-03-11,21.9,22.9,21.7,22.9,21.8,"537,604"
2019-03-10,22.7,23.7,22.7,23,22.8,"593,577"
2019-03-07,22.9,22.9,22,22.4,22.6,"575,416"
2019-03-06,21.9,23,21.7,22.2,22.1,"770,527"
2019-03-05,22,23.6,21.9,23.3,22.2,"675,292"
