DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,66.9,67,65.2,66.1,66.1,"663,129"
2019-06-27,66.8,67,64.9,65,66.6,"1,431,738"
2019-06-26,65,65,64.2,64.2,64.8,"927,351"
2019-06-25,64.2,64.6,63.7,63.9,64.2,"1,304,211"
2019-06-24,63.7,64.4,63.4,63.7,63.7,"1,465,035"
2019-06-23,63.6,63.9,63.1,63.1,63.7,"347,667"
2019-06-20,63.2,63.5,62.7,63,63.2,"400,828"
2019-06-19,63,63.5,62.8,63,62.9,"892,081"
2019-06-18,63,63.5,62.6,63.1,63,"1,044,251"
2019-06-17,63.3,64.2,62.9,64.1,63.1,"518,902"
2019-06-16,64.4,65.4,63.5,65,64.2,"670,675"
2019-06-13,64.8,64.9,64,64.5,64.4,"561,718"
2019-06-12,65,66,64,65.9,64.6,"1,192,201"
2019-06-11,65.5,66.3,64.1,64.5,65.5,"1,748,906"
2019-06-10,64.8,64.9,63.7,64.9,64.2,"2,295,231"
2019-06-09,64.8,64.9,64,64.7,64.5,"210,476"
2019-05-30,64.7,65,63.2,63.2,64.6,"2,195,133"
2019-05-29,63.6,64,62.3,62.9,63.7,"881,810"
2019-05-28,63,63.2,61,61.3,62.9,"1,789,153"
2019-05-27,60.9,61,60.1,60.8,60.9,"1,208,849"
2019-05-26,60.6,61,60,60.1,60.6,"449,191"
2019-05-23,60.7,61.5,58.9,58.9,60.8,"2,387,089"
2019-05-22,59.4,59.5,57,57.5,58.6,"1,701,111"
2019-05-21,57.7,59,56.5,59,57.4,"1,332,714"
2019-05-20,58.2,59.8,57.9,59.8,58.1,"6,877,804"
2019-05-19,59.7,60,57.2,57.2,59.8,"1,137,913"
2019-05-16,56.1,57.4,55.8,56.2,56.3,"6,118,700"
2019-05-15,56.3,58,55,57.7,55.7,"3,009,630"
2019-05-14,57.4,59.1,57,58.9,57.4,"1,478,361"
2019-05-13,58.5,60.5,58.4,60.3,58.8,"872,494"
2019-05-12,61,61.5,60.2,61.4,60.3,"340,342"
2019-05-09,60.9,63.6,60.3,63.6,60.9,"1,223,533"
