DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,51.5,51.9,51.4,51.9,51.5,"1,028,189"
2019-06-27,51.7,52.8,51.2,51.7,51.5,"2,076,956"
2019-06-26,51.8,52,50.8,51.7,51.7,"1,210,908"
2019-06-25,51.8,52.6,51.2,51.5,51.6,"2,061,651"
2019-06-24,51.9,52,50.5,51,51.7,"2,213,728"
2019-06-23,51,51.1,49.9,50.7,50.9,"896,814"
2019-06-20,50.7,51.1,49.9,50,50.7,"972,091"
2019-06-19,49.9,50.6,49.2,49.2,50,"1,112,026"
2019-06-18,49.4,50.3,49.1,50.3,49.5,"557,771"
2019-06-17,49.2,50,48.6,50,49.6,"919,257"
2019-06-16,50,50.9,49.7,50.7,50,"842,353"
2019-06-13,50.6,51.7,50.2,51.1,50.4,"1,188,823"
2019-06-12,50.8,52,50.3,50.9,51,"2,717,956"
2019-06-11,50.5,51.1,48.8,48.8,50.5,"2,394,927"
2019-06-10,48.7,49.6,48.5,49,48.7,"549,534"
2019-06-09,49.1,49.3,48.2,48.4,48.9,"332,567"
2019-05-30,48.5,48.9,47.9,48.3,48.2,"927,722"
2019-05-29,48.2,48.6,47.6,47.6,48.1,"373,514"
2019-05-28,48,48.4,47.4,48.3,47.7,"507,410"
2019-05-27,47.6,49.1,47.5,48.4,47.7,"533,269"
2019-05-26,48.5,49.6,48.2,49.3,48.5,"490,249"
2019-05-23,49,49.3,48.4,49.1,49.1,"588,406"
2019-05-22,48.5,49.5,48.4,49.4,48.7,"687,321"
2019-05-21,48.3,49.7,47.8,49.4,48.4,"1,192,107"
2019-05-20,49.7,50,49,49.6,49.5,"757,978"
2019-05-19,49.6,50.5,48.5,49,49.6,"972,214"
2019-05-16,48.3,49.9,48,49.9,48.4,"935,195"
2019-05-15,49.2,51,48.6,50,48.8,"716,694"
2019-05-14,49.9,51.8,49.8,51.1,50,"1,401,978"
2019-05-13,51.5,53,51.2,52.7,51.3,"1,128,597"
2019-05-12,52.7,52.9,50.7,52,52.6,"3,527,508"
2019-05-09,50.6,51.3,49.8,50.7,50.5,"1,350,107"
