DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,131.8,142,131,139.1,132,"1,664,112"
2019-06-27,139,142.9,138.7,140,139.8,"745,053"
2019-06-26,140.6,141,137.1,137.7,139.7,"327,429"
2019-06-25,136.7,139.5,136.4,137.4,136.9,"331,342"
2019-06-24,137,139.3,136.4,139.3,137.2,"165,566"
2019-06-23,138.9,141,136.5,140.6,138.3,"372,514"
2019-06-20,140,143.6,139,141.2,140.5,"516,373"
2019-06-19,142.3,142.5,135,135.1,141.6,"585,209"
2019-06-18,134.6,136.7,134.6,136.1,135.1,"273,629"
2019-06-17,136,138,134.9,137.3,135.8,"272,003"
2019-06-16,136.1,141.9,136.1,141,137.2,"305,026"
2019-06-13,140.5,141.8,139.8,140.2,140.6,"238,839"
2019-06-12,140.7,142.9,139.9,141.8,140.9,"344,172"
2019-06-11,141.9,143,141.5,141.5,142,"334,645"
2019-06-10,141.4,144.9,140.7,144.9,141.2,"355,789"
2019-06-09,142.6,145.5,141,141,143.2,"417,146"
2019-05-30,141.3,141.3,137.1,139,140.1,"693,960"
2019-05-29,139,139.7,136,137.2,136.7,"294,584"
2019-05-28,137.1,139,136,136,137.1,"258,130"
2019-05-27,136,138.7,135,137.8,136,"148,952"
2019-05-26,138,139.3,137.3,138.6,137.8,"106,759"
2019-05-23,139.9,141,138.2,141,138.6,"184,240"
2019-05-22,141,144.8,140.6,144,140.9,"213,380"
2019-05-21,143.7,145,137.5,139.9,143.5,"656,851"
2019-05-20,138.2,138.9,136.7,138,138,"184,768"
2019-05-19,137.4,141.4,136.9,138.8,137.5,"272,269"
2019-05-16,137.3,138,135.5,136.2,137,"130,449"
2019-05-15,136.3,139,135.1,138.4,136.2,"191,824"
2019-05-14,137.8,140.9,136.1,140.5,137.6,"300,982"
2019-05-13,139.6,142,138.6,140.4,139.8,"250,118"
2019-05-12,140.6,147,138.1,147,140.3,"559,329"
