DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,71.8,72.3,70.1,70.1,70.9,"86,986"
2019-06-27,70.2,70.4,68.7,69.7,70.1,"49,092"
2019-06-26,69.2,69.9,68.6,68.9,68.8,"51,120"
2019-06-25,69.5,69.5,68.7,69.1,69.2,"53,924"
2019-06-24,69.1,70.2,68.5,69.9,69,"66,551"
2019-06-23,69,71.3,69,71.3,69.8,"58,451"
2019-06-20,70.1,71.3,70.1,71.3,70.3,"41,663"
2019-06-19,71,71.7,70.6,71,70.9,"45,816"
2019-06-18,71,71.3,70.2,70.4,70.8,"16,880"
2019-06-17,70,70.7,69.7,70.7,70.1,"94,020"
2019-06-16,70.2,73.1,70.1,73.1,70.7,"129,560"
2019-06-13,71.5,72.6,71.5,71.8,71.8,"57,870"
2019-06-12,71.9,73.5,71.8,73.5,72.1,"46,123"
2019-06-11,73,73.1,71.4,72,73,"173,182"
2019-06-10,71.5,72.4,71.1,71.5,71.5,"111,001"
2019-06-09,71.6,71.6,70,70.8,70.9,"121,322"
2019-05-30,70.4,70.9,69.6,69.6,70.7,"17,482"
2019-05-29,70.9,71,68.8,68.9,70.6,"242,675"
2019-05-28,69.5,69.6,68,68,69.3,"18,187"
2019-05-27,68.3,68.8,67.9,68,68.2,"35,838"
2019-05-26,68.1,70.5,68,69.5,68.3,"38,274"
2019-05-23,69.9,70.1,69.1,69.1,69.8,"26,101"
2019-05-22,69.9,71.9,69,69.1,70.1,"51,982"
2019-05-21,69.2,70.3,69,69.5,69.1,"24,447"
2019-05-20,71,71,69.8,70.3,70.4,"27,593"
2019-05-19,70.3,71,68,68,69.9,"37,809"
2019-05-16,69.3,70.3,69.2,70,69.4,"53,089"
2019-05-15,69.6,70.2,69.6,70,69.6,"15,998"
2019-05-14,69.9,71.2,69.7,71.2,70,"11,442"
2019-05-13,70.2,70.7,69.5,69.6,70.1,"43,596"
2019-05-12,70.4,71,70,70.9,70.2,"23,644"
2019-05-09,70.7,70.8,69.5,70.4,70.2,"32,882"
2019-05-08,69.9,69.9,69,69.8,69.6,"23,823"
2019-05-07,69.3,70.6,68.9,69.6,69.4,"52,655"
2019-05-06,69.6,71.8,69.5,71.8,69.8,"59,321"
2019-05-05,71.7,71.8,70,70.1,71.7,"109,124"
2019-05-02,70,70,67.2,68,69.6,"75,266"
2019-04-30,66.7,67.9,66.7,67.5,67,"95,090"
2019-04-29,66.7,67.3,66.3,67,66.5,"72,902"
2019-04-28,67,67.2,66.1,66.3,67,"54,230"
2019-04-25,67,68,66.9,68,67.3,"73,683"
2019-04-24,67.5,68.4,67,67.2,67.4,"169,681"
2019-04-23,67.3,69.2,67.3,68.8,67.5,"50,488"
2019-04-21,69,69.5,67.8,67.8,68.8,"53,373"
2019-04-18,67.5,67.8,65.1,65.5,67.8,"94,012"
2019-04-17,66.3,67,66.1,66.6,66.6,"184,797"
2019-04-16,67,68,66.6,68,66.7,"57,837"
2019-04-15,67.9,69.8,67.9,69.8,67.9,"55,160"
2019-04-11,67.7,68.9,67.7,68.3,68.2,"145,932"
2019-04-10,67.4,69,67.4,67.8,67.5,"61,742"
2019-04-09,68.5,69.9,67.5,69.9,68.5,"78,348"
2019-04-08,68.6,70.5,68.5,70,68.6,"47,852"
2019-04-07,69.8,72.2,69.6,72.2,70,"177,276"
2019-04-04,71.2,72.3,71.2,72.3,71.5,"34,077"
2019-04-03,72,72.9,72,72.9,72,"59,345"
2019-04-02,72.1,72.7,71.4,71.5,72.6,"87,830"
2019-04-01,71.8,72.7,71.8,72.2,71.9,"66,413"
2019-03-31,72.3,72.6,72.1,72.3,72.1,"44,114"
2019-03-28,72.1,72.8,72.1,72.6,72.2,"39,186"
2019-03-27,72.9,73,72.3,73,72.6,"21,215"
2019-03-25,72.9,73.7,72.7,72.9,73,"43,576"
2019-03-24,73,73.4,72.7,73.4,72.9,"52,844"
2019-03-21,73.7,73.7,73.1,73.5,73.3,"66,104"
2019-03-20,74,74.4,73.2,74.2,73.7,"40,796"
2019-03-19,73.6,74.5,73,74,73.7,"78,108"
2019-03-18,73.7,75.1,73.3,75.1,73.5,"84,813"
2019-03-14,74.6,75.1,74.5,75,74.8,"81,132"
2019-03-13,74.9,75.6,74.8,75.2,75.1,"113,720"
2019-03-12,75.4,76.4,75.3,76.4,75.4,"77,949"
2019-03-11,76.7,76.8,76,76.6,76.4,"83,561"
2019-03-10,76.6,76.8,75.6,76.7,76.6,"65,804"
2019-03-07,76.2,76.2,75.5,75.9,75.9,"53,380"
2019-03-06,75.3,76.1,75,75.9,75.5,"181,356"
2019-03-05,75.5,76.6,75.5,76,75.9,"91,870"
2019-03-04,75.9,76.5,75.9,76.3,76,"56,676"
2019-03-03,76.1,76.5,76.1,76.1,76.2,"33,964"
2019-02-27,76.2,76.3,75.8,76.1,76,"124,888"
2019-02-26,76.3,76.5,76.1,76.5,76.1,"90,706"
2019-02-25,76.1,76.8,76.1,76.2,76.2,"68,858"
2019-02-24,76.1,76.9,76.1,76.4,76.3,"56,400"
2019-02-20,76.3,76.9,76.2,76.4,76.3,"93,871"
2019-02-19,76.3,77,76.3,76.8,76.5,"77,549"
2019-02-18,77,77.8,76.5,77.7,76.8,"147,781"
2019-02-17,77.3,78.4,77.2,77.6,77.6,"165,655"
2019-02-14,77.1,78.8,77.1,78.7,77.3,"197,069"
2019-02-13,78.4,78.6,76.4,76.4,78.2,"285,557"
2019-02-12,76.3,76.8,76,76.6,76.2,"166,252"
2019-02-11,76.3,76.8,75.9,76.8,76.4,"189,759"
2019-02-10,76.4,76.9,76,76.2,76.3,"153,600"
2019-02-07,76.2,77.3,75.8,76.8,76.5,"303,422"
2019-02-06,76.5,77.7,76.3,77.5,76.6,"127,907"
2019-02-05,77.5,78,76.4,76.5,77.7,"260,622"
2019-02-04,76.2,77.7,76,76.5,76.3,"594,061"
2019-02-03,76.4,78.3,76.1,77.3,76.4,"387,704"
2019-01-31,77.1,79.6,77,79.6,77.2,"241,400"
2019-01-30,78.8,79.9,78.8,79.2,79,"139,249"
2019-01-29,79.3,79.6,79.1,79.2,79.2,"139,621"
2019-01-28,79.4,80.3,78.5,79.5,78.8,"305,244"
2019-01-27,79.3,79.9,79.1,79.6,79.3,"278,190"
2019-01-24,79.3,80.5,78.8,80.3,79.6,"480,993"
2019-01-23,80.5,82,80,82,80.5,"378,255"
2019-01-22,81.3,84,81.3,84,81.6,"693,310"
2019-01-21,83.9,85,83.9,85,84.2,"224,706"
2019-01-20,84.3,85.5,84,84.1,84.5,"328,139"
2019-01-17,84.2,86.2,84,85.9,84.1,"274,326"
2019-01-16,85.6,86.3,84.5,85.4,85.4,"784,231"
2019-01-15,84.5,85.4,84.2,84.6,85,"304,408"
2019-01-14,85,86,84.5,85.9,84.9,"310,186"
2019-01-13,85.2,85.5,84,84.5,84.9,"288,265"
2019-01-10,84.6,86,84,85.8,84.1,"256,819"
2019-01-09,84.6,86,84.4,86,84.7,"344,866"
2019-01-08,85.8,86,83.1,84.1,85,"530,057"
2019-01-07,84.1,85.6,83.5,85.5,83.9,"407,095"
2019-01-06,85.5,87,82.5,83.9,85.2,"694,912"
2019-01-03,83.2,84.1,81.3,82.4,83.6,"564,894"
2019-01-02,82.2,82.3,79,81.7,81.7,"548,752"
2019-01-01,80.9,81.2,78.3,78.5,80.8,"351,016"
2018-12-27,78.4,78.6,76.6,77.3,78.2,"251,671"
2018-12-26,76.8,77.6,76.6,77,76.8,"126,150"
2018-12-24,77.1,77.8,76.9,77.5,77,"232,812"
2018-12-23,77.2,78.1,76.9,77.8,77.1,"284,918"
2018-12-20,77,79.2,76.8,77.4,77.2,"229,573"
2018-12-19,76.5,78,75.6,76.1,76.3,"178,225"
2018-12-18,76.5,77.1,76.1,76.9,76.3,"102,650"
2018-12-17,76.6,78,76.6,78,76.8,"110,570"
2018-12-13,78.5,78.6,76.8,77.7,77.6,"118,800"
2018-12-12,78.4,79,76.2,79,77.6,"97,797"
2018-12-11,78.7,79.7,78.5,79.7,78.8,"59,159"
2018-12-10,78.6,80,78.5,79.4,78.8,"88,404"
2018-12-09,79.3,80.7,79.1,80.5,79.4,"178,080"
2018-12-06,79.8,80.5,79.4,80.5,79.7,"100,258"
2018-12-05,79.5,81,79.3,80.5,79.7,"249,370"
2018-12-04,80.2,81.7,80.1,81.2,80.5,"136,242"
2018-12-03,80.7,81.4,79.9,81,80.3,"213,861"
2018-12-02,80.3,81.4,79,80.8,79.5,"176,111"
2018-11-29,80,81.4,79.7,81.4,80,"116,486"
2018-11-28,80.9,81.5,80.9,81.3,80.9,"94,676"
2018-11-27,81.2,81.5,81.1,81.1,81.2,"73,717"
2018-11-26,81.1,81.8,81,81.3,81.1,"94,318"
