DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,58.4,58.6,57.4,57.4,58.3,"44,938"
2019-06-27,57.4,57.7,56.8,57.1,57.4,"36,364"
2019-06-26,57.2,57.5,56.5,57.1,57.1,"47,331"
2019-06-25,57.2,57.3,56.2,56.2,57.1,"16,911"
2019-06-24,56.9,57.4,55.6,57.3,56.2,"106,681"
2019-06-23,57.1,57.3,56,56.6,57.2,"48,672"
2019-06-20,57.5,57.6,56.7,57.6,56.9,"40,086"
2019-06-19,56.8,58,56.8,57.9,57.6,"52,535"
2019-06-18,57.7,57.9,57.6,57.9,57.7,"17,385"
2019-06-17,57.7,58,57.7,57.9,57.7,"23,835"
2019-06-16,58.1,58.9,57.1,58.2,57.8,"58,805"
2019-06-13,58.4,58.7,57.7,58.5,58.3,"57,537"
2019-06-12,58.1,58.9,58.1,58.5,58.5,"45,093"
2019-06-11,59,59,58,58.9,58.6,"83,339"
2019-06-10,58,58.9,57.3,57.6,58.1,"41,375"
2019-06-09,56.9,58,56.9,57.6,57.6,"50,410"
2019-05-30,57.5,57.5,56.6,57.1,56.9,"22,437"
2019-05-29,57.4,58,56.8,57,57.1,"23,024"
2019-05-28,56.4,57.9,56.4,57.3,56.8,"70,339"
2019-05-27,57.6,57.6,56.5,56.8,57.3,"27,319"
2019-05-26,56.7,57.9,56.6,57.1,57.1,"43,816"
2019-05-23,57.9,58,56.6,56.6,57.8,"30,696"
2019-05-22,57.1,57.7,56.7,57.7,57.6,"19,695"
2019-05-21,57,57.8,57,57.8,57.1,"14,273"
2019-05-20,57.9,58,57.7,58,57.8,"94,711"
2019-05-19,58.2,58.5,57.7,58.5,57.9,"25,424"
2019-05-16,57.5,58.3,57.2,57.2,57.5,"55,759"
2019-05-15,57.5,58,57.1,57.6,57.4,"12,543"
2019-05-14,57.6,58.3,57.5,57.9,57.6,"28,466"
2019-05-13,58.4,58.4,57.8,58.1,57.9,"22,027"
2019-05-12,57.8,58.3,57,57,57.9,"46,423"
2019-05-09,57.7,58.5,57.7,57.9,58.2,"36,598"
2019-05-08,57.8,58.4,57.7,58.4,57.9,"39,859"
2019-05-07,58.5,58.9,57.9,58.8,58.4,"32,368"
2019-05-06,58.5,59.1,58.5,59,58.8,"12,385"
2019-05-05,59.7,59.7,58.8,58.9,59.3,"70,708"
2019-05-02,58.9,58.9,57.8,57.9,58.1,"50,963"
2019-04-30,58,58.3,56.5,56.5,57.8,"26,161"
2019-04-29,57.7,58.4,57,57,58.3,"36,306"
