DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,83.6,84.5,82,82.3,83.5,"636,277"
2019-06-27,82,82.9,80.6,81.1,82.3,"391,310"
2019-06-26,80.9,81.3,78.8,79.4,81,"374,784"
2019-06-25,79.9,79.9,78.7,79.2,79.4,"333,267"
2019-06-24,79.5,79.9,78.4,78.5,79.1,"251,788"
2019-06-23,78.7,79.5,78.5,78.7,78.9,"240,483"
2019-06-20,78.2,79.7,77.9,78,78.2,"373,201"
2019-06-19,78,79,77.9,78,78.1,"222,800"
2019-06-18,77.9,78.8,77.5,78.1,77.8,"409,900"
2019-06-17,78.2,80.3,77.9,79.6,78.2,"440,068"
2019-06-16,79.1,81.1,79,80.9,79.4,"331,967"
2019-06-13,80.9,81,80,81,80.5,"313,970"
2019-06-12,80.9,82,80.1,81.5,80.9,"265,693"
2019-06-11,81.6,81.6,80.5,80.5,81.4,"403,008"
2019-06-10,80.7,81,79.2,80,80.8,"280,593"
2019-06-09,80,80,78,78,79.5,"90,812"
2019-05-30,78,78.6,77.8,78.5,78.1,"279,583"
2019-05-29,77.9,78.5,77.8,78,78,"825,105"
2019-05-28,78,78.5,77.2,77.2,78,"663,709"
2019-05-27,78,78.4,77.1,77.8,77.8,"317,648"
2019-05-26,77.5,77.8,76.9,76.9,77.5,"65,536"
2019-05-23,77.5,77.9,77.2,77.5,77.6,"86,568"
2019-05-22,76.9,77.7,76.8,77.7,77.4,"298,711"
2019-05-21,77,78,76.7,77.3,77.3,"96,868"
2019-05-20,76.7,78.1,76.7,78.1,76.9,"173,651"
2019-05-19,78.5,78.8,77.3,78,78.1,"373,706"
2019-05-16,77.4,78.2,76.9,78.2,77.5,"115,183"
2019-05-15,77.6,78.8,77.6,78.4,77.8,"136,825"
2019-05-14,78.1,79.8,78.1,79.8,78.5,"151,030"
2019-05-13,80.4,80.4,79.6,79.8,79.9,"58,640"
2019-05-12,80,80.8,79.3,80.4,79.8,"69,718"
2019-05-09,80.2,81.5,79.6,80.9,79.9,"388,934"
2019-05-08,80.5,81,79.9,80.5,80,"569,872"
2019-05-07,80.4,82.2,80.4,82.2,80.5,"113,892"
2019-05-06,81.6,83.9,81.5,83.9,81.8,"174,353"
2019-05-05,82.6,84.3,82.5,82.5,83,"202,902"
2019-05-02,82,82.4,81,81,82,"683,518"
2019-04-30,81,82,80,80,80.8,"1,030,737"
2019-04-29,80.1,80.8,78.5,80.8,79.8,"183,100"
2019-04-28,79.6,80.7,78.6,79.9,80,"28,741"
2019-04-25,79.9,80.8,77.6,80.8,78.1,"183,711"
2019-04-24,80.5,81,79.5,80.1,80.8,"38,437"
2019-04-23,80,82.7,80,81.4,80.4,"52,403"
2019-04-21,81.9,83,79.7,80,81.3,"85,190"
2019-04-18,83,83.5,82.1,82.5,83.2,"174,768"
2019-04-17,83,83.2,79.6,80.5,82.3,"73,488"
2019-04-16,80.7,83,79,83,81.3,"261,731"
2019-04-15,82.3,83.3,82.3,83,82.7,"24,478"
2019-04-11,83.2,84,82.8,83.9,83.3,"96,284"
2019-04-10,83.1,83.6,83,83.6,83.1,"185,658"
2019-04-09,83.9,84.2,83.1,83.3,83.8,"47,717"
2019-04-08,83.2,84.7,82.7,83,83.2,"120,058"
2019-04-07,83,85,83,84.8,83.6,"60,408"
2019-04-04,85.4,85.7,84.3,84.3,84.9,"84,870"
2019-04-03,84.5,85.5,84,85.5,84.6,"114,217"
2019-04-02,85,86,84,84.5,85.5,"48,086"
2019-04-01,84.1,85.5,83.9,84,84.1,"146,331"
2019-03-31,84.3,86,84,85.9,84.2,"177,746"
2019-03-28,85.3,85.5,85.3,85.4,85.4,"20,802"
2019-03-27,85.4,86,85,85.5,85.4,"34,955"
2019-03-25,86.5,87,84.8,84.8,86.3,"215,356"
2019-03-24,84.8,86,84.3,86,84.7,"42,279"
2019-03-21,86.1,86.8,86,86.3,86.2,"72,607"
2019-03-20,87,87,86,86.5,86.3,"243,082"
2019-03-19,86,87,85.8,87,86,"177,611"
2019-03-18,86,86.4,85.7,86.3,86.1,"147,965"
2019-03-14,87.5,87.5,86,86.2,86.3,"189,980"
2019-03-13,86.4,87.3,86.4,87.3,86.5,"107,997"
2019-03-12,87.3,88.3,86.5,86.7,87.4,"152,817"
2019-03-11,86.4,88,86.2,87.8,86.7,"227,684"
2019-03-10,88,88.1,87,87.3,87.7,"131,021"
2019-03-07,87.5,88.6,87,88.4,87.1,"102,897"
2019-03-06,88.3,89.8,88.2,88.3,88.4,"115,845"
2019-03-05,88.3,89.7,87.2,89.4,88.6,"215,987"
2019-03-04,88.1,89,87,89,88.1,"300,938"
2019-03-03,89.9,91,89.5,90.8,89.8,"153,213"
2019-02-27,90.7,92.4,90.7,92.3,91,"315,540"
2019-02-26,92.1,93.5,91.1,91.2,92.4,"492,241"
2019-02-25,91.2,92.5,91,91,91.2,"462,117"
2019-02-24,90.7,92.5,89.9,91,91.1,"365,984"
2019-02-20,90,90.1,88.7,89.2,89.7,"141,583"
2019-02-19,89,89,88,88.5,88.6,"211,450"
2019-02-18,88.9,90,88.8,89,89,"170,449"
2019-02-17,89.6,90.1,88,88,89.9,"114,225"
2019-02-14,89,89.9,88,88.6,89.2,"179,241"
2019-02-13,89.3,89.8,89,89.8,89.3,"104,326"
2019-02-12,89.8,90,88.9,88.9,89.8,"277,583"
2019-02-11,89,89.4,88.6,88.6,89,"150,915"
