DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,5.8,6,5.8,5.9,5.9,"29,193"
2019-06-27,6,6,5.8,5.8,5.9,"21,406"
2019-06-26,5.8,6,5.8,5.9,5.8,"63,565"
2019-06-25,5.9,6.1,5.8,6,5.9,"55,859"
2019-06-24,5.9,6,5.9,6,5.9,"61,802"
2019-06-23,6.1,6.3,6.1,6.2,6.1,"27,702"
2019-06-20,6.1,6.1,6,6,6,"70,471"
2019-06-19,6,6.1,6,6.1,6,"72,785"
2019-06-18,6,6.2,6,6,6.1,"65,831"
2019-06-17,6.1,6.1,6.1,6.1,6.1,"32,400"
2019-06-16,6.2,6.3,6,6.2,6.1,"71,300"
2019-06-13,6.1,6.2,6,6.1,6.1,"50,552"
2019-06-12,6.1,6.2,6.1,6.2,6.1,"83,434"
2019-06-11,6.3,6.3,6.1,6.2,6.2,"34,575"
2019-06-10,6.2,6.4,6.1,6.4,6.2,"5,759"
2019-06-09,6.3,6.5,6.1,6.5,6.2,"11,370"
2019-05-30,6.1,6.2,6,6,6,"70,020"
2019-05-29,6.2,6.3,6.2,6.2,6.2,"7,910"
2019-05-28,6.1,6.6,6,6.6,6.1,"155,426"
2019-05-27,6,6.2,5.9,6.2,6,"183,985"
2019-05-26,6.2,6.4,6.2,6.3,6.3,"16,623"
2019-05-23,6.4,6.4,6.1,6.2,6.3,"12,590"
2019-05-22,6.1,6.6,6,6.6,6.1,"71,481"
2019-05-21,6.2,6.3,6,6.2,6.1,"69,683"
2019-05-20,6.3,6.3,6.1,6.3,6.1,"100,680"
2019-05-19,6.3,6.5,6.2,6.4,6.3,"86,363"
2019-05-16,6.5,6.5,6.3,6.3,6.4,"6,670"
2019-05-15,6.6,6.6,6.3,6.4,6.5,"38,663"
2019-05-14,6.6,6.6,6.4,6.4,6.5,"8,437"
2019-05-13,6.4,6.7,6.4,6.6,6.5,"33,592"
2019-05-12,6.5,6.5,6.4,6.5,6.5,"9,423"
2019-05-09,6.6,6.6,6.2,6.2,6.5,"46,343"
2019-05-08,6.2,6.5,6.1,6.2,6.3,"14,366"
2019-05-07,6.5,6.6,6.4,6.5,6.5,"25,435"
2019-05-06,6.7,6.9,6.6,6.9,6.6,"145,787"
2019-05-05,6.8,6.8,6.3,6.3,6.8,"128,776"
2019-05-02,6.5,6.5,6.1,6.3,6.2,"106,215"
2019-04-30,6.3,6.4,6.2,6.2,6.3,"41,001"
2019-04-29,6.1,6.3,6.1,6.2,6.1,"18,654"
2019-04-28,6.1,6.4,6.1,6.1,6.1,"28,855"
2019-04-25,6.2,6.2,6.2,6.2,6.2,"8,630"
2019-04-24,6.2,6.3,6.1,6.2,6.2,"14,000"
2019-04-23,6,6.2,6,6.2,6.1,"31,670"
2019-04-21,6.2,6.4,6,6.4,6.1,"46,000"
2019-04-18,6.2,6.4,6.1,6.3,6.3,"47,875"
2019-04-17,6.3,6.3,6.2,6.2,6.2,"13,865"
2019-04-16,6.2,6.5,6.2,6.5,6.3,"18,212"
2019-04-15,6.5,6.5,6.3,6.5,6.4,"40,883"
2019-04-11,6.4,6.4,6.2,6.2,6.3,"25,350"
2019-04-10,6.4,6.6,6,6.3,6.1,"28,292"
2019-04-09,6.1,6.4,6.1,6.2,6.2,"13,345"
2019-04-08,6.1,6.5,6.1,6.2,6.2,"14,851"
2019-04-07,6.1,6.6,6.1,6.3,6.2,"101,469"
2019-04-04,6.6,6.7,6.3,6.6,6.4,"34,164"
2019-04-03,6.6,6.8,6.5,6.8,6.6,"52,877"
2019-04-02,6.7,6.7,6.5,6.6,6.7,"115,406"
2019-04-01,6.4,6.5,6.4,6.4,6.4,"33,211"
2019-03-31,6.4,6.4,6.2,6.2,6.3,"81,500"
2019-03-28,6.3,6.3,6.2,6.3,6.2,"15,639"
2019-03-27,6.2,6.3,6.2,6.2,6.2,"9,305"
2019-03-25,6.1,6.4,6.1,6.2,6.2,"43,774"
2019-03-24,6.3,6.3,6.1,6.1,6.3,"21,794"
2019-03-21,6.2,6.3,6.2,6.3,6.3,"10,500"
2019-03-20,6.4,6.4,6.2,6.4,6.2,"85,380"
2019-03-19,6.3,6.3,6.2,6.3,6.3,"39,939"
2019-03-18,6.1,6.4,6,6.4,6.3,"125,700"
2019-03-14,6.5,6.5,6.1,6.5,6.3,"16,752"
2019-03-13,6.3,6.6,6.2,6.6,6.3,"42,726"
2019-03-12,6.4,6.4,6.3,6.3,6.4,"8,788"
2019-03-11,6.1,6.5,6.1,6.4,6.3,"48,200"
2019-03-10,6.4,6.5,6.4,6.4,6.4,"10,000"
2019-03-07,6.4,6.5,6.3,6.5,6.3,"20,169"
2019-03-06,6.6,6.7,6.5,6.7,6.5,"33,706"
2019-03-05,6.5,6.8,6.5,6.8,6.6,"8,232"
2019-03-04,6.7,6.7,6.4,6.7,6.4,"129,975"
2019-03-03,6.5,6.9,6.1,6.9,6.5,"49,316"
2019-02-27,6.4,7,6.2,7,6.5,"149,067"
2019-02-26,6.6,6.9,6.6,6.9,6.7,"103,783"
2019-02-25,7,7.4,6.7,7.4,6.8,"100,023"
2019-02-24,7.4,7.5,7,7.1,7.3,"56,620"
2019-02-20,7.3,7.4,7,7.4,7.1,"19,824"
2019-02-19,7,7.3,6.7,7.3,7.2,"38,632"
2019-02-18,6.9,7.2,6.5,7,6.7,"165,177"
2019-02-17,6.9,7.4,6.9,7.4,7,"142,976"
2019-02-14,7.4,7.7,7.3,7.5,7.4,"188,691"
2019-02-13,7.8,7.9,7.5,7.5,7.6,"186,675"
2019-02-12,8,8,7.6,7.6,7.8,"69,660"
2019-02-11,7.9,7.9,7.5,7.7,7.5,"43,143"
2019-02-10,7.7,8,7.5,8,7.6,"64,948"
2019-02-07,8,8.3,8,8.1,8,"70,751"
2019-02-06,8.1,8.4,7.9,8.4,8.1,"262,637"
2019-02-05,7.6,7.8,7.6,7.8,7.7,"39,190"
2019-02-04,7.5,8,7.5,7.9,7.6,"45,153"
2019-02-03,8,8,7.8,8,7.9,"39,350"
2019-01-31,7.8,8,7.5,8,7.7,"124,061"
2019-01-30,8,8.2,7.9,8.1,8,"65,571"
2019-01-29,8,8.2,8,8.2,8.1,"64,332"
2019-01-28,8.2,8.3,8,8.2,8.1,"86,227"
2019-01-27,8.1,8.5,8.1,8.4,8.2,"119,167"
