DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,6.9,7,6.9,6.9,6.9,"18,520"
2019-06-27,7,7,6.8,6.9,6.9,"43,100"
2019-06-26,7.1,7.2,6.9,7.2,7.1,"16,685"
2019-06-25,7.2,7.2,7,7,7.1,"115,480"
2019-06-24,6.9,7,6.9,6.9,6.9,"77,019"
2019-06-23,6.8,6.8,6.6,6.8,6.7,"50,200"
2019-06-20,6.9,6.9,6.9,6.9,6.9,400
2019-06-19,6.9,6.9,6.9,6.9,6.9,200
2019-06-18,6.7,6.8,6.7,6.8,6.7,"30,912"
2019-06-17,6.8,6.8,6.7,6.7,6.7,"5,675"
2019-06-16,6.8,6.8,6.8,6.8,6.8,500
2019-06-13,6.7,6.7,6.7,6.7,6.7,"25,574"
2019-06-12,6.6,6.9,6.6,6.9,6.7,"44,926"
2019-06-11,7,7,6.9,6.9,7,"17,550"
2019-06-10,6.7,6.7,6.7,6.7,6.7,"10,000"
2019-06-09,6.7,6.7,6.7,6.7,6.7,2
2019-05-30,6.9,6.9,6.8,6.8,6.9,"10,000"
2019-05-29,6.9,6.9,6.8,6.8,6.8,675
2019-05-27,6.8,6.8,6.8,6.8,6.8,"2,900"
2019-05-26,6.7,6.7,6.7,6.7,6.7,"2,000"
2019-05-23,6.7,6.7,6.7,6.7,6.7,"12,850"
2019-05-21,6.8,6.8,6.8,6.8,6.8,"3,150"
2019-05-20,6.8,6.8,6.8,6.8,6.8,"5,400"
2019-05-14,6.7,6.7,6.7,6.7,6.7,"3,360"
2019-05-12,7,7,7,7,7,300
2019-05-07,6.8,6.8,6.8,6.8,6.8,"10,500"
2019-05-06,6.8,6.8,6.7,6.7,6.7,"19,370"
2019-05-05,7.1,7.1,7,7,7,"12,600"
2019-05-02,6.8,6.8,6.8,6.8,6.8,"8,000"
2019-04-30,6.8,6.8,6.8,6.8,6.8,"6,779"
2019-04-25,6.8,6.8,6.7,6.7,6.8,"11,645"
2019-04-24,6.8,6.8,6.8,6.8,6.8,"5,000"
2019-04-23,6.7,6.7,6.7,6.7,6.7,32
2019-04-21,6.9,6.9,6.9,6.9,6.9,300
2019-04-17,6.7,6.7,6.7,6.7,6.7,"5,500"
2019-04-16,6.7,6.7,6.7,6.7,6.7,"1,004"
2019-04-15,6.7,6.7,6.5,6.6,6.6,"19,300"
2019-04-10,6.9,6.9,6.9,6.9,6.9,"4,200"
2019-04-09,6.8,6.8,6.7,6.8,6.8,"36,000"
2019-04-08,6.8,6.8,6.8,6.8,6.8,"20,000"
2019-04-07,6.8,6.8,6.7,6.8,6.8,"30,000"
2019-04-04,6.8,6.8,6.8,6.8,6.8,"20,000"
2019-04-03,6.8,6.8,6.8,6.8,6.8,"5,000"
2019-04-02,6.7,6.8,6.7,6.8,6.7,"42,613"
2019-03-27,6.7,6.7,6.7,6.7,6.7,"2,000"
2019-03-25,6.7,6.8,6.7,6.7,6.7,"33,100"
