DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,24,25,23.5,24.6,23.8,"194,283"
2019-06-27,24.4,26.4,24.3,25.6,24.5,"365,865"
2019-06-26,25.9,26.1,24.3,24.3,25.5,"374,883"
2019-06-25,25.1,27.1,25.1,27.1,25.2,"668,867"
2019-06-24,27.6,28.7,26.7,27.8,27.1,"687,002"
2019-06-23,27.5,27.5,24.1,25.1,27.5,"2,016,054"
2019-06-20,24.9,25.3,24,25.2,25,"130,092"
2019-06-19,25.3,26.9,25.3,26.7,25.5,"608,683"
2019-06-18,26.6,26.9,25.7,25.8,26.4,"698,324"
2019-06-17,25.4,25.5,23.8,23.9,25.4,"394,593"
2019-06-16,23.3,24.5,23.3,24,23.4,"126,560"
2019-06-13,23.8,24.4,22.2,23.9,23.4,"119,806"
2019-06-12,23,23.6,21.5,22.4,23.4,"151,066"
2019-06-11,22,22.7,21.7,21.9,21.8,"31,659"
2019-06-10,21.4,22,21.1,21.1,21.5,"35,248"
2019-06-09,22.1,22.1,21.6,21.7,21.6,651
2019-05-30,22.1,22.5,21.6,21.6,22,"31,152"
2019-05-29,21.6,22,21,22,21.1,"18,530"
2019-05-28,21.8,22.6,21.2,22.6,21.9,"21,318"
2019-05-27,22.7,23.9,20.7,23.9,21.6,"13,285"
2019-05-26,22.4,22.6,22,22,22.4,"75,749"
2019-05-22,22.5,23.2,22.1,22.1,22.6,"79,240"
2019-05-21,22.1,22.1,21.6,21.6,22,"47,832"
2019-05-20,21.7,21.9,20.7,21.2,21,"15,792"
2019-05-19,21.4,22.5,21.1,21.8,21.6,"9,845"
2019-05-16,21.5,22.1,20.5,22.1,20.6,"45,482"
2019-05-15,20.9,21.1,20.8,20.8,20.9,"35,668"
2019-05-14,21.1,22,21,22,21.4,"29,710"
2019-05-13,21.8,22.3,21.7,22.1,21.9,"81,841"
2019-05-12,21.5,22.4,21.5,22.4,21.7,"10,501"
2019-05-09,21.4,21.4,20.9,20.9,21.1,"17,010"
2019-05-08,20.8,22.1,20.8,22.1,21.1,130
2019-05-07,21.4,21.4,21.2,21.4,21.3,"22,616"
2019-05-06,21.5,22.5,21.1,22.5,21.6,"27,406"
2019-05-05,22.5,22.7,22.1,22.1,22.5,"5,565"
