DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,12.7,12.9,12.6,12.9,12.6,"359,680"
2019-06-27,12.8,12.9,12.4,12.6,12.7,"483,960"
2019-06-26,12.5,12.6,12.4,12.5,12.5,"266,625"
2019-06-25,12.4,12.6,12.4,12.6,12.5,"297,042"
2019-06-24,12.5,12.8,12.5,12.7,12.5,"426,852"
2019-06-23,12.6,12.8,12.5,12.8,12.6,"244,989"
2019-06-20,12.7,12.9,12.7,12.7,12.8,"338,381"
2019-06-19,12.8,12.9,12.7,12.8,12.8,"371,450"
2019-06-18,12.8,12.9,12.7,12.8,12.8,"452,196"
2019-06-17,12.8,13,12.6,12.8,12.7,"407,318"
2019-06-16,12.9,13.1,12.7,12.9,12.8,"528,302"
2019-06-13,13.1,13.2,12.9,13.1,13,"467,810"
2019-06-12,13,13.3,13,13.3,13,"516,534"
2019-06-11,13.3,13.4,13.1,13.2,13.3,"459,243"
2019-06-10,13.1,13.2,12.8,13,13.1,"492,244"
2019-06-09,12.9,13,12.7,12.8,12.9,"156,520"
2019-05-30,12.8,13,12.8,13,12.8,"319,471"
2019-05-29,12.8,13.1,12.7,12.9,12.8,"416,843"
2019-05-28,12.9,13,12.8,12.9,12.9,"291,504"
2019-05-27,12.7,12.9,12.4,12.5,12.8,"277,071"
2019-05-26,12.5,12.9,12.4,12.8,12.5,"433,714"
2019-05-23,12.6,13,12.6,12.9,12.8,"451,796"
2019-05-22,13,13,12.8,13,12.9,"220,938"
2019-05-21,12.8,13,12.8,12.9,12.8,"237,797"
2019-05-20,12.9,13.3,12.9,13.3,13,"302,428"
2019-05-19,13,13.3,13,13.3,13.1,"466,790"
2019-05-16,13.2,13.2,12.9,13,13,"435,567"
2019-05-15,12.9,13.1,12.7,13,12.8,"229,401"
2019-05-14,13,13.2,12.8,13.2,12.9,"520,109"
2019-05-13,13.1,13.4,13,13.4,13.1,"374,663"
2019-05-12,13.3,13.6,13.2,13.4,13.4,"964,644"
2019-05-09,13.1,13.3,12.7,13,13.2,"782,694"
2019-05-08,13,14,12.9,13.8,12.9,"2,726,051"
2019-05-07,14.5,14.5,13.8,14.2,14.3,"1,004,388"
2019-05-06,14.2,14.7,14,14.6,14.1,"1,146,728"
2019-05-05,14.7,15,14.5,14.8,14.7,"1,080,914"
2019-05-02,14.7,14.7,13.4,13.5,14.6,"1,418,109"
2019-04-30,13.5,13.7,13.2,13.2,13.5,"504,650"
2019-04-29,13.3,13.5,13,13.1,13.2,"201,943"
2019-04-28,13.1,13.4,13.1,13.4,13.1,"271,826"
2019-04-25,13.4,13.4,12.9,12.9,13.3,"461,835"
2019-04-24,12.9,13,12.8,12.9,12.9,"139,017"
2019-04-23,12.9,13.3,12.9,13.3,13,"196,681"
2019-04-21,13.4,13.5,13.2,13.5,13.3,"225,434"
2019-04-18,13.5,13.6,13,13,13.4,"401,682"
2019-04-17,13.1,13.1,12.8,13.1,13,"380,482"
2019-04-16,12.9,13.1,12.9,13,13,"218,462"
2019-04-15,13.1,13.5,13.1,13.4,13.2,"121,143"
2019-04-11,13.4,13.4,13,13.2,13.4,"253,080"
2019-04-10,13.2,13.5,13,13.5,13.1,"221,003"
2019-04-09,13.3,13.6,13.1,13.3,13.2,"200,104"
