DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,28,28,27.5,27.8,27.8,"637,960"
2019-06-27,28,28.3,27.1,27.1,28.1,"1,909,820"
2019-06-26,27.1,27.4,27,27.3,27.1,"806,070"
2019-06-25,27.3,27.7,27.2,27.4,27.3,"1,135,044"
2019-06-24,27.2,27.8,27.2,27.6,27.3,"527,284"
2019-06-23,27.7,27.7,27,27,27.6,"576,727"
2019-06-20,27.3,28,27,27.6,27.2,"769,491"
2019-06-19,27.4,27.6,27.3,27.5,27.3,"1,289,204"
2019-06-18,27.5,27.6,27.2,27.5,27.5,"982,792"
2019-06-17,27.7,27.9,27.2,27.4,27.5,"1,178,520"
2019-06-16,27.6,28.3,27.6,28.1,27.7,"558,403"
2019-06-13,28,28.1,27.4,27.5,27.9,"535,764"
2019-06-12,27.8,28.1,27.5,28.1,27.6,"827,244"
2019-06-11,28.4,28.4,26.9,26.9,28,"1,209,687"
2019-06-10,27.1,27.3,26.6,27.3,26.9,"1,515,764"
2019-06-09,27.2,27.4,27,27.2,27.2,"289,612"
2019-05-30,27.1,27.4,26.9,27.3,27.2,"635,396"
2019-05-29,27.3,27.3,26.6,26.9,27.2,"624,301"
2019-05-28,26.8,27.1,25.9,25.9,26.8,"2,623,962"
2019-05-27,25.7,26,25.5,25.8,25.8,"655,424"
2019-05-26,25.8,26.1,25.3,25.3,25.8,"893,125"
2019-05-23,25.2,25.4,25.2,25.2,25.3,"1,509,053"
2019-05-22,25.2,25.4,25.2,25.3,25.2,"620,672"
2019-05-21,25.3,25.4,25,25.4,25.3,"878,352"
2019-05-20,25.5,25.5,25,25.3,25.4,"1,205,374"
2019-05-19,25.4,25.8,25,25,25.3,"3,229,832"
2019-05-16,24.8,24.8,24.2,24.2,24.7,"1,632,938"
2019-05-15,24.2,24.3,23.9,24,24.2,"319,757"
2019-05-14,24,24.3,24,24.1,24,"329,705"
2019-05-13,24.5,24.8,23.6,24,24.1,"1,571,331"
2019-05-09,26,26.2,25.3,26.2,25.6,"803,890"
2019-05-08,26.2,26.2,25.6,26.2,26.1,"467,185"
2019-05-07,25.5,26.7,25.5,26.7,25.9,"1,958,214"
2019-05-06,26.7,27.8,26.4,27.7,26.6,"1,691,461"
2019-05-05,27.6,27.7,26.5,26.5,27.6,"1,617,340"
2019-05-02,26.1,26.5,25.5,25.5,26.2,"973,478"
2019-04-30,25.8,25.9,25.1,25.5,25.5,"1,003,164"
2019-04-29,25.3,25.4,24.8,25.1,25.3,"941,012"
2019-04-28,25.3,25.8,25,25,25.4,"835,881"
2019-04-25,25.4,25.5,24.6,24.9,25.4,"1,176,813"
2019-04-24,24.8,24.8,24.1,24.3,24.7,"1,230,704"
2019-04-23,24.2,25.2,24.1,25.2,24.3,"867,498"
2019-04-21,25,25,24,24.1,24.8,"912,699"
2019-04-18,24.1,24.2,22.5,23.7,24.1,"2,204,094"
2019-04-17,24.3,24.4,24,24.4,24.3,"365,763"
2019-04-16,24.3,24.5,23.8,24.2,24.3,"1,174,681"
2019-04-15,24.2,24.6,24.1,24.6,24.3,"298,789"
2019-04-11,24.6,24.6,23.8,24,24.3,"538,334"
2019-04-10,24,24.2,23.6,23.7,23.8,"556,979"
2019-04-09,23.7,24.3,23.7,24.1,23.8,"813,916"
2019-04-08,24.1,25.1,24,25,24.1,"1,118,928"
2019-04-07,24.8,25.7,24.8,25.6,25,"324,302"
2019-04-04,25.7,25.8,25.3,25.8,25.5,"772,666"
2019-04-03,25.7,26.3,25.7,26.2,25.8,"444,411"
2019-04-02,26.3,26.7,26,26.4,26.2,"930,161"
2019-04-01,26.5,26.8,26.3,26.7,26.4,"929,545"
2019-03-31,26.9,26.9,26.6,26.9,26.7,"664,602"
2019-03-28,26.5,26.9,26.4,26.8,26.5,"919,433"
2019-03-27,26.7,27.8,26.6,27.8,26.8,"970,737"
2019-03-25,27.5,28.1,27.5,28.1,27.6,"969,722"
2019-03-24,28.1,28.7,28,28.7,28.1,"594,018"
2019-03-21,28.7,28.8,28.6,28.7,28.6,"481,161"
2019-03-20,28.7,29,28.7,28.9,28.8,"539,146"
2019-03-19,28.9,29,28.7,28.9,28.9,"716,317"
2019-03-18,28.9,29.4,28.7,29.3,28.9,"644,466"
2019-03-14,29.2,29.4,28.6,29.4,29.1,"1,291,815"
2019-03-13,29.3,30,28.7,29,29.3,"1,672,341"
2019-03-12,28.5,29,28.5,28.9,28.6,"781,538"
2019-03-11,28.9,29.2,28.7,29.2,28.9,"906,740"
2019-03-10,29.2,29.8,29.1,29.3,29.2,"614,529"
2019-03-07,29.2,29.5,29,29.4,29.2,"708,395"
2019-03-06,29.2,29.5,29,29.4,29.3,"949,933"
2019-03-05,29.2,29.5,28.7,29.2,29.2,"875,775"
2019-03-04,29,29.5,28.8,29.3,28.9,"582,596"
2019-03-03,29.3,29.5,28.7,29,29.1,"691,696"
2019-02-27,28.9,29.8,28.5,29.6,28.9,"1,451,276"
2019-02-26,29.6,29.8,29.5,29.8,29.6,"1,145,869"
2019-02-25,29.7,29.9,29.6,29.7,29.8,"1,422,208"
2019-02-24,29.7,30.2,29.7,30.2,29.7,"1,158,009"
2019-02-20,30.3,30.7,30.2,30.4,30.2,"1,150,776"
2019-02-19,30.3,30.7,30.1,30.7,30.4,"661,772"
2019-02-18,30.5,31.3,30.3,31.1,30.4,"1,196,112"
2019-02-17,30.9,31.3,30.4,30.4,31,"1,461,666"
2019-02-14,30.4,30.5,30.2,30.4,30.4,"870,464"
2019-02-13,30.3,30.7,30.2,30.5,30.3,"1,059,108"
2019-02-12,30.7,31.1,30.3,31,30.4,"1,024,036"
2019-02-11,30.6,31.3,30.5,31.2,30.8,"782,909"
2019-02-10,31.2,32,31.1,31.8,31.2,"749,351"
2019-02-07,31.9,32.5,31.7,32,31.8,"589,012"
2019-02-06,31.9,32.1,31.5,31.7,31.9,"637,972"
2019-02-05,31.5,32.1,31.5,31.9,31.6,"679,197"
2019-02-04,31.8,32.5,31.6,32.2,31.8,"1,094,986"
2019-02-03,32.2,33,32,32.7,32,"885,706"
2019-01-31,32.9,33,32,32.8,32.7,"1,654,053"
2019-01-30,32.7,33.6,32.7,33.1,32.8,"1,061,726"
2019-01-29,33.1,33.5,32.9,33.1,33,"1,797,400"
2019-01-28,33.2,34,32.9,33.8,33,"2,282,038"
2019-01-27,34,35,33.5,34.9,33.7,"3,441,241"
2019-01-24,34.3,35.2,34.2,34.4,34.5,"4,953,846"
2019-01-23,34.3,34.5,32.8,32.9,34.4,"8,158,724"
2019-01-22,32.7,33.2,32.4,32.8,32.8,"1,469,683"
2019-01-21,32.7,33.5,32.5,33.3,32.7,"1,739,065"
2019-01-20,33.1,33.3,32.4,32.4,33.2,"3,436,118"
2019-01-17,32.4,32.5,31.9,32.5,32.3,"2,123,915"
2019-01-16,32.3,33,32.3,32.7,32.5,"1,682,203"
2019-01-15,32.5,32.9,32.1,32.6,32.7,"1,861,609"
2019-01-14,32.6,33.2,32.5,33.1,32.5,"1,829,205"
