DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18.4,19.2,17.8,19.2,17.9,"817,521"
2019-06-27,19.2,19.6,18.7,19.2,18.9,"810,609"
2019-06-26,18.7,19.5,18.6,19,18.8,"601,867"
2019-06-25,18.6,20.3,18.5,20.3,18.9,"847,243"
2019-06-24,19.9,20.8,19.7,20.4,20,"837,877"
2019-06-23,20.2,20.5,19.3,19.9,20.2,"1,048,292"
2019-06-20,19.7,20.8,19.7,20.7,19.8,"950,002"
2019-06-19,20.5,21.8,20.4,21,20.8,"2,067,030"
2019-06-18,21,22.1,20.6,21.9,21,"2,190,846"
2019-06-17,20.7,21.6,19.6,20.2,21.4,"2,266,932"
2019-06-16,19.5,21.1,19.4,21,20.1,"1,746,002"
2019-06-13,20.9,21.7,20.7,21,20.9,"2,682,372"
2019-06-12,21.1,21.2,19.1,19.6,21.1,"2,852,872"
2019-06-11,19.5,19.7,18.7,18.7,19.5,"2,989,342"
2019-06-10,18.5,18.7,17.4,18.1,18.4,"1,583,552"
2019-06-09,18,18.8,17.9,18,18.1,"2,366,603"
2019-05-30,17.7,18,16.6,16.6,17.6,"2,233,781"
2019-05-29,16.3,16.6,16,16.5,16.4,"613,906"
2019-05-28,16.4,16.5,15.7,16.1,16.2,"620,030"
2019-05-27,15.8,16.7,15.7,16.5,15.8,"595,493"
2019-05-26,16.3,16.6,15.2,15.7,16.5,"1,141,294"
2019-05-23,15.7,16,15.1,15.2,15.7,"761,457"
2019-05-22,15,15.1,13.8,13.8,15.1,"1,147,208"
2019-05-20,13.7,14.3,13.7,14.3,13.8,"248,008"
2019-05-19,14.3,14.3,13.2,13.3,14.2,"417,845"
2019-05-16,13.2,13.2,12.9,12.9,13.2,"37,943"
2019-05-15,13,13.3,13,13.3,13,"46,884"
2019-05-14,13,13.2,12.9,13.2,13,"56,243"
2019-05-13,13.1,13.4,12.9,13,13.3,"110,032"
2019-05-12,13.1,13.2,12.9,13.1,13,"304,915"
2019-05-09,13.2,13.3,12.8,13.3,13,"26,394"
2019-05-08,13.3,13.6,12.7,13.6,12.8,"166,442"
2019-05-07,13.3,13.6,13.2,13.4,13.4,"107,903"
2019-05-06,13.4,13.8,13.4,13.7,13.5,"171,475"
2019-05-05,13.5,13.8,13,13,13.6,"386,782"
2019-05-02,13,13,12.6,12.8,12.9,"122,091"
2019-04-30,12.7,13.1,12.4,13.1,12.5,"166,631"
2019-04-29,13.1,13.3,12.8,13.3,13.1,"140,058"
2019-04-28,12.9,13.2,12.8,13.2,12.9,"131,730"
2019-04-25,13.4,13.7,13.1,13.7,13.3,"206,043"
2019-04-24,13.5,13.8,13.5,13.6,13.7,"68,686"
2019-04-23,13.8,14.1,13.7,14.1,13.8,"95,393"
2019-04-21,14,14.6,13.6,14.3,14.1,"234,427"
2019-04-18,14.6,15,14.5,14.7,14.7,"122,589"
2019-04-17,14.5,14.9,14.2,14.6,14.6,"223,726"
2019-04-16,14.3,15,14.3,15,14.5,"145,943"
2019-04-15,15,15.4,14.9,15.4,15,"177,228"
2019-04-11,15.3,15.3,14.8,15.2,15.1,"137,405"
2019-04-10,14.8,15.3,14.8,15.3,14.8,"48,145"
2019-04-09,14.9,15.6,14.8,15.2,15,"103,070"
2019-04-08,15.1,15.6,15.1,15.6,15.1,"135,885"
2019-04-07,15.9,16.4,15.6,16.1,15.8,"161,647"
2019-04-04,16.4,16.4,15.9,16.4,16.3,"121,002"
2019-04-03,16.1,16.8,16,16.6,16.1,"281,614"
2019-04-02,16.2,17.2,16.1,17.2,16.3,"503,982"
2019-04-01,16.9,17.1,15.8,15.8,16.8,"530,306"
2019-03-31,15.7,15.9,15.5,15.7,15.6,"225,001"
2019-03-28,15.4,15.9,15.3,15.3,15.5,"210,955"
2019-03-27,15,15.4,15,15.3,15.1,"159,285"
2019-03-25,15.3,15.7,15.3,15.6,15.4,"214,161"
2019-03-24,15.2,15.5,15.2,15.5,15.3,"202,403"
2019-03-21,15.8,15.9,15.1,15.2,15.7,"380,898"
2019-03-20,15.3,15.9,15.2,15.3,15.3,"198,007"
2019-03-19,15.3,16,15.1,15.3,15.5,"274,385"
2019-03-18,15,15.9,15,15.9,15.3,"241,720"
2019-03-14,16,16.7,15.8,16.2,15.8,"283,631"
2019-03-13,16,17.1,15.8,16.9,16.1,"480,762"
2019-03-12,16.9,17.8,16.6,17.8,16.8,"312,113"
2019-03-11,17.2,18.2,17.2,18.1,17.3,"337,671"
2019-03-10,17.8,18.6,17.8,18.5,18,"512,314"
2019-03-07,18,18.5,17.8,18.2,18,"345,247"
2019-03-06,17.6,18.5,17.4,17.6,17.8,"395,926"
2019-03-05,17,18.5,17,18.5,17.5,"697,688"
2019-03-04,18.4,19.4,18.4,19.2,18.6,"612,093"
2019-03-03,19.2,20.1,19.1,19.7,19.2,"904,855"
2019-02-27,19.7,20.1,19,19.2,19.6,"1,758,422"
2019-02-26,19,19.2,18.5,18.5,19,"1,068,443"
2019-02-25,18.2,19.4,18.1,18.8,18.4,"446,208"
2019-02-24,18.7,19.2,17.2,17.9,18.9,"783,527"
2019-02-20,17.7,18.1,17.5,18,17.8,"258,374"
2019-02-19,17.3,18.9,17.1,18,17.6,"721,393"
2019-02-18,17.8,19.3,17.7,19.3,17.9,"660,376"
2019-02-17,19,20,18.7,19.6,19,"683,903"
2019-02-14,19.6,19.6,18.3,18.3,19.6,"2,669,673"
2019-02-13,18.1,18.1,16.9,17.5,17.9,"798,666"
2019-02-12,17.1,18.6,17,18.4,17.2,"1,304,397"
2019-02-11,18.3,18.6,17.3,17.3,18.4,"775,161"
2019-02-10,17.5,19,16.8,18.4,17,"1,557,179"
2019-02-07,19.1,20.7,18.3,20,18.6,"1,063,352"
2019-02-06,19.9,21,19.6,20.4,19.9,"1,242,500"
2019-02-05,19,21.4,19,21.2,19.5,"1,742,868"
2019-02-04,21.6,24.3,20.9,23.3,21.1,"1,614,924"
2019-02-03,23.2,23.2,21.3,21.3,23.1,"6,148,142"
2019-01-31,20.8,21.7,20.5,21.2,21.1,"1,344,955"
2019-01-30,20.5,22.2,20.5,21.9,21.1,"1,185,591"
2019-01-29,21.6,22,20.2,20.9,21.5,"1,381,911"
2019-01-28,21.5,21.9,20,21.9,20.5,"1,372,426"
2019-01-27,21.5,22.2,20.7,20.7,21.6,"3,775,669"
2019-01-24,20.2,20.4,18.8,18.9,20.2,"1,941,131"
2019-01-23,19,19.4,18.5,18.6,18.7,"868,748"
2019-01-22,18.9,19,17.5,18.3,18.6,"1,150,482"
2019-01-21,18.2,19,17.7,17.9,18,"737,272"
2019-01-20,17.5,19.4,17.5,19.2,18.1,"675,134"
2019-01-17,18.8,20.2,18.5,19,19.2,"2,634,061"
2019-01-16,19.1,19.8,18.7,19.4,18.9,"1,237,965"
2019-01-15,19.3,19.3,17.8,18,19.1,"1,700,103"
2019-01-14,18,18.4,16.5,16.8,18.1,"2,701,569"
2019-01-13,16.8,16.9,15.8,15.8,16.8,"900,290"
2019-01-10,15.7,15.7,15,15.4,15.6,"809,492"
2019-01-09,15.5,15.6,15,15.4,15.2,"488,049"
2019-01-08,15.4,15.4,14.4,14.5,15.2,"652,190"
2019-01-07,14.4,14.7,14.3,14.7,14.3,"231,451"
2019-01-06,14.7,14.7,14,14.3,14.7,"548,938"
