DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,154.6,158.5,154.6,156.2,155.6,"130,272"
2019-06-27,157.8,157.9,155.9,156.4,156.2,"125,617"
2019-06-26,156.1,159.3,156,157,156.4,"79,902"
2019-06-25,157,158.7,156.1,158.7,156.4,"146,444"
2019-06-24,157.1,159.6,156.9,158.4,157.2,"115,328"
2019-06-23,158.8,160,158,158,158.6,"97,506"
2019-06-20,158.3,160.9,157.3,160.9,159.5,"123,568"
2019-06-19,162.2,163.6,158.1,160.6,161.5,"157,259"
2019-06-18,160.1,160.1,157.5,158.2,159.1,"168,266"
2019-06-17,159,164.9,157.7,164.9,158.3,"93,385"
2019-06-16,159.2,165,158.7,165,159.8,"70,223"
2019-06-13,165,165,156,158,163.7,"374,256"
2019-06-12,157,159.8,155.6,159,156.8,"122,966"
2019-06-11,158.2,159.9,155.9,156,157.6,"172,150"
2019-06-10,155.8,155.8,151.8,152.8,154.5,"145,357"
2019-06-09,152,154,151,154,151.3,"63,287"
2019-05-30,152,156,151.2,156,152.1,"86,688"
2019-05-29,155.7,157,151,151,154.8,"105,255"
2019-05-28,151.7,151.9,149.2,151.5,150.9,"216,202"
2019-05-27,153,154,150,152,151.2,"147,943"
2019-05-26,152,154.5,150.6,150.6,152.4,"45,403"
2019-05-23,154,154.1,152.5,153,153.5,"30,890"
2019-05-22,153,155.7,152.5,155.4,152.8,"29,189"
2019-05-21,154,154.6,151.7,154.5,153.5,"72,692"
2019-05-20,154.2,155.2,152.5,155.2,153.4,"36,437"
2019-05-19,155.2,157.4,153.3,156.5,153.7,"110,173"
2019-05-16,155,155,153,153,154,"38,250"
2019-05-15,154.2,156.2,152.3,154.1,152.7,"35,274"
2019-05-14,154,157.7,154,155.8,154.1,"29,564"
2019-05-13,155.7,158.1,155.5,157,155.8,"86,128"
2019-05-12,157,157.5,156.1,157.1,157,"118,029"
2019-05-09,156.6,159,156,159,156.6,"56,256"
2019-05-08,158.3,158.7,155.5,158.5,158.1,"65,577"
2019-05-07,157.9,162.9,157.5,162.9,158.2,"138,105"
2019-05-06,160.9,167.5,159.2,165,160.1,"173,186"
2019-05-05,163.9,168,163.3,165,164,"139,970"
2019-05-02,162,164.8,158.4,164.8,162,"161,868"
2019-04-30,159,161,158.1,160.9,159.2,"138,093"
2019-04-29,158.7,165,158.7,162.2,159,"175,465"
2019-04-28,161.7,164.9,158,163,162.2,"75,585"
2019-04-25,158,160.8,158,160.8,158.6,"42,791"
2019-04-24,158.7,163.9,158,163.9,159,"32,275"
2019-04-23,160,162.1,159.5,162.1,160.2,"34,738"
2019-04-21,162.1,167,161.2,167,162.1,"101,772"
2019-04-18,164.2,165,163.2,165,164.3,"93,419"
2019-04-17,165,166.9,163.3,163.3,164.2,"134,632"
2019-04-16,164,164.7,159,161,162.6,"83,643"
2019-04-15,161,165,160.9,164.5,162,"72,721"
2019-04-11,164,165,157.8,159.9,164,"98,782"
2019-04-10,158.3,166.8,156.6,164.7,157.4,"107,876"
2019-04-09,163.6,168.9,163.5,164.6,163.7,"102,995"
2019-04-08,164,169.1,163.6,169.1,164.1,"88,068"
2019-04-07,170,172.1,167.5,171,169.1,"92,296"
2019-04-04,170,170,165.1,169.4,168.6,"205,832"
2019-04-03,168.5,173.6,166.4,173.3,167.9,"211,176"
2019-04-02,174,174,165.5,167.3,173.3,"355,538"
2019-04-01,168.4,170.4,166.2,167.1,167.3,"289,237"
2019-03-31,169,170,158.4,159,167,"586,945"
2019-03-28,159,159.9,156.5,158.5,157.9,"117,803"
2019-03-27,158.6,160.9,157,159,158.5,"281,223"
2019-03-25,157.8,161,149.1,149.1,157.4,"219,234"
2019-03-24,150,152,149.5,151.9,150.1,"30,371"
2019-03-21,152.8,152.8,147.1,149.8,151.7,"122,301"
2019-03-20,150,153.5,148,153.2,149.8,"186,294"
2019-03-19,152,154.9,149.1,151.2,150.6,"138,842"
2019-03-18,151.2,159,148.5,159,151.9,"104,301"
2019-03-14,156.1,159.4,156,158,156.3,"39,486"
2019-03-13,158,159.9,156.8,159.9,157.2,"78,845"
2019-03-12,158,167.4,157.5,167.4,158.6,"250,027"
2019-03-11,167,168,165,168,166.4,"81,168"
2019-03-10,168,168.5,165.5,165.5,168,"51,393"
2019-03-07,164.7,166,164.2,165.9,164.7,"72,834"
2019-03-06,165.4,169.1,163.6,169.1,165.1,"39,525"
2019-03-05,166.1,168,164.9,168,165.5,"126,796"
2019-03-04,167.5,170,167.5,168.6,167.8,"20,974"
2019-03-03,171,171.4,167.5,169.4,168.5,"38,795"
2019-02-27,173,173,167.2,170,168.8,"105,731"
2019-02-26,170,173,166,172,169.4,"200,621"
2019-02-25,172.5,173.8,172.3,172.3,172.5,"89,694"
2019-02-24,171.5,175,171.5,174.7,172.1,"152,269"
2019-02-20,174.2,177.7,174.2,177.7,174.4,"94,817"
2019-02-19,175,177.8,174,175,175.4,"75,149"
2019-02-18,176.1,177.4,174,177,174.8,"127,114"
2019-02-17,176.9,178.8,176.6,177.4,177.1,"75,018"
2019-02-14,179,179,176.4,178,177.4,"66,316"
2019-02-13,179.2,182.5,176,181.5,179,"82,179"
2019-02-12,176.9,179.6,176.5,179.6,177.1,"36,542"
2019-02-11,178,180,176.3,179,177.4,"46,307"
2019-02-10,181.5,182.6,178,181.1,179.2,"96,958"
2019-02-07,182.3,182.8,174,175.2,181.4,"267,399"
2019-02-06,175,176.9,174,176.9,174.7,"150,993"
2019-02-05,174.5,177.9,173.7,177.9,174.2,"160,475"
2019-02-04,175,178,173.9,174.6,175.3,"157,738"
2019-02-03,175.1,179.6,173.7,179.5,174.6,"394,973"
2019-01-31,178.3,180.8,178,178,179.5,"103,756"
2019-01-30,177.8,180.6,175,175.8,177.7,"305,394"
2019-01-29,178,180.6,177.2,178.5,177.7,"254,803"
2019-01-28,179.5,181.4,178.8,178.8,179.8,"250,847"
2019-01-27,180.3,184,180,183.9,180.6,"214,270"
2019-01-24,182.9,183.9,177.7,177.7,182.8,"222,234"
2019-01-23,178,181.9,177.2,178.5,177.7,"410,279"
2019-01-22,180.7,182.8,178.5,181.3,179.7,"317,966"
2019-01-21,182,182.8,181,181,181.3,"217,417"
2019-01-20,180,184.8,180,182.5,181,"332,988"
2019-01-17,181.7,185.9,181.5,183,182.3,"192,451"
2019-01-16,185.9,191,183,187.5,184.3,"252,030"
2019-01-15,190,192.5,186.6,191.9,187.4,"217,662"
2019-01-14,191.8,194.6,189,191,190.7,"411,236"
2019-01-13,190,192.9,185.5,185.7,190.8,"310,731"
2019-01-10,185,191.7,184.8,191.7,185.3,"453,303"
2019-01-09,189,193.4,188.1,191.9,189,"645,639"
2019-01-08,190.8,193.8,185.9,186.2,190.8,"718,580"
2019-01-07,186.3,187.7,183.8,187,186.1,"409,545"
2019-01-06,186.4,187.1,180.5,185,185.6,"262,821"
2019-01-03,183.7,184.6,178.5,180.1,184.1,"216,310"
2019-01-02,180,184.1,179.3,184.1,180.3,"182,442"
2019-01-01,183.5,184,179.7,182.8,183.5,"118,079"
2018-12-27,181.8,182,175.3,176.1,179.4,"608,973"
2018-12-26,178,181.8,172.5,181,175.7,"322,415"
2018-12-24,180,182,177.9,181.3,178.8,"239,713"
2018-12-23,181,184.2,179.8,184.2,180.1,"189,615"
2018-12-20,184,188.5,183.7,186.8,184.2,"93,563"
2018-12-19,186.5,188.5,183.2,183.2,186.8,"105,055"
2018-12-18,186.8,186.9,180.5,180.5,184.1,"97,950"
2018-12-17,188,190.7,180.4,189.9,181.7,"91,224"
2018-12-13,189.2,208,185,191.9,186.8,"350,028"
2018-12-12,190,190,181.7,181.7,189.6,"225,168"
2018-12-11,187.6,188.8,181.5,186.3,183.9,"58,659"
2018-12-10,185.5,185.5,182,185.4,184.7,"49,809"
2018-12-09,183.6,191,182.5,190,183.9,"156,130"
2018-12-06,190,190.9,186.1,189.5,188.9,"105,446"
2018-12-05,190.8,190.9,186,187,189.5,"175,121"
2018-12-04,190.3,192,187.3,189.5,190,"208,690"
2018-12-03,190,195,181.1,185,189.5,"236,309"
2018-12-02,185.9,185.9,175.6,178.4,181.3,"92,893"
2018-11-29,179,183.2,177.9,179,178.5,"125,838"
2018-11-28,180.9,183.6,180,181,180.4,"83,797"
2018-11-27,182.9,186.5,180.3,180.3,181.7,"71,848"
2018-11-26,182.2,190.7,182.2,187.7,183,"85,628"
2018-11-25,184.4,193.2,184.2,192.9,184.7,"313,713"
2018-11-20,225.7,229,218.1,229,224.1,"341,554"
2018-11-19,227.7,229.8,224.5,224.8,228.3,"418,442"
2018-11-18,228.5,229,217,218,224.9,"508,877"
2018-11-15,213.4,216,212.7,216,214.6,"200,247"
2018-11-14,214.9,218,212,218,213.2,"60,428"
2018-11-13,216,217.9,213.8,214,215.6,"65,614"
2018-11-12,215,218.5,209.3,210,213.9,"164,455"
2018-11-11,209.1,212.7,207.6,210.5,210.1,"272,418"
2018-11-08,207.1,213,207.1,213,207.9,"94,928"
2018-11-07,211.5,211.8,207.9,208,210,"63,653"
2018-11-06,208,212.5,207.3,212.5,207.9,"146,162"
2018-11-05,209.5,213.5,209.3,211,210.3,"253,105"
2018-11-04,210,214.5,208,214.4,211.4,"284,772"
2018-11-01,213.9,215.7,212.1,213,213.7,"254,827"
2018-10-31,215,220,210,219.6,210.6,"360,398"
2018-10-30,215,218.5,211,218,216.1,"273,135"
2018-10-29,209.5,209.6,203.5,205.5,208.9,"91,218"
2018-10-28,207.7,213,206,212.5,208,"63,010"
2018-10-25,211.6,215.2,210,215.2,212.5,"156,874"
2018-10-24,208.1,224,208.1,210,210.2,"57,715"
2018-10-23,208,214.9,207.2,213.2,209.9,"194,006"
2018-10-22,212,221.2,212,221.2,212.9,"106,825"
2018-10-21,218.5,222.7,217.2,222.7,219,"92,454"
2018-10-18,224.5,224.6,217.6,218,223.7,"101,639"
2018-10-17,219.5,228.1,219.5,227.9,220.4,"232,989"
2018-10-16,228,229.5,223.1,228,226.3,"168,168"
2018-10-15,223.6,227,223.5,226,224,"129,285"
2018-10-14,228.1,232.9,223.5,232.9,228,"74,826"
2018-10-11,230,236.5,227.8,233,230,"257,333"
2018-10-10,232.7,233.5,226.3,230.3,228,"450,203"
2018-10-09,232.7,239.8,231.5,236.1,232.8,"1,007,842"
2018-10-08,237.9,243.4,234,234,237.9,"705,082"
2018-10-07,234.5,234.5,221,221,233.1,"657,359"
2018-10-04,221,225,220.1,221.3,221.2,"348,953"
2018-10-03,223.4,225.8,220.6,222.4,222.3,"429,032"
2018-10-02,221.3,221.9,215.3,216.8,219.6,"200,881"
2018-10-01,216.3,225.6,215.2,222.2,216.3,"227,853"
2018-09-30,222.4,223.5,212.2,216.7,222.2,"487,776"
2018-09-27,215.7,217.4,212.4,215.1,213.7,"148,564"
2018-09-26,215.8,219.9,214,218,215.1,"198,674"
2018-09-25,218,218.9,213.4,216.8,216.8,"159,901"
2018-09-24,211.3,223.8,210.7,218.2,211.4,"227,982"
2018-09-23,222,227.3,216,227,217.2,"385,237"
2018-09-20,226.4,228,222.5,223,226,"714,711"
2018-09-19,222,226.7,213,213,221.5,"867,474"
2018-09-18,213,214,203.4,209.1,211.8,"469,948"
2018-09-17,209,217.7,209,212,210.5,"310,742"
2018-09-16,214,221,210.5,217.9,211.9,"607,586"
2018-09-13,215.2,230.4,215,228,217.8,"616,339"
2018-09-12,228,230.8,223.1,227.5,226.6,"411,184"
2018-09-11,228.9,231.4,221,228.6,227.4,"782,643"
2018-09-10,232.7,238.9,229.7,230,231.7,"913,066"
2018-09-09,231.7,234,215.3,217.9,228.9,"1,179,064"
2018-09-06,218.3,220,210.6,217,216.6,"1,088,890"
2018-09-05,217.2,217.9,200.3,200.3,216.6,"1,207,914"
2018-09-04,198.5,202.7,195.1,197.9,200.9,"1,363,235"
2018-09-03,192,194,186.9,187.1,193.3,"686,377"
2018-08-30,188.8,188.8,185,186.5,185.9,"178,944"
2018-08-29,184,188,183.6,188,185.3,"171,790"
2018-08-28,186,188.2,183.1,186,184.5,"345,569"
2018-08-27,187.5,189.9,186.1,187,186.6,"80,087"
2018-08-26,188.8,190.5,185.5,188.5,187.5,"94,721"
2018-08-20,187.4,187.9,183.5,183.5,187.1,"68,862"
2018-08-19,183.1,184,178,181.3,183.5,"226,207"
2018-08-16,183.8,187.8,181.4,187.8,182.3,"219,987"
2018-08-14,185.9,191.6,184,186.6,185.3,"307,640"
2018-08-13,189.6,189.8,184.1,185.5,188.5,"69,864"
2018-08-12,187.4,192.9,184,185,185.5,"99,373"
2018-08-09,187,192.7,186.6,192.7,188.5,"320,989"
2018-08-08,192.5,192.7,188.6,191.3,190.4,"157,632"
2018-08-07,191.9,201.9,188.5,197,191.3,"581,555"
2018-08-06,196.3,198,190,190.2,196.9,"379,034"
2018-08-05,192,193,182,182.4,188.6,"259,615"
2018-08-02,181,187,181,182.9,182.4,"177,917"
2018-08-01,178.1,184.5,171,179,179.1,"249,483"
2018-07-31,183.7,183.9,175.2,183.1,177.7,"188,309"
2018-07-30,186.8,188.4,182,184,184,"52,026"
2018-07-29,184.3,189.3,181.7,184,184.5,"84,890"
2018-07-26,184.8,189,182.8,187,184.5,"159,519"
2018-07-25,183.8,189,181.3,185.1,185.5,"226,404"
2018-07-24,189.4,192.4,185.1,190.8,186.3,"116,094"
2018-07-23,192,193,190.5,190.8,190.7,"210,613"
2018-07-22,192,197,189,193.5,190.4,"311,291"
2018-07-19,191.2,195,187.3,190.5,189.7,"318,242"
2018-07-18,187.9,192.5,186,190.3,188.7,"272,561"
2018-07-17,193.8,197.6,186,192,189.6,"286,294"
